phrase_no	n	component_phrase	spoken_phrase_de	occurrences	statements	records	boundary_behavior	example_statements
PF001	2	Y+OK	dies · setze an	29	25	6	CROSSES_CARD	B1-S011|B1-S015|B2-S003|B2-S005|B2-S006|B2-S010|B2-S012|B2-S015
PF002	2	CHD+DY	setze um · schließe	28	28	5	WITHIN_CARD	B1-S002|B1-S003|B1-S005|B1-S007|B1-S015|B1-S017|B2-S001|B2-S002
PF003	2	E+DY	kurz · schließe	20	20	4	WITHIN_CARD	B1-S001|B1-S009|B1-S010|B1-S012|B1-S013|B1-S020|B2-S004|B2-S007
PF004	2	EE+Y	länger · dies	19	15	7	WITHIN_CARD	B1-S016|B2-S004|B2-S005|B2-S006|B2-S010|B2-S012|B2-S016|B3-S028
PF005	2	OK+EE	setze an · länger	19	19	4	WITHIN_CARD	B1-S002|B1-S016|B2-S003|B2-S004|B2-S010|B2-S011|B2-S012|B2-S015
PF006	2	EE+DY	länger · schließe	17	17	4	WITHIN_CARD	B1-S018|B2-S003|B2-S011|B2-S015|B2-S018|B2-S020|B2-S021|B3-S001
PF007	2	OK+Y	setze an · dies	15	15	6	WITHIN_CARD	B1-S011|B2-S006|B2-S010|B3-S009|B3-S011|B3-S030|B4-S003|B4-S004
PF008	2	E+Y	kurz · dies	14	14	7	WITHIN_CARD	B1-S008|B1-S012|B1-S015|B1-S020|B2-S012|B2-S015|B2-S016|B3-S013
PF009	2	CHD+Y	setze um · dies	13	12	5	WITHIN_CARD	B1-S004|B1-S014|B3-S006|B3-S007|B3-S011|B3-S026|B3-S032|B4-S003
PF010	2	SHED+DY	setze ab · schließe	13	13	4	WITHIN_CARD	B1-S004|B1-S008|B1-S016|B1-S019|B2-S008|B2-S019|B3-S012|B3-S018
PF011	2	L+CHD	führe · setze um	11	11	4	WITHIN_CARD	B1-S014|B2-S004|B2-S013|B2-S016|B3-S003|B3-S008|B3-S015|B3-S020
PF012	2	OK+E	setze an · kurz	10	10	4	WITHIN_CARD	B1-S001|B1-S009|B1-S010|B1-S012|B2-S016|B3-S013|B3-S028|B3-S029
PF013	2	SH+E	halte · kurz	10	10	3	WITHIN_CARD	B1-S002|B1-S018|B2-S006|B2-S007|B2-S009|B2-S015|B2-S017|B3-S011
PF014	2	Y+AIIN	dies · Maß	9	9	6	CROSSES_CARD|WITHIN_CARD	B2-S012|B3-S003|B3-S021|B3-S030|H1-S001|H2-S001|H3-S001|H3-S003
PF015	2	Y+K	dies · gib zu	9	7	5	CROSSES_CARD|WITHIN_CARD	B4-S015|H2-S003|H3-S003|H4-S001|H4-S003|H5-S005|H5-S006
PF016	2	OK+AIIN	setze an · Maß	9	8	4	WITHIN_CARD	B1-S002|B2-S005|B2-S016|B3-S004|B3-S007|B3-S013|B3-S021|H4-S001
PF017	2	Y+L	dies · führe	9	8	5	CROSSES_CARD	B1-S006|B1-S014|B2-S004|B2-S005|B2-S012|B3-S003|B4-S015|B6-S001
PF018	2	CTH+Y	bereit · dies	8	6	4	WITHIN_CARD	B3-S021|B3-S026|B3-S034|H1-S002|H2-S001|H3-S004
PF019	2	Y+OL	dies · fort	8	7	4	CROSSES_CARD	B1-S004|B1-S008|B1-S016|B4-S003|B4-S011|B6-S001|H4-S003
PF020	2	K+AIN	gib zu · Teil	7	5	4	WITHIN_CARD	B1-S002|B3-S013|B4-S015|B4-S016|H4-S001
