edition	page	locus	source_group_id	source_group_index	ivtff_group_raw	left_separator	right_separator
ZL3b	f115v	f115v.37	ZL3b|f115v.37|G001	1	tshar	LINE_START	DEFINITE_SPACE
ZL3b	f115v	f115v.37	ZL3b|f115v.37|G002	2	shor	DEFINITE_SPACE	DEFINITE_SPACE
ZL3b	f115v	f115v.37	ZL3b|f115v.37|G003	3	sh{ckhh}y	DEFINITE_SPACE	DEFINITE_SPACE
ZL3b	f115v	f115v.37	ZL3b|f115v.37|G004	4	olkeeo	DEFINITE_SPACE	DEFINITE_SPACE
ZL3b	f115v	f115v.37	ZL3b|f115v.37|G005	5	lkeedol	DEFINITE_SPACE	DEFINITE_SPACE
ZL3b	f115v	f115v.37	ZL3b|f115v.37|G006	6	ltchdy	DEFINITE_SPACE	DEFINITE_SPACE
ZL3b	f115v	f115v.37	ZL3b|f115v.37|G007	7	chkaidararal	DEFINITE_SPACE	DEFINITE_SPACE
ZL3b	f115v	f115v.37	ZL3b|f115v.37|G008	8	lkeedy	DEFINITE_SPACE	LINE_END
ZL3b	f115v	f115v.38	ZL3b|f115v.38|G001	1	oiiin	LINE_START	DEFINITE_SPACE
ZL3b	f115v	f115v.38	ZL3b|f115v.38|G002	2	chees	DEFINITE_SPACE	DEFINITE_SPACE
ZL3b	f115v	f115v.38	ZL3b|f115v.38|G003	3	otairos	DEFINITE_SPACE	DEFINITE_SPACE
ZL3b	f115v	f115v.38	ZL3b|f115v.38|G004	4	loedy	DEFINITE_SPACE	DEFINITE_SPACE
ZL3b	f115v	f115v.38	ZL3b|f115v.38|G005	5	cheo	DEFINITE_SPACE	UNCERTAIN_SMALL_SPACE
ZL3b	f115v	f115v.38	ZL3b|f115v.38|G006	6	keeo	UNCERTAIN_SMALL_SPACE	DEFINITE_SPACE
ZL3b	f115v	f115v.38	ZL3b|f115v.38|G007	7	llchs	DEFINITE_SPACE	DEFINITE_SPACE
ZL3b	f115v	f115v.38	ZL3b|f115v.38|G008	8	o	DEFINITE_SPACE	DEFINITE_SPACE
ZL3b	f115v	f115v.38	ZL3b|f115v.38|G009	9	l	DEFINITE_SPACE	DEFINITE_SPACE
ZL3b	f115v	f115v.38	ZL3b|f115v.38|G010	10	r	DEFINITE_SPACE	DEFINITE_SPACE
ZL3b	f115v	f115v.38	ZL3b|f115v.38|G011	11	aiiin	DEFINITE_SPACE	DEFINITE_SPACE
ZL3b	f115v	f115v.38	ZL3b|f115v.38|G012	12	chkain	DEFINITE_SPACE	DEFINITE_SPACE
ZL3b	f115v	f115v.38	ZL3b|f115v.38|G013	13	sham	DEFINITE_SPACE	LINE_END
ZL3b	f115v	f115v.39	ZL3b|f115v.39|G001	1	dairal	LINE_START	DEFINITE_SPACE
ZL3b	f115v	f115v.39	ZL3b|f115v.39|G002	2	chain	DEFINITE_SPACE	DEFINITE_SPACE
ZL3b	f115v	f115v.39	ZL3b|f115v.39|G003	3	ykeedy	DEFINITE_SPACE	DEFINITE_SPACE
ZL3b	f115v	f115v.39	ZL3b|f115v.39|G004	4	qokedy	DEFINITE_SPACE	DEFINITE_SPACE
ZL3b	f115v	f115v.39	ZL3b|f115v.39|G005	5	qokain	DEFINITE_SPACE	DEFINITE_SPACE
ZL3b	f115v	f115v.39	ZL3b|f115v.39|G006	6	lkaiin	DEFINITE_SPACE	DEFINITE_SPACE
ZL3b	f115v	f115v.39	ZL3b|f115v.39|G007	7	lkchey	DEFINITE_SPACE	DEFINITE_SPACE
ZL3b	f115v	f115v.39	ZL3b|f115v.39|G008	8	lkain	DEFINITE_SPACE	DEFINITE_SPACE
ZL3b	f115v	f115v.39	ZL3b|f115v.39|G009	9	lror	DEFINITE_SPACE	LINE_END
ZL3b	f115v	f115v.40	ZL3b|f115v.40|G001	1	ycheeol	LINE_START	UNCERTAIN_SMALL_SPACE
