token_order	field	micro_packet	grammar_slot	source_step	source_instruction_de	master_card_id	chosen_visible_surface	dictionary_value_de	surface_is_registered	reopen_before	decoded_step_de
1	1	1	G1	LOAD_PREVIOUS	vorigen Ansatz aufnehmen	MC142	dchol	vom vorigen	YES	NO	vorigen Ansatz aufnehmen
2	1	1	G2	SET_MEASURE	Sollmass nehmen	MC039	aiin	Sollmaß	YES	NO	Sollmass nehmen
3	1	1	G3	WARM	kurz waermen	MC147	cheky	kurz wärmen	YES	NO	kurz waermen
4	1	1	G5	SET_FIRST_TARGET	am ersten Ziel einsetzen	MC040	okal	dorthin einsetzen	YES	NO	am ersten Ziel einsetzen
5	1	1	G4	SHORT_CONTACT	kurz einwirken lassen	MC007	okey	kurz einwirken	YES	NO	kurz einwirken lassen
6	1	2	G2	REOPEN_PORTION	einen weiteren Anteil aufrufen	MC105	kain	Anteil	YES	YES	einen weiteren Anteil aufrufen
7	1	2	G4	TRANSFER	diesen Anteil ueberfuehren	MC074	chedy	überführen	YES	NO	diesen Anteil ueberfuehren
8	1	2	G5	SET_THERE	dorthin bringen	MC154	dal	dorthin	YES	NO	dorthin bringen
9	1	3	G2	REOPEN_CLEAR_EXTRACT	Klarauszug aufrufen	MC119	shey	Klarauszug	YES	YES	Klarauszug aufrufen
10	1	3	G2	MEASURE_CLEAR_EXTRACT	davon Sollmass nehmen	MC039	aiin	Sollmaß	YES	NO	davon Sollmass nehmen
11	1	3	G3	SET_INSERT	Einlage setzen	MC059	dain	Einlage	YES	NO	Einlage setzen
12	1	3	G4	PASS_AND_CLOSE	einmal durchlassen und Feld schliessen	MC143	shckhedy	durchlassen; Schluss	YES	NO	einmal durchlassen und Feld schliessen
13	2	1	G5	NEXT_ITEM	zum Folgeposten wechseln	MC107	qotchy	Folgeposten	YES	NO	zum Folgeposten wechseln
14	2	1	G5	NEXT_TARGET	danach zur naechsten Zielstelle	MC093	otal	danach dorthin	YES	NO	danach zur naechsten Zielstelle
15	2	1	G5	SET_NEXT_TARGET	dort einsetzen	MC026	qoky	einsetzen	YES	NO	dort einsetzen
16	2	1	G6	WASH_CLOSE	Waschgang schliessen	MC038	lshedy	Waschgang; Schluss	YES	NO	Waschgang schliessen
17	3	1	G2	SELECT_REMAINDER	Restanteil aufrufen	MC105	kain	Anteil	YES	NO	Restanteil aufrufen
18	3	1	G3	STORE	am Verwahrort abstellen	MC160	talam	Verwahrort	YES	NO	am Verwahrort abstellen
19	3	1	G6	READY_CLOSE	fertig markieren	MC019	oldy	fertig	YES	NO	fertig markieren
