event_serial	statement_id	page	visible_surface	master_card_id	unchanged_card_value_de	selected_owner_class	material_expansion_de	dictionary_change
39	H3-S001	f11r	tshol	MC098	Kochgut	BLUE_FLOWERING_ASTRINGENT_WASH_HERB	Nimm das bestimmte Kochgut vom blau bluehenden Waschkraut.	NO
40	H3-S001	f11r	schoal	MC049	Sudansatz	BLUE_FLOWERING_ASTRINGENT_WASH_HERB	Setze daraus den Pflanzenwaschauszug an.	NO
41	H3-S001	f11r	cfhy	MC129	Auswringen	BLUE_FLOWERING_ASTRINGENT_WASH_HERB	Wringe das ausgekochte Kraut aus.	NO
42	H3-S001	f11r	shfydaiin	MC111	Stehzeit	BLUE_FLOWERING_ASTRINGENT_WASH_HERB	Lass die ausgedrueckte Fluessigkeit die vorgeschriebene Zeit stehen.	NO
43	H3-S001	f11r	cphy	MC156	Nachseihen	BLUE_FLOWERING_ASTRINGENT_WASH_HERB	Seihe die abgesetzte Fluessigkeit nochmals.	NO
44	H3-S001	f11r	shey	MC119	Klarauszug	BLUE_FLOWERING_ASTRINGENT_WASH_HERB	Behalte den klaren Waschauszug.	NO
45	H3-S001	f11r	tchody	MC037	Endzugabe; Schluss	BLUE_FLOWERING_ASTRINGENT_WASH_HERB	Gib den vorgesehenen Endzusatz bei und schliesse den Zubereitungsschritt.	NO
46	H3-S002	f11r	shoyty	MC062	Zugabeteil	BLUE_FLOWERING_ASTRINGENT_WASH_HERB	Lege den weiteren Zugabeteil bereit.	NO
47	H3-S003	f11r	dchol	MC142	vom vorigen	BLUE_FLOWERING_ASTRINGENT_WASH_HERB	Nimm vom vorigen klaren Ansatz.	NO
48	H3-S003	f11r	chy	MC123	dies	BLUE_FLOWERING_ASTRINGENT_WASH_HERB	Halte diesen Ansatz als laufenden Posten.	NO
49	H3-S003	f11r	kchy	MC117	Bearbeiten	BLUE_FLOWERING_ASTRINGENT_WASH_HERB	Bearbeite diesen Anteil weiter.	NO
50	H3-S003	f11r	dy	MC123	dies	BLUE_FLOWERING_ASTRINGENT_WASH_HERB	Fuehre denselben Posten fort.	NO
51	H3-S003	f11r	daiin	MC039	Sollmaß	BLUE_FLOWERING_ASTRINGENT_WASH_HERB	Bringe ihn auf das Sollmass.	NO
52	H3-S004	f11r	qotchy	MC107	Folgeposten	BLUE_FLOWERING_ASTRINGENT_WASH_HERB	Wechsle zum Folgeposten.	NO
53	H3-S004	f11r	okchol	MC041	Weiterverarbeitung	BLUE_FLOWERING_ASTRINGENT_WASH_HERB	Verarbeite den Folgeposten weiter.	NO
54	H3-S004	f11r	cthy	MC161	bereit	BLUE_FLOWERING_ASTRINGENT_WASH_HERB	Halte die Zubereitung bereit.	NO
55	H3-S004	f11r	dy	MC123	dies	BLUE_FLOWERING_ASTRINGENT_WASH_HERB	Dies ist der bereitgestellte Auszug fuer die Stationsarbeit.	NO
