component_no	component	short_value_de	category	exact_cards	events	diagnostic_surfaces	teaching_rule
C01	OK	ANSETZEN	RECURRENT_PRODUCTIVE_ROOT	24	80	chokcheo|chokchy|choky|okaiin|okain|okair|okal|okchedy|okchol|okchy|okeeol|okeey|okey|oky|qokaiin|qokain|qokal|qokaly|qokar|qokchdy|qokchedy|qokchy|qokedy|qokeedal|qokeedy|qokeeedy|qokeey|qokey|qokokchy|qokol|qokshedy|qoky|qokylddy	frei mit anderen kurzen Wurzeln kombinieren
C02	CHD	UMSETZEN	RECURRENT_PRODUCTIVE_ROOT	22	48	chdal|chdy|chedain|chedchy|chedy|dalchdy|dchdy|dchedy|lched|lchedal|lchedar|lchedy|lochedy|okchedy|olchedy|otchdy|otchedy|pchedal|pchedy|qokchdy|qokchedy|qolchedy|qotchedy|schedair|schedy|shecthedchy|sshkchdy|tchedy	frei mit anderen kurzen Wurzeln kombinieren
C03	SH	HALTEN	RECURRENT_PRODUCTIVE_ROOT	20	25	cheey|dshedy|dsheol|qokshedy|rsheal|schoal|sh|shckhedy|sheckhal|sheckhy|shecthedchy|shecthy|sheedy|sheey|shey|shfydaiin|shoyty|solshedy|sshkchdy|tshey|tshol	frei mit anderen kurzen Wurzeln kombinieren
C04	SHED	ABSETZEN	RECURRENT_PRODUCTIVE_ROOT	3	15	cheedy|rshedy|shedal|shedy|tedy	frei mit anderen kurzen Wurzeln kombinieren
C05	CHK	WAERMEN	RECURRENT_PRODUCTIVE_ROOT	4	7	cheeky|cheky|chkeedy|chkeey	frei mit anderen kurzen Wurzeln kombinieren
C06	CTH	BEREITEN	RECURRENT_PRODUCTIVE_ROOT	8	15	checthy|cthaiin|cthoor|cthy|octheol|qcthey|qoctholy|shcthey|shcthy|shecthedchy|shecthy	frei mit anderen kurzen Wurzeln kombinieren
C07	SOLK	SAMMELSTELLE	RECURRENT_PRODUCTIVE_ROOT	5	7	olkeedy|qolky|solkaiin|solkeedy|solkeey|solkey	frei mit anderen kurzen Wurzeln kombinieren
C08	P	FUELLEN	RECURRENT_PRODUCTIVE_ROOT	3	3	cphy|pchedal|pchedy	frei mit anderen kurzen Wurzeln kombinieren
C09	LSH	WASCHEN	RECURRENT_PRODUCTIVE_ROOT	2	3	lshedy|lsho	frei mit anderen kurzen Wurzeln kombinieren
C10	CFH	AUSWRINGEN	SINGLETON_COMPONENT_GUESS	1	1	cfhy	konkrete Einmalbedeutung merken; noch nicht als produktiv verallgemeinern
C11	CH	ENTNEHMEN	RECURRENT_PRODUCTIVE_ROOT	15	16	chair|chckhal|cheeckhody|cheoar|ches|chochor|chodaiin|chokcheo|dchey|lchy|otchor|otytchol|qotchol|qotchor|tchody|ycheor	frei mit anderen kurzen Wurzeln kombinieren
C12	T	ANWENDEN	RECURRENT_PRODUCTIVE_ROOT	9	10	cheeety|chety|chty|etyd|oltchy|otytchol|shoyty|tchody|tshol|ytey	frei mit anderen kurzen Wurzeln kombinieren
C13	K	ZUGEBEN	RECURRENT_PRODUCTIVE_ROOT	18	21	chkain|kaiiin|kain|kair|kchal|kchey|kchoar|kchol|kchy|keol|lkedy|olkain|oykchor|qekey|qolkain|skar|sshkchdy|ykaiin|ykain|ykan	frei mit anderen kurzen Wurzeln kombinieren
C14	S	TEIL	SINGLETON_COMPONENT_GUESS	1	1	ches	konkrete Einmalbedeutung merken; noch nicht als produktiv verallgemeinern
C15	L	LEITEN	RECURRENT_PRODUCTIVE_ROOT	18	27	chldaiin|dl|lar|lcheckhedy|lcheckhy|lched|lchedal|lchedar|lchedy|lcheey|lchy|ldalor|ldy|lkedy|lo|lochedy|lol|ly	frei mit anderen kurzen Wurzeln kombinieren
C16	OL	WEITER	RECURRENT_PRODUCTIVE_ROOT	25	48	cheol|chol|cholor|dsheol|kchol|keol|lol|ls|octheol|okchol|okeeol|ol|olchedy|oldy|olkain|olor|olsaly|oltchy|otol|otytchol|qoctholy|qokol|qol|qolchedy|qolchey|qolkain|qotchol|rol|sol|solshedy|teol|tol|tshol	frei mit anderen kurzen Wurzeln kombinieren
C17	OT	DANACH	RECURRENT_PRODUCTIVE_ROOT	16	26	otaiin|otal|otar|otchdy|otchedy|otchey|otchor|otedy|oteey|otol|otytchol|qotal|qotchedy|qotchol|qotchor|qotchy|qotedaiin|qoteedy|sotaiin|sotodan	frei mit anderen kurzen Wurzeln kombinieren
C18	AL	ZIELSTELLE	RECURRENT_PRODUCTIVE_ROOT	22	39	al|chal|chckhal|chdal|cheal|chealror|chodaly|dal|dalchdy|daldy|kchal|lchedal|ldalor|okal|olsaly|otal|pchedal|qokal|qokaly|qokeedal|qotal|ral|raly|rsheal|sal|schoal|sheckhal|shedal|tal	frei mit anderen kurzen Wurzeln kombinieren
C19	AR	QUELLE	RECURRENT_PRODUCTIVE_ROOT	10	14	char|chary|cheedar|cheoar|dar|kchoar|lar|lchedar|otar|qokar|sar|skar	frei mit anderen kurzen Wurzeln kombinieren
C20	AIR	WASSER	RECURRENT_PRODUCTIVE_ROOT	5	5	chair|dairydy|kair|okair|schedair	frei mit anderen kurzen Wurzeln kombinieren
C21	OR	ANSATZ	RECURRENT_PRODUCTIVE_ROOT	10	18	chealror|chochor|cholor|chor|cthoor|ldalor|olor|or|orain|otchor|oykchor|qotchor|shor|sor|ycheor	frei mit anderen kurzen Wurzeln kombinieren
C22	HO	ZUTAT	RECURRENT_PRODUCTIVE_ROOT	5	8	cho|chochor|chodaly|choy|kchoar|sho	frei mit anderen kurzen Wurzeln kombinieren
C23	CKH	DURCHLASS	RECURRENT_PRODUCTIVE_ROOT	9	14	chckhal|chckhy|cheeckhody|lcheckhedy|lcheckhy|qockhey|shckhedy|shckhy|sheckhal|sheckhy	frei mit anderen kurzen Wurzeln kombinieren
C24	O	ARBEITSGANG	RECURRENT_PRODUCTIVE_ROOT	18	19	cheeckhody|cheoar|chodaiin|chokcheo|cthoor|lo|lochedy|lsho|octheol|ody|oiiin|oykchor|qockhey|qoctholy|schoal|shoyty|soiiin|sotodan|tchody	frei mit anderen kurzen Wurzeln kombinieren
C25	Y	DIES	RECURRENT_PRODUCTIVE_ROOT	61	125	cfhy|chary|chckhy|chdy|checthy|chedchy|chedy|cheeety|cheeky|cheey|cheky|chety|chey|chkeey|chodaly|chokchy|choky|choy|chty|chy|cphy|cthy|dairydy|dchey|dy|etyd|kchey|kchy|lcheckhy|lcheey|lchy|ly|okchy|okeey|okey|oky|olsaly|oltchy|otchey|oteey	frei mit anderen kurzen Wurzeln kombinieren
C26	AIN	PORTION	RECURRENT_PRODUCTIVE_ROOT	8	18	chedain|chkain|dain|kain|okain|olkain|orain|qokain|qolkain|sotodan|ykain	frei mit anderen kurzen Wurzeln kombinieren
C27	AIIN	SOLLMASS	RECURRENT_PRODUCTIVE_ROOT	10	39	aiin|chaiin|chldaiin|chodaiin|cthaiin|daiin|okaiin|otaiin|qokaiin|qotedaiin|saiin|shfydaiin|solkaiin|sotaiin|taiin|ykaiin	frei mit anderen kurzen Wurzeln kombinieren
C28	IIN	ARBEITSSTUFE	RECURRENT_PRODUCTIVE_ROOT	3	4	daiiin|kaiiin|oiiin|soiiin	frei mit anderen kurzen Wurzeln kombinieren
C29	E	KURZ	RECURRENT_PRODUCTIVE_ROOT	35	50	cheky|cheoar|ches|chokcheo|dchey|dshedy|dsheol|etyd|kchey|keol|lcheckhedy|lkedy|lshedy|octheol|okey|otedy|qcthey|qekey|qockhey|qokedy|qokey|qokshedy|qotedaiin|rsheal|shckhedy|shcthey|sheckhal|sheckhy|shecthedchy|shecthy|solkey|solshedy|teol	frei mit anderen kurzen Wurzeln kombinieren
C30	EE	LANG	RECURRENT_PRODUCTIVE_ROOT	17	40	cheeckhody|cheedar|cheeky|cheey|chkeedy|chkeey|lcheey|okeeol|okeey|olkeedy|oteey|qokeedal|qokeedy|qokeey|qoteedy|sheedy|sheey|shey|solkeedy|solkeey	frei mit anderen kurzen Wurzeln kombinieren
C31	EEE	VOLL	RECURRENT_PRODUCTIVE_ROOT	2	2	cheeety|qokeeedy	frei mit anderen kurzen Wurzeln kombinieren
C32	R	KUEHLEN	RECURRENT_PRODUCTIVE_ROOT	6	6	chealror|ral|raly|rol|rsheal|rshedy	frei mit anderen kurzen Wurzeln kombinieren
C33	AN	NACHGABE	SINGLETON_COMPONENT_GUESS	1	1	ykan	konkrete Einmalbedeutung merken; noch nicht als produktiv verallgemeinern
C34	DA	ZWEIT	SINGLETON_COMPONENT_GUESS	1	1	daiiin	konkrete Einmalbedeutung merken; noch nicht als produktiv verallgemeinern
C35	LD	BEFESTIGEN	SINGLETON_COMPONENT_GUESS	1	1	qokylddy	konkrete Einmalbedeutung merken; noch nicht als produktiv verallgemeinern
C36	DY	SCHLUSS	RECURRENT_PRODUCTIVE_ROOT	37	89	cheeckhody|cheedy|chkeedy|dairydy|dalchdy|daldy|dchdy|dchedy|dshedy|lcheckhedy|lchedy|ldy|lkedy|lochedy|lshedy|ody|okchedy|olchedy|oldy|olkeedy|otchdy|otchedy|otedy|pchedy|qokchdy|qokchedy|qokedy|qokeedy|qokeeedy|qokshedy|qokylddy|qolchedy|	frei mit anderen kurzen Wurzeln kombinieren
C37	OS	FACH	MEMORIZED_WHOLE_COMMAND	1	1	os	ganze Karte als Nomenklatorbefehl merken
C38	RESUME_CARD	WIEDERAUFNEHMEN	MEMORIZED_WHOLE_COMMAND	1	2	dchol|schol	ganze Karte als Nomenklatorbefehl merken
C39	TALAM	VERWAHREN	MEMORIZED_WHOLE_COMMAND	1	1	talam	ganze Karte als Nomenklatorbefehl merken
