exact_card_id	semantic_family	component_recipe	rebuilt_reading_de	pass736_reading_de	exact_rebuild	component_count	composition_status	registered_surfaces	events
PROC001	SEM001	CH+E+Y	ENTNEHMEN · KURZ · DIES	ENTNEHMEN · KURZ · DIES	YES	3	FULLY_COMPOSED_FROM_RECURRENT_ROOTS	dchey	1
PROC002	SEM002	CTH+O+OR	BEREITEN · ARBEITSGANG · ANSATZ	BEREITEN · ARBEITSGANG · ANSATZ	YES	3	FULLY_COMPOSED_FROM_RECURRENT_ROOTS	cthoor	1
PROC003	SEM003	AR	QUELLE	QUELLE	YES	1	FULLY_COMPOSED_FROM_RECURRENT_ROOTS	char|dar|sar	5
PROC004	SEM004	T+Y	ANWENDEN · DIES	ANWENDEN · DIES	YES	2	FULLY_COMPOSED_FROM_RECURRENT_ROOTS	chety|chty	2
PROC005	SEM005	OS	FACH	FACH	YES	1	HAS_MEMORIZED_WHOLE_COMMAND	os	1
PROC006	SEM006	CH+AIR	ENTNEHMEN · WASSER	ENTNEHMEN · WASSER	YES	2	FULLY_COMPOSED_FROM_RECURRENT_ROOTS	chair	1
PROC007	SEM007	OT+Y+T+CH+OL	DANACH · DIES · ANWENDEN · ENTNEHMEN · WEITER	DANACH · DIES · ANWENDEN · ENTNEHMEN · WEITER	YES	5	FULLY_COMPOSED_FROM_RECURRENT_ROOTS	otytchol	1
PROC008	SEM008	OK+Y	ANSETZEN · DIES	ANSETZEN · DIES	YES	2	FULLY_COMPOSED_FROM_RECURRENT_ROOTS	choky|oky|qoky	10
PROC011	SEM008	OK+Y	ANSETZEN · DIES	ANSETZEN · DIES	YES	2	FULLY_COMPOSED_FROM_RECURRENT_ROOTS	chokchy|okchy|qokchy	3
PROC009	SEM009	AIIN	SOLLMASS	SOLLMASS	YES	1	FULLY_COMPOSED_FROM_RECURRENT_ROOTS	aiin|chaiin|daiin|saiin|taiin	20
PROC010	SEM010	E+T+Y	KURZ · ANWENDEN · DIES	KURZ · ANWENDEN · DIES	YES	3	FULLY_COMPOSED_FROM_RECURRENT_ROOTS	etyd	1
PROC012	SEM011	OT+CH+OL	DANACH · ENTNEHMEN · WEITER	DANACH · ENTNEHMEN · WEITER	YES	3	FULLY_COMPOSED_FROM_RECURRENT_ROOTS	qotchol	1
PROC013	SEM012	OL	WEITER	WEITER	YES	1	FULLY_COMPOSED_FROM_RECURRENT_ROOTS	cheol|chol|ol|qol|sol|tol	19
PROC115	SEM012	OL	WEITER	WEITER	YES	1	FULLY_COMPOSED_FROM_RECURRENT_ROOTS	ls	1
PROC014	SEM013	CTH+Y	BEREITEN · DIES	BEREITEN · DIES	YES	2	FULLY_COMPOSED_FROM_RECURRENT_ROOTS	checthy|cthy|shcthy	7
PROC015	SEM014	Y+CH+E+OR	DIES · ENTNEHMEN · KURZ · ANSATZ	DIES · ENTNEHMEN · KURZ · ANSATZ	YES	4	FULLY_COMPOSED_FROM_RECURRENT_ROOTS	ycheor	1
PROC016	SEM015	OR	ANSATZ	ANSATZ	YES	1	FULLY_COMPOSED_FROM_RECURRENT_ROOTS	chor|or|shor|sor	7
PROC017	SEM016	CTH+AIIN	BEREITEN · SOLLMASS	BEREITEN · SOLLMASS	YES	2	FULLY_COMPOSED_FROM_RECURRENT_ROOTS	cthaiin	1
PROC018	SEM017	O+CTH+OL+Y	ARBEITSGANG · BEREITEN · WEITER · DIES	ARBEITSGANG · BEREITEN · WEITER · DIES	YES	4	FULLY_COMPOSED_FROM_RECURRENT_ROOTS	qoctholy	1
PROC019	SEM018	Y	DIES	DIES	YES	1	FULLY_COMPOSED_FROM_RECURRENT_ROOTS	chey|chy|dy|shy|sy|y	18
PROC020	SEM019	OT+CH+OR	DANACH · ENTNEHMEN · ANSATZ	DANACH · ENTNEHMEN · ANSATZ	YES	3	FULLY_COMPOSED_FROM_RECURRENT_ROOTS	otchor|qotchor	2
PROC021	SEM020	OT+OL	DANACH · WEITER	DANACH · WEITER	YES	2	FULLY_COMPOSED_FROM_RECURRENT_ROOTS	otol	1
PROC022	SEM021	OL+OR	WEITER · ANSATZ	WEITER · ANSATZ	YES	2	FULLY_COMPOSED_FROM_RECURRENT_ROOTS	cholor|olor	2
PROC023	SEM022	O+Y+K+OR	ARBEITSGANG · DIES · ZUGEBEN · ANSATZ	ARBEITSGANG · DIES · ZUGEBEN · ANSATZ	YES	4	FULLY_COMPOSED_FROM_RECURRENT_ROOTS	oykchor	1
PROC024	SEM023	K+IIN	ZUGEBEN · ARBEITSSTUFE	ZUGEBEN · ARBEITSSTUFE	YES	2	FULLY_COMPOSED_FROM_RECURRENT_ROOTS	kaiiin	1
PROC025	SEM024	CH+O+AIIN	ENTNEHMEN · ARBEITSGANG · SOLLMASS	ENTNEHMEN · ARBEITSGANG · SOLLMASS	YES	3	FULLY_COMPOSED_FROM_RECURRENT_ROOTS	chodaiin	1
