statement_id	page	record	events	owner_noun_de	surface_sequence	component_sequence	rebuilt_atomic_trace_de	recurrent_composed_events	singleton_guess_events	memorized_command_events	working_reading_de	form_owner_boundary_status
H1-S001	f10r	H1	10	die breite gezahnte Bluetenpflanze	dchey cthoor char chty os chair otytchol oky daiin etyd	CH+E+Y | CTH+O+OR | AR | T+Y | OS | CH+AIR | OT+Y+T+CH+OL | OK+Y | AIIN | E+T+Y	ENTNEHMEN · KURZ · DIES | BEREITEN · ARBEITSGANG · ANSATZ | QUELLE | ANWENDEN · DIES | FACH | ENTNEHMEN · WASSER | DANACH · DIES · ANWENDEN · ENTNEHMEN · WEITER | ANSETZEN · DIES | SOLLMASS | KURZ · ANWENDEN · DIES	9	0	1	Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten kurz entnehmen; den Ansatz im Arbeitsgang bereiten und aus der Quelle anwenden; Wasser entnehmen, danach den Posten weiterfuehren, nach Sollmass ansetzen und kurz anwenden.	UNCHANGED
H1-S002	f10r	H1	4	die breite gezahnte Bluetenpflanze	qokchy qotchol chol cthy	OK+Y | OT+CH+OL | OL | CTH+Y	ANSETZEN · DIES | DANACH · ENTNEHMEN · WEITER | WEITER | BEREITEN · DIES	4	0	0	Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten ansetzen, danach entnehmen und weiterfuehren, weiterarbeiten und ihn bereitet halten.	UNCHANGED
H2-S001	f10r	H2	9	die breite gezahnte Bluetenpflanze	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	Y+CH+E+OR | CTH+Y | OR | CTH+AIIN | O+CTH+OL+Y | Y | Y | AIIN | Y	DIES · ENTNEHMEN · KURZ · ANSATZ | BEREITEN · DIES | ANSATZ | BEREITEN · SOLLMASS | ARBEITSGANG · BEREITEN · WEITER · DIES | DIES | DIES | SOLLMASS | DIES	9	0	0	Bei der breiten gezahnten Bluetenpflanze: Vom laufenden Ansatz kurz entnehmen; den Posten bereitet halten, den Ansatz nach Sollmass weiterbearbeiten und als aktuellen Posten verfuegbar lassen.	UNCHANGED
H2-S002	f10r	H2	8	die breite gezahnte Bluetenpflanze	qotchor chor otol chol cholor chol daiin dar	OT+CH+OR | OR | OT+OL | OL | OL+OR | OL | AIIN | AR	DANACH · ENTNEHMEN · ANSATZ | ANSATZ | DANACH · WEITER | WEITER | WEITER · ANSATZ | WEITER | SOLLMASS | QUELLE	8	0	0	Bei der breiten gezahnten Bluetenpflanze: Danach vom Ansatz entnehmen; denselben Ansatz in mehreren Fortsetzungsschritten nach Sollmass aus der Quelle weiterfuehren.	UNCHANGED
H2-S003	f10r	H2	7	die breite gezahnte Bluetenpflanze	oykchor shor chor chy kaiiin dy chodaiin	O+Y+K+OR | OR | OR | Y | K+IIN | Y | CH+O+AIIN	ARBEITSGANG · DIES · ZUGEBEN · ANSATZ | ANSATZ | ANSATZ | DIES | ZUGEBEN · ARBEITSSTUFE | DIES | ENTNEHMEN · ARBEITSGANG · SOLLMASS	7	0	0	Bei der breiten gezahnten Bluetenpflanze: Im Arbeitsgang den aktuellen Ansatz zugeben; denselben Ansatz als laufenden Posten beibehalten, bis zur Arbeitsstufe weiter zugeben und anschliessend im Arbeitsgang nach Sollmass entnehmen.	UNCHANGED
H3-S001	f11r	H3	7	die dicht bluehende Kronenpflanze	tshol schoal cfhy shfydaiin cphy shey tchody	T+SH+OL | SH+O+AL | CFH+Y | SH+Y+AIIN | P+Y | SH+EE+Y | T+CH+O+DY	ANWENDEN · HALTEN · WEITER | HALTEN · ARBEITSGANG · ZIELSTELLE | AUSWRINGEN · DIES | HALTEN · DIES · SOLLMASS | FUELLEN · DIES | HALTEN · LANG · DIES | ANWENDEN · ENTNEHMEN · ARBEITSGANG · SCHLUSS	6	1	0	Bei der dicht bluehenden Kronenpflanze: Den Ansatz an der Zielstelle weiter halten; auswringen, bis zum Sollmass halten, in den Empfaenger fuellen, laenger halten, entnehmen und den Schritt schliessen.	UNCHANGED
H3-S002	f11r	H3	1	die dicht bluehende Kronenpflanze	shoyty	SH+O+Y+T+Y	HALTEN · ARBEITSGANG · DIES · ANWENDEN · DIES	1	0	0	Bei der dicht bluehenden Kronenpflanze: Den laufenden Posten im Arbeitsgang halten und anwenden.	UNCHANGED
H3-S003	f11r	H3	5	die dicht bluehende Kronenpflanze	dchol chy kchy dy daiin	RESUME_CARD | Y | K+Y | Y | AIIN	WIEDERAUFNEHMEN | DIES | ZUGEBEN · DIES | DIES | SOLLMASS	4	0	1	Bei der dicht bluehenden Kronenpflanze: Den vorigen Vorgang wiederaufnehmen, den aktuellen Posten beibehalten, ihm zugeben und ihn bis zum Sollmass weiterfuehren.	UNCHANGED
H3-S004	f11r	H3	4	die dicht bluehende Kronenpflanze	qotchy okchol cthy dy	OT+Y | OK+OL | CTH+Y | Y	DANACH · DIES | ANSETZEN · WEITER | BEREITEN · DIES | DIES	4	0	0	Bei der dicht bluehenden Kronenpflanze: Danach den laufenden Posten; dann weiter ansetzen; dann ihn bereitet halten; dann ihn beibehalten.	UNCHANGED
H4-S001	f55v	H4	5	die breitblaettrige rispige Pflanze	qokaiin chaiin ykain ykan ody	OK+AIIN | AIIN | Y+K+AIN | Y+K+AN | O+DY	ANSETZEN · SOLLMASS | SOLLMASS | DIES · ZUGEBEN · PORTION | DIES · ZUGEBEN · NACHGABE | ARBEITSGANG · SCHLUSS	4	1	0	Bei der breitblaettrigen rispigen Pflanze: Nach Mass ansetzen; dem laufenden Posten eine Portion und danach eine Nachgabe zugeben; den Arbeitsgang schliessen.	UNCHANGED
