paragraph	grammar	mention	kind	form	axis	value	scope	patient	patient_form	rule	debts	row_status
f17r.4-f17r.6	B	f17r.4:2	STANDALONE	shol	moisture	wet	PHYSICAL	f17r.4:3	qokol	LOCAL_RIGHT		recorded
f17r.4-f17r.6	J	f17r.4:2	STANDALONE	shol	moisture	wet	PHYSICAL	f17r.4:3	qokol	LOCAL_RIGHT		recorded
f17r.4-f17r.6	M	f17r.4:2	STANDALONE	shol	moisture	wet	PHYSICAL	f17r.4:3	qokol	LOCAL_RIGHT		recorded
f21r.8-f21r.12	B	f21r.8:8	STANDALONE	oty	thermal	cold	PHYSICAL	f21r.8:4	sheol	LOCAL_LEFT	UNREAD_BETWEEN:f21r.8:5;UNREAD_BETWEEN:f21r.8:6;UNREAD_BETWEEN:f21r.8:7	recorded
f21r.8-f21r.12	B	f21r.10:3	STANDALONE	chy	thermal	hot	PHYSICAL	f21r.10:8	ctheey	LOCAL_RIGHT	UNREAD_BETWEEN:f21r.10:4;UNREAD_BETWEEN:f21r.10:5;UNREAD_BETWEEN:f21r.10:6;UNREAD_BETWEEN:f21r.10:7	recorded
f21r.8-f21r.12	B	f21r.11:1	STANDALONE	shol	moisture	wet	PHYSICAL			MISSING	MISSING_MATERIAL_BINDING	recorded
f21r.8-f21r.12	B	f21r.11:3	STANDALONE	shol	moisture	wet	PHYSICAL	f21r.11:4	tchol	LOCAL_RIGHT		recorded
f21r.8-f21r.12	J	f21r.8:8	STANDALONE	oty	thermal	cold	PHYSICAL	f21r.8:4	sheol	LOCAL_LEFT	UNREAD_BETWEEN:f21r.8:5;UNREAD_BETWEEN:f21r.8:6;UNREAD_BETWEEN:f21r.8:7	recorded
f21r.8-f21r.12	J	f21r.10:3	STANDALONE	chy	thermal	hot	PHYSICAL	f21r.10:8	ctheey	LOCAL_RIGHT	UNREAD_BETWEEN:f21r.10:4;UNREAD_BETWEEN:f21r.10:5;UNREAD_BETWEEN:f21r.10:6;UNREAD_BETWEEN:f21r.10:7	recorded
f21r.8-f21r.12	J	f21r.11:1	STANDALONE	shol	moisture	wet	PHYSICAL			MISSING	MISSING_MATERIAL_BINDING	recorded
f21r.8-f21r.12	J	f21r.11:3	STANDALONE	shol	moisture	wet	PHYSICAL	f21r.11:4	tchol	LOCAL_RIGHT		recorded
f21r.8-f21r.12	M	f21r.8:8	STANDALONE	oty	thermal	cold	PHYSICAL	f21r.8:4	sheol	LOCAL_LEFT	UNREAD_BETWEEN:f21r.8:5;UNREAD_BETWEEN:f21r.8:6;UNREAD_BETWEEN:f21r.8:7	recorded
f21r.8-f21r.12	M	f21r.10:3	STANDALONE	chy	thermal	hot	PHYSICAL	f21r.10:8	ctheey	LOCAL_RIGHT	UNREAD_BETWEEN:f21r.10:4;UNREAD_BETWEEN:f21r.10:5;UNREAD_BETWEEN:f21r.10:6;UNREAD_BETWEEN:f21r.10:7	recorded
f21r.8-f21r.12	M	f21r.11:1	STANDALONE	shol	moisture	wet	PHYSICAL			MISSING	MISSING_MATERIAL_BINDING	recorded
f21r.8-f21r.12	M	f21r.11:3	STANDALONE	shol	moisture	wet	PHYSICAL	f21r.11:4	tchol	LOCAL_RIGHT		recorded
f32v.7-f32v.11	B	f32v.11:3	STANDALONE	chy	thermal	hot	PHYSICAL	f32v.11:2	sho	LOCAL_LEFT		recorded
f32v.7-f32v.11	J	f32v.11:3	STANDALONE	chy	thermal	hot	PHYSICAL	f32v.11:2	sho	LOCAL_LEFT		recorded
f32v.7-f32v.11	M	f32v.11:3	STANDALONE	chy	thermal	hot	PHYSICAL	f32v.11:2	sho	LOCAL_LEFT		recorded
f29v.1-f29v.4	B	f29v.1:8	STANDALONE	shy	moisture	wet	PHYSICAL	f29v.1:7	cthy	LOCAL_LEFT		recorded
f29v.1-f29v.4	B	f29v.1:10	STANDALONE	shy	moisture	wet	PHYSICAL	f29v.1:7	cthy	LOCAL_LEFT		recorded
f29v.1-f29v.4	J	f29v.1:8	STANDALONE	shy	moisture	wet	PHYSICAL	f29v.1:7	cthy	LOCAL_LEFT		recorded
f29v.1-f29v.4	J	f29v.1:10	STANDALONE	shy	moisture	wet	PHYSICAL	f29v.1:7	cthy	LOCAL_LEFT		recorded
f29v.1-f29v.4	M	f29v.1:8	STANDALONE	shy	moisture	wet	PHYSICAL	f29v.1:7	cthy	LOCAL_LEFT		recorded
f29v.1-f29v.4	M	f29v.1:10	STANDALONE	shy	moisture	wet	PHYSICAL	f29v.1:7	cthy	LOCAL_LEFT		recorded
