paragraph	grammar	model	timing	operation	patient	patient_form	object	before	after	status	debts	row_status
f21r.8-f21r.12	B	D	O	f21r.11:2	f21r.11:4	tchol	f21r.11:4	"{""PHYSICAL:moisture"":""dry""}"	"{""PHYSICAL:moisture"":""dry""}"	ASSUMED_EFFECT_APPLIED		recorded
f21r.8-f21r.12	B	D	O	f21r.12:6	f21r.12:5	chor	f21r.12:2	"{""PHYSICAL:moisture"":""wet"",""PHYSICAL:thermal"":""warm""}"	"{""PHYSICAL:moisture"":""dry"",""PHYSICAL:thermal"":""warm""}"	ASSUMED_EFFECT_APPLIED		recorded
f21r.8-f21r.12	B	D	I	f21r.11:2	f21r.11:4	tchol	f21r.11:4	"{""PHYSICAL:moisture"":""dry""}"	"{""PHYSICAL:moisture"":""dry""}"	ASSUMED_EFFECT_APPLIED		recorded
f21r.8-f21r.12	B	D	I	f21r.12:6	f21r.12:5	chor	f21r.12:2	"{""PHYSICAL:moisture"":""wet"",""PHYSICAL:thermal"":""warm""}"	"{""PHYSICAL:moisture"":""dry"",""PHYSICAL:thermal"":""warm""}"	ASSUMED_EFFECT_APPLIED		recorded
f21r.8-f21r.12	B	H	O	f21r.11:2	f21r.11:4	tchol	f21r.11:4	"{""PHYSICAL:moisture"":""dry""}"	"{""PHYSICAL:moisture"":""dry"",""PHYSICAL:thermal"":""hot""}"	ASSUMED_EFFECT_APPLIED		recorded
f21r.8-f21r.12	B	H	O	f21r.12:6	f21r.12:5	chor	f21r.12:2	"{""PHYSICAL:moisture"":""wet"",""PHYSICAL:thermal"":""warm""}"	"{""PHYSICAL:moisture"":""wet"",""PHYSICAL:thermal"":""hot""}"	ASSUMED_EFFECT_APPLIED		recorded
f21r.8-f21r.12	B	H	I	f21r.11:2	f21r.11:4	tchol	f21r.11:4	"{""PHYSICAL:moisture"":""dry""}"	"{""PHYSICAL:moisture"":""dry"",""PHYSICAL:thermal"":""hot""}"	ASSUMED_EFFECT_APPLIED		recorded
f21r.8-f21r.12	B	H	I	f21r.12:6	f21r.12:5	chor	f21r.12:2	"{""PHYSICAL:moisture"":""wet"",""PHYSICAL:thermal"":""warm""}"	"{""PHYSICAL:moisture"":""wet"",""PHYSICAL:thermal"":""hot""}"	ASSUMED_EFFECT_APPLIED		recorded
f21r.8-f21r.12	J	D	O	f21r.11:2	f21r.11:4	tchol	f21r.11:4	"{""PHYSICAL:moisture"":""dry""}"	"{""PHYSICAL:moisture"":""dry""}"	ASSUMED_EFFECT_APPLIED		recorded
f21r.8-f21r.12	J	D	O	f21r.12:6	f21r.12:5	chor	f21r.12:2	"{""PHYSICAL:moisture"":""wet"",""PHYSICAL:thermal"":""warm""}"	"{""PHYSICAL:moisture"":""dry"",""PHYSICAL:thermal"":""warm""}"	ASSUMED_EFFECT_APPLIED		recorded
f21r.8-f21r.12	J	D	I	f21r.11:2	f21r.11:4	tchol	f21r.11:4	"{""PHYSICAL:moisture"":""dry""}"	"{""PHYSICAL:moisture"":""dry""}"	ASSUMED_EFFECT_APPLIED		recorded
f21r.8-f21r.12	J	D	I	f21r.12:6	f21r.12:5	chor	f21r.12:2	"{""PHYSICAL:moisture"":""wet"",""PHYSICAL:thermal"":""warm""}"	"{""PHYSICAL:moisture"":""dry"",""PHYSICAL:thermal"":""warm""}"	ASSUMED_EFFECT_APPLIED		recorded
