paragraph	grammar	mention	form	patient	input_eligible	earlier_actions	row_status
f17r.4-f17r.6	B	f17r.4:2	shol	f17r.4:3	False		recorded
f17r.4-f17r.6	J	f17r.4:2	shol	f17r.4:3	False		recorded
f17r.4-f17r.6	M	f17r.4:2	shol	f17r.4:3	False		recorded
f21r.8-f21r.12	B	f21r.8:8	oty	f21r.8:4	False		recorded
f21r.8-f21r.12	B	f21r.10:3	chy	f21r.10:8	False		recorded
f21r.8-f21r.12	B	f21r.11:1	shol		False		recorded
f21r.8-f21r.12	B	f21r.11:3	shol	f21r.11:4	False	f21r.11:2	recorded
f21r.8-f21r.12	J	f21r.8:8	oty	f21r.8:4	False		recorded
f21r.8-f21r.12	J	f21r.10:3	chy	f21r.10:8	False		recorded
f21r.8-f21r.12	J	f21r.11:1	shol		False		recorded
f21r.8-f21r.12	J	f21r.11:3	shol	f21r.11:4	False	f21r.11:2	recorded
f21r.8-f21r.12	M	f21r.8:8	oty	f21r.8:4	False		recorded
f21r.8-f21r.12	M	f21r.10:3	chy	f21r.10:8	False		recorded
f21r.8-f21r.12	M	f21r.11:1	shol		False		recorded
f21r.8-f21r.12	M	f21r.11:3	shol	f21r.11:4	False	f21r.11:2	recorded
f32v.7-f32v.11	B	f32v.11:3	chy	f32v.11:2	False		recorded
f32v.7-f32v.11	J	f32v.11:3	chy	f32v.11:2	False		recorded
f32v.7-f32v.11	M	f32v.11:3	chy	f32v.11:2	False		recorded
f29v.1-f29v.4	B	f29v.1:8	shy	f29v.1:7	False		recorded
f29v.1-f29v.4	B	f29v.1:10	shy	f29v.1:7	False		recorded
f29v.1-f29v.4	J	f29v.1:8	shy	f29v.1:7	False		recorded
f29v.1-f29v.4	J	f29v.1:10	shy	f29v.1:7	False		recorded
f29v.1-f29v.4	M	f29v.1:8	shy	f29v.1:7	False		recorded
f29v.1-f29v.4	M	f29v.1:10	shy	f29v.1:7	False		recorded
