paragraph	locus	index	raw	role	D	H	status	row_status
f17r.4-f17r.6	f17r.4	1	tcho	OPEN	[ungelesen: tcho]	[ungelesen: tcho]	UNREAD	recorded
f17r.4-f17r.6	f17r.4	2	shol	STATE	feucht	feucht	ASSUMED	recorded
f17r.4-f17r.6	f17r.4	3	qokol	MATERIAL	erwärmter Grundansatz	erwärmter Grundansatz	ASSUMED	recorded
f17r.4-f17r.6	f17r.4	4	qor	OPEN	[ungelesen: qor]	[ungelesen: qor]	UNREAD	recorded
f17r.4-f17r.6	f17r.4	5	olaiin	OPEN	[ungelesen: olaiin]	[ungelesen: olaiin]	UNREAD	recorded
f17r.4-f17r.6	f17r.4	6	opydg	OPEN	[ungelesen: opydg]	[ungelesen: opydg]	UNREAD	recorded
f17r.4-f17r.6	f17r.4	7	som	OPEN	[ungelesen: som]	[ungelesen: som]	UNREAD	recorded
f17r.4-f17r.6	f17r.4	8	ypchy	OPEN	[ungelesen: ypchy]	[ungelesen: ypchy]	UNREAD	recorded
f17r.4-f17r.6	f17r.4	9	ypaim	OPEN	[ungelesen: ypaim]	[ungelesen: ypaim]	UNREAD	recorded
f17r.4-f17r.6	f17r.5	1	ychekchy	OPEN	[ungelesen: ychekchy]	[ungelesen: ychekchy]	UNREAD	recorded
f17r.4-f17r.6	f17r.5	2	cthy	MATERIAL	Kraut	Kraut	ASSUMED	recorded
f17r.4-f17r.6	f17r.5	3	chor	MATERIAL	Blüten	Blüten	ASSUMED	recorded
f17r.4-f17r.6	f17r.5	4	shor	MATERIAL	Samen	Samen	ASSUMED	recorded
f17r.4-f17r.6	f17r.5	5	cphor	OPEN	[ungelesen: cphor]	[ungelesen: cphor]	UNREAD	recorded
f17r.4-f17r.6	f17r.5	6	cphaldy	OPEN	[ungelesen: cphaldy]	[ungelesen: cphaldy]	UNREAD	recorded
f17r.4-f17r.6	f17r.5	7	dair	AMOUNT	Teilmenge R	Teilmenge R	ASSUMED	recorded
f17r.4-f17r.6	f17r.5	8	cthey	OPEN	[ungelesen: cthey]	[ungelesen: cthey]	UNREAD	recorded
f17r.4-f17r.6	f17r.5	9	qody	OPEN	[ungelesen: qody]	[ungelesen: qody]	UNREAD	recorded
f17r.4-f17r.6	f17r.6	1	tsho	OPEN	[ungelesen: tsho]	[ungelesen: tsho]	UNREAD	recorded
f17r.4-f17r.6	f17r.6	2	qof	OPEN	[ungelesen: qof]	[ungelesen: qof]	UNREAD	recorded
f17r.4-f17r.6	f17r.6	3	cho	REGION	Inneres	Inneres	ASSUMED	recorded
f17r.4-f17r.6	f17r.6	4	qokcheor	OPEN	[ungelesen: qokcheor]	[ungelesen: qokcheor]	UNREAD	recorded
f17r.4-f17r.6	f17r.6	5	cheteg	OPEN	[ungelesen: cheteg]	[ungelesen: cheteg]	UNREAD	recorded
f21r.8-f21r.12	f21r.8	1	fcho	OPEN	[ungelesen: fcho]	[ungelesen: fcho]	UNREAD	recorded
