source_unit	latent_or_plaintext_unit	mapping_probability	context_restriction	occurrences	counterexamples
daiin	a	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	COMPLETE_GROUP	850	unmapped groups use the explicit residual channel; restart mapping is unstable
ol	k	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	COMPLETE_GROUP	535	unmapped groups use the explicit residual channel; restart mapping is unstable
chedy	w	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	COMPLETE_GROUP	496	unmapped groups use the explicit residual channel; restart mapping is unstable
aiin	d	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	COMPLETE_GROUP	461	unmapped groups use the explicit residual channel; restart mapping is unstable
shedy	q	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	COMPLETE_GROUP	424	unmapped groups use the explicit residual channel; restart mapping is unstable
chol	s	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	COMPLETE_GROUP	384	unmapped groups use the explicit residual channel; restart mapping is unstable
ar	t	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	COMPLETE_GROUP	373	unmapped groups use the explicit residual channel; restart mapping is unstable
or	o	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	COMPLETE_GROUP	370	unmapped groups use the explicit residual channel; restart mapping is unstable
chey	 	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	COMPLETE_GROUP	338	unmapped groups use the explicit residual channel; restart mapping is unstable
dar	l	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	COMPLETE_GROUP	325	unmapped groups use the explicit residual channel; restart mapping is unstable
qokeedy	j	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	COMPLETE_GROUP	313	unmapped groups use the explicit residual channel; restart mapping is unstable
qokeey	g	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	COMPLETE_GROUP	310	unmapped groups use the explicit residual channel; restart mapping is unstable
shey	j	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	COMPLETE_GROUP	275	unmapped groups use the explicit residual channel; restart mapping is unstable
qokaiin	f	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	COMPLETE_GROUP	273	unmapped groups use the explicit residual channel; restart mapping is unstable
