example_no	lesson_branch	source_instruction_de	lookup_atom_sequence	written_sequence	readback_de	boundary_reminder_de	result
1	OBSERVED_FUSED	ansetzen am aktuellen Posten	OK+Y	oky	ansetzen am aktuellen Posten	OK and AIN contribute; owner supplies what the portion is	SAME_WORKSHOP_READING
2	OBSERVED_FUSED	ansetzen mit Sollwert	OK+AIIN	okaiin	ansetzen mit Sollwert	AIR remains Lauf/Bahn; basin supplies liquid	SAME_WORKSHOP_READING
3	OBSERVED_FUSED	ansetzen an einer Portion	OK+AIN	okain	ansetzen an einer Portion	same AIR value; celestial table supplies sky object	SAME_WORKSHOP_READING
4	ANALYTIC_OBSERVED	fortsetzen mit Sollwert	OL+AIIN	ol aiin	fortsetzen mit Sollwert	CFH is learned before Y is added	SAME_WORKSHOP_READING
5	ANALYTIC_OBSERVED	fortsetzen bis zur Stufe	OL+IIN	ol oiin	fortsetzen bis zur Stufe	LDDY remains a learned body	SAME_WORKSHOP_READING
6	ANALYTIC_OBSERVED	fortsetzen am Ziel	OL+AL	ol al	fortsetzen am Ziel	the noun comes from ACTIVE, not from Y	SAME_WORKSHOP_READING
7	ANALYTIC_MASTER	fortsetzen kurz und dann schließen	OL+E+CLOSE	ol [M03]	fortsetzen kurz und dann schließen	PREVIOUS is a carried slot, not a hidden OL gloss	SAME_WORKSHOP_READING
8	ANALYTIC_MASTER	fortsetzen länger und dann schließen	OL+EE+CLOSE	ol [M04]	fortsetzen länger und dann schließen	three clauses; never one word	SAME_WORKSHOP_READING
9	ANALYTIC_MASTER	umsetzen kurz und dann schließen	CHD+E+CLOSE	chda [M03]	umsetzen kurz und dann schließen	AL says target; owner supplies the receiving vessel	SAME_WORKSHOP_READING
10	CONTROLLED_PARAPHRASE	ansetzen und den Schritt schließen	OK+CLOSE	qokedy	ansetzen, kurz ausführen und schließen	no direction or link to f68	NEAR_WITH_DECLARED_DRIFT
11	CONTROLLED_PARAPHRASE	fortsetzen kurz am aktuellen Posten	OL+E+Y	ol okey	fortsetzen und den aktuellen Posten kurz neu ansetzen	M02 can stand for CKHE only inside the simulation	NEAR_WITH_DECLARED_DRIFT
12	CONTROLLED_PARAPHRASE	zum folgenden Posten gehen und den Schritt schließen	OT+CLOSE	otchey qokedy	zum folgenden Posten gehen, kurz ansetzen und schließen	extra brief grade remains spoken	NEAR_WITH_DECLARED_DRIFT
