teaching_order	rule_id	desk_phase	cue	apprentice_rule_de
1	A01	VORBEREITEN	OWNER	Zuerst Bild, Becken, Tuch, Rad oder Werkstück als Besitzer setzen.
2	A02	VORBEREITEN	ACTIVE	Den gerade bearbeiteten Posten setzen und bis zum echten Wechsel behalten.
3	A03	VORBEREITEN	TARGET	Ziel nur bei AL oder sichtbarer Zielstation setzen; bei neuem Gang löschen.
4	A04	VORBEREITEN	PREVIOUS	Beim Postenwechsel genau den unmittelbar vorigen Posten merken.
5	B01	LESEN	LONGEST	Zuerst den längsten gelernten Fachkörper oder die ganze Karte lesen.
6	B02	LESEN	ORDER	Dann Reihenfolge lesen: OT folgend, OL fortsetzen, OK ansetzen.
7	B03	LESEN	ACTION	Danach Handlung: CHD umsetzen, CKH durchführen, CKHE trennen, CHK wärmen, SHED absetzen, SOLK sammeln.
8	B04	LESEN	SOURCE	AR nennt die Quelle; AIR den Lauf oder die Bahn.
9	B05	LESEN	QUANTITY	AIIN ist Sollwert, AIN Portion, IIN Stufe.
10	B06	LESEN	TARGET	AL nennt das Ziel; der Besitzer sagt, welches konkrete Ziel.
11	B07	LESEN	GRADE	E kurz, EE länger, EEE vollständig – nur in der lizenzierten Familie.
12	B08	LESEN	REFERENT	Y heißt dieser Posten; ACTIVE sagt, welcher.
13	B09	LESEN	CLOSE	Nur eine gelernte Schlusskarte schließt; sichtbares dy allein tut es nicht.
14	C01	SATZ	LINE	Zeilenende beendet keinen Satz und löscht kein Merkfach.
15	C02	SATZ	OWNER_SWITCH	Ein sichtbarer Szenenwechsel darf OWNER mitten im Satz umschalten.
16	C03	SATZ	MACRO	Wiederkehrende Zwei-/Dreiklauselzüge als Arbeitsmakro merken, nie als Wort.
17	C04	SATZ	OWNER_NOUN	Konkrete Pflanze, Flüssigkeit, Schale, Tuch oder Sternstelle kommt vom Besitzer.
18	D01	SCHREIBEN	WHOLE	Wenn eine ganze registrierte Karte existiert, genau diese abschreiben.
19	D02	SCHREIBEN	ANALYTIC	Sonst Basis und Endung als zwei Karten schreiben, wenn beide existieren.
20	D03	SCHREIBEN	PARAPHRASE	Sonst die gelernte Umschreibung benutzen und ihre Zusatznuance mitsprechen.
21	D04	SCHREIBEN	MASTER	Sonst beim Meister nachfragen; keine sichtbare Form erfinden.
22	E01	ASTRO	LOCAL	Jedes Rad, Paneel und jeder Sternplatz bleibt in seinem lokalen Namensraum.
23	E02	ASTRO	ORIENTATION	Ohne sichtbaren Zeiger weder Start noch Richtung noch Rotation einsetzen.
24	E03	ASTRO	NO_JOIN	f68 und f69 nicht koppeln; lokale Werte nur aus dem jeweiligen Exemplar ergänzen.
