action_case_id	page	locus	action_clause_id	action_clause_start	action_clause_end	action_clause_surfaces	action_ordinal	action_surface	action_gloss_de	right_clause_id	right_clause_type	right_clause_start	right_clause_end	right_first_ordinal	right_first_surface	right_first_gloss_de	right_dispatch	right_confidence	intervening_semantic_items	candidate_id	candidate_decision	full_clause_then_first_item_exact	word_delta	status
A001	f104v	f104v.2	1	1	1	ychedaiin	1	ychedaiin	hiervon drei Dosen bis zur Mittelstufe getrocknete Droge abmessen	2	ACTION_CLAUSE	2	2	2	qoteed	Auszug vollständig abkühlen und abziehen	NOT_IN_GDT687_TARGET_DECK	NONE	0	NONE	OUTSIDE_FINISHED_RESULT_GATE	1	0	PASS_V76_83_ACTION_RIGHT_CONTEXTS__60_NOMINAL_15_ACTION_8_EOS__7_FINISHED_STATE_FIRSTS__3_LOCAL_READS_4_OPEN__C013_C014_ADDED__ZERO_WORD_DELTA
A002	f104v	f104v.2	2	2	2	qoteed	2	qoteed	Auszug vollständig abkühlen und abziehen	3	NOMINAL_BLOCK	3	5	3	chockhy	trockene Arzneizubereitung, Gradanfang	NOT_IN_GDT687_TARGET_DECK	NONE	0	NONE	OUTSIDE_FINISHED_RESULT_GATE	1	0	PASS_V76_83_ACTION_RIGHT_CONTEXTS__60_NOMINAL_15_ACTION_8_EOS__7_FINISHED_STATE_FIRSTS__3_LOCAL_READS_4_OPEN__C013_C014_ADDED__ZERO_WORD_DELTA
A003	f104v	f104v.2	4	6	6	qokamdy	6	qokamdy	ein Maß nehmen und erhitzen	5	NOMINAL_BLOCK	7	10	7	otarar	Unteranteil I des Anteils I des kalten Ansatzes	NOT_IN_GDT687_TARGET_DECK	NONE	0	NONE	OUTSIDE_FINISHED_RESULT_GATE	1	0	PASS_V76_83_ACTION_RIGHT_CONTEXTS__60_NOMINAL_15_ACTION_8_EOS__7_FINISHED_STATE_FIRSTS__3_LOCAL_READS_4_OPEN__C013_C014_ADDED__ZERO_WORD_DELTA
A004	f105r	f105r.2	2	6	6	qodor	6	qodor	eine Portion des Ansatzes abmessen	3	NOMINAL_BLOCK	7	10	7	ches	trockenes Drogenmaterial, Mittelstufe	NOT_IN_GDT687_TARGET_DECK	NONE	0	NONE	OUTSIDE_FINISHED_RESULT_GATE	1	0	PASS_V76_83_ACTION_RIGHT_CONTEXTS__60_NOMINAL_15_ACTION_8_EOS__7_FINISHED_STATE_FIRSTS__3_LOCAL_READS_4_OPEN__C013_C014_ADDED__ZERO_WORD_DELTA
A005	f105r	f105r.2	4	11	11	odar	11	odar	Anteil I des Ansatzes abmessen	5	NOMINAL_BLOCK	12	13	12	cheody	getrocknete Masse	NOMINAL_FINISHED_RESULT_STATE	HIGH	0	F001	HOLD_OPEN	1	0	PASS_V76_83_ACTION_RIGHT_CONTEXTS__60_NOMINAL_15_ACTION_8_EOS__7_FINISHED_STATE_FIRSTS__3_LOCAL_READS_4_OPEN__C013_C014_ADDED__ZERO_WORD_DELTA
A006	f105r	f105r.31	2	5	5	aiijy	5	aiijy	in drei Bündel abfüllen und schließen	3	NOMINAL_BLOCK	6	13	6	cpheesy	vollständig bereitetes und abgeschlossenes Arzneikompositum	NOT_IN_GDT687_TARGET_DECK	NONE	0	NONE	OUTSIDE_FINISHED_RESULT_GATE	1	0	PASS_V76_83_ACTION_RIGHT_CONTEXTS__60_NOMINAL_15_ACTION_8_EOS__7_FINISHED_STATE_FIRSTS__3_LOCAL_READS_4_OPEN__C013_C014_ADDED__ZERO_WORD_DELTA
A007	f105v	f105v.1	2	4	4	ykaiin	4	ykaiin	erhitze hiervon auf Stufe III	3	NOMINAL_BLOCK	5	7	5	olpchedy	fertiges Holzextraktpulver	NOMINAL_FINISHED_RESULT_STATE	HIGH	0	F002	ADMIT_INHERITED	1	0	PASS_V76_83_ACTION_RIGHT_CONTEXTS__60_NOMINAL_15_ACTION_8_EOS__7_FINISHED_STATE_FIRSTS__3_LOCAL_READS_4_OPEN__C013_C014_ADDED__ZERO_WORD_DELTA
A008	f105v	f105v.1	4	8	8	ypcheddy	8	ypcheddy	hieraus Pulver bis zur Mittelstufe trocknen	5	NOMINAL_BLOCK	9	9	9	sairy	Samenanteil II, abgeschlossen	NOT_IN_GDT687_TARGET_DECK	NONE	0	NONE	OUTSIDE_FINISHED_RESULT_GATE	1	0	PASS_V76_83_ACTION_RIGHT_CONTEXTS__60_NOMINAL_15_ACTION_8_EOS__7_FINISHED_STATE_FIRSTS__3_LOCAL_READS_4_OPEN__C013_C014_ADDED__ZERO_WORD_DELTA
A009	f105v	f105v.14	2	3	3	qokaiir	3	qokaiir	nimm den heißen Drogenanteil III	3	NOMINAL_BLOCK	4	7	4	olpchedy	fertiges Holzextraktpulver	NOMINAL_FINISHED_RESULT_STATE	HIGH	0	F003	HOLD_OPEN	1	0	PASS_V76_83_ACTION_RIGHT_CONTEXTS__60_NOMINAL_15_ACTION_8_EOS__7_FINISHED_STATE_FIRSTS__3_LOCAL_READS_4_OPEN__C013_C014_ADDED__ZERO_WORD_DELTA
A010	f105v	f105v.14	4	8	8	odar	8	odar	Anteil I des Ansatzes abmessen	5	NOMINAL_BLOCK	9	9	9	kard	erhitzter Drogenanteil I, abgezogen	NOT_IN_GDT687_TARGET_DECK	NONE	0	NONE	OUTSIDE_FINISHED_RESULT_GATE	1	0	PASS_V76_83_ACTION_RIGHT_CONTEXTS__60_NOMINAL_15_ACTION_8_EOS__7_FINISHED_STATE_FIRSTS__3_LOCAL_READS_4_OPEN__C013_C014_ADDED__ZERO_WORD_DELTA
A011	f105v	f105v.14	6	10	10	chtchy	10	chtchy	Droge kalt trocknen und leicht nachtrocknen	NONE	END_OF_LINE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0	NONE	OUTSIDE_FINISHED_RESULT_GATE	1	0	PASS_V76_83_ACTION_RIGHT_CONTEXTS__60_NOMINAL_15_ACTION_8_EOS__7_FINISHED_STATE_FIRSTS__3_LOCAL_READS_4_OPEN__C013_C014_ADDED__ZERO_WORD_DELTA
A012	f106r	f106r.23	2	2	2	qckhedy	2	qckhedy	das Arzneikompositum bis zur Mittelstufe aufbereiten	3	NOMINAL_BLOCK	3	10	3	dair	abgemessener Anteil II	NOT_IN_GDT687_TARGET_DECK	NONE	0	NONE	OUTSIDE_FINISHED_RESULT_GATE	1	0	PASS_V76_83_ACTION_RIGHT_CONTEXTS__60_NOMINAL_15_ACTION_8_EOS__7_FINISHED_STATE_FIRSTS__3_LOCAL_READS_4_OPEN__C013_C014_ADDED__ZERO_WORD_DELTA
A013	f107r	f107r.2	1	1	1	dchey	1	dchey	Eine abgemessene Portion bis zur Mittelstufe trocknen	2	ACTION_CLAUSE	2	2	2	qoteos	eine bis zur Mittelstufe gekühlte Ansatzcharge nehmen	NOT_IN_GDT687_TARGET_DECK	NONE	0	NONE	OUTSIDE_FINISHED_RESULT_GATE	1	0	PASS_V76_83_ACTION_RIGHT_CONTEXTS__60_NOMINAL_15_ACTION_8_EOS__7_FINISHED_STATE_FIRSTS__3_LOCAL_READS_4_OPEN__C013_C014_ADDED__ZERO_WORD_DELTA
A014	f107r	f107r.2	2	2	2	qoteos	2	qoteos	eine bis zur Mittelstufe gekühlte Ansatzcharge nehmen	3	NOMINAL_BLOCK	3	5	3	aiin	Menge III	NOT_IN_GDT687_TARGET_DECK	NONE	0	NONE	OUTSIDE_FINISHED_RESULT_GATE	1	0	PASS_V76_83_ACTION_RIGHT_CONTEXTS__60_NOMINAL_15_ACTION_8_EOS__7_FINISHED_STATE_FIRSTS__3_LOCAL_READS_4_OPEN__C013_C014_ADDED__ZERO_WORD_DELTA
A015	f107r	f107r.2	4	6	6	qor	6	qor	nimm eine Drogenportion	5	NOMINAL_BLOCK	7	11	7	aiin	Menge III	NOT_IN_GDT687_TARGET_DECK	NONE	0	NONE	OUTSIDE_FINISHED_RESULT_GATE	1	0	PASS_V76_83_ACTION_RIGHT_CONTEXTS__60_NOMINAL_15_ACTION_8_EOS__7_FINISHED_STATE_FIRSTS__3_LOCAL_READS_4_OPEN__C013_C014_ADDED__ZERO_WORD_DELTA
