page	locus	token_ordinal	surface	token_gloss_de	component_id	render_position	render_size	component_role	edge_ids	source_edge_ids	reference_edge_ids	target_edge_ids	membership_class	is_edge_node	is_hull_only	is_render_only_structural	is_action_target	is_shared_edge_node	action_output_role	component_microrecord_de	word_delta	v76_change	status
f104v	f104v.2	4	otaiin	kalter Ansatz, Grad III	M001	1	3	PREPARATION_HEAD:C009	C009	C009	NONE	NONE	EDGE_NODE	1	0	0	0	0	NONE	Kalter Ansatz, Grad III: davon drei Maße. Eines der drei Maße nehmen und erhitzen.	0	NONE	PASS_V76_83_ACTION_RIGHT_CONTEXTS__60_NOMINAL_15_ACTION_8_EOS__7_FINISHED_STATE_FIRSTS__3_LOCAL_READS_4_OPEN__C013_C014_ADDED__ZERO_WORD_DELTA
f104v	f104v.2	5	ydaiin	davon drei Maße	M001	2	3	DONOR_MEASURE_POOL:C009|REFERENCE:C009	C009	C009	C009	NONE	EDGE_NODE	1	0	0	0	0	NONE	Kalter Ansatz, Grad III: davon drei Maße. Eines der drei Maße nehmen und erhitzen.	0	NONE	PASS_V76_83_ACTION_RIGHT_CONTEXTS__60_NOMINAL_15_ACTION_8_EOS__7_FINISHED_STATE_FIRSTS__3_LOCAL_READS_4_OPEN__C013_C014_ADDED__ZERO_WORD_DELTA
f104v	f104v.2	6	qokamdy	ein Maß nehmen und erhitzen	M001	3	3	TARGET_ACTION:C009	C009	NONE	NONE	C009	EDGE_NODE	1	0	0	1	0	NONE	Kalter Ansatz, Grad III: davon drei Maße. Eines der drei Maße nehmen und erhitzen.	0	NONE	PASS_V76_83_ACTION_RIGHT_CONTEXTS__60_NOMINAL_15_ACTION_8_EOS__7_FINISHED_STATE_FIRSTS__3_LOCAL_READS_4_OPEN__C013_C014_ADDED__ZERO_WORD_DELTA
f105v	f105v.1	3	olpcheey	trocken gebundenes Holzpulver, Form II	M002	1	3	DONOR_MATERIAL:C001	C001	C001	NONE	NONE	EDGE_NODE	1	0	0	0	0	NONE	Das trocken gebundene Holzpulver, Form II, auf Stufe III erhitzen. Ergebnis: fertiges Holzextraktpulver.	0	NONE	PASS_V76_83_ACTION_RIGHT_CONTEXTS__60_NOMINAL_15_ACTION_8_EOS__7_FINISHED_STATE_FIRSTS__3_LOCAL_READS_4_OPEN__C013_C014_ADDED__ZERO_WORD_DELTA
f105v	f105v.1	4	ykaiin	erhitze hiervon auf Stufe III	M002	2	3	REFERENCE:C001|TARGET_ACTION:C001|DONOR_ACTION_OUTPUT:C012	C001|C012	C012	C001	C001	EDGE_NODE	1	0	0	1	1	WRITTEN_RESULT_SOURCE_ACTION:C012	Das trocken gebundene Holzpulver, Form II, auf Stufe III erhitzen. Ergebnis: fertiges Holzextraktpulver.	0	NONE	PASS_V76_83_ACTION_RIGHT_CONTEXTS__60_NOMINAL_15_ACTION_8_EOS__7_FINISHED_STATE_FIRSTS__3_LOCAL_READS_4_OPEN__C013_C014_ADDED__ZERO_WORD_DELTA
f105v	f105v.1	5	olpchedy	fertiges Holzextraktpulver	M002	3	3	WRITTEN_RESULT_STATE_LABEL:C012	C012	NONE	NONE	C012	EDGE_NODE	1	0	0	0	0	WRITTEN_FINAL_RESULT_STATE:C012	Das trocken gebundene Holzpulver, Form II, auf Stufe III erhitzen. Ergebnis: fertiges Holzextraktpulver.	0	NONE	PASS_V76_83_ACTION_RIGHT_CONTEXTS__60_NOMINAL_15_ACTION_8_EOS__7_FINISHED_STATE_FIRSTS__3_LOCAL_READS_4_OPEN__C013_C014_ADDED__ZERO_WORD_DELTA
f113v	f113v.17	6	cthororaiin	drei Portionen Krautdroge	M003	1	2	DONOR_PORTION_POOL:C002	C002	C002	NONE	NONE	EDGE_NODE	1	0	0	0	0	NONE	Von den drei Portionen Krautdroge eine Portion bis zur letzten Stufe abkühlen.	0	NONE	PASS_V76_83_ACTION_RIGHT_CONTEXTS__60_NOMINAL_15_ACTION_8_EOS__7_FINISHED_STATE_FIRSTS__3_LOCAL_READS_4_OPEN__C013_C014_ADDED__ZERO_WORD_DELTA
f113v	f113v.17	7	yteeeor	hiervon eine Portion bis zur letzten Stufe abkühlen	M003	2	2	REFERENCE:C002|TARGET_ACTION:C002	C002	NONE	C002	C002	EDGE_NODE	1	0	0	1	0	NONE	Von den drei Portionen Krautdroge eine Portion bis zur letzten Stufe abkühlen.	0	NONE	PASS_V76_83_ACTION_RIGHT_CONTEXTS__60_NOMINAL_15_ACTION_8_EOS__7_FINISHED_STATE_FIRSTS__3_LOCAL_READS_4_OPEN__C013_C014_ADDED__ZERO_WORD_DELTA
f75r	f75r.3	3	orchey	eine Portion bis zur Mittelstufe getrocknete Droge	M004	1	2	DONOR_PRECEDING_PORTION:C003	C003	C003	NONE	NONE	EDGE_NODE	1	0	0	0	0	NONE	Die vorstehende, bis zur Mittelstufe getrocknete Drogenportion anschließend nehmen.	0	NONE	PASS_V76_83_ACTION_RIGHT_CONTEXTS__60_NOMINAL_15_ACTION_8_EOS__7_FINISHED_STATE_FIRSTS__3_LOCAL_READS_4_OPEN__C013_C014_ADDED__ZERO_WORD_DELTA
f75r	f75r.3	4	qey	die vorstehende Mittelstufenportion anschließend nehmen	M004	2	2	REFERENCE:C003|TARGET_ACTION:C003	C003	NONE	C003	C003	EDGE_NODE	1	0	0	1	0	NONE	Die vorstehende, bis zur Mittelstufe getrocknete Drogenportion anschließend nehmen.	0	NONE	PASS_V76_83_ACTION_RIGHT_CONTEXTS__60_NOMINAL_15_ACTION_8_EOS__7_FINISHED_STATE_FIRSTS__3_LOCAL_READS_4_OPEN__C013_C014_ADDED__ZERO_WORD_DELTA
f77r	f77r.38	5	chcphey	bis zur Mittelstufe getrocknetes und abgeschlossenes Arzneikompositum	M005	1	2	ADDED_OBJECT:C005	C005	C005	NONE	NONE	EDGE_NODE	1	0	0	0	0	NONE	Das bis zur Mittelstufe getrocknete und abgeschlossene Arzneikompositum zugeben.	0	NONE	PASS_V76_83_ACTION_RIGHT_CONTEXTS__60_NOMINAL_15_ACTION_8_EOS__7_FINISHED_STATE_FIRSTS__3_LOCAL_READS_4_OPEN__C013_C014_ADDED__ZERO_WORD_DELTA
f77r	f77r.38	6	qol	Drogenstoff zugeben	M005	2	2	TARGET_ACTION:C005	C005	NONE	NONE	C005	EDGE_NODE	1	0	0	1	0	NONE	Das bis zur Mittelstufe getrocknete und abgeschlossene Arzneikompositum zugeben.	0	NONE	PASS_V76_83_ACTION_RIGHT_CONTEXTS__60_NOMINAL_15_ACTION_8_EOS__7_FINISHED_STATE_FIRSTS__3_LOCAL_READS_4_OPEN__C013_C014_ADDED__ZERO_WORD_DELTA
f80v	f80v.35	3	olkar	Anteil I des heißen Holzansatzes	M006	1	4	DESTINATION:C004|DESTINATION:C008	C004|C008	C004|C008	NONE	NONE	EDGE_NODE	1	0	0	0	1	NONE	Dem Anteil I des heißen Holzansatzes Drogenstoff zugeben. Dem Anteil I des heißen Holzansatzes nochmals Drogenstoff zugeben.	0	NONE	PASS_V76_83_ACTION_RIGHT_CONTEXTS__60_NOMINAL_15_ACTION_8_EOS__7_FINISHED_STATE_FIRSTS__3_LOCAL_READS_4_OPEN__C013_C014_ADDED__ZERO_WORD_DELTA
