attachment_id	locus	token_index	surface	contextual_render_de	head_token_index	relation	rationale	global_ordinal	source_match	changes_base_card
GDT674-V01	f81r.5	9	ain	Klassenwert II der unmittelbar vorangehenden Drogenportion	8	VALUE_OF_HEAD	AIN follows the complete OR portion card.	39	1	0
GDT674-V02	f81r.10	2	dain	Qualitätsstufe II des trockenen Materials	1	VALUE_OF_HEAD	DAIN immediately follows CHOL and the frozen V48 line already licenses its quality reading.	63	1	0
GDT674-V03	f81r.14	4	ain	Klasse II der unmittelbar vorangehenden Portion	3	VALUE_OF_HEAD	AIN immediately follows OR in the visible value sequence.	87	1	0
GDT674-V04	f81r.18	6	oror	zwei Portionen des fertig eingeweichten und erhitzten Ansatzes	1	QUANTITY_OF_HEAD	The repeated OR block closes the process chain begun by OSHEEDY.	113	1	0
GDT674-V05	f81r.20	5	odaiin	Zubereitungsdosis III des fertig getrockneten Pulverpräparats	1	QUANTITY_OF_HEAD	The dose is the first explicit value after the powder preparation process chain.	123	1	0
GDT674-V06	f81r.22	5	daiin	Qualitätsgrad III des unmittelbar vorangehenden Grundansatzes	4	VALUE_OF_HEAD	DAIIN follows free OL and is already context-licensed as a quality value in V48.	137	1	0
GDT674-V07	f81r.30	7	kaiin	Heizstufe III des unmittelbar vorangehenden Grundansatzes	6	VALUE_OF_HEAD	KAIIN follows free OL and supplies its visible process degree.	198	1	0
GDT674-V08	f81r.31	9	ar	erste Fraktion des trockenen Drogenmaterials	8	QUANTITY_OF_HEAD	AR follows CHES and opens the terminal quantity series.	208	1	0
GDT674-V09	f81r.31	10	or	eine Portion des trockenen Drogenmaterials	8	QUANTITY_OF_HEAD	OR shares the visible CHES material head.	209	1	0
GDT674-V10	f81r.31	11	oraiiin	Portion IV des trockenen Drogenmaterials	8	QUANTITY_OF_HEAD	The exact ORAIIIN card closes the three-value series under CHES.	210	1	0
