global_statement_id	token_start	token_end	token_count	owner_de	surface_sequence	gdt407_literal_core_sequence_de	generic_filler_hits	comparison_only_not_meaning_input
G407-S393	1	2	2	F81R_UPPER_POOL	polchoy qokedy	EINSETZEN · FORTSETZEN · NEHMEN · AUSFÜHRUNG · AKTIVER POSTEN | SETZEN · GRAD I · SCHLUSS	1	1
G407-S394	3	4	2	F81R_UPPER_POOL	shol opchedy	HALTEN · FORTSETZEN | AUSFÜHRUNG · EINSETZEN · UMSETZEN · SCHLUSS	0	1
G407-S395	5	5	1	F81R_UPPER_POOL	olpchedy	FORTSETZEN · EINSETZEN · UMSETZEN · SCHLUSS	0	1
G407-S396	6	23	18	F81R_UPPER_POOL	ofshdy oly dchey lshl alched qokol chol otar chedy oky qotey l chees olkal ol chedy okar shedy	AUSFÜHRUNG · HIER · HALTEN · HIER · AKTIVER POSTEN | FORTSETZEN · AKTIVER POSTEN | NEHMEN · GRAD I · AKTIVER POSTEN | VERBINDUNG · HALTEN · VERBINDUNG | ZIELORT · UMSETZEN | SETZEN · FORTSETZEN | FORTSETZEN | DANACH · AUSGANG | UMSETZEN · AKTIVER POSTEN | SETZEN · AKTIVER POSTEN | DANACH · GRAD I · AKTIVER POSTEN | VERBINDUNG | HALTEN · GRAD II · HIER | FORTSETZEN · GEBEN · ZIELORT | FORTSETZEN | UMSETZEN · AKTIVER POSTEN | SETZEN · AUSGANG | HALTEN · GRAD I · SCHLUSS	7	1
G407-S397	24	52	29	F81R_UPPER_POOL	dchedy qokain ol ol chcthy ykeedy al qol cheol okeey ol ol olaiin ol or ain sar ol eses oteey shor qokeey ol dshees okain chcthy otey okain pchedy	HIER · UMSETZEN · AKTIVER POSTEN | SETZEN · ANTEIL | FORTSETZEN | FORTSETZEN | NEHMEN · NEHMEN · EINSTELLEN · AKTIVER POSTEN | AKTIVER POSTEN · GEBEN · GRAD II · HIER · AKTIVER POSTEN | ZIELORT | FORTSETZEN | NEHMEN · GRAD I · AUSFÜHRUNG · VERBINDUNG | SETZEN · GRAD II · AKTIVER POSTEN | FORTSETZEN | FORTSETZEN | FORTSETZEN · WERT | FORTSETZEN | EINHEIT | ANTEIL | WÄHLEN · AUSGANG | FORTSETZEN | GRAD I · WÄHLEN · GRAD I · WÄHLEN | DANACH · GRAD II · AKTIVER POSTEN | HALTEN · EINHEIT | SETZEN · GRAD II · AKTIVER POSTEN | FORTSETZEN | HIER · HALTEN · GRAD II · WÄHLEN | SETZEN · ANTEIL | NEHMEN · NEHMEN · EINSTELLEN · AKTIVER POSTEN | DANACH · GRAD I · AKTIVER POSTEN | SETZEN · ANTEIL | EINSETZEN · UMSETZEN · SCHLUSS	9	1
G407-S398	53	59	7	F81R_UPPER_POOL	qokeey oty qotey oteey oly qoteesy qotedy	SETZEN · GRAD II · AKTIVER POSTEN | DANACH · AKTIVER POSTEN | DANACH · GRAD I · AKTIVER POSTEN | DANACH · GRAD II · AKTIVER POSTEN | FORTSETZEN · AKTIVER POSTEN | DANACH · GRAD II · WÄHLEN · AKTIVER POSTEN | DANACH · GRAD I · SCHLUSS	6	1
G407-S399	60	60	1	F81R_UPPER_POOL	qokeedy	SETZEN · GRAD II · SCHLUSS	0	1
G407-S400	61	64	4	F81R_UPPER_POOL	chcphey chol dain otedy	NEHMEN · NEHMEN · EINSETZEN · GRAD I · AKTIVER POSTEN | FORTSETZEN | ANTEIL | DANACH · GRAD I · SCHLUSS	1	1
G407-S401	65	69	5	F81R_UPPER_POOL	cheey qotain ly olsheol olkedy	HALTEN · GRAD II · AKTIVER POSTEN | DANACH · ANTEIL | VERBINDUNG · AKTIVER POSTEN | FORTSETZEN · GEBEN · GRAD I · FORTSETZEN | FORTSETZEN · GEBEN · GRAD I · SCHLUSS	2	1
G407-S402	70	70	1	F81R_UPPER_POOL	sheckhedy	HALTEN · GRAD I · NEHMEN · GEBEN · GRAD I · SCHLUSS	0	1
G407-S403	71	71	1	F81R_UPPER_POOL	oltedy	FORTSETZEN · EINSTELLEN · GRAD I · SCHLUSS	0	1
G407-S404	72	73	2	F81R_UPPER_POOL	ychedy tedy	AKTIVER POSTEN · UMSETZEN · AKTIVER POSTEN | EINSTELLEN · GRAD I · SCHLUSS	2	1
G407-S405	74	75	2	F81R_UPPER_POOL	ol sheedy	FORTSETZEN | HALTEN · GRAD II · SCHLUSS	0	1
G407-S406	76	79	4	F81R_UPPER_POOL	qokeey loly dchol shedy	SETZEN · GRAD II · AKTIVER POSTEN | VERBINDUNG · FORTSETZEN · AKTIVER POSTEN | HIER · FORTSETZEN | HALTEN · GRAD I · SCHLUSS	2	1
G407-S407	80	80	1	F81R_UPPER_POOL	qotedy	DANACH · GRAD I · SCHLUSS	0	1
