global_ordinal	line_ordinal	page	locus	token_index	eva	section	language	hand	v48_line_surface_match	route	review_class	review_position	raw_v48_unknown_before	working_meaning_de	contextual_render_de	composition	semantic_features	confidence	meaning_source	scope_state	baseline_v48_gloss_de	baseline_v48_source	baseline_v48_scope_state	value_attachment	explicit_action	explicit_action_de
1	1	f81r	f81r.1	1	polchoy	B	B	2	1	ROLE_COMPOSED_REVIEW	P	1	1	Pulverstoff trocknen, ansetzen und leicht abschließen	Pulverstoff trocknen, ansetzen und leicht abschließen	P_POWDER+OL_MATERIAL+CH_DRY+O_PREP+Y_START_OR_CLOSE	ACTION+MATERIAL	MEDIUM	GDT674_RAW_UNKNOWN_REVIEW_CARD	PAGE_LOCAL_REVIEW_NOT_PROMOTED	[polchoy:?]	OPEN	UNKNOWN_SURFACE	0	0	NONE
2	1	f81r	f81r.1	2	qokedy	B	B	2	1	INHERITED_V48	E	0	0	heiß in der Mitte des Grades, abgeschlossen	heiß in der Mitte des Grades, abgeschlossen	INHERITED_V48_LINE_CARD	STAGE+STATE	READER_BOUNDARY_UNSTABLE	GDT647:FAMILY_MIGRATION	READER_BOUNDARY_UNSTABLE	heiß in der Mitte des Grades, abgeschlossen	GDT647:FAMILY_MIGRATION	READER_BOUNDARY_UNSTABLE	0	0	NONE
3	1	f81r	f81r.1	3	shol	B	B	2	1	INHERITED_V48	E	0	0	feucht; nominal feuchtes Gut/Material	feucht; nominal feuchtes Gut/Material	INHERITED_V48_LINE_CARD	STATE	READER_BOUNDARY_UNSTABLE	V13:MOIST_OL_FORM	READER_BOUNDARY_UNSTABLE	feucht; nominal feuchtes Gut/Material	V13:MOIST_OL_FORM	READER_BOUNDARY_UNSTABLE	0	0	NONE
4	1	f81r	f81r.1	4	opchedy	B	B	2	1	INHERITED_V48	E	0	0	vollständig getrocknetes Pulverpräparat	vollständig getrocknetes Pulverpräparat	INHERITED_V48_LINE_CARD	MATERIAL	READER_BOUNDARY_UNSTABLE	GDT664:EXACT_WHOLE:opchedy	READER_BOUNDARY_UNSTABLE	vollständig getrocknetes Pulverpräparat	GDT664:EXACT_WHOLE:opchedy	READER_BOUNDARY_UNSTABLE	0	0	NONE
5	1	f81r	f81r.1	5	olpchedy	B	B	2	1	ROLE_COMPOSED_REVIEW	P	1	1	Holzdrogenansatz zu Trockenpulver verarbeiten und fertigstellen	Holzdrogenansatz zu Trockenpulver verarbeiten und fertigstellen	O_PREP+L_WOOD+P_POWDER+CH_DRY+E_MIDDLE+DY_FINISHED	ACTION+MATERIAL+STATE	MEDIUM	GDT674_RAW_UNKNOWN_REVIEW_CARD	PAGE_LOCAL_REVIEW_NOT_PROMOTED	[olpchedy:?]	OPEN	UNKNOWN_SURFACE	0	0	NONE
6	1	f81r	f81r.1	6	ofshdy	B	B	2	1	ROLE_COMPOSED_REVIEW	P	1	1	Blütenfraktionsansatz einweichen und fertigstellen	Blütenfraktionsansatz einweichen und fertigstellen	O_PREP+F_FLOWER+SH_MOIST+DY_FINISHED	ACTION+MATERIAL+STATE	LOW	GDT674_RAW_UNKNOWN_REVIEW_CARD	PAGE_LOCAL_REVIEW_NOT_PROMOTED	[ofshdy:?]	OPEN	UNKNOWN_SURFACE	0	0	NONE
7	1	f81r	f81r.1	7	oly	B	B	2	1	INHERITED_V48	E	0	0	abseihen	abseihen	INHERITED_V48_LINE_CARD	ACTION	KNOWN_EXACT_WHOLE	GDT662:EXACT_WHOLE:oly	KNOWN_EXACT_WHOLE	abseihen	GDT662:EXACT_WHOLE:oly	KNOWN_EXACT_WHOLE	0	1	abseihen
8	2	f81r	f81r.2	1	dchey	B	B	2	1	ROLE_COMPOSED_REVIEW	P	1	1	eine Dosis bis zur Mittelstufe trocknen und abschließen	eine Dosis bis zur Mittelstufe trocknen und abschließen	D_MEASURE+CH_DRY+E_MIDDLE+Y_START_OR_CLOSE	ACTION+QUANTITY+STAGE	HIGH	GDT674_RAW_UNKNOWN_REVIEW_CARD	PAGE_LOCAL_REVIEW_NOT_PROMOTED	[dchey:?]	OPEN	UNKNOWN_SURFACE	0	0	NONE
9	2	f81r	f81r.2	2	lshl	B	B	2	1	LOCAL_WHOLE_REVIEW	W	1	1	eingeweichte Holzdroge	eingeweichte Holzdroge	LEARNED_LSHL_WHOLE	MATERIAL+STATE	LOW	GDT674_RAW_UNKNOWN_REVIEW_CARD	PAGE_LOCAL_REVIEW_NOT_PROMOTED	[lshl:?]	OPEN	UNKNOWN_SURFACE	0	0	NONE
10	2	f81r	f81r.2	3	alched	B	B	2	1	ROLE_COMPOSED_REVIEW	P	1	1	Rohdroge I bis zur Mittelstufe trocknen und abschließen	Rohdroge I bis zur Mittelstufe trocknen und abschließen	AL_RAW_I+CH_DRY+E_MIDDLE+D_TERM_CLOSE	ACTION+STAGE+MATERIAL	HIGH	GDT674_RAW_UNKNOWN_REVIEW_CARD	PAGE_LOCAL_REVIEW_NOT_PROMOTED	[alched:?]	OPEN	UNKNOWN_SURFACE	0	0	NONE
11	2	f81r	f81r.2	4	qokol	B	B	2	1	INHERITED_V48	E	0	0	erhitzen	erhitzen	INHERITED_V48_LINE_CARD	ACTION	KNOWN_EXACT_WHOLE	GDT662:EXACT_WHOLE:qokol	KNOWN_EXACT_WHOLE	erhitzen	GDT662:EXACT_WHOLE:qokol	KNOWN_EXACT_WHOLE	0	1	erhitzen
12	2	f81r	f81r.2	5	chol	B	B	2	1	INHERITED_V48	E	0	0	trocken; nominal trockenes Gut/Material	trocken; nominal trockenes Gut/Material	INHERITED_V48_LINE_CARD	STATE	KNOWN_CONTEXT_LICENSED	V13:DRY_OL_FORM	KNOWN_CONTEXT_LICENSED	trocken; nominal trockenes Gut/Material	V13:DRY_OL_FORM	KNOWN_CONTEXT_LICENSED	0	0	NONE
