action_id	locus	token_index	surface	action_de	global_ordinal	working_meaning_de	meaning_source	source_match
GDT674-A01	f81r.1	7	oly	abseihen	7	abseihen	GDT662:EXACT_WHOLE:oly	1
GDT674-A02	f81r.2	4	qokol	erhitzen	11	erhitzen	GDT662:EXACT_WHOLE:qokol	1
GDT674-A03	f81r.5	1	qol	Drogenstoff zugeben	31	Drogenstoff zugeben	GDT662:EXACT_WHOLE:qol	1
GDT674-A04	f81r.8	6	oly	abseihen	57	abseihen	GDT662:EXACT_WHOLE:oly	1
GDT674-A05	f81r.12	6	loly	seihe den Holzabsud ab	77	seihe den Holzabsud ab	GDT664:EXACT_WHOLE:loly	1
GDT674-A06	f81r.13	4	qol	Drogenstoff zugeben	81	Drogenstoff zugeben	GDT662:EXACT_WHOLE:qol	1
GDT674-A07	f81r.14	1	qokechedy	erhitze bis zur Mittelstufe, trockne bis zur Mittelstufe und schließe ab	84	erhitze bis zur Mittelstufe, trockne bis zur Mittelstufe und schließe ab	GDT665:EXACT_WHOLE:qokechedy	1
GDT674-A08	f81r.16	1	polchdy	Pulverstoff trocknen und fertigstellen	95	Pulverstoff trocknen und fertigstellen	GDT668:EXACT_WHOLE:polchdy	1
GDT674-A09	f81r.20	1	qopchedy	nimm das bis zur Mittelstufe getrocknete und fertiggestellte Pulverpräparat	119	nimm das bis zur Mittelstufe getrocknete und fertiggestellte Pulverpräparat	GDT666:EXACT_WHOLE:qopchedy	1
GDT674-A10	f81r.20	2	qol	Drogenstoff zugeben	120	Drogenstoff zugeben	GDT662:EXACT_WHOLE:qol	1
GDT674-A11	f81r.21	1	dshedy	weiche eine Dosis Droge bis zur Mittelstufe ein und schließe ab	126	weiche eine Dosis Droge bis zur Mittelstufe ein und schließe ab	GDT665:EXACT_WHOLE:dshedy	1
GDT674-A12	f81r.22	3	qol	Drogenstoff zugeben	135	Drogenstoff zugeben	GDT662:EXACT_WHOLE:qol	1
GDT674-A13	f81r.22	9	oly	abseihen	141	abseihen	GDT662:EXACT_WHOLE:oly	1
GDT674-A14	f81r.24	7	oly	abseihen	154	abseihen	GDT662:EXACT_WHOLE:oly	1
GDT674-A15	f81r.25	3	qol	Drogenstoff zugeben	157	Drogenstoff zugeben	GDT662:EXACT_WHOLE:qol	1
GDT674-A16	f81r.26	4	qol	Drogenstoff zugeben	166	Drogenstoff zugeben	GDT662:EXACT_WHOLE:qol	1
GDT674-A17	f81r.26	7	qcthdys	stelle eine Charge Krautdroge fertig	169	stelle eine Charge Krautdroge fertig	GDT668:EXACT_WHOLE:qcthdys	1
GDT674-A18	f81r.29	7	ytar	nimm hiervon die erste gekühlte Drogenfraktion	189	nimm hiervon die erste gekühlte Drogenfraktion	GDT664:EXACT_WHOLE:ytar	1
