global_ordinal	locus	token_index	surface	review_class	working_meaning_de	it2a_operation	it2a_form	rf1b_operation	rf1b_form	reader_support	decision	zl3b_line	it2a_line	rf1b_line
1	f81r.1	1	polchoy	P	Pulverstoff trocknen, ansetzen und leicht abschließen	ONE	polchey	EXACT	polchoy	ONE_EXACT	HOLD_EXPLORATORY_COMPOSITION	polchoy qokedy shol opchedy olpchedy ofshdy oly	polchey qokedy shol opchedy olpchedy ofshdy oly	polchoy qoked ol opched olpchedy ofsh y oly
5	f81r.1	5	olpchedy	P	Holzdrogenansatz zu Trockenpulver verarbeiten und fertigstellen	EXACT	olpchedy	EXACT	olpchedy	BOTH_EXACT	HOLD_EXPLORATORY_COMPOSITION	polchoy qokedy shol opchedy olpchedy ofshdy oly	polchey qokedy shol opchedy olpchedy ofshdy oly	polchoy qoked ol opched olpchedy ofsh y oly
6	f81r.1	6	ofshdy	P	Blütenfraktionsansatz einweichen und fertigstellen	EXACT	ofshdy	ONE	y	ONE_EXACT	HOLD_EXPLORATORY_COMPOSITION	polchoy qokedy shol opchedy olpchedy ofshdy oly	polchey qokedy shol opchedy olpchedy ofshdy oly	polchoy qoked ol opched olpchedy ofsh y oly
8	f81r.2	1	dchey	P	eine Dosis bis zur Mittelstufe trocknen und abschließen	EXACT	dchey	ONE	chey	ONE_EXACT	HOLD_EXPLORATORY_COMPOSITION	dchey lshl alched qokol chol otar chedy oky	dchey lshl olched qokol chol otar chedy oky	chey lshl alched qokol chol otar chedy oky
9	f81r.2	2	lshl	W	eingeweichte Holzdroge	EXACT	lshl	EXACT	lshl	BOTH_EXACT	HOLD_LOCAL_WHOLE	dchey lshl alched qokol chol otar chedy oky	dchey lshl olched qokol chol otar chedy oky	chey lshl alched qokol chol otar chedy oky
10	f81r.2	3	alched	P	Rohdroge I bis zur Mittelstufe trocknen und abschließen	ONE	olched	EXACT	alched	ONE_EXACT	HOLD_EXPLORATORY_COMPOSITION	dchey lshl alched qokol chol otar chedy oky	dchey lshl olched qokol chol otar chedy oky	chey lshl alched qokol chol otar chedy oky
42	f81r.6	3	eses	W	zwei Arzneispecies der Mittelstufe	EXACT	eses	EXACT	eses	BOTH_EXACT	HOLD_LOCAL_WHOLE	sar ol eses oteey shor qokeey ol	sar ol eses oteey shor qokeey ol	sar ol eses oteey shor qokeey ol
47	f81r.7	1	dshees	P	eine Charge vollständig eingeweichter Droge abmessen	EXACT	dshees	ONE	ees	ONE_EXACT	HOLD_EXPLORATORY_COMPOSITION	dshees okain chcthy otey okain	dshees okain chcthy otey okain	ees okain chcthy otey okain
58	f81r.9	1	qoteesy	P	Arzneispecies vollständig abkühlen und abschließen	EXACT	qoteesy	EXACT	qoteesy	BOTH_EXACT	HOLD_EXPLORATORY_COMPOSITION	qoteesy qotedy qokeedy chcphey	qoteesy qotedy qokeedy chcphey	qoteesy qote y qokee y chcphey
61	f81r.9	4	chcphey	P	Arzneikompositum bis zur Mittelstufe trocknen und abschließen	EXACT	chcphey	EXACT	chcphey	BOTH_EXACT	HOLD_EXPLORATORY_COMPOSITION	qoteesy qotedy qokeedy chcphey	qoteesy qotedy qokeedy chcphey	qoteesy qote y qokee y chcphey
85	f81r.14	2	qolsheedy	P	vollständig eingeweichten Drogenstoff zugeben und fertigstellen	SPLIT_2	qolsheedy	ONE	y	NEITHER_EXACT	HOLD_EXPLORATORY_COMPOSITION	qokechedy qolsheedy or ain arol oeeedy	qokechedy qol sheedy orain arol oeeedy	qokeche y qol ee y or ain arol oeee
89	f81r.14	6	oeeedy	P	Ansatz lange oder bis zur letzten Stufe ruhen lassen und fertigstellen	EXACT	oeeedy	ONE	oeee	ONE_EXACT	HOLD_EXPLORATORY_COMPOSITION	qokechedy qolsheedy or ain arol oeeedy	qokechedy qol sheedy orain arol oeeedy	qokeche y qol ee y or ain arol oeee
