card_id	surface	count	class	composition	working_meaning_de	strongest_rival_de	confidence	rationale	positions	first_global_ordinal	origin	raw_unknown_positions	context_recheck_positions	candidate_for_panel_scan	semantic_features	promoted_to_v48
GDT674-F81R-01	polchoy	1	P	P_POWDER+OL_MATERIAL+CH_DRY+O_PREP+Y_START_OR_CLOSE	Pulverstoff trocknen, ansetzen und leicht abschließen	leicht getrockneter Pulverstoff im Grundansatz	MEDIUM	All seven visible characters are covered by five existing roles; unlike terminal OY_PREP_BASE this split respects the bound O plus terminal Y scopes.	f81r.1:1	1	RAW_V48_UNKNOWN	1	0	1	ACTION+MATERIAL	0
GDT674-F81R-02	olpchedy	2	P	O_PREP+L_WOOD+P_POWDER+CH_DRY+E_MIDDLE+DY_FINISHED	Holzdrogenansatz zu Trockenpulver verarbeiten und fertigstellen	getrocknetes Pulver aus einem Holzdrogenansatz	MEDIUM	The full surface is the regular O-L-P-CH-E-DY stack and differs by one character from several exact V48 powder cards.	f81r.1:5|f81r.16:4	5	RAW_V48_UNKNOWN	2	0	1	ACTION+MATERIAL+STATE	0
GDT674-F81R-03	ofshdy	1	P	O_PREP+F_FLOWER+SH_MOIST+DY_FINISHED	Blütenfraktionsansatz einweichen und fertigstellen	Ansatz mit einer Blütenfraktion anfeuchten und abschließen	LOW	This is an explicitly marked extension of the narrow V48 F_FLOWER family, not a general productive f value.	f81r.1:6	6	RAW_V48_UNKNOWN	1	0	1	ACTION+MATERIAL+STATE	0
GDT674-F81R-04	dchey	1	P	D_MEASURE+CH_DRY+E_MIDDLE+Y_START_OR_CLOSE	eine Dosis bis zur Mittelstufe trocknen und abschließen	abgemessene Trockendroge der Mittelstufe	HIGH	The D-CH-E-Y stack is directly predicted by the productive measure, dry, middle and closure roles.	f81r.2:1	8	RAW_V48_UNKNOWN	1	0	1	ACTION+QUANTITY+STAGE	0
GDT674-F81R-05	lshl	1	W	LEARNED_LSHL_WHOLE	eingeweichte Holzdroge	Drogenholz in Holzabsud einweichen	LOW	Both edge l signs are visible, but a productive L-SH-L reading would duplicate the wood head without an established valence; keep the practical whole explicit.	f81r.2:2	9	RAW_V48_UNKNOWN	1	0	1	MATERIAL+STATE	0
GDT674-F81R-06	alched	1	P	AL_RAW_I+CH_DRY+E_MIDDLE+D_TERM_CLOSE	Rohdroge I bis zur Mittelstufe trocknen und abschließen	Rohdroge I bis zur Mittelstufe trocknen und abziehen	HIGH	AL-CH-E-D is a complete productive stack and is the terminal-d neighbour of exact alchedy.	f81r.2:3	10	RAW_V48_UNKNOWN	1	0	1	ACTION+STAGE+MATERIAL	0
GDT674-F81R-07	eses	1	W	LEARNED_ES_REPEAT	zwei Arzneispecies der Mittelstufe	Doppelcharge Mittelstufen-Species	LOW	The visible form is exactly es+es; GDT673 retains es as a learned middle-stage species card, but repetition is not promoted as a general number rule.	f81r.6:3	42	RAW_V48_UNKNOWN	1	0	1	QUANTITY+STAGE+MATERIAL	0
GDT674-F81R-08	dshees	1	P	D_MEASURE+SH_MOIST+EE_END+S_TERM_SPECIES	eine Charge vollständig eingeweichter Droge abmessen	eine Dosis vollständig eingeweichter Arzneispecies	MEDIUM	Initial D supplies measurement and terminal S the species or charge; SH-EE supplies the complete moist state.	f81r.7:1	47	RAW_V48_UNKNOWN	1	0	1	ACTION+QUANTITY+MATERIAL+STATE	0
GDT674-F81R-09	qoteesy	1	P	QO_COMMAND+T_COLD+EE_END+S_TERM_SPECIES+Y_START_OR_CLOSE	Arzneispecies vollständig abkühlen und abschließen	Saatgut vollständig abkühlen und den Posten abschließen	MEDIUM	The local package treats S as terminal Species before an outer Y close; this is an explicit narrow scope extension, not a global rewrite of S.	f81r.9:1	58	RAW_V48_UNKNOWN	1	0	1	ACTION+MATERIAL	0
GDT674-F81R-10	chcphey	1	P	CH_DRY+CPH_COMPOSITE+E_MIDDLE+Y_START_OR_CLOSE	Arzneikompositum bis zur Mittelstufe trocknen und abschließen	getrocknete Arzneikompositum-Fraktion der Mittelstufe	HIGH	CH-CPH-E-Y is fully covered and has exact chcphedy and checphey neighbours.	f81r.9:4	61	RAW_V48_UNKNOWN	1	0	1	ACTION+STAGE+MATERIAL	0
GDT674-F81R-11	qolsheedy	1	P	QOL_ADD+SH_MOIST+EE_END+DY_FINISHED	vollständig eingeweichten Drogenstoff zugeben und fertigstellen	vollständig eingeweichten Drogenstoff zugeben und die Zugabe abschließen	HIGH	QOL is the exact add frame; SH-EE-DY is the inherited complete moist process.	f81r.14:2	85	RAW_V48_UNKNOWN	1	0	1	ACTION+MATERIAL+STATE	0
GDT674-F81R-12	oeeedy	1	P	O_PREP+EEE_LONG_OR_FINAL+DY_FINISHED	Ansatz lange oder bis zur letzten Stufe ruhen lassen und fertigstellen	lange gereiften Ansatz abziehen und fertigstellen	LOW	Every character is covered, but V48 leaves EEE as long-versus-final rather than choosing one duration.	f81r.14:6	89	RAW_V48_UNKNOWN	1	0	1	ACTION+STAGE+MATERIAL+STATE	0
GDT674-F81R-13	qopchol	1	P	QO_COMMAND+P_POWDER+CH_DRY+OL_MATERIAL	nimm getrockneten Pulverstoff	nimm das Trockenpulver in den Ansatz	HIGH	This is the material-terminal counterpart of the exact qopchey and qopchdy command cards.	f81r.16:2	96	RAW_V48_UNKNOWN	1	0	1	ACTION+MATERIAL	0
GDT674-F81R-14	oraisy	1	P	OR_PORTION+A_PART_OR_LINK+I_FORM_I+S_TERM_SPECIES+Y_START_OR_CLOSE	eine Portion Arzneispecies der Form I abteilen und abschließen	eine Portion des vorangehenden Pulveransatzes, Form I, abschließen	LOW	The full OR-A-I-S-Y split is predictive but narrowly extends I_FORM_I and terminal Species before an outer Y close; ZL3b/RF1b oraisy versus IT2a oroiry keeps the rival explicit.	f81r.16:6	100	RAW_V48_UNKNOWN	1	0	1	ACTION+QUANTITY+MATERIAL	0
GDT674-F81R-15	y	2	O	LINE_INITIAL_Y_ENTRY	Eintrag:	hierzu:	MEDIUM	GDT673 shows that free y is contextual; at line start in f81r the frozen V48 Entry value fits and the f1r reference card must not be imported globally. | The same line-initial B-register configuration repeats; the occurrence card retains rather than overwrites the V48 Entry value.	f81r.17:1|f81r.29:1	101	CONTEXT_RECHECK	0	2	0	DESCRIPTOR	0
GDT674-F81R-16	osheedy	1	P	O_PREP+SH_MOIST+EE_END+DY_FINISHED	Ansatz vollständig einweichen und fertigstellen	vollständig eingeweichten Ansatz abziehen	HIGH	The regular O-SH-EE-DY process is independently mirrored by exact L/P/OL moist cards.	f81r.18:1	108	RAW_V48_UNKNOWN	1	0	1	ACTION+MATERIAL+STATE	0
GDT674-F81R-17	oror	1	P	OR_PORTION+OR_PORTION	zwei Portionen	eine doppelte Portion	LOW	Two complete adjacent OR quantity blocks predict an additive double portion without suppressing either block.	f81r.18:6	113	RAW_V48_UNKNOWN	1	0	1	QUANTITY	0
GDT674-F81R-18	olam	1	P	O_PREP+L_WOOD+AM_UNIT_I	ein Maß Holzdroge im Ansatz	ein Maß Drogenstoff	HIGH	O-L supplies the wood preparation and terminal AM the established single measure.	f81r.19:5	118	RAW_V48_UNKNOWN	1	0	1	QUANTITY+MATERIAL	0
GDT674-F81R-19	shecphy	1	P	SH_MOIST+E_MIDDLE+CPH_COMPOSITE+Y_START_OR_CLOSE	Arzneikompositum bis zur Mittelstufe einweichen und abschließen	feuchtes Arzneikompositum der Mittelstufe	MEDIUM	SH-E-CPH-Y covers the full form; the unusual head order keeps confidence below high.	f81r.24:3	150	RAW_V48_UNKNOWN	1	0	1	ACTION+STAGE+MATERIAL	0
