global_ordinal	line_ordinal	page	locus	token_index	eva	section	language	hand	v48_line_surface_match
1	1	f81r	f81r.1	1	polchoy	B	B	2	1
2	1	f81r	f81r.1	2	qokedy	B	B	2	1
3	1	f81r	f81r.1	3	shol	B	B	2	1
4	1	f81r	f81r.1	4	opchedy	B	B	2	1
5	1	f81r	f81r.1	5	olpchedy	B	B	2	1
6	1	f81r	f81r.1	6	ofshdy	B	B	2	1
7	1	f81r	f81r.1	7	oly	B	B	2	1
8	2	f81r	f81r.2	1	dchey	B	B	2	1
9	2	f81r	f81r.2	2	lshl	B	B	2	1
10	2	f81r	f81r.2	3	alched	B	B	2	1
11	2	f81r	f81r.2	4	qokol	B	B	2	1
12	2	f81r	f81r.2	5	chol	B	B	2	1
13	2	f81r	f81r.2	6	otar	B	B	2	1
14	2	f81r	f81r.2	7	chedy	B	B	2	1
15	2	f81r	f81r.2	8	oky	B	B	2	1
16	3	f81r	f81r.3	1	qotey	B	B	2	1
17	3	f81r	f81r.3	2	l	B	B	2	1
18	3	f81r	f81r.3	3	chees	B	B	2	1
19	3	f81r	f81r.3	4	olkal	B	B	2	1
20	3	f81r	f81r.3	5	ol	B	B	2	1
21	3	f81r	f81r.3	6	chedy	B	B	2	1
22	3	f81r	f81r.3	7	okar	B	B	2	1
23	3	f81r	f81r.3	8	shedy	B	B	2	1
24	4	f81r	f81r.4	1	dchedy	B	B	2	1
25	4	f81r	f81r.4	2	qokain	B	B	2	1
26	4	f81r	f81r.4	3	ol	B	B	2	1
27	4	f81r	f81r.4	4	ol	B	B	2	1
28	4	f81r	f81r.4	5	chcthy	B	B	2	1
29	4	f81r	f81r.4	6	ykeedy	B	B	2	1
30	4	f81r	f81r.4	7	al	B	B	2	1
31	5	f81r	f81r.5	1	qol	B	B	2	1
32	5	f81r	f81r.5	2	cheol	B	B	2	1
33	5	f81r	f81r.5	3	okeey	B	B	2	1
34	5	f81r	f81r.5	4	ol	B	B	2	1
35	5	f81r	f81r.5	5	ol	B	B	2	1
36	5	f81r	f81r.5	6	olaiin	B	B	2	1
37	5	f81r	f81r.5	7	ol	B	B	2	1
38	5	f81r	f81r.5	8	or	B	B	2	1
39	5	f81r	f81r.5	9	ain	B	B	2	1
40	6	f81r	f81r.6	1	sar	B	B	2	1
41	6	f81r	f81r.6	2	ol	B	B	2	1
42	6	f81r	f81r.6	3	eses	B	B	2	1
43	6	f81r	f81r.6	4	oteey	B	B	2	1
44	6	f81r	f81r.6	5	shor	B	B	2	1
45	6	f81r	f81r.6	6	qokeey	B	B	2	1
46	6	f81r	f81r.6	7	ol	B	B	2	1
47	7	f81r	f81r.7	1	dshees	B	B	2	1
48	7	f81r	f81r.7	2	okain	B	B	2	1
49	7	f81r	f81r.7	3	chcthy	B	B	2	1
50	7	f81r	f81r.7	4	otey	B	B	2	1
51	7	f81r	f81r.7	5	okain	B	B	2	1
52	8	f81r	f81r.8	1	pchedy	B	B	2	1
53	8	f81r	f81r.8	2	qokeey	B	B	2	1
54	8	f81r	f81r.8	3	oty	B	B	2	1
55	8	f81r	f81r.8	4	qotey	B	B	2	1
56	8	f81r	f81r.8	5	oteey	B	B	2	1
57	8	f81r	f81r.8	6	oly	B	B	2	1
58	9	f81r	f81r.9	1	qoteesy	B	B	2	1
59	9	f81r	f81r.9	2	qotedy	B	B	2	1
60	9	f81r	f81r.9	3	qokeedy	B	B	2	1
61	9	f81r	f81r.9	4	chcphey	B	B	2	1
62	10	f81r	f81r.10	1	chol	B	B	2	1
63	10	f81r	f81r.10	2	dain	B	B	2	1
64	10	f81r	f81r.10	3	otedy	B	B	2	1
65	10	f81r	f81r.10	4	cheey	B	B	2	1
66	10	f81r	f81r.10	5	qotain	B	B	2	1
67	10	f81r	f81r.10	6	ly	B	B	2	1
68	11	f81r	f81r.11	1	olsheol	B	B	2	1
69	11	f81r	f81r.11	2	olkedy	B	B	2	1
70	11	f81r	f81r.11	3	sheckhedy	B	B	2	1
71	11	f81r	f81r.11	4	oltedy	B	B	2	1
72	12	f81r	f81r.12	1	ychedy	B	B	2	1
73	12	f81r	f81r.12	2	tedy	B	B	2	1
74	12	f81r	f81r.12	3	ol	B	B	2	1
75	12	f81r	f81r.12	4	sheedy	B	B	2	1
76	12	f81r	f81r.12	5	qokeey	B	B	2	1
77	12	f81r	f81r.12	6	loly	B	B	2	1
78	13	f81r	f81r.13	1	dchol	B	B	2	1
79	13	f81r	f81r.13	2	shedy	B	B	2	1
80	13	f81r	f81r.13	3	qotedy	B	B	2	1
81	13	f81r	f81r.13	4	qol	B	B	2	1
82	13	f81r	f81r.13	5	chedy	B	B	2	1
83	13	f81r	f81r.13	6	chetyry	B	B	2	1
84	14	f81r	f81r.14	1	qokechedy	B	B	2	1
85	14	f81r	f81r.14	2	qolsheedy	B	B	2	1
86	14	f81r	f81r.14	3	or	B	B	2	1
87	14	f81r	f81r.14	4	ain	B	B	2	1
88	14	f81r	f81r.14	5	arol	B	B	2	1
89	14	f81r	f81r.14	6	oeeedy	B	B	2	1
90	15	f81r	f81r.15	1	sain	B	B	2	1
91	15	f81r	f81r.15	2	ol	B	B	2	1
92	15	f81r	f81r.15	3	cheedy	B	B	2	1
93	15	f81r	f81r.15	4	qokeedy	B	B	2	1
94	15	f81r	f81r.15	5	otedy	B	B	2	1
95	16	f81r	f81r.16	1	polchdy	B	B	2	1
96	16	f81r	f81r.16	2	qopchol	B	B	2	1
97	16	f81r	f81r.16	3	qokor	B	B	2	1
98	16	f81r	f81r.16	4	olpchedy	B	B	2	1
99	16	f81r	f81r.16	5	opol	B	B	2	1
100	16	f81r	f81r.16	6	oraisy	B	B	2	1
101	17	f81r	f81r.17	1	y	B	B	2	1
102	17	f81r	f81r.17	2	checthy	B	B	2	1
103	17	f81r	f81r.17	3	okeedy	B	B	2	1
104	17	f81r	f81r.17	4	shey	B	B	2	1
105	17	f81r	f81r.17	5	qokedy	B	B	2	1
106	17	f81r	f81r.17	6	ol	B	B	2	1
107	17	f81r	f81r.17	7	ochedar	B	B	2	1
108	18	f81r	f81r.18	1	osheedy	B	B	2	1
109	18	f81r	f81r.18	2	shedy	B	B	2	1
110	18	f81r	f81r.18	3	ol	B	B	2	1
111	18	f81r	f81r.18	4	shedy	B	B	2	1
112	18	f81r	f81r.18	5	okeedy	B	B	2	1
113	18	f81r	f81r.18	6	oror	B	B	2	1
114	19	f81r	f81r.19	1	qokedy	B	B	2	1
115	19	f81r	f81r.19	2	sheedy	B	B	2	1
116	19	f81r	f81r.19	3	chedy	B	B	2	1
117	19	f81r	f81r.19	4	qoteedy	B	B	2	1
118	19	f81r	f81r.19	5	olam	B	B	2	1
119	20	f81r	f81r.20	1	qopchedy	B	B	2	1
120	20	f81r	f81r.20	2	qol	B	B	2	1
121	20	f81r	f81r.20	3	chedy	B	B	2	1
122	20	f81r	f81r.20	4	qokeey	B	B	2	1
123	20	f81r	f81r.20	5	odaiin	B	B	2	1
124	20	f81r	f81r.20	6	rain	B	B	2	1
125	20	f81r	f81r.20	7	daly	B	B	2	1
126	21	f81r	f81r.21	1	dshedy	B	B	2	1
127	21	f81r	f81r.21	2	qokal	B	B	2	1
128	21	f81r	f81r.21	3	olkeey	B	B	2	1
129	21	f81r	f81r.21	4	oteey	B	B	2	1
130	21	f81r	f81r.21	5	olshey	B	B	2	1
131	21	f81r	f81r.21	6	otey	B	B	2	1
132	21	f81r	f81r.21	7	lol	B	B	2	1
133	22	f81r	f81r.22	1	qotal	B	B	2	1
134	22	f81r	f81r.22	2	chedy	B	B	2	1
135	22	f81r	f81r.22	3	qol	B	B	2	1
136	22	f81r	f81r.22	4	ol	B	B	2	1
137	22	f81r	f81r.22	5	daiin	B	B	2	1
138	22	f81r	f81r.22	6	ol	B	B	2	1
139	22	f81r	f81r.22	7	chedar	B	B	2	1
140	22	f81r	f81r.22	8	ol	B	B	2	1
141	22	f81r	f81r.22	9	oly	B	B	2	1
142	23	f81r	f81r.23	1	chey	B	B	2	1
143	23	f81r	f81r.23	2	okain	B	B	2	1
144	23	f81r	f81r.23	3	sheckhy	B	B	2	1
145	23	f81r	f81r.23	4	soiin	B	B	2	1
146	23	f81r	f81r.23	5	chey	B	B	2	1
147	23	f81r	f81r.23	6	lchey	B	B	2	1
148	24	f81r	f81r.24	1	par	B	B	2	1
149	24	f81r	f81r.24	2	ody	B	B	2	1
150	24	f81r	f81r.24	3	shecphy	B	B	2	1
151	24	f81r	f81r.24	4	cheol	B	B	2	1
152	24	f81r	f81r.24	5	qotaldar	B	B	2	1
153	24	f81r	f81r.24	6	otedy	B	B	2	1
154	24	f81r	f81r.24	7	oly	B	B	2	1
155	25	f81r	f81r.25	1	sar	B	B	2	1
156	25	f81r	f81r.25	2	shedy	B	B	2	1
157	25	f81r	f81r.25	3	qol	B	B	2	1
158	25	f81r	f81r.25	4	otain	B	B	2	1
159	25	f81r	f81r.25	5	okair	B	B	2	1
160	25	f81r	f81r.25	6	okal	B	B	2	1
161	25	f81r	f81r.25	7	chedy	B	B	2	1
162	25	f81r	f81r.25	8	dy	B	B	2	1
163	26	f81r	f81r.26	1	pchedy	B	B	2	1
164	26	f81r	f81r.26	2	qokey	B	B	2	1
165	26	f81r	f81r.26	3	oteol	B	B	2	1
166	26	f81r	f81r.26	4	qol	B	B	2	1
167	26	f81r	f81r.26	5	sheor	B	B	2	1
168	26	f81r	f81r.26	6	shedy	B	B	2	1
169	26	f81r	f81r.26	7	qcthdys	B	B	2	1
170	27	f81r	f81r.27	1	sol	B	B	2	1
