rule_id	trigger	output_contract	forbidden_shortcut
R01_FOUR_LAYER	jede f81r-Zeile	ZL3b; unveränderte Tokenwerte; kontextuell gebundene Werte; vorsichtige Arbeitslesung	keine Übersetzung ohne sichtbare Quelltoken
R02_V48_FIRST	exakte V48-Oberfläche	V48-Wert und Provenienz unverändert übernehmen	keine neue Karte darf eine V48-Karte heimlich überschreiben
R03_REVIEW_SPLIT	die 27 Review-Positionen	24 rohe UNKNOWN-Stellen plus zwei line-initiale y und ein freies l getrennt ausweisen	186 V48-Treffer nicht fälschlich mit 183 unveränderten Transfers gleichsetzen
R04_ACTION_GATE	explizite Aktionskarte	nur die Aktionskarte darf einen Imperativ eröffnen	keinen Imperativ nur für flüssige Prosa erfinden
R05_PROCESS_ORDER	mehrere sichtbare Prozessköpfe	Reihenfolge vollständig bewahren	keine Kürzung oder Umstellung
R06_VALUE_TYPING	Mengen- Grad- Form- oder Klassenkarte	Wert an einen sichtbaren Stoff- oder Prozesskopf binden; sonst offen lassen	keine Einheit Wasser Wein Öl Salz oder Gefäß ergänzen
R07_REFERENCE	lizenzierte y- oder Antezedensstelle	Eintrag oder Bezug nur nach lokaler Position entscheiden	kein globales y-Wort
R08_NOMINAL_LINE	kein sicherer freier Aktionskopf	Inventar- Zustands- oder Kataloglesung	keinen Befehl allein aus einer nominalen Prozessform erzwingen
R09_LEARNED_WHOLE	W-Karte	Ganzwortwert und stärksten Kompositionsrivalen sichtbar halten	keine erfundene produktive Zerlegung
R10_READER_RIVAL	ZL3b/IT2a/RF1b-Grenzkonflikt	alle drei Zeilen und die positionsgebundene Entscheidung ausgeben	keinen Leser-Merge ohne sichtbare Gegenlesung
R11_NO_SUPPRESSION	alle 210 Quelltoken	jedes Token genau einmal im Interlinear; Join behält beide Token sichtbar	kein stilles Löschen oder unsichtbares Suffix
R12_NO_GENERIC_FILLER	jede deutsche Ausgabe	konkrete Stoff- Mengen- Zustands- Prozess- oder Unsicherheitswörter	Arbeitsgut Arbeitsstelle Arbeitsgang Stationsansatz Arbeitsvorgang Arbeitsmittel
R13_NO_FALSE_SPECIFICITY	breiter Stoff- Flüssigkeits- Krankheits- oder Gefäßslot	breiten Slot sichtbar lassen bis eine konkrete Karte vorliegt	kein Wasser Wein Öl Salz Behälter Patient Krankheit oder Heilung aus bloßem Registerkontext
