global_ordinal	locus	token_index	surface	gdt416_imperative_clause_de	gdt416_generic_station_or_entry	gdt416_inherited_action	gdt416_inherited_argument	gdt674_route	gdt674_token_meaning_de	comparison_only_not_meaning_input
1	f81r.1	1	polchoy	Weiter setze den Stationsposten ein und entnimm den Stationsposten; als Ausführung.	1	0	0	ROLE_COMPOSED_REVIEW	Pulverstoff trocknen, ansetzen und leicht abschließen	1
2	f81r.1	2	qokedy	Setze den Stationsposten [wie zuvor] im Stationsgang an; auf Grad I; schließe den Schritt.	1	0	1	INHERITED_V48	heiß in der Mitte des Grades, abgeschlossen	1
3	f81r.1	3	shol	Weiter halte den Stationsposten [wie zuvor].	1	0	1	INHERITED_V48	feucht; nominal feuchtes Gut/Material	1
4	f81r.1	4	opchedy	Setze den Stationsposten [wie zuvor] ein und bearbeite den Stationsposten [wie zuvor]; als Ausführung; schließe den Schritt.	1	0	1	INHERITED_V48	vollständig getrocknetes Pulverpräparat	1
5	f81r.1	5	olpchedy	Weiter setze den Stationsposten [wie zuvor] ein und bearbeite den Stationsposten [wie zuvor]; schließe den Schritt.	1	0	1	ROLE_COMPOSED_REVIEW	Holzdrogenansatz zu Trockenpulver verarbeiten und fertigstellen	1
6	f81r.1	6	ofshdy	Halte den Stationsposten; als Ausführung; an der bezeichneten Stelle und an der bezeichneten Stelle.	1	0	0	ROLE_COMPOSED_REVIEW	Blütenfraktionsansatz einweichen und fertigstellen	1
7	f81r.1	7	oly	Weiter im laufenden Gang halte den Stationsposten.	1	1	0	INHERITED_V48	abseihen	1
8	f81r.2	1	dchey	Entnimm den Stationsposten; auf Grad I.	1	0	0	ROLE_COMPOSED_REVIEW	eine Dosis bis zur Mittelstufe trocknen und abschließen	1
9	f81r.2	2	lshl	Halte den Stationsposten [wie zuvor]; über die sichtbare Verbindung [außen] und über die sichtbare Verbindung [innen].	1	0	1	LOCAL_WHOLE_REVIEW	eingeweichte Holzdroge	1
10	f81r.2	3	alched	Bearbeite den Stationsposten [wie zuvor]; zur Zielstation.	1	0	1	ROLE_COMPOSED_REVIEW	Rohdroge I bis zur Mittelstufe trocknen und abschließen	1
11	f81r.2	4	qokol	Weiter setze den Stationsposten [wie zuvor] im Stationsgang an.	1	0	1	INHERITED_V48	erhitzen	1
12	f81r.2	5	chol	Weiter im laufenden Gang setze den Stationsposten [wie zuvor] im Stationsgang an.	1	1	1	INHERITED_V48	trocken; nominal trockenes Gut/Material	1
13	f81r.2	6	otar	Danach im laufenden Gang setze den Stationsposten [wie zuvor] im Stationsgang an; von der Ausgangsstation.	1	1	1	INHERITED_V48	kalte Drogenfraktion I im Ansatz	1
14	f81r.2	7	chedy	Bearbeite den Stationsposten.	1	0	0	INHERITED_V48	trocken in der Mitte des Grades, abgeschlossen	1
15	f81r.2	8	oky	Setze den Stationsposten im Stationsgang an.	1	0	0	INHERITED_V48	heißer Ansatz am Anfang des Grades	1
16	f81r.3	1	qotey	Danach im laufenden Gang setze den Stationsposten im Stationsgang an; auf Grad I.	1	1	0	INHERITED_V48	kalt in der Mitte des Grades	1
17	f81r.3	2	l	Im laufenden Gang setze den Stationsposten [wie zuvor] im Stationsgang an; über die sichtbare Verbindung.	1	1	1	INHERITED_V48	Holzdroge in der gebundenen Anschlussform	1
18	f81r.3	3	chees	Halte den Stationsposten [wie zuvor]; auf Grad II; an der bezeichneten Stelle.	1	0	1	INHERITED_V48	vollständig getrocknete Kräutermischung	1
19	f81r.3	4	olkal	Weiter führe den Stationsposten [wie zuvor] zu; zur Zielstation.	1	0	1	INHERITED_V48	Holzdrogenansatz aus Rohstoff I leicht erhitzt	1
20	f81r.3	5	ol	Weiter im laufenden Gang führe den Stationsposten [wie zuvor] zu.	1	1	1	INHERITED_V48	Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz	1
21	f81r.3	6	chedy	Bearbeite den Stationsposten.	1	0	0	INHERITED_V48	trocken in der Mitte des Grades, abgeschlossen	1
22	f81r.3	7	okar	Setze den Stationsposten [wie zuvor] im Stationsgang an; von der Ausgangsstation.	1	0	1	INHERITED_V48	heiße Drogenfraktion I im Ansatz	1
23	f81r.3	8	shedy	Halte den Stationsposten [wie zuvor]; auf Grad I; schließe den Schritt.	1	0	1	INHERITED_V48	feucht in der Mitte des Grades, abgeschlossen	1
24	f81r.4	1	dchedy	Bearbeite den Stationsposten; an der bezeichneten Stelle.	1	0	0	INHERITED_V48	abgemessene Trockendroge, fertig	1
25	f81r.4	2	qokain	Setze den Stationsanteil im Stationsgang an.	1	0	0	INHERITED_V48	heiß, Grad II	1
26	f81r.4	3	ol	Weiter im laufenden Gang setze den Stationsanteil [wie zuvor] im Stationsgang an.	1	1	1	INHERITED_V48	Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz	1
27	f81r.4	4	ol	Weiter im laufenden Gang setze den Stationsanteil [wie zuvor] im Stationsgang an.	1	1	1	INHERITED_V48	Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz	1
28	f81r.4	5	chcthy	Entnimm den Stationsposten, entnimm den Stationsposten und stelle den Stationsposten ein.	1	0	0	INHERITED_V48	trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut	1
29	f81r.4	6	ykeedy	Führe den Stationsposten [außen] und den Stationsposten [innen] zu; auf Grad II; an der bezeichneten Stelle.	1	0	0	INHERITED_V48	Eintrag/Bezug: heiß am Gradende, abgeschlossen	1
30	f81r.4	7	al	Im laufenden Gang führe den Stationsposten [wie zuvor] zu; zur Zielstation.	1	1	1	INHERITED_V48	Rohstoffklasse I	1
31	f81r.5	1	qol	Weiter im laufenden Gang führe den Stationsposten [wie zuvor] zu.	1	1	1	INHERITED_V48	Drogenstoff zugeben	1
32	f81r.5	2	cheol	Entnimm den Stationsposten [wie zuvor]; über die sichtbare Verbindung; auf Grad I und als Ausführung.	1	0	1	INHERITED_V48	trockener Drogenstoff	1
33	f81r.5	3	okeey	Setze den Stationsposten im Stationsgang an; auf Grad II.	1	0	0	INHERITED_V48	heißer Ansatz am Ende des Grades	1
34	f81r.5	4	ol	Weiter im laufenden Gang setze den Stationsposten [wie zuvor] im Stationsgang an.	1	1	1	INHERITED_V48	Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz	1
35	f81r.5	5	ol	Weiter im laufenden Gang setze den Stationsposten [wie zuvor] im Stationsgang an.	1	1	1	INHERITED_V48	Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz	1
36	f81r.5	6	olaiin	Weiter im laufenden Gang setze den Stationswert im Stationsgang an.	1	1	0	INHERITED_V48	Drogenstoff, Menge III	1
37	f81r.5	7	ol	Weiter im laufenden Gang setze den Stationswert [wie zuvor] im Stationsgang an.	1	1	1	INHERITED_V48	Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz	1
38	f81r.5	8	or	Im laufenden Gang setze die Stationseinheit im Stationsgang an.	1	1	0	INHERITED_V48	Drogenportion	1
39	f81r.5	9	ain	Im laufenden Gang setze den Stationsanteil im Stationsgang an.	1	1	0	INHERITED_V48	Menge-/Klassenwert II	1
40	f81r.6	1	sar	Wähle den Stationsanteil [wie zuvor]; von der Ausgangsstation.	1	0	1	INHERITED_V48	Samenfraktion I	1
41	f81r.6	2	ol	Weiter im laufenden Gang wähle den Stationsanteil [wie zuvor].	1	1	1	INHERITED_V48	Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz	1
42	f81r.6	3	eses	Wähle den Stationsanteil [wie zuvor] und wähle den Stationsanteil [wie zuvor]; auf Grad I und auf Grad I.	1	0	1	LOCAL_WHOLE_REVIEW	zwei Arzneispecies der Mittelstufe	1
43	f81r.6	4	oteey	Danach im laufenden Gang wähle den Stationsposten; auf Grad II.	1	1	0	INHERITED_V48	kalter Ansatz am Ende des Grades	1
44	f81r.6	5	shor	Halte die Stationseinheit.	1	0	0	INHERITED_V48	Blüten-/Fruchtstand; reproduktiver Teil	1
45	f81r.6	6	qokeey	Setze den Stationsposten im Stationsgang an; auf Grad II.	1	0	0	INHERITED_V48	heiß am Ende des Grades	1
46	f81r.6	7	ol	Weiter im laufenden Gang setze den Stationsposten [wie zuvor] im Stationsgang an.	1	1	1	INHERITED_V48	Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz	1
47	f81r.7	1	dshees	Halte den Stationsposten [wie zuvor] und wähle den Stationsposten [wie zuvor]; auf Grad II; an der bezeichneten Stelle.	1	0	1	ROLE_COMPOSED_REVIEW	eine Charge vollständig eingeweichter Droge abmessen	1
48	f81r.7	2	okain	Setze den Stationsanteil im Stationsgang an.	1	0	0	INHERITED_V48	heiß im Zubereitungsrahmen, Grad II	1
49	f81r.7	3	chcthy	Entnimm den Stationsposten, entnimm den Stationsposten und stelle den Stationsposten ein.	1	0	0	INHERITED_V48	trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut	1
50	f81r.7	4	otey	Danach im laufenden Gang stelle den Stationsposten ein; auf Grad I.	1	1	0	INHERITED_V48	kalter Ansatz in der Mitte des Grades	1
51	f81r.7	5	okain	Setze den Stationsanteil im Stationsgang an.	1	0	0	INHERITED_V48	heiß im Zubereitungsrahmen, Grad II	1
52	f81r.8	1	pchedy	Setze den Stationsanteil [wie zuvor] ein und bearbeite den Stationsanteil [wie zuvor]; schließe den Schritt.	1	0	1	INHERITED_V48	getrocknetes Pulver	1
53	f81r.8	2	qokeey	Setze den Stationsposten im Stationsgang an; auf Grad II.	1	0	0	INHERITED_V48	heiß am Ende des Grades	1
54	f81r.8	3	oty	Danach im laufenden Gang setze den Stationsposten im Stationsgang an.	1	1	0	INHERITED_V48	kalter Ansatz am Anfang des Grades	1
55	f81r.8	4	qotey	Danach im laufenden Gang setze den Stationsposten im Stationsgang an; auf Grad I.	1	1	0	INHERITED_V48	kalt in der Mitte des Grades	1
56	f81r.8	5	oteey	Danach im laufenden Gang setze den Stationsposten im Stationsgang an; auf Grad II.	1	1	0	INHERITED_V48	kalter Ansatz am Ende des Grades	1
57	f81r.8	6	oly	Weiter im laufenden Gang setze den Stationsposten im Stationsgang an.	1	1	0	INHERITED_V48	abseihen	1
58	f81r.9	1	qoteesy	Danach wähle den Stationsposten; auf Grad II.	1	0	0	ROLE_COMPOSED_REVIEW	Arzneispecies vollständig abkühlen und abschließen	1
59	f81r.9	2	qotedy	Danach im laufenden Gang wähle den Stationsposten [wie zuvor]; auf Grad I; schließe den Schritt.	1	1	1	INHERITED_V48	kalt in der Mitte des Grades, abgeschlossen	1
60	f81r.9	3	qokeedy	Setze den Stationsposten [wie zuvor] im Stationsgang an; auf Grad II; schließe den Schritt.	1	0	1	INHERITED_V48	heiß am Ende des Grades, abgeschlossen	1
61	f81r.9	4	chcphey	Entnimm den Stationsposten, entnimm den Stationsposten und setze den Stationsposten ein; auf Grad I.	1	0	0	ROLE_COMPOSED_REVIEW	Arzneikompositum bis zur Mittelstufe trocknen und abschließen	1
62	f81r.10	1	chol	Weiter im laufenden Gang setze den Stationsposten [wie zuvor] ein.	1	1	1	INHERITED_V48	trocken; nominal trockenes Gut/Material	1
63	f81r.10	2	dain	Im laufenden Gang setze den Stationsanteil ein.	1	1	0	INHERITED_V48	Qualitätsgrad II	1
64	f81r.10	3	otedy	Danach im laufenden Gang setze den Stationsanteil [wie zuvor] ein; auf Grad I; schließe den Schritt.	1	1	1	INHERITED_V48	kalter Ansatz in der Mitte des Grades, abgeschlossen	1
65	f81r.10	4	cheey	Halte den Stationsposten; auf Grad II.	1	0	0	INHERITED_V48	trocken am Ende des Grades	1
66	f81r.10	5	qotain	Danach im laufenden Gang halte den Stationsanteil.	1	1	0	INHERITED_V48	kalt im qo-Rahmen, Grad II	1
67	f81r.10	6	ly	Im laufenden Gang halte den Stationsposten; über die sichtbare Verbindung.	1	1	0	INHERITED_V48	rohes Drogenholz	1
68	f81r.11	1	olsheol	Weiter und weiter führe den Stationsposten [wie zuvor] zu; auf Grad I.	1	0	1	INHERITED_V48	eingeweichte Holzdroge im Ansatz	1
69	f81r.11	2	olkedy	Weiter führe den Stationsposten [wie zuvor] zu; auf Grad I; schließe den Schritt.	1	0	1	INHERITED_V48	erhitzte Drogenbasis, fertig	1
70	f81r.11	3	sheckhedy	Halte den Stationsposten [wie zuvor], entnimm den Stationsposten [wie zuvor] und führe den Stationsposten [wie zuvor] zu; auf Grad I und auf Grad I; schließe den Schritt.	1	0	1	INHERITED_V48	feuchtes Arzneikompositum in der Gradmitte, abgeschlossen	1
71	f81r.11	4	oltedy	Weiter stelle den Stationsposten [wie zuvor] ein; auf Grad I; schließe den Schritt.	1	0	1	INHERITED_V48	kalte Drogenbasis, Mittelstufe erreicht	1
72	f81r.12	1	ychedy	Bearbeite den Stationsposten [außen] und den Stationsposten [innen].	1	0	0	INHERITED_V48	Eintrag: getrocknete Droge, fertig	1
73	f81r.12	2	tedy	Stelle den Stationsposten [wie zuvor] ein; auf Grad I; schließe den Schritt.	1	0	1	INHERITED_V48	kalt in der Mitte des Grades, abgeschlossen	1
74	f81r.12	3	ol	Weiter im laufenden Gang stelle den Stationsposten [wie zuvor] ein.	1	1	1	INHERITED_V48	Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz	1
75	f81r.12	4	sheedy	Halte den Stationsposten [wie zuvor]; auf Grad II; schließe den Schritt.	1	0	1	INHERITED_V48	feucht am Ende des Grades, abgeschlossen	1
76	f81r.12	5	qokeey	Setze den Stationsposten im Stationsgang an; auf Grad II.	1	0	0	INHERITED_V48	heiß am Ende des Grades	1
77	f81r.12	6	loly	Weiter im laufenden Gang setze den Stationsposten im Stationsgang an; über die sichtbare Verbindung.	1	1	0	INHERITED_V48	seihe den Holzabsud ab	1
78	f81r.13	1	dchol	Weiter im laufenden Gang setze den Stationsposten [wie zuvor] im Stationsgang an; an der bezeichneten Stelle.	1	1	1	INHERITED_V48	Maß trockenen Materials	1
79	f81r.13	2	shedy	Halte den Stationsposten [wie zuvor]; auf Grad I; schließe den Schritt.	1	0	1	INHERITED_V48	feucht in der Mitte des Grades, abgeschlossen	1
80	f81r.13	3	qotedy	Danach im laufenden Gang halte den Stationsposten [wie zuvor]; auf Grad I; schließe den Schritt.	1	1	1	INHERITED_V48	kalt in der Mitte des Grades, abgeschlossen	1
81	f81r.13	4	qol	Weiter im laufenden Gang halte den Stationsposten [wie zuvor].	1	1	1	INHERITED_V48	Drogenstoff zugeben	1
82	f81r.13	5	chedy	Bearbeite den Stationsposten.	1	0	0	INHERITED_V48	trocken in der Mitte des Grades, abgeschlossen	1
83	f81r.13	6	chetyry	Entnimm den Stationsposten [außen] und den Stationsposten [innen], stelle den Stationsposten [außen] und den Stationsposten [innen] ein und markiere den Stationsposten [außen] und den Stationsposten [innen]; auf Grad I.	1	0	0	INHERITED_V48	getrocknete, abgekühlte Rohwurzel	1
84	f81r.14	1	qokechedy	Setze den Stationsposten [wie zuvor] im Stationsgang an und bearbeite den Stationsposten [wie zuvor]; auf Grad I; schließe den Schritt.	1	0	1	INHERITED_V48	erhitze bis zur Mittelstufe, trockne bis zur Mittelstufe und schließe ab	1
85	f81r.14	2	qolsheedy	Weiter halte den Stationsposten [wie zuvor]; auf Grad II; schließe den Schritt.	1	0	1	ROLE_COMPOSED_REVIEW	vollständig eingeweichten Drogenstoff zugeben und fertigstellen	1
86	f81r.14	3	or	Im laufenden Gang halte die Stationseinheit.	1	1	0	INHERITED_V48	Drogenportion	1
87	f81r.14	4	ain	Im laufenden Gang halte den Stationsanteil.	1	1	0	INHERITED_V48	Menge-/Klassenwert II	1
88	f81r.14	5	arol	Weiter im laufenden Gang halte den Stationsanteil [wie zuvor]; von der Ausgangsstation.	1	1	1	INHERITED_V48	Grundauszug, Fraktion I	1
89	f81r.14	6	oeeedy	Im laufenden Gang halte den Stationsanteil [wie zuvor]; als Ausführung und auf Grad III; schließe den Schritt.	1	1	1	ROLE_COMPOSED_REVIEW	Ansatz lange oder bis zur letzten Stufe ruhen lassen und fertigstellen	1
90	f81r.15	1	sain	Wähle den Stationsanteil.	1	0	0	INHERITED_V48	Saatgut, Typ/Charge II	1
91	f81r.15	2	ol	Weiter im laufenden Gang wähle den Stationsanteil [wie zuvor].	1	1	1	INHERITED_V48	Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz	1
92	f81r.15	3	cheedy	Entnimm den Stationsposten; auf Grad II; an der bezeichneten Stelle.	1	0	0	INHERITED_V48	trocken am Ende des Grades, abgeschlossen	1
93	f81r.15	4	qokeedy	Setze den Stationsposten [wie zuvor] im Stationsgang an; auf Grad II; schließe den Schritt.	1	0	1	INHERITED_V48	heiß am Ende des Grades, abgeschlossen	1
94	f81r.15	5	otedy	Danach im laufenden Gang setze den Stationsposten [wie zuvor] im Stationsgang an; auf Grad I; schließe den Schritt.	1	1	1	INHERITED_V48	kalter Ansatz in der Mitte des Grades, abgeschlossen	1
95	f81r.16	1	polchdy	Weiter setze ein und bearbeite; schließe den Schritt.	0	0	0	INHERITED_V48	Pulverstoff trocknen und fertigstellen	1
96	f81r.16	2	qopchol	Weiter setze ein und entnimm; als neuen Einsatz und als Ausführung.	0	0	0	ROLE_COMPOSED_REVIEW	nimm getrockneten Pulverstoff	1
97	f81r.16	3	qokor	Setze die Stationseinheit im Stationsgang an.	1	0	0	INHERITED_V48	heiße Drogenportion	1
98	f81r.16	4	olpchedy	Weiter setze die Stationseinheit [wie zuvor] ein und bearbeite die Stationseinheit [wie zuvor]; schließe den Schritt.	1	0	1	ROLE_COMPOSED_REVIEW	Holzdrogenansatz zu Trockenpulver verarbeiten und fertigstellen	1
99	f81r.16	5	opol	Weiter setze die Stationseinheit [wie zuvor] ein; als Ausführung.	1	0	1	INHERITED_V48	Pulveransatz	1
100	f81r.16	6	oraisy	Wähle die Stationseinheit, den Stationsanteil und den Stationsposten.	1	0	0	ROLE_COMPOSED_REVIEW	eine Portion Arzneispecies der Form I abteilen und abschließen	1
101	f81r.17	1	y	Im laufenden Gang wähle den Stationsposten.	1	1	0	OCCURRENCE_CONTEXT_REVIEW	Eintrag:	1
102	f81r.17	2	checthy	Entnimm den Stationsposten und stelle den Stationsposten ein.	1	0	0	INHERITED_V48	trockenes CTH-Drogenmaterial; im Herbal trockenes Blatt-/Krautgut	1
103	f81r.17	3	okeedy	Setze den Stationsposten [wie zuvor] im Stationsgang an; auf Grad II; schließe den Schritt.	1	0	1	INHERITED_V48	heißer Ansatz am Ende des Grades, abgeschlossen	1
104	f81r.17	4	shey	Halte den Stationsposten; auf Grad I.	1	0	0	INHERITED_V48	feucht in der Mitte des Grades	1
105	f81r.17	5	qokedy	Setze den Stationsposten [wie zuvor] im Stationsgang an; auf Grad I; schließe den Schritt.	1	0	1	INHERITED_V48	heiß in der Mitte des Grades, abgeschlossen	1
106	f81r.17	6	ol	Weiter im laufenden Gang setze den Stationsposten [wie zuvor] im Stationsgang an.	1	1	1	INHERITED_V48	Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz	1
107	f81r.17	7	ochedar	Bearbeite den Stationsposten [wie zuvor]; von der Ausgangsstation; als Ausführung.	1	0	1	INHERITED_V48	trockener Ansatz in der Gradmitte, abgemessene Fraktion I	1
108	f81r.18	1	osheedy	Halte den Stationsposten [wie zuvor]; als Ausführung und auf Grad II; schließe den Schritt.	1	0	1	ROLE_COMPOSED_REVIEW	Ansatz vollständig einweichen und fertigstellen	1
109	f81r.18	2	shedy	Halte den Stationsposten [wie zuvor]; auf Grad I; schließe den Schritt.	1	0	1	INHERITED_V48	feucht in der Mitte des Grades, abgeschlossen	1
110	f81r.18	3	ol	Weiter im laufenden Gang halte den Stationsposten [wie zuvor].	1	1	1	INHERITED_V48	Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz	1
111	f81r.18	4	shedy	Halte den Stationsposten [wie zuvor]; auf Grad I; schließe den Schritt.	1	0	1	INHERITED_V48	feucht in der Mitte des Grades, abgeschlossen	1
112	f81r.18	5	okeedy	Setze den Stationsposten [wie zuvor] im Stationsgang an; auf Grad II; schließe den Schritt.	1	0	1	INHERITED_V48	heißer Ansatz am Ende des Grades, abgeschlossen	1
113	f81r.18	6	oror	Im laufenden Gang setze die Stationseinheit [außen] und die Stationseinheit [innen] im Stationsgang an.	1	1	0	ROLE_COMPOSED_REVIEW	zwei Portionen	1
114	f81r.19	1	qokedy	Setze die Stationseinheit [wie zuvor] im Stationsgang an; auf Grad I; schließe den Schritt.	1	0	1	INHERITED_V48	heiß in der Mitte des Grades, abgeschlossen	1
115	f81r.19	2	sheedy	Halte die Stationseinheit [wie zuvor]; auf Grad II; schließe den Schritt.	1	0	1	INHERITED_V48	feucht am Ende des Grades, abgeschlossen	1
116	f81r.19	3	chedy	Bearbeite den Stationsposten.	1	0	0	INHERITED_V48	trocken in der Mitte des Grades, abgeschlossen	1
117	f81r.19	4	qoteedy	Danach im laufenden Gang bearbeite den Stationsposten [wie zuvor]; auf Grad II; schließe den Schritt.	1	1	1	INHERITED_V48	kalt am Ende des Grades, abgeschlossen	1
118	f81r.19	5	olam	Weiter im laufenden Gang bearbeite den Stationsposten [wie zuvor]; an der bezeichneten Stelle.	1	1	1	ROLE_COMPOSED_REVIEW	ein Maß Holzdroge im Ansatz	1
119	f81r.20	1	qopchedy	Setze den Stationsposten ein und bearbeite den Stationsposten; als neuen Einsatz und als Ausführung.	1	0	0	INHERITED_V48	nimm das bis zur Mittelstufe getrocknete und fertiggestellte Pulverpräparat	1
120	f81r.20	2	qol	Weiter im laufenden Gang bearbeite den Stationsposten [wie zuvor].	1	1	1	INHERITED_V48	Drogenstoff zugeben	1
121	f81r.20	3	chedy	Bearbeite den Stationsposten.	1	0	0	INHERITED_V48	trocken in der Mitte des Grades, abgeschlossen	1
122	f81r.20	4	qokeey	Setze den Stationsposten im Stationsgang an; auf Grad II.	1	0	0	INHERITED_V48	heiß am Ende des Grades	1
