line_ordinal	page	locus	visual_block	line_mode	token_count	zl3b_line	it2a_line	rf1b_line	all_present_exact	inherited_v48_tokens	review_tokens	raw_unknown_before	unknown_after	newly_complete	composed_review_tokens	learned_review_tokens	context_review_tokens	explicit_action_tokens	explicit_action_token_indices	review_token_indices	value_attachment_token_indices	literal_token_glosses_de	contextual_token_values_de	frame	working_translation_de	uncertainty_note
1	f81r	f81r.1	F81R_UPPER_POOL	INHERITED_ACTION_ANCHOR	7	polchoy qokedy shol opchedy olpchedy ofshdy oly	polchey qokedy shol opchedy olpchedy ofshdy oly	polchoy qoked ol opched olpchedy ofsh y oly	0	4	3	3	0	1	3	0	0	1	7	1,5,6	NONE	polchoy = Pulverstoff trocknen, ansetzen und leicht abschließen | qokedy = heiß in der Mitte des Grades, abgeschlossen | shol = feucht; nominal feuchtes Gut/Material | opchedy = vollständig getrocknetes Pulverpräparat | olpchedy = Holzdrogenansatz zu Trockenpulver verarbeiten und fertigstellen | ofshdy = Blütenfraktionsansatz einweichen und fertigstellen | oly = abseihen	polchoy = Pulverstoff trocknen, ansetzen und leicht abschließen | qokedy = heiß in der Mitte des Grades, abgeschlossen | shol = feucht; nominal feuchtes Gut/Material | opchedy = vollständig getrocknetes Pulverpräparat | olpchedy = Holzdrogenansatz zu Trockenpulver verarbeiten und fertigstellen | ofshdy = Blütenfraktionsansatz einweichen und fertigstellen | oly = abseihen	MIXED_PROCESS_REGISTER	Grundansatz aus leicht getrocknetem Pulverstoff: heiß bis Mittelstufe und abgeschlossen; dazu Feuchtmaterial, vollständig getrocknetes Pulverpräparat und fertiggestelltes Holzdrogen-Trockenpulver. Den Blütenfraktionsansatz einweichen, fertigstellen und abseihen.	Die f-Blütenkarte ist eine enge Familienerweiterung; sie benennt keine Pflanzenart.
2	f81r	f81r.2	F81R_UPPER_POOL	INHERITED_ACTION_ANCHOR	8	dchey lshl alched qokol chol otar chedy oky	dchey lshl olched qokol chol otar chedy oky	chey lshl alched qokol chol otar chedy oky	0	5	3	3	0	1	2	1	0	1	4	1,2,3	NONE	dchey = eine Dosis bis zur Mittelstufe trocknen und abschließen | lshl = eingeweichte Holzdroge | alched = Rohdroge I bis zur Mittelstufe trocknen und abschließen | qokol = erhitzen | chol = trocken; nominal trockenes Gut/Material | otar = kalte Drogenfraktion I im Ansatz | chedy = trocken in der Mitte des Grades, abgeschlossen | oky = heißer Ansatz am Anfang des Grades	dchey = eine Dosis bis zur Mittelstufe trocknen und abschließen | lshl = eingeweichte Holzdroge | alched = Rohdroge I bis zur Mittelstufe trocknen und abschließen | qokol = erhitzen | chol = trocken; nominal trockenes Gut/Material | otar = kalte Drogenfraktion I im Ansatz | chedy = trocken in der Mitte des Grades, abgeschlossen | oky = heißer Ansatz am Anfang des Grades	SEQUENTIAL_PROCESS	Eine Dosis bis zur Mittelstufe trocknen und schließen; eingeweichte Holzdroge und Rohdroge I bis zur Mittelstufe trocknen und abschließen. Dann erhitzen: trockenes Material, kalte Fraktion I im Ansatz und Trockengut der Mittelstufe; heißer Ansatz der Grundstufe.	≈ lshl wird als gelerntes Ganzwort für eingeweichte Holzdroge gelesen; seine doppelte l-Kante ist noch nicht valenzsicher.
3	f81r	f81r.3	F81R_UPPER_POOL	NO_INHERITED_ACTION_ANCHOR	8	qotey l chees olkal ol chedy okar shedy	qotey lchees olkal ol chedy okar shedy	qotey l chees olkal ol chedy okar she y	0	8	0	0	0	0	0	0	0	0	NONE	NONE	NONE	qotey = kalt in der Mitte des Grades | l = Holzdroge in der gebundenen Anschlussform | chees = vollständig getrocknete Kräutermischung | olkal = Holzdrogenansatz aus Rohstoff I leicht erhitzt | ol = Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | chedy = trocken in der Mitte des Grades, abgeschlossen | okar = heiße Drogenfraktion I im Ansatz | shedy = feucht in der Mitte des Grades, abgeschlossen	qotey = kalt in der Mitte des Grades | l = Holzdroge in der gebundenen Anschlussform | chees = vollständig getrocknete Kräutermischung | olkal = Holzdrogenansatz aus Rohstoff I leicht erhitzt | ol = Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | chedy = trocken in der Mitte des Grades, abgeschlossen | okar = heiße Drogenfraktion I im Ansatz | shedy = feucht in der Mitte des Grades, abgeschlossen	MATERIAL_STATE_REGISTER	Kühlstufe Mitte: gebundene Holzdroge, vollständig getrocknete Kräutermischung und leicht erhitzter Holzdrogenansatz aus Rohstoff I; danach Grundansatz trocken auf Mittelstufe, abgeschlossen, mit erster Heißfraktion und feuchtem Mittelstufenschluss.	Die nackte ol-Karte bleibt der breite Grundansatz und spezifiziert weder Wasser noch Wein noch Öl.
4	f81r	f81r.4	F81R_UPPER_POOL	NO_INHERITED_ACTION_ANCHOR	7	dchedy qokain ol ol chcthy ykeedy al	dchedy qokain ol ol chcthy ykeedy al	dchedy qokain ol ol chcthy ykeedy al	1	7	0	0	0	0	0	0	0	0	NONE	NONE	NONE	dchedy = abgemessene Trockendroge, fertig | qokain = heiß, Grad II | ol = Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | ol = Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | chcthy = trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut | ykeedy = Eintrag/Bezug: heiß am Gradende, abgeschlossen | al = Rohstoffklasse I	dchedy = abgemessene Trockendroge, fertig | qokain = heiß, Grad II | ol = Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | ol = Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | chcthy = trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut | ykeedy = Eintrag/Bezug: heiß am Gradende, abgeschlossen | al = Rohstoffklasse I	QUANTITY_MATERIAL_REGISTER	Abgemessene Trockendroge fertigstellen und auf Heizstufe II bringen; Grundansatz, nochmals Grundansatz, mit trockener Krautdroge. Hiervon die heiße Endstufe abschließen; Rohdroge I.	Die sichtbare Wiederholung ol ol wird nicht heimlich zu einer bewiesenen Zahl umgedeutet.
5	f81r	f81r.5	F81R_UPPER_POOL	INHERITED_ACTION_ANCHOR	9	qol cheol okeey ol ol olaiin ol or ain	qol cheol okeey ol ol ol aiin ol orain	qol cheol okeey ol ol ol aiin ol or ain	0	9	0	0	0	0	0	0	0	1	1	NONE	9	qol = Drogenstoff zugeben | cheol = trockener Drogenstoff | okeey = heißer Ansatz am Ende des Grades | ol = Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | ol = Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | olaiin = Drogenstoff, Menge III | ol = Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | or = Drogenportion | ain = Menge-/Klassenwert II	qol = Drogenstoff zugeben | cheol = trockener Drogenstoff | okeey = heißer Ansatz am Ende des Grades | ol = Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | ol = Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | olaiin = Drogenstoff, Menge III | ol = Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | or = Drogenportion | ain = Klassenwert II der unmittelbar vorangehenden Drogenportion	ADDITION_QUANTITY_REGISTER	Getrockneten Drogenstoff zugeben; den Ansatz vollständig erhitzen. Grundansatz, nochmals Grundansatz, dann Drogenstoffmenge III; weiterer Grundansatz: eine Portion, Klassenwert II.	Die letzten Werte bleiben als sichtbare Mengen-/Klassenfolge erhalten; ihre Maßeinheit ist unbekannt.
6	f81r	f81r.6	F81R_UPPER_POOL	NO_INHERITED_ACTION_ANCHOR	7	sar ol eses oteey shor qokeey ol	sar ol eses oteey shor qokeey ol	sar ol eses oteey shor qokeey ol	1	6	1	1	0	1	0	1	0	0	NONE	3	NONE	sar = Samenfraktion I | ol = Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | eses = zwei Arzneispecies der Mittelstufe | oteey = kalter Ansatz am Ende des Grades | shor = Blüten-/Fruchtstand; reproduktiver Teil | qokeey = heiß am Ende des Grades | ol = Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz	sar = Samenfraktion I | ol = Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | eses = zwei Arzneispecies der Mittelstufe | oteey = kalter Ansatz am Ende des Grades | shor = Blüten-/Fruchtstand; reproduktiver Teil | qokeey = heiß am Ende des Grades | ol = Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz	TWO_ENTRY_REGISTER	Erste Samenfraktion im Grundansatz mit zwei Arzneispecies der Mittelstufe; kalt bis Endstufe. Blüten- oder Fruchtstand heiß bis Endstufe, im Grundansatz.	≈ eses ist die sichtbare Wiederholung der gelernten es-Karte; die Zweierlesung bleibt ein Arbeitsdefault, keine globale Zahlregel.
7	f81r	f81r.7	F81R_UPPER_POOL	NO_INHERITED_ACTION_ANCHOR	5	dshees okain chcthy otey okain	dshees okain chcthy otey okain	ees okain chcthy otey okain	0	4	1	1	0	1	1	0	0	0	NONE	1	NONE	dshees = eine Charge vollständig eingeweichter Droge abmessen | okain = heiß im Zubereitungsrahmen, Grad II | chcthy = trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut | otey = kalter Ansatz in der Mitte des Grades | okain = heiß im Zubereitungsrahmen, Grad II	dshees = eine Charge vollständig eingeweichter Droge abmessen | okain = heiß im Zubereitungsrahmen, Grad II | chcthy = trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut | otey = kalter Ansatz in der Mitte des Grades | okain = heiß im Zubereitungsrahmen, Grad II	DOSE_PROCESS	Eine Charge vollständig eingeweichter Droge abmessen; auf Heizstufe II. Trockene Krautdroge in kaltem Ansatz der Mittelstufe, anschließend wieder Heizstufe II.	Terminales s wird hier als Species oder Charge gelesen; eine Dosislesung bleibt möglich.
8	f81r	f81r.8	F81R_UPPER_POOL	INHERITED_ACTION_ANCHOR	6	pchedy qokeey oty qotey oteey oly	pchedy qokeey oty qotey oteey oly	pche y qokeey oty qotey oteey oly	0	6	0	0	0	0	0	0	0	1	6	NONE	NONE	pchedy = getrocknetes Pulver | qokeey = heiß am Ende des Grades | oty = kalter Ansatz am Anfang des Grades | qotey = kalt in der Mitte des Grades | oteey = kalter Ansatz am Ende des Grades | oly = abseihen	pchedy = getrocknetes Pulver | qokeey = heiß am Ende des Grades | oty = kalter Ansatz am Anfang des Grades | qotey = kalt in der Mitte des Grades | oteey = kalter Ansatz am Ende des Grades | oly = abseihen	PROCESS_SEQUENCE	Getrocknetes Pulver vollständig erhitzen; den Ansatz von kalter Grundstufe über Mittelstufe bis zur Endstufe kühlen, dann abseihen.	Diese Zeile ist vollständig V48-gedeckt und braucht keine neue Ganzwortkarte.
9	f81r	f81r.9	F81R_UPPER_POOL	NO_INHERITED_ACTION_ANCHOR	4	qoteesy qotedy qokeedy chcphey	qoteesy qotedy qokeedy chcphey	qoteesy qote y qokee y chcphey	0	2	2	2	0	1	2	0	0	0	NONE	1,4	NONE	qoteesy = Arzneispecies vollständig abkühlen und abschließen | qotedy = kalt in der Mitte des Grades, abgeschlossen | qokeedy = heiß am Ende des Grades, abgeschlossen | chcphey = Arzneikompositum bis zur Mittelstufe trocknen und abschließen	qoteesy = Arzneispecies vollständig abkühlen und abschließen | qotedy = kalt in der Mitte des Grades, abgeschlossen | qokeedy = heiß am Ende des Grades, abgeschlossen | chcphey = Arzneikompositum bis zur Mittelstufe trocknen und abschließen	PROCESS_SEQUENCE	Arzneispecies vollständig abkühlen und abschließen; den kalten Ansatz auf Mittelstufe abschließen, anschließend vollständig erhitzen und schließen; Arzneikompositum bis Mittelstufe trocknen und abschließen.	qoteesy nutzt die enge Species-vor-äußerem-y-Karte; eine Saatgutlesung bleibt der stärkste Rivale.
10	f81r	f81r.10	F81R_UPPER_POOL	NO_INHERITED_ACTION_ANCHOR	6	chol dain otedy cheey qotain ly	chol dain otedy cheey qotain ly	chol dain ote y cheey qotain ly	0	6	0	0	0	0	0	0	0	0	NONE	NONE	2	chol = trocken; nominal trockenes Gut/Material | dain = Qualitätsgrad II | otedy = kalter Ansatz in der Mitte des Grades, abgeschlossen | cheey = trocken am Ende des Grades | qotain = kalt im qo-Rahmen, Grad II | ly = rohes Drogenholz	chol = trocken; nominal trockenes Gut/Material | dain = Qualitätsstufe II des trockenen Materials | otedy = kalter Ansatz in der Mitte des Grades, abgeschlossen | cheey = trocken am Ende des Grades | qotain = kalt im qo-Rahmen, Grad II | ly = rohes Drogenholz	MATERIAL_STATE_REGISTER	Trockenes Material der Qualitätsstufe II: kalter Ansatz auf Mittelstufe abgeschlossen, vollständig getrocknet, Kältestufe II; dazu rohes Drogenholz.	Die Zeile ist eine Zustands-/Materialliste; kein unbelegter Imperativ wird ergänzt.
