held_folio	model	events	bits	selector_bits	selector_paid_bits	selected_pairs
f10	INDEPENDENT	54	200.689938540	0.000000000	200.689938540	
f10	FOREIGN_GRAPH	54	199.730650117	8.829722735	208.560372853	1-5|3-5|2-3
f10	LOCAL_GRAPH	54	195.548500814	6.714245518	202.262746332	0-5|3-4
f11	INDEPENDENT	23	99.987697758	0.000000000	99.987697758	
f11	FOREIGN_GRAPH	23	99.339440917	8.829722735	108.169163652	1-5|3-5|2-3
f11	LOCAL_GRAPH	23	94.347519378	3.906890596	98.254409974	0-5
f13	INDEPENDENT	24	101.395540414	0.000000000	101.395540414	
f13	FOREIGN_GRAPH	24	101.146352487	8.829722735	109.976075223	1-5|3-5|2-3
f13	LOCAL_GRAPH	24	102.200219241	3.906890596	106.107109837	0-5
f14	INDEPENDENT	42	147.405466271	0.000000000	147.405466271	
f14	FOREIGN_GRAPH	42	147.225970631	8.829722735	156.055693366	1-5|3-5|2-3
f14	LOCAL_GRAPH	42	142.327209260	3.906890596	146.234099856	0-5
f15	INDEPENDENT	94	382.983989474	0.000000000	382.983989474	
f15	FOREIGN_GRAPH	94	380.215372372	8.829722735	389.045095107	1-5|3-5|2-3
f15	LOCAL_GRAPH	94	375.712122059	6.714245518	382.426367577	0-5|3-4
f16	INDEPENDENT	57	234.887100593	0.000000000	234.887100593	
f16	FOREIGN_GRAPH	57	235.043387020	8.829722735	243.873109755	1-5|3-5|2-3
f16	LOCAL_GRAPH	57	230.666944241	3.906890596	234.573834836	0-5
f17	INDEPENDENT	58	245.403005883	0.000000000	245.403005883	
f17	FOREIGN_GRAPH	58	245.194512478	8.829722735	254.024235213	1-5|3-5|2-3
f17	LOCAL_GRAPH	58	243.606341855	6.714245518	250.320587373	0-5|1-5
f18	INDEPENDENT	67	271.197374647	0.000000000	271.197374647	
f18	FOREIGN_GRAPH	67	269.188820848	8.829722735	278.018543583	1-5|3-5|2-3
f18	LOCAL_GRAPH	67	269.778125369	3.906890596	273.685015964	0-5
f19	INDEPENDENT	67	268.835816692	0.000000000	268.835816692	
f19	FOREIGN_GRAPH	67	266.081397957	8.829722735	274.911120693	1-5|3-5|2-3
f19	LOCAL_GRAPH	67	262.574713341	3.906890596	266.481603937	0-5
f2	INDEPENDENT	81	342.981716331	0.000000000	342.981716331	
f2	FOREIGN_GRAPH	81	347.519210014	8.829722735	356.348932749	1-5|3-5|2-3
f2	LOCAL_GRAPH	81	338.909863952	6.714245518	345.624109470	0-5|1-5
f20	INDEPENDENT	60	293.897208875	0.000000000	293.897208875	
f20	FOREIGN_GRAPH	60	295.412266624	8.829722735	304.241989359	1-5|3-5|2-3
f20	LOCAL_GRAPH	60	283.875294151	3.906890596	287.782184747	0-5
f21	INDEPENDENT	58	265.514086834	0.000000000	265.514086834	
f21	FOREIGN_GRAPH	58	267.055395619	8.829722735	275.885118354	1-5|3-5|2-3
f21	LOCAL_GRAPH	58	257.562639066	6.714245518	264.276884583	0-5|1-5
f22	INDEPENDENT	75	297.710439051	0.000000000	297.710439051	
f22	FOREIGN_GRAPH	75	293.400325431	8.829722735	302.230048166	1-5|3-5|2-3
f22	LOCAL_GRAPH	75	298.055093860	8.829722735	306.884816595	0-5|1-5|3-4
f23	INDEPENDENT	49	198.995359859	0.000000000	198.995359859	
f23	FOREIGN_GRAPH	49	196.340028754	8.829722735	205.169751489	1-5|3-5|2-3
f23	LOCAL_GRAPH	49	202.103087126	3.906890596	206.009977721	0-5
f24	INDEPENDENT	54	261.093089761	0.000000000	261.093089761	
f24	FOREIGN_GRAPH	54	260.621346623	8.829722735	269.451069358	1-5|3-5|2-3
f24	LOCAL_GRAPH	54	259.011381778	3.906890596	262.918272374	0-5
f25	INDEPENDENT	24	122.392128371	0.000000000	122.392128371	
f25	FOREIGN_GRAPH	24	121.627402815	8.829722735	130.457125550	1-5|3-5|2-3
f25	LOCAL_GRAPH	24	119.504770253	3.906890596	123.411660849	0-5
