fold_tag	model	selected_edges	selector_bits	all_events	all_bits	all_selector_paid_bits	all_exact_next_state	decisive_events	decisive_bits	decisive_selector_paid_bits	rank_sum	mean_rank	top1	top5	exact_next_state	mean_unlicensed_state_mass	mean_unlicensed_operator_mass	split	held_value
SECTION:B	PLACEMENT	0	0.000000000	1809	8414.740219614	8414.740219614	401	228	1304.793741992	1304.793741992	3755	16.469298246	13	69	13	0.059285166	0.088061341	SECTION	B
SECTION:B	EXACT_PREDECESSOR	0	0.000000000	1809	8333.771524085	8333.771524085	411	228	1307.793736021	1307.793736021	3764	16.508771930	13	69	13	0.059498799	0.086905311	SECTION	B
SECTION:B	SOURCE_STATE_TABLE	0	0.000000000	1809	8280.697086025	8280.697086025	448	228	1331.595277261	1331.595277261	3894	17.078947368	13	70	13	0.059175220	0.085942135	SECTION	B
SECTION:B	INDEPENDENT_MARGINAL	0	0.000000000	1809	8150.658748201	8150.658748201	460	228	1285.915018031	1285.915018031	3679	16.135964912	18	72	18	0.054328202	0.081100081	SECTION	B
SECTION:B	PAIR_GRAPH_NONWRAPPER	0	0.000000000	1809	8150.658748201	8150.658748201	460	228	1285.915018031	1285.915018031	3679	16.135964912	18	72	18	0.054328202	0.081100081	SECTION	B
SECTION:B	PAIR_GRAPH_FULL	3	8.829722735	1809	7926.369125302	7935.198848037	459	228	1278.381104729	1287.210827464	3449	15.127192982	15	77	15	0.032770412	0.054913882	SECTION	B
SECTION:B	EXACT_OPERATOR_LEXICON	0	0.000000000	1775	10986.976040351	10986.976040351	191	228	1789.492298454	1789.492298454	15912	69.789473684	7	20	7	0.111613456	0.000000000	SECTION	B
SECTION:C	PLACEMENT	0	0.000000000	129	593.800241342	593.800241342	39	20	106.232478187	106.232478187	320	16.000000000	2	7	2	0.057605082	0.073179669	SECTION	C
SECTION:C	EXACT_PREDECESSOR	0	0.000000000	129	586.964881228	586.964881228	39	20	105.044599239	105.044599239	294	14.700000000	2	7	2	0.056376315	0.073491376	SECTION	C
SECTION:C	SOURCE_STATE_TABLE	0	0.000000000	129	590.830462154	590.830462154	39	20	108.442636572	108.442636572	332	16.600000000	2	7	2	0.056262552	0.072086674	SECTION	C
SECTION:C	INDEPENDENT_MARGINAL	0	0.000000000	129	581.422404769	581.422404769	39	20	104.690945194	104.690945194	296	14.800000000	2	10	2	0.049894130	0.064612552	SECTION	C
SECTION:C	PAIR_GRAPH_NONWRAPPER	1	3.906890596	129	580.193147410	584.100038006	39	20	104.739690696	108.646581292	292	14.600000000	2	10	2	0.041351824	0.056835354	SECTION	C
SECTION:C	PAIR_GRAPH_FULL	3	8.829722735	129	568.423763005	577.253485740	39	20	102.348607437	111.178330172	274	13.700000000	2	10	2	0.030297100	0.043467774	SECTION	C
SECTION:C	EXACT_OPERATOR_LEXICON	0	0.000000000	125	769.365767493	769.365767493	18	20	153.073226933	153.073226933	1228	61.400000000	0	1	0	0.111693150	0.000000000	SECTION	C
SECTION:H	PLACEMENT	0	0.000000000	3116	14967.734548832	14967.734548832	794	522	3244.868876342	3244.868876342	14373	27.534482759	51	175	51	0.065256817	0.101186695	SECTION	H
SECTION:H	EXACT_PREDECESSOR	0	0.000000000	3116	15025.346660536	15025.346660536	789	522	3257.264790849	3257.264790849	14453	27.687739464	47	174	47	0.065326169	0.100686888	SECTION	H
SECTION:H	SOURCE_STATE_TABLE	0	0.000000000	3116	15088.794820549	15088.794820549	793	522	3314.928307338	3314.928307338	15147	29.017241379	51	163	51	0.062756622	0.098033104	SECTION	H
SECTION:H	INDEPENDENT_MARGINAL	0	0.000000000	3116	15040.871726193	15040.871726193	776	522	3272.868182757	3272.868182757	14760	28.275862069	54	176	54	0.056504603	0.089425342	SECTION	H
SECTION:H	PAIR_GRAPH_NONWRAPPER	1	3.906890596	3116	15047.885460402	15051.792350998	776	522	3272.794667697	3276.701558293	14070	26.954022989	54	173	54	0.051655460	0.085242728	SECTION	H
SECTION:H	PAIR_GRAPH_FULL	3	8.829722735	3116	14956.132792794	14964.962515529	765	522	3248.773155991	3257.602878726	13336	25.547892720	50	173	50	0.037260539	0.070225060	SECTION	H
SECTION:H	EXACT_OPERATOR_LEXICON	0	0.000000000	3028	19014.567325796	19014.567325796	389	522	4160.519561122	4160.519561122	37763	72.342911877	19	67	19	0.121490894	0.000000000	SECTION	H
SECTION:P	PLACEMENT	0	0.000000000	253	1111.435552192	1111.435552192	76	38	236.781719793	236.781719793	1171	30.815789474	4	15	4	0.050752973	0.077832303	SECTION	P
SECTION:P	EXACT_PREDECESSOR	0	0.000000000	253	1111.723592755	1111.723592755	76	38	240.014689130	240.014689130	1282	33.736842105	4	17	4	0.051055651	0.079006927	SECTION	P
SECTION:P	SOURCE_STATE_TABLE	0	0.000000000	253	1120.502410978	1120.502410978	76	38	240.596616986	240.596616986	1196	31.473684211	4	15	4	0.052223525	0.078399451	SECTION	P
SECTION:P	INDEPENDENT_MARGINAL	0	0.000000000	253	1109.927633426	1109.927633426	75	38	239.593157903	239.593157903	1253	32.973684211	4	17	4	0.045653360	0.069526818	SECTION	P
SECTION:P	PAIR_GRAPH_NONWRAPPER	1	3.906890596	253	1109.478423299	1113.385313894	75	38	239.576118638	243.483009233	1196	31.473684211	4	17	4	0.042730276	0.066999809	SECTION	P
SECTION:P	PAIR_GRAPH_FULL	3	8.829722735	253	1111.629435507	1120.459158243	76	38	244.770266349	253.599989084	1216	32.000000000	4	15	4	0.032032173	0.057768741	SECTION	P
SECTION:P	EXACT_OPERATOR_LEXICON	0	0.000000000	250	1458.387315675	1458.387315675	36	38	327.406902128	327.406902128	3283	86.394736842	0	4	0	0.090309204	0.000000000	SECTION	P
SECTION:S	PLACEMENT	0	0.000000000	2573	12425.339778827	12425.339778827	719	427	2671.986539616	2671.986539616	10943	25.627634660	38	119	38	0.051830778	0.089683933	SECTION	S
SECTION:S	EXACT_PREDECESSOR	0	0.000000000	2573	12361.020811407	12361.020811407	722	427	2673.404557252	2673.404557252	10986	25.728337237	40	117	40	0.052621289	0.089415167	SECTION	S
SECTION:S	SOURCE_STATE_TABLE	0	0.000000000	2573	12332.547507839	12332.547507839	718	427	2714.978777199	2714.978777199	11368	26.622950820	38	113	38	0.052001087	0.088343045	SECTION	S
SECTION:S	INDEPENDENT_MARGINAL	0	0.000000000	2573	12153.697553113	12153.697553113	721	427	2637.946020460	2637.946020460	10610	24.847775176	38	122	38	0.049177938	0.084970668	SECTION	S
SECTION:S	PAIR_GRAPH_NONWRAPPER	2	6.714245518	2573	12076.633237077	12083.347482595	722	427	2611.281569006	2617.995814523	10111	23.679156909	38	127	38	0.041470625	0.079203770	SECTION	S
SECTION:S	PAIR_GRAPH_FULL	3	8.829722735	2573	11882.445018911	11891.274741646	728	427	2588.200780261	2597.030502996	9561	22.391100703	40	131	40	0.032972492	0.068163447	SECTION	S
