locus	position	word	segment	role	meaning	status
f32v.7	1	ksho	f32v:S0	Lehrer	⟦ksho⟧	OPEN
f32v.7	2	cphos	f32v:S0	Lehrer	⟦cphos⟧	OPEN
f32v.7	3	she	f32v:S0	Lehrer	⟦she⟧	OPEN
f32v.7	4	sheaiin	f32v:S0	Lehrer	⟦sheaiin⟧	OPEN
f32v.7	5	otshcho	f32v:S0	Lehrer	⟦otshcho⟧	OPEN
f32v.7	6	r	f32v:S0	Lehrer	⟦r⟧	OPEN
f32v.7	7	dain	f32v:S0	Lehrer	Grad Β	HYPOTHESIS_ONLY
f32v.7	8	shckhy	f32v:S0	Lehrer	⟦shckhy⟧	OPEN
f32v.7	9	s	f32v:S0	Lehrer	und	HYPOTHESIS_ONLY
f32v.7	10	odan	f32v:S0	Lehrer	⟦odan⟧	OPEN
f32v.8	1	otchol	f32v:S0	Lehrer	trockener Anteil	HYPOTHESIS_ONLY
f32v.8	2	daiin	f32v:S0	Lehrer	Grad Γ	HYPOTHESIS_ONLY
f32v.8	3	daiin	f32v:S0	Lehrer	Grad Γ	HYPOTHESIS_ONLY
f32v.8	4	ctho	f32v:S0	Lehrer	Pflanzenstoff	HYPOTHESIS_ONLY
f32v.8	5	daiin	f32v:S0	Lehrer	Grad Γ	HYPOTHESIS_ONLY
f32v.8	6	qotaiin	f32v:S1	Fragender	warum	HYPOTHESIS_ONLY
f32v.8	7	otchy	f32v:S1	Fragender	kalt	HYPOTHESIS_ONLY
f32v.8	8	d	f32v:S1	Fragender	⟦d⟧	OPEN
f32v.8	9	shan	f32v:S1	Fragender	⟦shan⟧	OPEN
f32v.9	1	qotchy	f32v:S2	Lehrer	Antwort	HYPOTHESIS_ONLY
f32v.9	2	cfhy	f32v:S2	Lehrer	⟦cfhy⟧	OPEN
f32v.9	3	skey	f32v:S2	Lehrer	⟦skey⟧	OPEN
f32v.9	4	chocthy	f32v:S2	Lehrer	⟦chocthy⟧	OPEN
f32v.9	5	daiin	f32v:S2	Lehrer	Grad Γ	HYPOTHESIS_ONLY
f32v.9	6	cthaiin	f32v:S2	Lehrer	⟦cthaiin⟧	OPEN
f32v.9	7	daiin	f32v:S2	Lehrer	Grad Γ	HYPOTHESIS_ONLY
f32v.10	1	sho	f32v:S2	Lehrer	mit	HYPOTHESIS_ONLY
f32v.10	2	keol	f32v:S2	Lehrer	Öl	HYPOTHESIS_ONLY
f32v.10	3	chor	f32v:S2	Lehrer	Blüten	HYPOTHESIS_ONLY
f32v.10	4	chol	f32v:S2	Lehrer	trocken	HYPOTHESIS_ONLY
f32v.10	5	daiin	f32v:S2	Lehrer	Grad Γ	HYPOTHESIS_ONLY
f32v.10	6	cpho	f32v:S2	Lehrer	⟦cpho⟧	OPEN
f32v.10	7	l	f32v:S2	Lehrer	⟦l⟧	OPEN
f32v.10	8	cthol	f32v:S2	Lehrer	⟦cthol⟧	OPEN
f32v.10	9	da	f32v:S2	Lehrer	⟦da⟧	OPEN
f32v.10	10	ar	f32v:S2	Lehrer	Anteil	HYPOTHESIS_ONLY
f32v.11	1	ol	f32v:S2	Lehrer	auch	HYPOTHESIS_ONLY
f32v.11	2	sho	f32v:S2	Lehrer	mit	HYPOTHESIS_ONLY
f32v.11	3	chy	f32v:S2	Lehrer	Wasser	HYPOTHESIS_ONLY
f29v.1	1	kooiin	f29v:S0	Lehrer	Wurzelstockmaterial	HYPOTHESIS_ONLY
f29v.1	2	shor	f29v:S0	Lehrer	Früchte	HYPOTHESIS_ONLY
f29v.1	3	chetchy	f29v:S0	Lehrer	⟦chetchy⟧	OPEN
f29v.1	4	ol	f29v:S0	Lehrer	auch	HYPOTHESIS_ONLY
f29v.1	5	ls	f29v:S0	Lehrer	⟦ls⟧	OPEN
f29v.1	6	shytchy	f29v:S0	Lehrer	⟦shytchy⟧	OPEN
f29v.1	7	cthy	f29v:S0	Lehrer	Kraut	HYPOTHESIS_ONLY
f29v.1	8	shy	f29v:S0	Lehrer	feucht	HYPOTHESIS_ONLY
f29v.1	9	cho	f29v:S0	Lehrer	Inneres	HYPOTHESIS_ONLY
f29v.1	10	shy	f29v:S0	Lehrer	feucht	HYPOTHESIS_ONLY
f29v.1	11	daiin	f29v:S0	Lehrer	Grad Γ	HYPOTHESIS_ONLY
f29v.2	1	qotcheaiin	f29v:S0	Lehrer	⟦qotcheaiin⟧	OPEN
f29v.2	2	s	f29v:S0	Lehrer	und	HYPOTHESIS_ONLY
f29v.2	3	chol	f29v:S0	Lehrer	trocken	HYPOTHESIS_ONLY
f29v.2	4	chol	f29v:S0	Lehrer	trocken	HYPOTHESIS_ONLY
f29v.2	5	cthy	f29v:S0	Lehrer	Kraut	HYPOTHESIS_ONLY
f29v.2	6	chey	f29v:S0	Lehrer	⟦chey⟧	OPEN
f29v.2	7	cthold	f29v:S0	Lehrer	⟦cthold⟧	OPEN
f29v.2	8	ytchor	f29v:S0	Lehrer	⟦ytchor⟧	OPEN
f29v.2	9	dary	f29v:S0	Lehrer	⟦dary⟧	OPEN
f29v.3	1	chol	f29v:S0	Lehrer	trocken	HYPOTHESIS_ONLY
f29v.3	2	chol	f29v:S0	Lehrer	trocken	HYPOTHESIS_ONLY
f29v.3	3	kor	f29v:S0	Lehrer	⟦kor⟧	OPEN
f29v.3	4	shey	f29v:S1	Fragender	warum	HYPOTHESIS_ONLY
f29v.3	5	odaiin	f29v:S1	Fragender	⟦odaiin⟧	OPEN
f29v.3	6	qotchy	f29v:S2	Lehrer	Antwort	HYPOTHESIS_ONLY
f29v.3	7	taiin	f29v:S2	Lehrer	⟦taiin⟧	OPEN
f29v.3	8	s	f29v:S2	Lehrer	und	HYPOTHESIS_ONLY
f29v.3	9	she	f29v:S2	Lehrer	⟦she⟧	OPEN
f29v.3	10	otey	f29v:S2	Lehrer	⟦otey⟧	OPEN
f29v.3	11	sy	f29v:S2	Lehrer	⟦sy⟧	OPEN
f29v.4	1	ysho	f29v:S2	Lehrer	⟦ysho⟧	OPEN
f29v.4	2	otshy	f29v:S2	Lehrer	kalt-feucht	HYPOTHESIS_ONLY
f29v.4	3	okaiin	f29v:S2	Lehrer	Zubereitung	HYPOTHESIS_ONLY
f29v.4	4	cthy	f29v:S2	Lehrer	Kraut	HYPOTHESIS_ONLY
f29v.4	5	oltchy	f29v:S2	Lehrer	kalt-trocken	HYPOTHESIS_ONLY
f29v.4	6	s	f29v:S2	Lehrer	und	HYPOTHESIS_ONLY
f29v.4	7	shot	f29v:S2	Lehrer	⟦shot⟧	OPEN
f29v.4	8	sho	f29v:S2	Lehrer	mit	HYPOTHESIS_ONLY
f29v.4	9	okaiin	f29v:S2	Lehrer	Zubereitung	HYPOTHESIS_ONLY
