word	meaning	origin	loci	status
ar	Anteil	old_GDT809_assumption	f32v.10:10	HYPOTHESIS_ONLY
cfhy	Eigenart	P10_v02_added_semantic_assumption_not_evidence	f32v.9:2	HYPOTHESIS_ONLY
cho	Inneres	P10_authored_hypothesis_not_identified	f29v.1:9	HYPOTHESIS_ONLY
chocthy	innerer Pflanzenanteil	P10_v02_added_semantic_assumption_not_evidence	f32v.9:4	HYPOTHESIS_ONLY
chol	trocken	old_GDT809_assumption	f32v.10:4,f29v.2:3,f29v.2:4,f29v.3:1,f29v.3:2	HYPOTHESIS_ONLY
chor	Blüten	old_GDT809_assumption	f32v.10:3	HYPOTHESIS_ONLY
chy	Wasser	explicit_v01_to_v02_revision	f32v.11:3	HYPOTHESIS_ONLY
cthaiin	äußerer Pflanzenanteil	P10_v02_added_semantic_assumption_not_evidence	f32v.9:6	HYPOTHESIS_ONLY
ctho	Pflanzenstoff	P10_authored_hypothesis_not_identified	f32v.8:4	HYPOTHESIS_ONLY
cthy	Kraut	old_GDT809_assumption	f29v.1:7,f29v.2:5,f29v.4:4	HYPOTHESIS_ONLY
daiin	Grad Γ	old_GDT809_axis_without_number_commitment	f32v.8:2,f32v.8:3,f32v.8:5,f32v.9:5,f32v.9:7,f32v.10:5,f29v.1:11	HYPOTHESIS_ONLY
dain	Grad Β	old_GDT809_axis_without_number_commitment	f32v.7:7	HYPOTHESIS_ONLY
keol	Öl	P10_authored_hypothesis_not_identified	f32v.10:2	HYPOTHESIS_ONLY
kooiin	Wurzelstockmaterial	old_GDT809_assumption	f29v.1:1	HYPOTHESIS_ONLY
odaiin	abweichender Grad	P10_v02_added_semantic_assumption_not_evidence	f29v.3:5	HYPOTHESIS_ONLY
okaiin	Zubereitung	old_GDT809_assumption	f29v.4:3,f29v.4:9	HYPOTHESIS_ONLY
ol	auch	new_P09_working_hypothesis	f32v.11:1,f29v.1:4	HYPOTHESIS_ONLY
oltchy	kalt-trocken	old_GDT809_assumption	f29v.4:5	HYPOTHESIS_ONLY
otchol	trockener Anteil	P10_authored_hypothesis_not_identified	f32v.8:1	HYPOTHESIS_ONLY
otchy	kalt	P10_authored_hypothesis_not_identified	f32v.8:7	HYPOTHESIS_ONLY
otey	bestimmt	P10_v02_added_semantic_assumption_not_evidence	f29v.3:10	HYPOTHESIS_ONLY
otshy	kalt-feucht	old_GDT809_assumption	f29v.4:2	HYPOTHESIS_ONLY
qotaiin	warum	P10_authored_hypothesis_not_identified	f32v.8:6	HYPOTHESIS_ONLY
qotchy	Antwort	P10_authored_hypothesis_not_identified	f32v.9:1,f29v.3:6	HYPOTHESIS_ONLY
s	und	explicit_v01_to_v02_revision	f32v.7:9,f29v.2:2,f29v.3:8,f29v.4:6	HYPOTHESIS_ONLY
she	Eigenart	P10_v02_added_semantic_assumption_not_evidence	f32v.7:3,f29v.3:9	HYPOTHESIS_ONLY
shey	warum	P10_authored_hypothesis_not_identified	f29v.3:4	HYPOTHESIS_ONLY
sho	mit	explicit_v01_to_v02_revision	f32v.10:1,f32v.11:2,f29v.4:8	HYPOTHESIS_ONLY
shor	Früchte	old_GDT809_assumption	f29v.1:2	HYPOTHESIS_ONLY
shy	feucht	P10_authored_hypothesis_not_identified	f29v.1:8,f29v.1:10	HYPOTHESIS_ONLY
skey	bestimmt	P10_v02_added_semantic_assumption_not_evidence	f32v.9:3	HYPOTHESIS_ONLY
sy	Wirkung	P10_v02_added_semantic_assumption_not_evidence	f29v.3:11	HYPOTHESIS_ONLY
taiin	Mischung	P10_v02_added_semantic_assumption_not_evidence	f29v.3:7	HYPOTHESIS_ONLY
