locus	position	word	segment	role	meaning	status
f32v.7	1	ksho	f32v:S0	Beschreibung	⟦ksho⟧	OPEN
f32v.7	2	cphos	f32v:S0	Beschreibung	⟦cphos⟧	OPEN
f32v.7	3	she	f32v:S0	Beschreibung	Eigenart	HYPOTHESIS_ONLY
f32v.7	4	sheaiin	f32v:S0	Beschreibung	⟦sheaiin⟧	OPEN
f32v.7	5	otshcho	f32v:S0	Beschreibung	⟦otshcho⟧	OPEN
f32v.7	6	r	f32v:S0	Beschreibung	⟦r⟧	OPEN
f32v.7	7	dain	f32v:S0	Beschreibung	Grad Β	HYPOTHESIS_ONLY
f32v.7	8	shckhy	f32v:S0	Beschreibung	⟦shckhy⟧	OPEN
f32v.7	9	s	f32v:S0	Beschreibung	und	HYPOTHESIS_ONLY
f32v.7	10	odan	f32v:S0	Beschreibung	⟦odan⟧	OPEN
f32v.8	1	otchol	f32v:S0	Beschreibung	trockener Anteil	HYPOTHESIS_ONLY
f32v.8	2	daiin	f32v:S0	Beschreibung	Grad Γ	HYPOTHESIS_ONLY
f32v.8	3	daiin	f32v:S0	Beschreibung	Grad Γ	HYPOTHESIS_ONLY
f32v.8	4	ctho	f32v:S0	Beschreibung	Pflanzenstoff	HYPOTHESIS_ONLY
f32v.8	5	daiin	f32v:S0	Beschreibung	Grad Γ	HYPOTHESIS_ONLY
f32v.8	6	qotaiin	f32v:S1	Beschreibung	hinsichtlich	HYPOTHESIS_ONLY
f32v.8	7	otchy	f32v:S1	Beschreibung	kalt	HYPOTHESIS_ONLY
f32v.8	8	d	f32v:S1	Beschreibung	⟦d⟧	OPEN
f32v.8	9	shan	f32v:S1	Beschreibung	⟦shan⟧	OPEN
f32v.9	1	qotchy	f32v:S2	Beschreibung	hierzu	HYPOTHESIS_ONLY
f32v.9	2	cfhy	f32v:S2	Beschreibung	Eigenart	HYPOTHESIS_ONLY
f32v.9	3	skey	f32v:S2	Beschreibung	bestimmt	HYPOTHESIS_ONLY
f32v.9	4	chocthy	f32v:S2	Beschreibung	innerer Pflanzenanteil	HYPOTHESIS_ONLY
f32v.9	5	daiin	f32v:S2	Beschreibung	Grad Γ	HYPOTHESIS_ONLY
f32v.9	6	cthaiin	f32v:S2	Beschreibung	äußerer Pflanzenanteil	HYPOTHESIS_ONLY
f32v.9	7	daiin	f32v:S2	Beschreibung	Grad Γ	HYPOTHESIS_ONLY
f32v.10	1	sho	f32v:S2	Beschreibung	mit	HYPOTHESIS_ONLY
f32v.10	2	keol	f32v:S2	Beschreibung	Öl	HYPOTHESIS_ONLY
f32v.10	3	chor	f32v:S2	Beschreibung	Blüten	HYPOTHESIS_ONLY
f32v.10	4	chol	f32v:S2	Beschreibung	trocken	HYPOTHESIS_ONLY
f32v.10	5	daiin	f32v:S2	Beschreibung	Grad Γ	HYPOTHESIS_ONLY
f32v.10	6	cpho	f32v:S2	Beschreibung	⟦cpho⟧	OPEN
f32v.10	7	l	f32v:S2	Beschreibung	⟦l⟧	OPEN
f32v.10	8	cthol	f32v:S2	Beschreibung	⟦cthol⟧	OPEN
f32v.10	9	da	f32v:S2	Beschreibung	⟦da⟧	OPEN
f32v.10	10	ar	f32v:S2	Beschreibung	Anteil	HYPOTHESIS_ONLY
f32v.11	1	ol	f32v:S2	Beschreibung	auch	HYPOTHESIS_ONLY
f32v.11	2	sho	f32v:S2	Beschreibung	mit	HYPOTHESIS_ONLY
f32v.11	3	chy	f32v:S2	Beschreibung	Wasser	HYPOTHESIS_ONLY
f29v.1	1	kooiin	f29v:S0	Beschreibung	Wurzelstockmaterial	HYPOTHESIS_ONLY
f29v.1	2	shor	f29v:S0	Beschreibung	Früchte	HYPOTHESIS_ONLY
f29v.1	3	chetchy	f29v:S0	Beschreibung	⟦chetchy⟧	OPEN
f29v.1	4	ol	f29v:S0	Beschreibung	auch	HYPOTHESIS_ONLY
f29v.1	5	ls	f29v:S0	Beschreibung	⟦ls⟧	OPEN
f29v.1	6	shytchy	f29v:S0	Beschreibung	⟦shytchy⟧	OPEN
f29v.1	7	cthy	f29v:S0	Beschreibung	Kraut	HYPOTHESIS_ONLY
f29v.1	8	shy	f29v:S0	Beschreibung	feucht	HYPOTHESIS_ONLY
f29v.1	9	cho	f29v:S0	Beschreibung	Inneres	HYPOTHESIS_ONLY
f29v.1	10	shy	f29v:S0	Beschreibung	feucht	HYPOTHESIS_ONLY
f29v.1	11	daiin	f29v:S0	Beschreibung	Grad Γ	HYPOTHESIS_ONLY
f29v.2	1	qotcheaiin	f29v:S0	Beschreibung	⟦qotcheaiin⟧	OPEN
f29v.2	2	s	f29v:S0	Beschreibung	und	HYPOTHESIS_ONLY
f29v.2	3	chol	f29v:S0	Beschreibung	trocken	HYPOTHESIS_ONLY
f29v.2	4	chol	f29v:S0	Beschreibung	trocken	HYPOTHESIS_ONLY
f29v.2	5	cthy	f29v:S0	Beschreibung	Kraut	HYPOTHESIS_ONLY
f29v.2	6	chey	f29v:S0	Beschreibung	⟦chey⟧	OPEN
f29v.2	7	cthold	f29v:S0	Beschreibung	⟦cthold⟧	OPEN
f29v.2	8	ytchor	f29v:S0	Beschreibung	⟦ytchor⟧	OPEN
f29v.2	9	dary	f29v:S0	Beschreibung	⟦dary⟧	OPEN
f29v.3	1	chol	f29v:S0	Beschreibung	trocken	HYPOTHESIS_ONLY
f29v.3	2	chol	f29v:S0	Beschreibung	trocken	HYPOTHESIS_ONLY
f29v.3	3	kor	f29v:S0	Beschreibung	⟦kor⟧	OPEN
f29v.3	4	shey	f29v:S1	Beschreibung	hinsichtlich	HYPOTHESIS_ONLY
f29v.3	5	odaiin	f29v:S1	Beschreibung	abweichender Grad	HYPOTHESIS_ONLY
f29v.3	6	qotchy	f29v:S2	Beschreibung	hierzu	HYPOTHESIS_ONLY
f29v.3	7	taiin	f29v:S2	Beschreibung	Mischung	HYPOTHESIS_ONLY
f29v.3	8	s	f29v:S2	Beschreibung	und	HYPOTHESIS_ONLY
f29v.3	9	she	f29v:S2	Beschreibung	Eigenart	HYPOTHESIS_ONLY
f29v.3	10	otey	f29v:S2	Beschreibung	bestimmt	HYPOTHESIS_ONLY
f29v.3	11	sy	f29v:S2	Beschreibung	Wirkung	HYPOTHESIS_ONLY
f29v.4	1	ysho	f29v:S2	Beschreibung	⟦ysho⟧	OPEN
f29v.4	2	otshy	f29v:S2	Beschreibung	kalt-feucht	HYPOTHESIS_ONLY
f29v.4	3	okaiin	f29v:S2	Beschreibung	Zubereitung	HYPOTHESIS_ONLY
f29v.4	4	cthy	f29v:S2	Beschreibung	Kraut	HYPOTHESIS_ONLY
