statement_id	record_id	page	clause_count	clause_family_sequence	macro_token_count	macro_program	macro_covered_clauses	single_clauses	compression_saved_tokens	reconstructed_clause_family_sequence
H1-S001	H1	f10r	4	READY>DIVIDE>CONTINUE>SET	2	M04[H1-S001-U01+H1-S001-U02] | M05[H1-S001-U03+H1-S001-U04]	4	0	2	READY>DIVIDE>CONTINUE>SET
H1-S002	H1	f10r	4	SET>CONTINUE>CONTINUE>READY	3	M06[H1-S002-U01+H1-S002-U02] | SINGLE_CONTINUE[H1-S002-U03] | SINGLE_READY[H1-S002-U04]	2	2	1	SET>CONTINUE>CONTINUE>READY
H2-S001	H2	f10r	3	READY>READY>READY	3	SINGLE_READY[H2-S001-U01] | SINGLE_READY[H2-S001-U02] | SINGLE_READY[H2-S001-U03]	0	3	0	READY>READY>READY
H2-S002	H2	f10r	4	CONTINUE>CONTINUE>CONTINUE>CONTINUE	2	M01[H2-S002-U01+H2-S002-U02+H2-S002-U03] | SINGLE_CONTINUE[H2-S002-U04]	3	1	2	CONTINUE>CONTINUE>CONTINUE>CONTINUE
H2-S003	H2	f10r	1	PROCESS	1	SINGLE_PROCESS[H2-S003-U01]	0	1	0	PROCESS
H3-S001	H3	f11r	4	LEAD_OUT>SQUEEZE>HOLD>STRAIN_AGAIN	4	SINGLE_LEAD_OUT[H3-S001-U01] | SINGLE_SQUEEZE[H3-S001-U02] | SINGLE_HOLD[H3-S001-U03] | SINGLE_STRAIN_AGAIN[H3-S001-U04]	0	4	0	LEAD_OUT>SQUEEZE>HOLD>STRAIN_AGAIN
H3-S002	H3	f11r	1	OWNER_ACTION	1	SINGLE_OWNER_ACTION[H3-S002-U01]	0	1	0	OWNER_ACTION
H3-S003	H3	f11r	1	PROCESS	1	SINGLE_PROCESS[H3-S003-U01]	0	1	0	PROCESS
H3-S004	H3	f11r	2	SET>READY	1	M09[H3-S004-U01+H3-S004-U02]	2	0	1	SET>READY
H4-S001	H4	f55v	2	SET>WITHDRAW	2	SINGLE_SET[H4-S001-U01] | SINGLE_WITHDRAW[H4-S001-U02]	0	2	0	SET>WITHDRAW
H4-S002	H4	f55v	2	TRANSFER>STORE	2	SINGLE_TRANSFER[H4-S002-U01] | SINGLE_STORE[H4-S002-U02]	0	2	0	TRANSFER>STORE
H4-S003	H4	f55v	2	WARM>CONTINUE	1	M18[H4-S003-U01+H4-S003-U02]	2	0	1	WARM>CONTINUE
