macro_id	clause_family_pattern	clause_length	spoken_workshop_phrase_de	raw_occurrence_count	raw_record_count	raw_records	greedy_occurrence_count	greedy_statement_ids	semantic_level	word_meaning_prohibition
M01	CONTINUE>CONTINUE>CONTINUE	3	denselben Gang über drei Teilposten fortführen	6	2	B1|H2	3	H2-S002|B1-S002|B1-S002	PROCESS_MACRO_ABOVE_CARD_LEVEL	NEVER_ASSIGN_MACRO_PHRASE_TO_ONE_SURFACE_OR_CARD
M02	SET>CONTINUE>SETTLE	3	ansetzen, im selben Gang weiterführen und absetzen lassen	2	2	B1|B4	1	B4-S003	PROCESS_MACRO_ABOVE_CARD_LEVEL	NEVER_ASSIGN_MACRO_PHRASE_TO_ONE_SURFACE_OR_CARD
M03	TRANSFER>CONTINUE>LEAD_OUT	3	umsetzen, weiterführen und am Ende abführen	2	2	B1|B4	2	B1-S014|B4-S011	PROCESS_MACRO_ABOVE_CARD_LEVEL	NEVER_ASSIGN_MACRO_PHRASE_TO_ONE_SURFACE_OR_CARD
M04	READY>DIVIDE	2	bereitstellen und einen Teil abtrennen	2	2	B3|H1	2	H1-S001|B3-S034	PROCESS_MACRO_ABOVE_CARD_LEVEL	NEVER_ASSIGN_MACRO_PHRASE_TO_ONE_SURFACE_OR_CARD
M05	CONTINUE>SET	2	weiterführen und den nächsten Posten ansetzen	3	3	B3|B4|H1	3	H1-S001|B3-S029|B4-S002	PROCESS_MACRO_ABOVE_CARD_LEVEL	NEVER_ASSIGN_MACRO_PHRASE_TO_ONE_SURFACE_OR_CARD
M06	SET>CONTINUE	2	ansetzen und im selben Gang weiterführen	6	5	B1|B3|B4|H1|H4	2	H1-S002|H4-S004	PROCESS_MACRO_ABOVE_CARD_LEVEL	NEVER_ASSIGN_MACRO_PHRASE_TO_ONE_SURFACE_OR_CARD
M07	SET>PASSAGE	2	ansetzen und durch den örtlichen Gang führen	5	4	B1|B2|B4|H5	4	H5-S002|B1-S006|B2-S006|B4-S015	PROCESS_MACRO_ABOVE_CARD_LEVEL	NEVER_ASSIGN_MACRO_PHRASE_TO_ONE_SURFACE_OR_CARD
M08	PASSAGE>SET	2	durchleiten und am folgenden Posten ansetzen	4	2	B1|B2	3	B1-S002|B1-S011|B2-S005	PROCESS_MACRO_ABOVE_CARD_LEVEL	NEVER_ASSIGN_MACRO_PHRASE_TO_ONE_SURFACE_OR_CARD
M09	SET>READY	2	ansetzen und bereitstellen	5	3	B2|B3|H3	4	H3-S004|B2-S005|B3-S013|B3-S021	PROCESS_MACRO_ABOVE_CARD_LEVEL	NEVER_ASSIGN_MACRO_PHRASE_TO_ONE_SURFACE_OR_CARD
M10	SET>SETTLE	2	ansetzen und absetzen lassen	3	3	B2|B3|B4	3	B2-S008|B3-S014|B4-S013	PROCESS_MACRO_ABOVE_CARD_LEVEL	NEVER_ASSIGN_MACRO_PHRASE_TO_ONE_SURFACE_OR_CARD
M11	CONTINUE>SETTLE	2	weiterführen und absetzen lassen	4	2	B1|B4	1	B1-S016	PROCESS_MACRO_ABOVE_CARD_LEVEL	NEVER_ASSIGN_MACRO_PHRASE_TO_ONE_SURFACE_OR_CARD
M12	READY>SET	2	den bereitgestellten Posten ansetzen	3	2	B2|B3	2	B2-S012|B3-S011	PROCESS_MACRO_ABOVE_CARD_LEVEL	NEVER_ASSIGN_MACRO_PHRASE_TO_ONE_SURFACE_OR_CARD
M13	TRANSFER>SET	2	umsetzen und neu ansetzen	5	2	B3|B4	4	B3-S006|B3-S026|B4-S003|B4-S005	PROCESS_MACRO_ABOVE_CARD_LEVEL	NEVER_ASSIGN_MACRO_PHRASE_TO_ONE_SURFACE_OR_CARD
M14	SET>TRANSFER	2	ansetzen und umsetzen	4	2	B3|B4	2	B3-S007|B3-S030	PROCESS_MACRO_ABOVE_CARD_LEVEL	NEVER_ASSIGN_MACRO_PHRASE_TO_ONE_SURFACE_OR_CARD
M15	TRANSFER>CONTINUE	2	umsetzen und weiterführen	4	3	B1|B4|B5	2	B1-S004|B5-S003	PROCESS_MACRO_ABOVE_CARD_LEVEL	NEVER_ASSIGN_MACRO_PHRASE_TO_ONE_SURFACE_OR_CARD
M16	CONTINUE>LEAD_OUT	2	weiterführen und abführen	3	3	B1|B4|B5	1	B5-S003	PROCESS_MACRO_ABOVE_CARD_LEVEL	NEVER_ASSIGN_MACRO_PHRASE_TO_ONE_SURFACE_OR_CARD
M17	CONTINUE>TRANSFER	2	weiterführen und umsetzen	2	2	B1|B5	1	B1-S017	PROCESS_MACRO_ABOVE_CARD_LEVEL	NEVER_ASSIGN_MACRO_PHRASE_TO_ONE_SURFACE_OR_CARD
M18	WARM>CONTINUE	2	erwärmen und im selben Gang weiterführen	2	2	B1|H4	2	H4-S003|B1-S008	PROCESS_MACRO_ABOVE_CARD_LEVEL	NEVER_ASSIGN_MACRO_PHRASE_TO_ONE_SURFACE_OR_CARD
M19	SET>SET	2	zwei aufeinanderfolgende Setzungen ausführen	13	5	B1|B2|B3|B4|H5	9	H5-S004|B1-S002|B1-S016|B2-S003|B2-S010|B2-S011|B2-S016|B3-S028|B4-S011	PROCESS_MACRO_ABOVE_CARD_LEVEL	NEVER_ASSIGN_MACRO_PHRASE_TO_ONE_SURFACE_OR_CARD
M20	CONTINUE>CONTINUE	2	denselben Gang über zwei Teilposten fortführen	10	4	B1|B6|H1|H2	1	B6-S001	PROCESS_MACRO_ABOVE_CARD_LEVEL	NEVER_ASSIGN_MACRO_PHRASE_TO_ONE_SURFACE_OR_CARD
