statement_id	record_id	page	clause_count	clause_family_sequence	macro_token_count	macro_program	macro_covered_clauses	single_clauses	compression_saved_tokens	reconstructed_clause_family_sequence
H3-S001	H3	f11r	4	LEAD_OUT>SQUEEZE>HOLD>STRAIN_AGAIN	4	SINGLE_LEAD_OUT[H3-S001-U01] | SINGLE_SQUEEZE[H3-S001-U02] | SINGLE_HOLD[H3-S001-U03] | SINGLE_STRAIN_AGAIN[H3-S001-U04]	0	4	0	LEAD_OUT>SQUEEZE>HOLD>STRAIN_AGAIN
H3-S002	H3	f11r	1	OWNER_ACTION	1	SINGLE_OWNER_ACTION[H3-S002-U01]	0	1	0	OWNER_ACTION
H3-S003	H3	f11r	1	PROCESS	1	SINGLE_PROCESS[H3-S003-U01]	0	1	0	PROCESS
H3-S004	H3	f11r	2	SET>READY	1	M09[H3-S004-U01+H3-S004-U02]	2	0	1	SET>READY
B2-S001	B2	f82r	1	TRANSFER	1	SINGLE_TRANSFER[B2-S001-U01]	0	1	0	TRANSFER
B2-S002	B2	f82r	1	CONTINUE	1	SINGLE_CONTINUE[B2-S002-U01]	0	1	0	CONTINUE
B2-S003	B2	f82r	2	SET>SET	1	M19[B2-S003-U01+B2-S003-U02]	2	0	1	SET>SET
B2-S004	B2	f82r	5	SET>LEAD_OUT>LEAD_OUT>SET>LEAD_OUT	5	SINGLE_SET[B2-S004-U01] | SINGLE_LEAD_OUT[B2-S004-U02] | SINGLE_LEAD_OUT[B2-S004-U03] | SINGLE_SET[B2-S004-U04] | SINGLE_LEAD_OUT[B2-S004-U05]	0	5	0	SET>LEAD_OUT>LEAD_OUT>SET>LEAD_OUT
B2-S005	B2	f82r	8	SET>COLLECT>PASSAGE>SET>SET>READY>WARM>LEAD_OUT	6	SINGLE_SET[B2-S005-U01] | SINGLE_COLLECT[B2-S005-U02] | M08[B2-S005-U03+B2-S005-U04] | M09[B2-S005-U05+B2-S005-U06] | SINGLE_WARM[B2-S005-U07] | SINGLE_LEAD_OUT[B2-S005-U08]	4	4	2	SET>COLLECT>PASSAGE>SET>SET>READY>WARM>LEAD_OUT
B2-S006	B2	f82r	3	SET>PASSAGE>SET	2	M07[B2-S006-U01+B2-S006-U02] | SINGLE_SET[B2-S006-U03]	2	1	1	SET>PASSAGE>SET
B2-S007	B2	f82r	1	SETTLE	1	SINGLE_SETTLE[B2-S007-U01]	0	1	0	SETTLE
B2-S008	B2	f82r	2	SET>SETTLE	1	M10[B2-S008-U01+B2-S008-U02]	2	0	1	SET>SETTLE
B2-S009	B2	f82r	1	CONTINUE	1	SINGLE_CONTINUE[B2-S009-U01]	0	1	0	CONTINUE
B2-S010	B2	f82r	3	SET>SET>LEAD_OUT	2	M19[B2-S010-U01+B2-S010-U02] | SINGLE_LEAD_OUT[B2-S010-U03]	2	1	1	SET>SET>LEAD_OUT
B2-S011	B2	f82r	3	SET>SET>SET	2	M19[B2-S011-U01+B2-S011-U02] | SINGLE_SET[B2-S011-U03]	2	1	1	SET>SET>SET
B2-S012	B2	f82r	5	LEAD_OUT>READY>SET>LEAD_OUT>SET	4	SINGLE_LEAD_OUT[B2-S012-U01] | M12[B2-S012-U02+B2-S012-U03] | SINGLE_LEAD_OUT[B2-S012-U04] | SINGLE_SET[B2-S012-U05]	2	3	1	LEAD_OUT>READY>SET>LEAD_OUT>SET
B2-S013	B2	f82r	1	LEAD_OUT	1	SINGLE_LEAD_OUT[B2-S013-U01]	0	1	0	LEAD_OUT
B2-S014	B2	f82r	1	LEAD_OUT	1	SINGLE_LEAD_OUT[B2-S014-U01]	0	1	0	LEAD_OUT
B2-S015	B2	f82r	1	SET	1	SINGLE_SET[B2-S015-U01]	0	1	0	SET
B2-S016	B2	f82r	5	LEAD_OUT>DIVIDE>SET>SET>LEAD_IN	4	SINGLE_LEAD_OUT[B2-S016-U01] | SINGLE_DIVIDE[B2-S016-U02] | M19[B2-S016-U03+B2-S016-U04] | SINGLE_LEAD_IN[B2-S016-U05]	2	3	1	LEAD_OUT>DIVIDE>SET>SET>LEAD_IN
B2-S017	B2	f82r	1	HOLD	1	SINGLE_HOLD[B2-S017-U01]	0	1	0	HOLD
B2-S018	B2	f82r	1	SET	1	SINGLE_SET[B2-S018-U01]	0	1	0	SET
B2-S019	B2	f82r	1	WASH	1	SINGLE_WASH[B2-S019-U01]	0	1	0	WASH
B2-S020	B2	f82r	1	OWNER_ACTION	1	SINGLE_OWNER_ACTION[B2-S020-U01]	0	1	0	OWNER_ACTION
B2-S021	B2	f82r	1	SET	1	SINGLE_SET[B2-S021-U01]	0	1	0	SET
B2-S022	B2	f82r	1	LEAD_OUT	1	SINGLE_LEAD_OUT[B2-S022-U01]	0	1	0	LEAD_OUT
