shol	paragraph	marker	form	direction	companion	companion_form	stop	companion_open	governor	governor_form	governor_open	row_status
Q	f6v|f6v.6-f6v.21	f6v.11:1	lor	P	f6v.11:2	char	COMPANION		f6v.10:2	ychear		recorded
Q	f6v|f6v.6-f6v.21	f6v.11:1	lor	F	f6v.11:2	char	COMPANION		f6v.12:3	qokam	f6v.12:1=ytcho[s:r]	recorded
Q	f17v|f17v.1-f17v.23	f17v.8:3	ol	P	f17v.9:3	kchol	COMPANION	f17v.8:5=choldaiin	f17v.8:1	qokeey	f17v.8:2=kchar	recorded
Q	f17v|f17v.1-f17v.23	f17v.8:3	ol	F	f17v.9:3	kchol	COMPANION	f17v.8:5=choldaiin	f17v.11:4	chol	f17v.8:5=choldaiin;f17v.9:4=choltaiin;f17v.10:1=oytor;f17v.10:3=okar;f17v.10:5=daiir;f17v.10:6=a[r:m];f17v.11:1=qokcheo;f17v.11:2=qokoiir;f17v.11:3=ctheol	recorded
Q	f17v|f17v.1-f17v.23	f17v.9:5	ol	P	f17v.10:2	okeor	COMPANION	f17v.10:1=oytor	f17v.8:1	qokeey	f17v.8:2=kchar;f17v.8:5=choldaiin;f17v.9:4=choltaiin	recorded
Q	f17v|f17v.1-f17v.23	f17v.9:5	ol	F	f17v.10:2	okeor	COMPANION	f17v.10:1=oytor	f17v.11:4	chol	f17v.10:1=oytor;f17v.10:3=okar;f17v.10:5=daiir;f17v.10:6=a[r:m];f17v.11:1=qokcheo;f17v.11:2=qokoiir;f17v.11:3=ctheol	recorded
Q	f17v|f17v.1-f17v.23	f17v.12:5	ol	P	f17v.12:6	chor	COMPANION		f17v.11:4	chol	f17v.12:1=oy;f17v.12:3=keaiin;f17v.12:4=chckhey	recorded
Q	f17v|f17v.1-f17v.23	f17v.12:5	ol	F	f17v.12:6	chor	COMPANION		f17v.13:2	chol	f17v.13:1=ykeor	recorded
Q	f17v|f17v.1-f17v.23	f17v.18:3	ol	P			f17v.18:4		f17v.17:3	she	f17v.17:5=qopchaiin	recorded
Q	f17v|f17v.1-f17v.23	f17v.18:3	ol	F			f17v.18:4		f17v.18:4	chol		recorded
Q	f23r|f23r.4-f23r.5	f23r.5:8	ol	P			f23r.5:9		f23r.5:6	chol		recorded
Q	f23r|f23r.4-f23r.5	f23r.5:8	ol	F			f23r.5:9					recorded
Q	f23r|f23r.4-f23r.5	f23r.5:9	ol	P			PARAGRAPH_END		f23r.5:6	chol		recorded
Q	f23r|f23r.4-f23r.5	f23r.5:9	ol	F			PARAGRAPH_END					recorded
Q	f24r|f24r.1-f24r.20	f24r.13:2	ol	P			f24r.13:4		f24r.12:5	ckhy		recorded
Q	f24r|f24r.1-f24r.20	f24r.13:2	ol	F			f24r.13:4		f24r.13:4	chey		recorded
Q	f24r|f24r.1-f24r.20	f24r.15:3	ol	P	f24r.16:1	sham	COMPANION		f24r.14:2	cheey	f24r.14:3=qod;f24r.15:1=ockhoees;f24r.15:2=oeees	recorded
Q	f24r|f24r.1-f24r.20	f24r.15:3	ol	F	f24r.16:1	sham	COMPANION		f24r.18:2	chol	f24r.16:2=okeal;f24r.17:1=sshey;f24r.17:4=cthoj	recorded
Q	f93r|f93r.1-f93r.32	f93r.3:8	ol	P	f93r.4:4	shody	COMPANION	f93r.3:9=schodchy;f93r.3:10=qotchd;f93r.4:1=sol;f93r.4:2=shotol;f93r.4:3=qokchodal	f93r.2:3	chol	f93r.2:4=chotom;f93r.2:5=cthodar;f93r.2:8=oteodal;f93r.2:10=ofchoshy;f93r.2:11=cthoshol;f93r.3:1=dsho;f93r.3:3=dalody;f93r.3:4=ytchchy	recorded
Q	f93r|f93r.1-f93r.32	f93r.3:8	ol	F	f93r.4:4	shody	COMPANION	f93r.3:9=schodchy;f93r.3:10=qotchd;f93r.4:1=sol;f93r.4:2=shotol;f93r.4:3=qokchodal	f93r.6:6	chol	f93r.3:9=schodchy;f93r.3:10=qotchd;f93r.4:1=sol;f93r.4:2=shotol;f93r.4:3=qokchodal;f93r.4:5=chotol;f93r.4:7=otol;f93r.4:8=ytchdg;f93r.5:3=cfhol;f93r.5:6=otodar;f93r.5:7=chodain;f93r.6:1=tar	recorded
Q	f93r|f93r.1-f93r.32	f93r.5:1	ol	P	f93r.5:2	chody	COMPANION		f93r.2:3	chol	f93r.2:4=chotom;f93r.2:5=cthodar;f93r.2:8=oteodal;f93r.2:10=ofchoshy;f93r.2:11=cthoshol;f93r.3:1=dsho;f93r.3:3=dalody;f93r.3:4=ytchchy;f93r.3:9=schodchy;f93r.3:10=qotchd;f93r.4:1=sol;f93r.4:2=shotol;f93r.4:3=qokchodal;f93r.4:5=chotol;f93r.4:7=otol;f93r.4:8=ytchdg	recorded
Q	f93r|f93r.1-f93r.32	f93r.5:1	ol	F	f93r.5:2	chody	COMPANION		f93r.6:6	chol	f93r.5:3=cfhol;f93r.5:6=otodar;f93r.5:7=chodain;f93r.6:1=tar	recorded
Q	f93r|f93r.1-f93r.32	f93r.8:1	lor	P	f93r.8:2	sheeody	COMPANION		f93r.6:6	chol	f93r.6:7=sheoees;f93r.7:4=cheodaiin	recorded
Q	f93r|f93r.1-f93r.32	f93r.8:1	lor	F	f93r.8:2	sheeody	COMPANION		f93r.10:1	ychos	f93r.8:5=odar;f93r.9:1=shodam;f93r.9:2=okcheody;f93r.9:3=cthoctho'l	recorded
Q	f93r|f93r.1-f93r.32	f93r.31:1	ol	P			f93r.31:2		f93r.30:2	qokcho		recorded
