shol	paragraph	marker	form	direction	grammar	model	timing	companion	companion_object	governor	governor_form	patient	patient_object	existing_second	existing_status	existing_debts	attachment_issues	distinct_bound_pair	row_status
Q	f6v|f6v.6-f6v.21	f6v.11:1	lor	P	B	D	O	f6v.11:2	f6v.11:2	f6v.10:2	ychear	f6v.10:3	f6v.10:3		NO_STATE_TRANSITION_MODELLED	MISSING_COINGREDIENT		True	recorded
Q	f6v|f6v.6-f6v.21	f6v.11:1	lor	P	B	D	I	f6v.11:2	f6v.11:2	f6v.10:2	ychear	f6v.10:3	f6v.10:3		NO_STATE_TRANSITION_MODELLED	MISSING_COINGREDIENT		True	recorded
Q	f6v|f6v.6-f6v.21	f6v.11:1	lor	P	B	H	O	f6v.11:2	f6v.11:2	f6v.10:2	ychear	f6v.10:3	f6v.10:3		NO_STATE_TRANSITION_MODELLED	MISSING_COINGREDIENT		True	recorded
Q	f6v|f6v.6-f6v.21	f6v.11:1	lor	P	B	H	I	f6v.11:2	f6v.11:2	f6v.10:2	ychear	f6v.10:3	f6v.10:3		NO_STATE_TRANSITION_MODELLED	MISSING_COINGREDIENT		True	recorded
Q	f6v|f6v.6-f6v.21	f6v.11:1	lor	P	J	D	O	f6v.11:2	f6v.11:2	f6v.10:2	ychear	f6v.10:3	f6v.10:3		NO_STATE_TRANSITION_MODELLED	MISSING_COINGREDIENT		True	recorded
Q	f6v|f6v.6-f6v.21	f6v.11:1	lor	P	J	D	I	f6v.11:2	f6v.11:2	f6v.10:2	ychear	f6v.10:3	f6v.10:3		NO_STATE_TRANSITION_MODELLED	MISSING_COINGREDIENT		True	recorded
Q	f6v|f6v.6-f6v.21	f6v.11:1	lor	P	J	H	O	f6v.11:2	f6v.11:2	f6v.10:2	ychear	f6v.10:3	f6v.10:3		NO_STATE_TRANSITION_MODELLED	MISSING_COINGREDIENT		True	recorded
Q	f6v|f6v.6-f6v.21	f6v.11:1	lor	P	J	H	I	f6v.11:2	f6v.11:2	f6v.10:2	ychear	f6v.10:3	f6v.10:3		NO_STATE_TRANSITION_MODELLED	MISSING_COINGREDIENT		True	recorded
Q	f6v|f6v.6-f6v.21	f6v.11:1	lor	P	M	D	O	f6v.11:2	f6v.11:2	f6v.10:2	ychear	f6v.10:3	f6v.10:3		NO_STATE_TRANSITION_MODELLED	MISSING_COINGREDIENT		True	recorded
Q	f6v|f6v.6-f6v.21	f6v.11:1	lor	P	M	D	I	f6v.11:2	f6v.11:2	f6v.10:2	ychear	f6v.10:3	f6v.10:3		NO_STATE_TRANSITION_MODELLED	MISSING_COINGREDIENT		True	recorded
Q	f6v|f6v.6-f6v.21	f6v.11:1	lor	P	M	H	O	f6v.11:2	f6v.11:2	f6v.10:2	ychear	f6v.10:3	f6v.10:3		NO_STATE_TRANSITION_MODELLED	MISSING_COINGREDIENT		True	recorded
Q	f6v|f6v.6-f6v.21	f6v.11:1	lor	P	M	H	I	f6v.11:2	f6v.11:2	f6v.10:2	ychear	f6v.10:3	f6v.10:3		NO_STATE_TRANSITION_MODELLED	MISSING_COINGREDIENT		True	recorded
Q	f6v|f6v.6-f6v.21	f6v.11:1	lor	F	B	D	O	f6v.11:2	f6v.11:2	f6v.12:3	qokam	f6v.12:4	f6v.12:4		ASSUMED_EFFECT_APPLIED			True	recorded
Q	f6v|f6v.6-f6v.21	f6v.11:1	lor	F	B	D	I	f6v.11:2	f6v.11:2	f6v.12:3	qokam	f6v.12:4	f6v.12:4		ASSUMED_EFFECT_APPLIED			True	recorded
Q	f6v|f6v.6-f6v.21	f6v.11:1	lor	F	B	H	O	f6v.11:2	f6v.11:2	f6v.12:3	qokam	f6v.12:4	f6v.12:4		ASSUMED_EFFECT_APPLIED			True	recorded
Q	f6v|f6v.6-f6v.21	f6v.11:1	lor	F	B	H	I	f6v.11:2	f6v.11:2	f6v.12:3	qokam	f6v.12:4	f6v.12:4		ASSUMED_EFFECT_APPLIED			True	recorded
Q	f6v|f6v.6-f6v.21	f6v.11:1	lor	F	J	D	O	f6v.11:2	f6v.11:2	f6v.12:3	qokam	f6v.12:4	f6v.12:4		ASSUMED_EFFECT_APPLIED			True	recorded
Q	f6v|f6v.6-f6v.21	f6v.11:1	lor	F	J	D	I	f6v.11:2	f6v.11:2	f6v.12:3	qokam	f6v.12:4	f6v.12:4		ASSUMED_EFFECT_APPLIED			True	recorded
Q	f6v|f6v.6-f6v.21	f6v.11:1	lor	F	J	H	O	f6v.11:2	f6v.11:2	f6v.12:3	qokam	f6v.12:4	f6v.12:4		ASSUMED_EFFECT_APPLIED			True	recorded
Q	f6v|f6v.6-f6v.21	f6v.11:1	lor	F	J	H	I	f6v.11:2	f6v.11:2	f6v.12:3	qokam	f6v.12:4	f6v.12:4		ASSUMED_EFFECT_APPLIED			True	recorded
