cell_id	body	body_default_de	head	head_class	form	working_default_de	occurrences	pages	loci	reader_exact_occurrences	line_first	line_middle	line_last	section_counts	language_counts	strength	status
G636-C01	ar	Fraktionsklasse I	p	ENTRY	par	Pulverfraktion I	6	6	6	4	4	2	0	B:2|H:1|S:2|T:1	B:6	WORKING_MEDIUM	ATTESTED_SCOPED_CONCRETE_DEFAULT
G636-C02	ar	Fraktionsklasse I	s	ENTRY	sar	Samenfraktion I	62	44	62	45	29	23	10	B:18|C:2|H:11|P:6|S:23|T:2	A:15|B:47	WORKING_MEDIUM	ATTESTED_SCOPED_CONCRETE_DEFAULT
G636-C03	ar	Fraktionsklasse I	r	INGREDIENT	rar	Wurzelfraktion I	14	10	14	11	0	12	2	B:3|S:11	B:14	WORKING_MEDIUM	ATTESTED_SCOPED_CONCRETE_DEFAULT
G636-C04	ar	Fraktionsklasse I	l	INGREDIENT	lar	Holzfraktion I	8	7	8	5	0	4	4	B:4|S:4	B:8	WORKING_MEDIUM	ATTESTED_SCOPED_CONCRETE_DEFAULT
G636-C05	chey	Trockenform I	p	ENTRY	pchey	Pulver, trocken gebunden, Form I	8	8	8	6	3	5	0	B:4|H:2|S:1|T:1	A:1|B:7	WORKING_HIGH	ATTESTED_SCOPED_CONCRETE_DEFAULT
G636-C06	chey	Trockenform I	s	ENTRY	schey	Samen/Saatgut, trocken gebunden, Form I	5	5	5	4	3	2	0	H:5	A:5	WORKING_HIGH	ATTESTED_SCOPED_CONCRETE_DEFAULT
G636-C07	chey	Trockenform I	r	INGREDIENT	rchey	Wurzel/Wurzeldroge, trocken gebunden, Form I	8	5	7	5	0	6	2	B:7|H:1	A:1|B:7	WORKING_HIGH	ATTESTED_SCOPED_CONCRETE_DEFAULT
G636-C08	chey	Trockenform I	l	INGREDIENT	lchey	Drogenholz, trocken gebunden, Form I	46	30	46	37	3	37	6	B:20|H:3|P:1|S:17|T:5	A:1|B:45	WORKING_HIGH	ATTESTED_SCOPED_CONCRETE_DEFAULT
G636-C09	al	Rohstoffform I	p	ENTRY	pal	Pulverrohstoff I	2	1	2	2	1	1	0	S:2	B:2	WORKING_MEDIUM	ATTESTED_SCOPED_CONCRETE_DEFAULT
G636-C10	al	Rohstoffform I	s	ENTRY	sal	Saat-Rohstoff I	37	28	37	33	10	17	10	B:15|H:8|P:3|S:7|T:4	A:10|B:27	WORKING_MEDIUM	ATTESTED_SCOPED_CONCRETE_DEFAULT
G636-C11	al	Rohstoffform I	r	INGREDIENT	ral	Wurzelrohstoff I	16	14	16	12	1	11	4	B:7|P:1|S:8	A:1|B:15	WORKING_MEDIUM	ATTESTED_SCOPED_CONCRETE_DEFAULT
G636-C12	al	Rohstoffform I	l	INGREDIENT	lal	Holzrohstoff I	6	6	6	6	0	5	1	B:3|S:3	B:6	WORKING_MEDIUM	ATTESTED_SCOPED_CONCRETE_DEFAULT
G636-C13	y	unmarkierte Grundform	p	ENTRY	py	Pulver in Grundform	3	3	3	1	1	2	0	H:2|S:1	A:2|B:1	WORKING_MEDIUM	ATTESTED_SCOPED_CONCRETE_DEFAULT
G636-C14	y	unmarkierte Grundform	s	ENTRY	sy	Saatgut in Grundform	28	27	28	26	1	10	17	B:5|H:18|P:2|S:3	A:20|B:8	WORKING_MEDIUM	ATTESTED_SCOPED_CONCRETE_DEFAULT
G636-C15	y	unmarkierte Grundform	r	INGREDIENT	ry	rohe Wurzel	10	9	10	8	1	1	8	B:2|H:4|S:3|T:1	A:3|B:7	WORKING_MEDIUM	ATTESTED_SCOPED_CONCRETE_DEFAULT
G636-C16	y	unmarkierte Grundform	l	INGREDIENT	ly	rohes Drogenholz	12	11	12	12	0	4	8	B:8|H:2|P:1|S:1	A:2|B:10	WORKING_MEDIUM	ATTESTED_SCOPED_CONCRETE_DEFAULT
G636-C17	air	Fraktionsklasse II	p	ENTRY	pair	Pulverfraktion II	4	3	4	2	4	0	0	H:1|S:3	B:4	WORKING_MEDIUM	ATTESTED_SCOPED_CONCRETE_DEFAULT
G636-C18	air	Fraktionsklasse II	s	ENTRY	sair	Samenfraktion II	22	17	22	16	11	11	0	B:3|H:4|P:1|S:9|T:5	A:2|B:20	WORKING_MEDIUM	ATTESTED_SCOPED_CONCRETE_DEFAULT
G636-C19	air	Fraktionsklasse II	r	INGREDIENT	rair	Wurzelfraktion II	4	3	4	3	0	4	0	S:4	B:4	WORKING_MEDIUM	ATTESTED_SCOPED_CONCRETE_DEFAULT
G636-C20	air	Fraktionsklasse II	l	INGREDIENT	lair	Holzfraktion II	1	1	1	1	0	1	0	S:1	B:1	WORKING_MEDIUM	ATTESTED_SCOPED_CONCRETE_DEFAULT
G636-C21	chdy	getrocknete Kurz-/Kompaktform	p	ENTRY	pchdy	Pulver, getrocknete Kurz-/Kompaktform	10	10	10	6	0	9	1	B:2|H:3|S:5	A:1|B:9	WORKING_HIGH	ATTESTED_SCOPED_CONCRETE_DEFAULT
G636-C22	chdy	getrocknete Kurz-/Kompaktform	s	ENTRY	schdy	Samen/Saatgut, getrocknete Kurz-/Kompaktform	2	2	2	1	0	2	0	H:1|T:1	B:2	WORKING_HIGH	ATTESTED_SCOPED_CONCRETE_DEFAULT
G636-C23	chdy	getrocknete Kurz-/Kompaktform	r	INGREDIENT	rchdy	Wurzel/Wurzeldroge, getrocknete Kurz-/Kompaktform	1	1	1	0	0	1	0	S:1	B:1	WORKING_HIGH	ATTESTED_SCOPED_CONCRETE_DEFAULT
G636-C24	chdy	getrocknete Kurz-/Kompaktform	l	INGREDIENT	lchdy	Drogenholz, getrocknete Kurz-/Kompaktform	18	14	18	14	0	13	5	B:5|H:2|P:1|S:9|T:1	A:1|B:17	WORKING_HIGH	ATTESTED_SCOPED_CONCRETE_DEFAULT
G636-C25	oiin	Zubereitungsform III	p	ENTRY	poiin	Pulverzubereitung, Form III	2	2	2	1	2	0	0	H:1|T:1	B:2	WORKING_MEDIUM	ATTESTED_SCOPED_CONCRETE_DEFAULT
G636-C26	oiin	Zubereitungsform III	s	ENTRY	soiin	Samen/Saatgutzubereitung, Form III	15	14	15	12	12	3	0	B:3|H:5|P:2|S:5	A:7|B:8	WORKING_MEDIUM	ATTESTED_SCOPED_CONCRETE_DEFAULT
G636-C27	oiin	Zubereitungsform III	r	INGREDIENT	roiin	Wurzel/Wurzeldrogezubereitung, Form III	4	4	4	3	0	4	0	B:3|S:1	B:4	WORKING_MEDIUM	ATTESTED_SCOPED_CONCRETE_DEFAULT
G636-C28	oiin	Zubereitungsform III	l	INGREDIENT	loiin	Drogenholzzubereitung, Form III	4	4	4	1	1	3	0	B:1|S:3	B:4	WORKING_MEDIUM	ATTESTED_SCOPED_CONCRETE_DEFAULT
G636-C29	shey	Feucht-/Einweichform I	p	ENTRY	pshey	angefeuchtetes Pulver, Form I	1	1	1	0	1	0	0	H:1	B:1	WORKING_HIGH	ATTESTED_SCOPED_CONCRETE_DEFAULT
G636-C30	shey	Feucht-/Einweichform I	s	ENTRY	sshey	eingeweichte Saat, Form I	5	5	5	4	4	1	0	B:3|H:1|S:1	A:1|B:4	WORKING_HIGH	ATTESTED_SCOPED_CONCRETE_DEFAULT
G636-C31	shey	Feucht-/Einweichform I	r	INGREDIENT	rshey	eingeweichte Wurzel, Form I	2	2	2	1	0	2	0	B:1|S:1	B:2	WORKING_HIGH	ATTESTED_SCOPED_CONCRETE_DEFAULT
G636-C32	shey	Feucht-/Einweichform I	l	INGREDIENT	lshey	eingeweichtes Drogenholz, Form I	17	12	17	14	3	14	0	B:6|S:10|T:1	B:17	WORKING_HIGH	ATTESTED_SCOPED_CONCRETE_DEFAULT
G636-C33	am	Maß-/Einheitsform I; am Zeilenende Eintragsabschluss	p	ENTRY	pam	Pulver: Maß-/Einheitsform I	1	1	1	0	1	0	0	S:1	B:1	STRUCTURAL_DEFAULT	ATTESTED_SCOPED_CONCRETE_DEFAULT
G636-C34	am	Maß-/Einheitsform I; am Zeilenende Eintragsabschluss	s	ENTRY	sam	Samen/Saatgut: Maß-/Einheitsform I	7	6	7	4	1	0	6	B:1|H:2|P:2|S:2	A:4|B:3	STRUCTURAL_DEFAULT	ATTESTED_SCOPED_CONCRETE_DEFAULT
G636-C35	am	Maß-/Einheitsform I; am Zeilenende Eintragsabschluss	r	INGREDIENT	ram	Wurzel/Wurzeldroge: Maß-/Einheitsform I	11	11	11	9	0	0	11	B:2|H:1|P:1|S:7	A:2|B:9	STRUCTURAL_DEFAULT	ATTESTED_SCOPED_CONCRETE_DEFAULT
G636-C36	am	Maß-/Einheitsform I; am Zeilenende Eintragsabschluss	l	INGREDIENT	lam	Drogenholz: Maß-/Einheitsform I	5	5	5	3	0	1	4	B:1|H:1|S:2|T:1	B:5	STRUCTURAL_DEFAULT	ATTESTED_SCOPED_CONCRETE_DEFAULT
G636-C37	cheey	Trockenform II	p	ENTRY	pcheey	Pulver, trocken gebunden, Form II	3	3	3	3	0	3	0	H:2|S:1	A:2|B:1	WORKING_HIGH	ATTESTED_SCOPED_CONCRETE_DEFAULT
G636-C38	cheey	Trockenform II	s	ENTRY	scheey	Samen/Saatgut, trocken gebunden, Form II	1	1	1	0	0	1	0	H:1	A:1	WORKING_HIGH	ATTESTED_SCOPED_CONCRETE_DEFAULT
