body_id	body	components	working_default_de	semantic_family	strength	live_rival_de	composition_basis	forms	occurrences_by_head	total_headed_occurrences	reader_exact_occurrences	bare_body_occurrences	ps_line_first	rl_line_first	rl_line_middle_or_last	exact_multihead_neighbor_frames	scope_rule
G636-B01	ar	a+R[0 minims]	Fraktionsklasse I	PART_CLASS	WORKING_MEDIUM	unbezifferte Portion; bloßer A-R-Formcode	ar→air→aiir minim ladder plus exact p/s frames; ar and or coexist in 48 lines	par|sar|rar|lar	p:6|s:62|r:14|l:8	90	65	321	33	0	22	2	only the remainder inside an attested complete initial p/s/r/l+body form; bare body is not globalized
G636-B02	chey	ch+e+y	Trockenform I	DRY_STATE	WORKING_HIGH	Bindungsstufe I statt Sachform I	inherited ch=trocken, e=attributive form I, y=base closure	pchey|schey|rchey|lchey	p:8|s:5|r:8|l:46	67	52	314	6	3	51	0	only the remainder inside an attested complete initial p/s/r/l+body form; bare body is not globalized
G636-B03	al	a+L[0 minims]	Rohstoffform I	MATERIAL_CLASS	WORKING_MEDIUM	unangesetzter Rohstoff ohne numeral force	inherited A-L material polarity; al and ol coexist in 20 lines	pal|sal|ral|lal	p:2|s:37|r:16|l:6	61	53	204	11	1	21	0	only the remainder inside an attested complete initial p/s/r/l+body form; bare body is not globalized
G636-B04	y	y	unmarkierte Grundform	BASE_STATE	WORKING_MEDIUM	form closure without lexical content	inherited terminal-y base/result closure and 47 exact headed tokens	py|sy|ry|ly	p:3|s:28|r:10|l:12	53	47	270	2	1	21	0	only the remainder inside an attested complete initial p/s/r/l+body form; bare body is not globalized
G636-B05	air	a+i+R	Fraktionsklasse II	PART_CLASS	WORKING_MEDIUM	local underground-part reading; A-R form II	ar→air→aiir minim ladder; four-head distribution blocks root-only reading	pair|sair|rair|lair	p:4|s:22|r:4|l:1	31	22	56	15	0	5	0	only the remainder inside an attested complete initial p/s/r/l+body form; bare body is not globalized
G636-B06	chdy	ch+d+y	getrocknete Kurz-/Kompaktform	DRY_RESULT	WORKING_HIGH	resultative dry state without compactness	inherited ch dry plus d-y result; five-state grid	pchdy|schdy|rchdy|lchdy	p:10|s:2|r:1|l:18	31	21	133	0	0	19	0	only the remainder inside an attested complete initial p/s/r/l+body form; bare body is not globalized
G636-B07	oiin	o+iin	Zubereitungsform III	PREPARATION_CLASS	WORKING_MEDIUM	learned whole form; extract or decoction	on/oin/oiin/oiiin ladder; o is the inherited preparation frame	poiin|soiin|roiin|loiin	p:2|s:15|r:4|l:4	25	17	26	14	1	7	0	only the remainder inside an attested complete initial p/s/r/l+body form; bare body is not globalized
G636-B08	shey	sh+e+y	Feucht-/Einweichform I	MOIST_STATE	WORKING_HIGH	moist attributive binding without numeral force	inherited sh=feucht, e=form I, y=base closure	pshey|sshey|rshey|lshey	p:1|s:5|r:2|l:17	25	19	232	5	3	16	0	only the remainder inside an attested complete initial p/s/r/l+body form; bare body is not globalized
G636-B09	am	a+m	Maß-/Einheitsform I; am Zeilenende Eintragsabschluss	ENTRY_CLOSE	STRUCTURAL_DEFAULT	mischen/unterarbeiten; unbezifferte Schluss- oder Restmenge	am/aim/aiim ladder and strong physical-line-final placement; p is the visible exception	pam|sam|ram|lam	p:1|s:7|r:11|l:5	24	16	67	2	0	16	0	only the remainder inside an attested complete initial p/s/r/l+body form; bare body is not globalized
G636-B10	cheey	ch+ee+y	Trockenform II	DRY_STATE	WORKING_HIGH	Bindungsstufe II statt Sachform II	inherited ch=trocken and e/ee form ladder	pcheey|scheey|rcheey|lcheey	p:3|s:1|r:5|l:13	22	17	158	0	3	15	0	only the remainder inside an attested complete initial p/s/r/l+body form; bare body is not globalized
