span_id	page	locus	section	language	hand	start_position	end_position	surface_span	token_glosses_de	working_translation_de	all_target_tokens_reader_exact	all_target_tokens_split_normalized	zl3b_line	it2a_line	rf1b_line	status
AR_POWDER	f86v6	f86v6.17	T	B	2	1	3	par | or | aiin	Pulverfraktion I | Portion | III	Pulverfraktion I; weitere Portion III.	1	1	par or aiin dar aiiin qckhear shoy qotedy opchdy olain ar alkar am	par or aiin dar aiiin qckhear shoifhy qotedy opchdy olain ar alkar am	par or aiin dar aiiin qckhe r shoy qotedy opchdy olain ar al kar am	COMPLETE_CONCRETE_WORKING_SPAN
AR_SEED	f33v	f33v.9	H	B	2	1	3	sar | or | aiin	Samenfraktion I | Portion | III	Samenfraktion I; weitere Portion III.	1	1	sar or aiin chor or shkair shol or chckhy ar aiin okain dal dy	sar or aiin chor or shkair shol or chckhy ar aiin okain dal dy	sar or aiin chor r shkair shol or chckhy ar aiin okain dal dy	COMPLETE_CONCRETE_WORKING_SPAN
AR_MOIST	f81v	f81v.1	B	B	2	1	2	par | shey	Pulverfraktion I | feucht gebunden, Form I	Pulverfraktion I, anfeuchten/einweichen bis Form I.	1	1	par shey keedy shekal dal dar ol pchedy shek dain ofalsheky	par shey keedy shekal dal dar ol pchedy shek dain ofal sheky	par shey keedy shekal dal ar ol pchedy shekdain ofal sheky	COMPLETE_CONCRETE_WORKING_SPAN
AR_FINISHED	f81r	f81r.24	B	B	2	1	2	par | ody	Pulverfraktion I | fertig aufbereitet	Pulverfraktion I, fertig aufbereitet.	0	0	par ody shecphy cheol qotaldar otedy oly	parody shecphy cheol qotal dar otedy oly	par ody shecphy cheol qotal ar otedy oly	COMPLETE_CONCRETE_WORKING_SPAN
OIII_SEED	f4r	f4r.12	H	A	1	1	3	soiin | chaiin | chaiin	Samenzubereitung III | trocken, Grad III | trocken, Grad III	Samenzubereitung III; zweimal als trocken, Grad III, eingetragen.	1	1	soiin chaiin chaiin	soiin chaiin chaiin	soiin chaiin chaiin	COMPLETE_CONCRETE_WORKING_SPAN
DRY_DOSE_P	f49r	f49r.12	H	A	1	1	5	podaiin | cheo | kcho | daiin | chcthy	Pulverzubereitung, Dosis III | Trockenansatz | heiß-trockener Ansatz | Dosis III | trockenes Blatt-/Krautgut	Pulverzubereitung, Dosis III: Trockenansatz; heiß-trockener Ansatz, Dosis III, mit trockenem Blatt-/Krautgut.	1	1	podaiin cheo kcho daiin chcthy	podaiin cheo kcho daiin chcthy	podaiin cheo kcho daiin chcthy	COMPLETE_CONCRETE_WORKING_SPAN
DRY_DOSE_S	f14r	f14r.13	H	A	1	1	4	sodaiin | chy | kchy | kchy	Samenzubereitung, Dosis III | Trocken-Grundform | heiß-trocken | heiß-trocken	Samenzubereitung, Dosis III; trocken in Grundform, zweimal heiß-trocken markiert.	1	1	sodaiin chy kchy kchy ykeody	sodaiin chy kchy kchy ykeody	sodaiin chy kchy kchy ykeody	COMPLETE_CONCRETE_WORKING_SPAN
ROOT_PREP	f106v	f106v.38	S	B	3	8	9	rody | raiin	aufbereitete Wurzel | Wurzelcharge III	Aufbereitete Wurzel, Charge III.	1	1	okcheody qokeey otchey qokeey qokeedal qotchkeey qol rody raiin oty	okcheody qokeey otchey qokeey qokeedal qokchkeey qol rody raiin oty	okcheo dy qokeey otchey qokeey qokeedal qotchkee qol rody raiin oty	COMPLETE_CONCRETE_WORKING_SPAN
DRY_P_ROOT_PORTION	f106r	f106r.13	S	B	3	8	10	pcheo | ror | aiin	trockener Pulveransatz | Wurzelportion | III	Trockener Pulveransatz mit Wurzelportion III.	0	0	pcheol sheokaiin otey qokeeor sheo aiin otchey pcheo ror aiin daiinopal	pcheol sheokaiin otey qokeeor sheo aiin otchey pcheo ror aiin daiin opal	pcheol sheokaiin otey qokeeor sheoaiin otchey pcheo ror aiin daiinopal	COMPLETE_CONCRETE_WORKING_SPAN
OAIIN_CONTEXT	f114v	f114v.33	S	B	3	1	4	kaiin | sheey | oaiin | sheol	heiß, Grad III | feucht, Form II | Zubereitungscharge III | feuchtes Material	Heiß, Grad III; feucht in Form II; Zubereitungscharge III aus feuchtem Material.	0	0	kaiin sheey oaiin sheol qoteey qokeeedy cheo ctheey qokeeo lkealy	kaiin sheey oaiin sheol qoteey qokeeedy cheoctheey qokeeo lkealy	kaiin sheey oaiin eol qoteey qokeeed cheo ctheey qo eeo lkealy	COMPLETE_CONCRETE_WORKING_SPAN
ROOT_OIII_DOSE	f77v	f77v.37	B	B	2	5	8	cheey | roiin | daiin | shey	trocken, Form II | Wurzelzubereitung III | Dosis III | feucht, Form I	Wurzelzubereitung III, Dosis III: von Trockenform II in Feuchtform I.	0	0	schedy qotar sarolsheedy qokain cheey roiin daiin shey	schedy qotar sarol sheedy qokain cheey raiin daiin shey	schedy qotar sarol sheedy qokain cheey r oiin daiin shey	COMPLETE_CONCRETE_WORKING_SPAN
DRIED_MATERIAL	f83r	f83r.40	B	B	2	1	3	solchedy | olchedy | chedaiin	getrockneter Samenstoff | getrockneter Zubereitungsstoff | Trockenansatz, Dosis III	Getrockneter Samenstoff; getrockneter Zubereitungsstoff; Trockenansatz, Dosis III.	0	0	solchedy olchedy chedaiin	solchedy olchedy chedaiin	sol chedy olche y che aiin	COMPLETE_CONCRETE_WORKING_SPAN
WOOD_DRY_LADDER	f114r	f114r.21	S	B	3	1	3	lcheey | lchedo | lcheo	Drogenholz, Trockenform II | getrocknete Holzform | trockene Holzzubereitung	Drogenholz in Trockenform II; getrocknete Holzform; trockene Holzzubereitung.	1	1	lcheey lchedo lcheo dkair	lcheey lchedo lcheo dkair	lcheey lchedo lcheo dkair	COMPLETE_CONCRETE_WORKING_SPAN
SEED_INGREDIENT	f77r	f77r.7	B	B	2	1	1	soral	Samen-Rohstoffportion	Samen-Rohstoffportion.	1	1	soral	soral	soral	COMPLETE_CONCRETE_WORKING_SPAN
