body	ps_occurrences	ps_line_first	ps_line_middle	ps_line_last	rl_occurrences	rl_line_first	rl_line_middle	rl_line_last	working_syntax_de
ar	68	33	25	10	22	0	16	6	p/s Eintrags- oder Stoffkopf; r/l überwiegend interner Zutaten-/Pflanzenteilkopf
chey	13	6	7	0	54	3	43	8	p/s Eintrags- oder Stoffkopf; r/l überwiegend interner Zutaten-/Pflanzenteilkopf
al	39	11	18	10	22	1	16	5	p/s Eintrags- oder Stoffkopf; r/l überwiegend interner Zutaten-/Pflanzenteilkopf
y	31	2	12	17	22	1	5	16	p/s Eintrags- oder Stoffkopf; r/l überwiegend interner Zutaten-/Pflanzenteilkopf
air	26	15	11	0	5	0	5	0	p/s Eintrags- oder Stoffkopf; r/l überwiegend interner Zutaten-/Pflanzenteilkopf
chdy	12	0	11	1	19	0	14	5	p/s Eintrags- oder Stoffkopf; r/l überwiegend interner Zutaten-/Pflanzenteilkopf
oiin	17	14	3	0	8	1	7	0	p/s Eintrags- oder Stoffkopf; r/l überwiegend interner Zutaten-/Pflanzenteilkopf
shey	6	5	1	0	19	3	16	0	p/s Eintrags- oder Stoffkopf; r/l überwiegend interner Zutaten-/Pflanzenteilkopf
am	8	2	0	6	16	0	1	15	p/s Eintrags- oder Stoffkopf; r/l überwiegend interner Zutaten-/Pflanzenteilkopf
cheey	4	0	4	0	18	3	15	0	p/s Eintrags- oder Stoffkopf; r/l überwiegend interner Zutaten-/Pflanzenteilkopf
chy	4	1	3	0	11	1	4	6	p/s Eintrags- oder Stoffkopf; r/l überwiegend interner Zutaten-/Pflanzenteilkopf
olchedy	13	10	2	1	2	0	1	1	p/s Eintrags- oder Stoffkopf; r/l überwiegend interner Zutaten-/Pflanzenteilkopf
chol	8	4	4	0	4	1	3	0	p/s Eintrags- oder Stoffkopf; r/l überwiegend interner Zutaten-/Pflanzenteilkopf
odaiin	7	6	1	0	5	1	3	1	p/s Eintrags- oder Stoffkopf; r/l überwiegend interner Zutaten-/Pflanzenteilkopf
oraiin	10	7	1	2	2	1	1	0	p/s Eintrags- oder Stoffkopf; r/l überwiegend interner Zutaten-/Pflanzenteilkopf
ody	6	3	2	1	5	0	4	1	p/s Eintrags- oder Stoffkopf; r/l überwiegend interner Zutaten-/Pflanzenteilkopf
cheo	5	2	3	0	4	0	4	0	p/s Eintrags- oder Stoffkopf; r/l überwiegend interner Zutaten-/Pflanzenteilkopf
oaiin	4	3	0	1	2	0	2	0	p/s Eintrags- oder Stoffkopf; r/l überwiegend interner Zutaten-/Pflanzenteilkopf
oral	4	4	0	0	2	0	1	1	p/s Eintrags- oder Stoffkopf; r/l überwiegend interner Zutaten-/Pflanzenteilkopf
ALL_19	285	128	108	49	242	16	161	65	aggregate: entry/material heads separate from internal ingredient/part heads
