ladder_id	stage	body	working_value_de	bare_occurrences	headed_occurrences	headed_reader_exact	bare_line_first	bare_line_middle	bare_line_last	headed_line_first	headed_line_middle	headed_line_last	lines_with_two_or_more_bare_stages	interpretation_de
AR_PART	1	ar	Fraktionsklasse I	321	90	65	3	296	22	33	41	16	13	Fraktionsklasse I/II/III/IV
AR_PART	2	air	Fraktionsklasse II	56	31	22	1	54	1	15	16	0	13	Fraktionsklasse I/II/III/IV
AR_PART	3	aiir	Fraktionsklasse III	20	4	2	0	20	0	2	2	0	13	Fraktionsklasse I/II/III/IV
AR_PART	4	aiiir	Fraktionsklasse IV	0	0	0	0	0	0	0	0	0	13	Fraktionsklasse I/II/III/IV
ON_PREPARATION	1	on	Zubereitungs-/Formklasse I	1	0	0	0	0	1	0	0	0	0	Zubereitungs-/Formklasse I/II/III/IV
ON_PREPARATION	2	oin	Zubereitungs-/Formklasse II	7	5	1	0	7	0	3	2	0	0	Zubereitungs-/Formklasse I/II/III/IV
ON_PREPARATION	3	oiin	Zubereitungs-/Formklasse III	26	25	17	0	26	0	15	10	0	0	Zubereitungs-/Formklasse I/II/III/IV
ON_PREPARATION	4	oiiin	Zubereitungs-/Formklasse IV	11	5	4	1	10	0	2	2	1	0	Zubereitungs-/Formklasse I/II/III/IV
AM_MEASURE_CLOSE	1	am	Maßklasse I	67	24	16	0	13	54	2	1	21	1	Maßklasse I/II/III/IV; terminal auch Abschluss
AM_MEASURE_CLOSE	2	aim	Maßklasse II	5	2	1	0	1	4	0	1	1	1	Maßklasse I/II/III/IV; terminal auch Abschluss
AM_MEASURE_CLOSE	3	aiim	Maßklasse III	1	1	1	0	1	0	0	0	1	1	Maßklasse I/II/III/IV; terminal auch Abschluss
AM_MEASURE_CLOSE	4	aiiim	Maßklasse IV	0	0	0	0	0	0	0	0	0	1	Maßklasse I/II/III/IV; terminal auch Abschluss
