slot	role	working_value_de	scope_rule	status
p	initial head	Pulver/Pulverform	only complete token-initial p+body	SCOPED_COMPOSITION_SLOT
s	initial head	Samen/Saatgut	only complete token-initial s+body; sh excluded	SCOPED_COMPOSITION_SLOT
r	initial head	Wurzel/Wurzeldroge	usually ingredient/internal head	SCOPED_COMPOSITION_SLOT
l	initial head	Drogenholz	usually ingredient/internal head	SCOPED_COMPOSITION_SLOT
ch	quality	trocken	inside registered ch-state and ch-material families	SCOPED_COMPOSITION_SLOT
sh	quality	feucht/eingeweicht	inside registered sh-state families	SCOPED_COMPOSITION_SLOT
e/ee	form ladder	Form/Bindung I/II	between quality head and y/o/result body	SCOPED_COMPOSITION_SLOT
y	closure	Grundform or result closure	within registered state families	SCOPED_COMPOSITION_SLOT
d+y	result	resultative/finished state	after quality or preparation head	SCOPED_COMPOSITION_SLOT
o	preparation frame	Zubereitung/Ansatz	within registered o compounds	SCOPED_COMPOSITION_SLOT
a+minims	value ladder	class/quantity I-IV	value depends on the visible carrier	SCOPED_COMPOSITION_SLOT
d+a+minims	dose ladder	dose/measure I-IV	explicit dose head before a-value	SCOPED_COMPOSITION_SLOT
L	carrier	Stoff/Material	A-L and OL material families only	SCOPED_COMPOSITION_SLOT
R	carrier	Teil/Portion	A-R and OR part families only	SCOPED_COMPOSITION_SLOT
m	boundary	measure I or entry/charge close	structural at line end; not a free noun	SCOPED_COMPOSITION_SLOT
