external_contact_ordinal	canonical_boundary_family	surface	source_register_event_count	external_host_unit_id	occurrence_kind	physical_page	source_selector	register	topology_family	independent_domain	representative_locus	host_unit_definition	target_family	component_export_credit
1	AQAB	okal	2	LOCAL:f67r2.22	LOCAL_ADDRESS_OR_LABEL	f67r2	f67r2	CELESTIAL	RADIAL_ARRAY	CELESTIAL_ARRAY	f67r2.22	LOCAL_VISIBLE_OWNER_LOCUS	NO	ZERO
2	AQAB	okal	2	LOCAL:f82r.36	LOCAL_ADDRESS_OR_LABEL	f82r	f82r	BIOLOGICAL	POOL_APPARATUS_NETWORK	FIGURE_STATION_SYSTEM	f82r.36	LOCAL_VISIBLE_OWNER_LOCUS	NO	ZERO
3	AQAB	okal	2	f18r:P2	RUNNING_EVENT	f18r	f18r	HERBAL	WHOLE_PLANT_ARTICLE	PLANT_DRUG_MATERIAL	f18r.8	COMPLETE_PARAGRAPH	NO	ZERO
4	AQAB	okal	2	f55v:P2	RUNNING_EVENT	f55v	f55v	HERBAL	WHOLE_PLANT_ARTICLE	PLANT_DRUG_MATERIAL	f55v.9	COMPLETE_PARAGRAPH	NO	ZERO
5	AQAB	okal	2	f66r:P2	RUNNING_EVENT	f66r	f66r	SOURCE_SECTION_T	TEXT_BLOCK	TEXT_OR_OTHER	f66r.51	COMPLETE_PARAGRAPH	NO	ZERO
6	AQAB	okal	2	f71v:P1	RUNNING_EVENT	f71v	f71v	CELESTIAL	RADIAL_ARRAY	CELESTIAL_ARRAY	f71v.18	COMPLETE_PARAGRAPH	NO	ZERO
7	AQAB	okal	2	f72r2:P1	RUNNING_EVENT	f72r	f72r2	CELESTIAL	RADIAL_ARRAY	CELESTIAL_ARRAY	f72r2.22	COMPLETE_PARAGRAPH	NO	ZERO
8	AQAB	okal	2	f75r:P3	RUNNING_EVENT	f75r	f75r	BIOLOGICAL	POOL_APPARATUS_NETWORK	FIGURE_STATION_SYSTEM	f75r.34	COMPLETE_PARAGRAPH	NO	ZERO
9	AQAB	okal	2	f76r:P1	RUNNING_EVENT	f76r	f76r	BIOLOGICAL	TEXT_BLOCK	TEXT_OR_OTHER	f76r.13	COMPLETE_PARAGRAPH	NO	ZERO
10	AQAB	okal	2	f76r:P4	RUNNING_EVENT	f76r	f76r	BIOLOGICAL	TEXT_BLOCK	TEXT_OR_OTHER	f76r.53	COMPLETE_PARAGRAPH	NO	ZERO
11	AQAB	okal	2	f81r:P2	RUNNING_EVENT	f81r	f81r	BIOLOGICAL	POOL_APPARATUS_NETWORK	FIGURE_STATION_SYSTEM	f81r.25	COMPLETE_PARAGRAPH	NO	ZERO
12	AQAB	okal	2	f81v:P1	RUNNING_EVENT	f81v	f81v	BIOLOGICAL	POOL_APPARATUS_NETWORK	FIGURE_STATION_SYSTEM	f81v.2	COMPLETE_PARAGRAPH	NO	ZERO
13	AQAB	okal	2	f81v:P2	RUNNING_EVENT	f81v	f81v	BIOLOGICAL	POOL_APPARATUS_NETWORK	FIGURE_STATION_SYSTEM	f81v.13	COMPLETE_PARAGRAPH	NO	ZERO
14	AQAB	okal	2	f82r:P1	RUNNING_EVENT	f82r	f82r	BIOLOGICAL	POOL_APPARATUS_NETWORK	FIGURE_STATION_SYSTEM	f82r.6	COMPLETE_PARAGRAPH	NO	ZERO
15	AQAB	okal	2	f82r:P2	RUNNING_EVENT	f82r	f82r	BIOLOGICAL	POOL_APPARATUS_NETWORK	FIGURE_STATION_SYSTEM	f82r.12	COMPLETE_PARAGRAPH	NO	ZERO
16	AQAB	okal	2	f95v2:P1	RUNNING_EVENT	f95v	f95v2	HERBAL	WHOLE_PLANT_ARTICLE	PLANT_DRUG_MATERIAL	f95v2.3	COMPLETE_PARAGRAPH	NO	ZERO
17	AQAB	okam	1	f24v:P1	RUNNING_EVENT	f24v	f24v	HERBAL	WHOLE_PLANT_ARTICLE	PLANT_DRUG_MATERIAL	f24v.3	COMPLETE_PARAGRAPH	NO	ZERO
18	AQAB	okam	1	f71v:P1	RUNNING_EVENT	f71v	f71v	CELESTIAL	RADIAL_ARRAY	CELESTIAL_ARRAY	f71v.1	COMPLETE_PARAGRAPH	NO	ZERO
