canonical_boundary_family	source_register_event_count	source_register_surface_count	external_host_unit_count	external_surface_count	external_domain_count	external_surface_counts	external_domain_counts	surface_domain_purity	family_pooled_domain_purity	leave_one_host_out_coverage	surface_keyed_credit	family_pooled_credit	surface_keyed_accuracy	family_pooled_accuracy	surface_minus_pooled_gain	capacity_qualified	qualified_gain_rank	target_family	interpretation	semantic_export
AQAB	6	5	30	5	4	okal:16|okam:2|okyd:1|otal:6|otam:5	CELESTIAL_ARRAY:7|FIGURE_STATION_SYSTEM:10|PLANT_DRUG_MATERIAL:7|TEXT_OR_OTHER:6	0.433333	0.333333	29	7.500000	10.000000	0.258621	0.344828	-0.086207	YES	2	NO	no positive surface-specific prediction	NONE
AQABA	9	7	9	4	3	okaly:1|okody:2|otaly:3|otody:3	CELESTIAL_ARRAY:6|FIGURE_STATION_SYSTEM:1|PLANT_DRUG_MATERIAL:2	0.666667	0.666667	8	3.000000	5.000000	0.375000	0.625000	-0.250000	YES	3	NO	no positive surface-specific prediction	NONE
AQABAB	4	4	2	2	2	okalal:1|otalam:1	CELESTIAL_ARRAY:1|TEXT_OR_OTHER:1	1.000000	0.500000	0	0.000000	0.000000	0.000000	0.000000	0.000000	NO	NA	NO	insufficient repeated external surface capacity	NONE
AQABAC	3	3	3	2	1	okalar:2|okolar:1	CELESTIAL_ARRAY:3	1.000000	1.000000	2	2.000000	2.000000	1.000000	1.000000	0.000000	NO	NA	NO	insufficient repeated external surface capacity	NONE
AQABAG	3	2	0	0	0	NONE	NONE	0.000000	0.000000	0	0.000000	0.000000	0.000000	0.000000	0.000000	NO	NA	NO	insufficient repeated external surface capacity	NONE
AQABBA	2	2	4	2	2	okaldy:2|otaldy:2	FIGURE_STATION_SYSTEM:2|PLANT_DRUG_MATERIAL:2	1.000000	0.500000	4	4.000000	0.000000	1.000000	0.000000	1.000000	YES	1	YES	surface-specific split candidate	NONE
AQABLA	2	2	0	0	0	NONE	NONE	0.000000	0.000000	0	0.000000	0.000000	0.000000	0.000000	0.000000	NO	NA	NO	insufficient repeated external surface capacity	NONE
AQACAB	2	1	0	0	0	NONE	NONE	0.000000	0.000000	0	0.000000	0.000000	0.000000	0.000000	0.000000	NO	NA	NO	insufficient repeated external surface capacity	NONE
AQACABBA	2	1	0	0	0	NONE	NONE	0.000000	0.000000	0	0.000000	0.000000	0.000000	0.000000	0.000000	NO	NA	NO	insufficient repeated external surface capacity	NONE
AQAFA	2	2	0	0	0	NONE	NONE	0.000000	0.000000	0	0.000000	0.000000	0.000000	0.000000	0.000000	NO	NA	NO	insufficient repeated external surface capacity	NONE
AQKA|ACA	0	0	0	0	0	NONE	NONE	0.000000	0.000000	0	0.000000	0.000000	0.000000	0.000000	0.000000	NO	NA	NO	insufficient repeated external surface capacity	NONE
