surface	card_class	composition	working_meaning_de	external_working_meaning_de	applied_meaning_de	render_mode	strongest_rival_de	confidence	page	locus	section	language	hand	ordinal	line_token_count	line_position	source_f81r	was_v48_unknown	was_v49_unknown	was_gdt674_unknown	target_v49_gloss_de	target_v49_source	target_v49_scope_state	left_surface	left_v49_gloss_de	right_surface	right_v49_gloss_de	it2a_operation	it2a_render	rf1b_operation	rf1b_render	reader_support	zl3b_line	decision	promote_external	review_note
polchoy	P	P_POWDER+OL_MATERIAL+CH_DRY+O_PREP+Y_START_OR_CLOSE	Pulverstoff trocknen, ansetzen und leicht abschließen	Pulverstoff trocknen, ansetzen und leicht abschließen	Pulverstoff trocknen, ansetzen und leicht abschließen	LOCAL_UNTESTED	leicht getrockneter Pulverstoff im Grundansatz	MEDIUM	f81r	f81r.1	B	B	2	1	7	INITIAL	1	1	1	0	[polchoy:?]	OPEN	UNKNOWN_SURFACE	BOUNDARY	BOUNDARY	qokedy	heiß in der Mitte des Grades, abgeschlossen	ONE	polchey	EXACT	polchoy	ONE_EXACT	polchoy qokedy shol opchedy olpchedy ofshdy oly	SOURCE_PAGE_CARD	0	Only the f81r source occurrence is present; retain the full P-OL-CH-O-Y composition locally without exporting it.
olpchedy	P	O_PREP+L_WOOD+P_POWDER+CH_DRY+E_MIDDLE+DY_FINISHED	Holzdrogenansatz zu Trockenpulver verarbeiten und fertigstellen	fertiggestelltes Trockenpulver aus Holzdrogenansatz	Holzdrogenansatz zu Trockenpulver verarbeiten und fertigstellen	EXTERNAL_NOMINAL_RESULT	getrocknetes Pulver aus einem Holzdrogenansatz	MEDIUM	f81r	f81r.1	B	B	2	5	7	MEDIAL	1	1	1	0	[olpchedy:?]	OPEN	UNKNOWN_SURFACE	opchedy	vollständig getrocknetes Pulverpräparat	ofshdy	[ofshdy:?]	EXACT	olpchedy	EXACT	olpchedy	BOTH_EXACT	polchoy qokedy shol opchedy olpchedy ofshdy oly	SOURCE_PAGE_CARD	0	Two external S/B/hand-3 occurrences sit inside powder, drying, heat and quantity fields; the components hold but catalogue position selects the finished result rather than a fresh imperative.
ofshdy	P	O_PREP+F_FLOWER+SH_MOIST+DY_FINISHED	Blütenfraktionsansatz einweichen und fertigstellen	Blütenfraktionsansatz einweichen und fertigstellen	Blütenfraktionsansatz einweichen und fertigstellen	LOCAL_UNTESTED	Ansatz mit einer Blütenfraktion anfeuchten und abschließen	LOW	f81r	f81r.1	B	B	2	6	7	MEDIAL	1	1	1	0	[ofshdy:?]	OPEN	UNKNOWN_SURFACE	olpchedy	[olpchedy:?]	oly	abseihen	EXACT	ofshdy	ONE	y	ONE_EXACT	polchoy qokedy shol opchedy olpchedy ofshdy oly	SOURCE_PAGE_CARD	0	The narrow F_FLOWER extension has no exact external occurrence and therefore remains f81r-local.
qolsheedy	P	QOL_ADD+SH_MOIST+EE_END+DY_FINISHED	vollständig eingeweichten Drogenstoff zugeben und fertigstellen	vollständig eingeweichten und fertigen Drogenstoff zugeben	vollständig eingeweichten Drogenstoff zugeben und fertigstellen	QOL_ACTION_SHEEDY_RESULT	vollständig eingeweichten Drogenstoff zugeben und die Zugabe abschließen	HIGH	f81r	f81r.14	B	B	2	2	6	MEDIAL	1	1	1	0	[qolsheedy:?]	OPEN	UNKNOWN_SURFACE	qokechedy	erhitze bis zur Mittelstufe, trockne bis zur Mittelstufe und schließe ab	or	Drogenportion	SPLIT_2	qolsheedy	ONE	y	NEITHER_EXACT	qokechedy qolsheedy or ain arol oeeedy	SOURCE_PAGE_CARD	0	RF1b reads qol sheedy: QOL remains the add action while SHEEDY is its already moist and finished object, not a second invented action.
oeeedy	P	O_PREP+EEE_LONG_OR_FINAL+DY_FINISHED	Ansatz lange oder bis zur letzten Stufe ruhen lassen und fertigstellen	Ansatz lange oder bis zur letzten Stufe ruhen lassen und fertigstellen	Ansatz lange oder bis zur letzten Stufe ruhen lassen und fertigstellen	LOCAL_UNTESTED	lange gereiften Ansatz abziehen und fertigstellen	LOW	f81r	f81r.14	B	B	2	6	6	FINAL	1	1	1	0	[oeeedy:?]	OPEN	UNKNOWN_SURFACE	arol	Grundauszug, Fraktion I	BOUNDARY	BOUNDARY	EXACT	oeeedy	ONE	oeee	ONE_EXACT	qokechedy qolsheedy or ain arol oeeedy	SOURCE_PAGE_CARD	0	The long-versus-final EEE rival cannot be tested outside f81r; retain both readings locally.
qopchol	P	QO_COMMAND+P_POWDER+CH_DRY+OL_MATERIAL	nimm getrockneten Pulverstoff	nimm getrockneten Pulverstoff	nimm getrockneten Pulverstoff	ACTION_HOLD	nimm das Trockenpulver in den Ansatz	HIGH	f81r	f81r.16	B	B	2	2	6	MEDIAL	1	1	1	0	[qopchol:?]	OPEN	UNKNOWN_SURFACE	polchdy	Pulverstoff trocknen und fertigstellen	qokor	heiße Drogenportion	EXACT	qopchol	EXACT	qopchol	BOTH_EXACT	polchdy qopchol qokor olpchedy opol oraisy	SOURCE_PAGE_CARD	0	Four external occurrences across S, C and T preserve the command plus powder-dry-material order; nominal neighbors do not erase the visible QO command frame.
olpchedy	P	O_PREP+L_WOOD+P_POWDER+CH_DRY+E_MIDDLE+DY_FINISHED	Holzdrogenansatz zu Trockenpulver verarbeiten und fertigstellen	fertiggestelltes Trockenpulver aus Holzdrogenansatz	Holzdrogenansatz zu Trockenpulver verarbeiten und fertigstellen	EXTERNAL_NOMINAL_RESULT	getrocknetes Pulver aus einem Holzdrogenansatz	MEDIUM	f81r	f81r.16	B	B	2	4	6	MEDIAL	1	1	1	0	[olpchedy:?]	OPEN	UNKNOWN_SURFACE	qokor	heiße Drogenportion	opol	Pulveransatz	EXACT	olpchedy	ONE	y	ONE_EXACT	polchdy qopchol qokor olpchedy opol oraisy	SOURCE_PAGE_CARD	0	Two external S/B/hand-3 occurrences sit inside powder, drying, heat and quantity fields; the components hold but catalogue position selects the finished result rather than a fresh imperative.
oraisy	P	OR_PORTION+A_PART_OR_LINK+I_FORM_I+S_TERM_SPECIES+Y_START_OR_CLOSE	eine Portion Arzneispecies der Form I abteilen und abschließen	eine Portion Arzneispecies der Form I abteilen und abschließen	eine Portion Arzneispecies der Form I abteilen und abschließen	LOCAL_UNTESTED	eine Portion des vorangehenden Pulveransatzes, Form I, abschließen	LOW	f81r	f81r.16	B	B	2	6	6	FINAL	1	1	1	0	[oraisy:?]	OPEN	UNKNOWN_SURFACE	opol	Pulveransatz	BOUNDARY	BOUNDARY	ONE	oroiry	EXACT	oraisy	ONE_EXACT	polchdy qopchol qokor olpchedy opol oraisy	SOURCE_PAGE_CARD	0	The narrow form-I/species/outer-close extension has no external exact occurrence and remains local.
osheedy	P	O_PREP+SH_MOIST+EE_END+DY_FINISHED	Ansatz vollständig einweichen und fertigstellen	Ansatz vollständig einweichen und fertigstellen	Ansatz vollständig einweichen und fertigstellen	LOCAL_UNTESTED	vollständig eingeweichten Ansatz abziehen	HIGH	f81r	f81r.18	B	B	2	1	6	INITIAL	1	1	1	0	[osheedy:?]	OPEN	UNKNOWN_SURFACE	BOUNDARY	BOUNDARY	shedy	feucht in der Mitte des Grades, abgeschlossen	EXACT	osheedy	ONE	she	ONE_EXACT	osheedy shedy ol shedy okeedy oror	SOURCE_PAGE_CARD	0	The regular complete-moist process is morphologically supported but its exact surface occurs only on f81r.
oror	P	OR_PORTION+OR_PORTION	zwei Portionen	zwei Portionen	zwei Portionen	QUANTITY_ATTACHMENT	eine doppelte Portion	LOW	f81r	f81r.18	B	B	2	6	6	FINAL	1	1	1	0	[oror:?]	OPEN	UNKNOWN_SURFACE	okeedy	heißer Ansatz am Ende des Grades, abgeschlossen	BOUNDARY	BOUNDARY	ONE	orar	ONE	orar	NEITHER_EXACT	osheedy shedy ol shedy okeedy oror	SOURCE_PAGE_CARD	0	Three external occurrences are quantity-like, including one singleton and two post-state positions; retain the literal two-OR double-portion card without exporting a general repetition rule.
olam	P	O_PREP+L_WOOD+AM_UNIT_I	ein Maß Holzdroge im Ansatz	ein Maß Ansatz-/Drogenmaterial; Holzbindung offen	ein Maß Holzdroge im Ansatz	OL_BOUNDARY_OPEN	ein Maß Drogenstoff	HIGH	f81r	f81r.19	B	B	2	5	5	FINAL	1	1	1	0	[olam:?]	OPEN	UNKNOWN_SURFACE	qoteedy	kalt am Ende des Grades, abgeschlossen	BOUNDARY	BOUNDARY	EXACT	olam	SPLIT_2	olam	ONE_EXACT	qokedy sheedy chedy qoteedy olam	SOURCE_PAGE_CARD	0	Four external S/B/hand-3 occurrences are line-final and securely preserve AM as measure I; the surface does not decide O+L+AM versus OL+AM, so wood remains an explicit rival.
dchey	P	D_MEASURE+CH_DRY+E_MIDDLE+Y_START_OR_CLOSE	eine Dosis bis zur Mittelstufe trocknen und abschließen	abgemessene Trockendroge der Mittelstufe, abgeschlossen	eine Dosis bis zur Mittelstufe trocknen und abschließen	INITIAL_ACTION_ELSE_NOMINAL	abgemessene Trockendroge der Mittelstufe	HIGH	f81r	f81r.2	B	B	2	1	8	INITIAL	1	1	1	0	[dchey:?]	OPEN	UNKNOWN_SURFACE	BOUNDARY	BOUNDARY	lshl	[lshl:?]	EXACT	dchey	ONE	chey	ONE_EXACT	dchey lshl alched qokol chol otar chedy oky	SOURCE_PAGE_CARD	0	Fourteen external occurrences preserve D-CH-E-Y, but ten line-initial positions admit an action while four medial positions and the following aiin value require a nominal measured-dry result.
lshl	W	LEARNED_LSHL_WHOLE	eingeweichte Holzdroge	eingeweichte Holzdroge	eingeweichte Holzdroge	LEARNED_LOCAL_UNTESTED	Drogenholz in Holzabsud einweichen	LOW	f81r	f81r.2	B	B	2	2	8	MEDIAL	1	1	1	0	[lshl:?]	OPEN	UNKNOWN_SURFACE	dchey	[dchey:?]	alched	[alched:?]	EXACT	lshl	EXACT	lshl	BOTH_EXACT	dchey lshl alched qokol chol otar chedy oky	SOURCE_PAGE_CARD	0	This learned whole is unique to f81r and remains a local exact name.
