surface	card_class	composition	working_meaning_de	external_working_meaning_de	applied_meaning_de	render_mode	strongest_rival_de	confidence	page	locus	section	language	hand	ordinal	line_token_count	line_position	source_f81r	was_v48_unknown	was_v49_unknown	was_gdt674_unknown	target_v49_gloss_de	target_v49_source	target_v49_scope_state	left_surface	left_v49_gloss_de	right_surface	right_v49_gloss_de	it2a_operation	it2a_render	rf1b_operation	rf1b_render	reader_support	zl3b_line	decision	promote_external	review_note
oror	P	OR_PORTION+OR_PORTION	zwei Portionen	zwei Portionen	zwei Portionen	QUANTITY_ATTACHMENT	eine doppelte Portion	LOW	f102v2	f102v2.3	P	A	1	1	1	SINGLETON	0	1	1	1	[oror:?]	OPEN	UNKNOWN_SURFACE	BOUNDARY	BOUNDARY	BOUNDARY	BOUNDARY	EXACT	oror	EXACT	oror	BOTH_EXACT	oror	EXTERNAL_TRANSFER_HOLD	1	Three external occurrences are quantity-like, including one singleton and two post-state positions; retain the literal two-OR double-portion card without exporting a general repetition rule.
alched	P	AL_RAW_I+CH_DRY+E_MIDDLE+D_TERM_CLOSE	Rohdroge I bis zur Mittelstufe trocknen und abschließen	Rohdroge I, bis zur Mittelstufe getrocknet und abgeschlossen	Rohdroge I, bis zur Mittelstufe getrocknet und abgeschlossen	EXTERNAL_NOMINAL_RESULT	Rohdroge I bis zur Mittelstufe trocknen und abziehen	HIGH	f104v	f104v.2	S	B	3	8	10	MEDIAL	0	1	1	1	[alched:?]	OPEN	UNKNOWN_SURFACE	otarar	[otarar:?]	otair	zweite kalte Drogenfraktion im Ansatz	EXACT	alched	SPLIT_2	alched	ONE_EXACT	ychedaiin qoteed chockhy otaiin ydaiin qokamdy otarar alched otair oram	EXTERNAL_TRANSFER_HOLD	1	The external S/B/hand-3 occurrence is nominal inside a raw, fraction and cold-stage chain; RF1b al ched confirms the component boundary while abziehen remains a rival.
dshees	P	D_MEASURE+SH_MOIST+EE_END+S_TERM_SPECIES	eine Charge vollständig eingeweichter Droge abmessen	Dosis oder Charge vollständig eingeweichter Arzneispecies	Dosis oder Charge vollständig eingeweichter Arzneispecies	NOMINAL_MEASURE_OR_CHARGE	eine Dosis vollständig eingeweichter Arzneispecies	MEDIUM	f105r	f105r.2	S	B	3	1	13	INITIAL	0	1	1	1	[dshees:?]	OPEN	UNKNOWN_SURFACE	BOUNDARY	BOUNDARY	yey	[yey:?]	EXACT	dshees	EXACT	dshees	BOTH_EXACT	dshees yey cheey raiin otchdy qodor ches or cheey okees odar cheody qody	EXTERNAL_TRANSFER_HOLD	1	The external S/B/hand-3 line begins with the same D-SH-EE-S stack but has no independent action anchor; abmessen is reserved for explicit head syntax.
lchl	W	LEARNED_LCHL_WHOLE	getrocknetes Drogenholz	getrocknetes Drogenholz	getrocknetes Drogenholz	LEARNED_EXACT_WHOLE	Drogenholz trocknen; Holzstoff	LOW	f105r	f105r.31	S	B	3	2	13	MEDIAL	0	1	1	1	[lchl:?]	OPEN	UNKNOWN_SURFACE	kodeey	[kodeey:?]	shx	[shx:?]	EXACT	lchl	EXACT	lchl	BOTH_EXACT	kodeey lchl shx ar aiijy cpheesy okal lkedy lkar chedy qokaiin or fchoky	EXTERNAL_TRANSFER_HOLD	1	One external S/B/hand-3 occurrence admits the unchanged exact learned wood-drying whole; it does not license L-CH-L as a productive rule.
olpchedy	P	O_PREP+L_WOOD+P_POWDER+CH_DRY+E_MIDDLE+DY_FINISHED	Holzdrogenansatz zu Trockenpulver verarbeiten und fertigstellen	fertiggestelltes Trockenpulver aus Holzdrogenansatz	fertiggestelltes Trockenpulver aus Holzdrogenansatz	EXTERNAL_NOMINAL_RESULT	getrocknetes Pulver aus einem Holzdrogenansatz	MEDIUM	f105v	f105v.1	S	B	3	5	9	MEDIAL	0	1	1	1	[olpchedy:?]	OPEN	UNKNOWN_SURFACE	ykaiin	erhitze hiervon auf Stufe III	opchedaiin	[opchedaiin:?]	EXACT	olpchedy	EXACT	olpchedy	BOTH_EXACT	polairy oair olpcheey ykaiin olpchedy opchedaiin dairody ypcheddy sairy	EXTERNAL_TRANSFER_HOLD	1	Two external S/B/hand-3 occurrences sit inside powder, drying, heat and quantity fields; the components hold but catalogue position selects the finished result rather than a fresh imperative.
olpchedy	P	O_PREP+L_WOOD+P_POWDER+CH_DRY+E_MIDDLE+DY_FINISHED	Holzdrogenansatz zu Trockenpulver verarbeiten und fertigstellen	fertiggestelltes Trockenpulver aus Holzdrogenansatz	fertiggestelltes Trockenpulver aus Holzdrogenansatz	EXTERNAL_NOMINAL_RESULT	getrocknetes Pulver aus einem Holzdrogenansatz	MEDIUM	f105v	f105v.14	S	B	3	4	10	MEDIAL	0	1	1	1	[olpchedy:?]	OPEN	UNKNOWN_SURFACE	qokaiir	nimm die dritte erhitzte Drogenfraktion	olord	[olord:?]	EXACT	olpchedy	EXACT	olpchedy	BOTH_EXACT	pchedaiin chckhdy qokaiir olpchedy olord aiiin tail odar kard chtchy	EXTERNAL_TRANSFER_HOLD	1	Two external S/B/hand-3 occurrences sit inside powder, drying, heat and quantity fields; the components hold but catalogue position selects the finished result rather than a fresh imperative.
shecphy	P	SH_MOIST+E_MIDDLE+CPH_COMPOSITE+Y_START_OR_CLOSE	Arzneikompositum bis zur Mittelstufe einweichen und abschließen	bis zur Mittelstufe eingeweichtes und abgeschlossenes Arzneikompositum	bis zur Mittelstufe eingeweichtes und abgeschlossenes Arzneikompositum	EXTERNAL_NOMINAL_RESULT	feuchtes Arzneikompositum der Mittelstufe	MEDIUM	f106r	f106r.23	S	B	3	6	10	MEDIAL	0	1	1	1	[shecphy:?]	OPEN	UNKNOWN_SURFACE	qokedy	heiß in der Mitte des Grades, abgeschlossen	qokchy	heiß und trocken am Anfang des Grades	EXACT	shecphy	ONE	ecphy	ONE_EXACT	ychedy qckhedy dair al qokedy shecphy qokchy otedy dar aror	EXTERNAL_TRANSFER_HOLD	1	Two external S/B and B/B occurrences retain the moist-middle-composite-close stack; grade and field-close neighbors select a nominal result head.
dchey	P	D_MEASURE+CH_DRY+E_MIDDLE+Y_START_OR_CLOSE	eine Dosis bis zur Mittelstufe trocknen und abschließen	abgemessene Trockendroge der Mittelstufe, abgeschlossen	eine Dosis bis zur Mittelstufe trocknen und abschließen	INITIAL_ACTION_ELSE_NOMINAL	abgemessene Trockendroge der Mittelstufe	HIGH	f107r	f107r.2	S	B	3	1	13	INITIAL	0	1	1	1	[dchey:?]	OPEN	UNKNOWN_SURFACE	BOUNDARY	BOUNDARY	qoteos	[qoteos:?]	EXACT	dchey	EXACT	dchey	BOTH_EXACT	dchey qoteos aiin shedy oteed qor aiin cheockhy olkeey qotain chey qeeey lor	EXTERNAL_TRANSFER_HOLD	1	Fourteen external occurrences preserve D-CH-E-Y, but ten line-initial positions admit an action while four medial positions and the following aiin value require a nominal measured-dry result.
olkar	P	O_PREP+L_WOOD+K_HOT+AR_FRACTION_I	erste erhitzte Holzdrogenfraktion im Ansatz	erste erhitzte Drogenfraktion im Ansatz; Holzbindung offen	erste erhitzte Drogenfraktion im Ansatz; Holzbindung offen	OL_BOUNDARY_AND_READER_OPEN	erste heiße Holzfraktion	HIGH	f107r	f107r.40	S	B	3	7	10	MEDIAL	0	1	1	1	[olkar:?]	OPEN	UNKNOWN_SURFACE	okaiin	heiß, Grad III, im Ansatzrahmen	otair	zweite kalte Drogenfraktion im Ansatz	EXACT	olkar	EXACT	olkar	BOTH_EXACT	lolkaiin chey qokaiin chal aiin okaiin olkar otair okal okal	EXTERNAL_TRANSFER_HOLD	1	Sixteen external positions across B, C, T, H and S secure heat plus fraction I; O+L versus OL remains open and two alternate-reader rivals are quarantined explicitly.
dchey	P	D_MEASURE+CH_DRY+E_MIDDLE+Y_START_OR_CLOSE	eine Dosis bis zur Mittelstufe trocknen und abschließen	abgemessene Trockendroge der Mittelstufe, abgeschlossen	eine Dosis bis zur Mittelstufe trocknen und abschließen	INITIAL_ACTION_ELSE_NOMINAL	abgemessene Trockendroge der Mittelstufe	HIGH	f10r	f10r.2	H	A	1	1	10	INITIAL	0	1	1	1	[dchey:?]	OPEN	UNKNOWN_SURFACE	BOUNDARY	BOUNDARY	cthoor	[cthoor:?]	EXACT	dchey	EXACT	dchey	BOTH_EXACT	dchey cthoor char chty os chair otytchol oky daiin etyd	EXTERNAL_TRANSFER_HOLD	1	Fourteen external occurrences preserve D-CH-E-Y, but ten line-initial positions admit an action while four medial positions and the following aiin value require a nominal measured-dry result.
olam	P	O_PREP+L_WOOD+AM_UNIT_I	ein Maß Holzdroge im Ansatz	ein Maß Ansatz-/Drogenmaterial; Holzbindung offen	ein Maß Ansatz-/Drogenmaterial; Holzbindung offen	OL_BOUNDARY_OPEN	ein Maß Drogenstoff	HIGH	f112r	f112r.36	S	B	3	6	6	FINAL	0	1	1	1	[olam:?]	OPEN	UNKNOWN_SURFACE	okeey	heißer Ansatz am Ende des Grades	BOUNDARY	BOUNDARY	EXACT	olam	EXACT	olam	BOTH_EXACT	sain ol checkhy olchain okeey olam	EXTERNAL_TRANSFER_HOLD	1	Four external S/B/hand-3 occurrences are line-final and securely preserve AM as measure I; the surface does not decide O+L+AM versus OL+AM, so wood remains an explicit rival.
oror	P	OR_PORTION+OR_PORTION	zwei Portionen	zwei Portionen	zwei Portionen	QUANTITY_ATTACHMENT	eine doppelte Portion	LOW	f112v	f112v.10	S	B	3	4	4	FINAL	0	1	1	1	[oror:?]	OPEN	UNKNOWN_SURFACE	okchedy	heiß-trockener Ansatz in der Mitte des Grades, abgeschlossen	BOUNDARY	BOUNDARY	EXACT	oror	ONE	r	ONE_EXACT	dain sheey okchedy oror	EXTERNAL_TRANSFER_HOLD	1	Three external occurrences are quantity-like, including one singleton and two post-state positions; retain the literal two-OR double-portion card without exporting a general repetition rule.
oror	P	OR_PORTION+OR_PORTION	zwei Portionen	zwei Portionen	zwei Portionen	QUANTITY_ATTACHMENT	eine doppelte Portion	LOW	f113v	f113v.12	S	B	3	5	5	FINAL	0	1	1	1	[oror:?]	OPEN	UNKNOWN_SURFACE	olchey	[olchey:?]	BOUNDARY	BOUNDARY	EXACT	oror	EXACT	oror	BOTH_EXACT	solchedy otsheody arl olchey oror	EXTERNAL_TRANSFER_HOLD	1	Three external occurrences are quantity-like, including one singleton and two post-state positions; retain the literal two-OR double-portion card without exporting a general repetition rule.
