surface	composition	segment_trace	role_trace	components	byte_complete	source_global_ordinal	external_positions	decision
polchoy	P_POWDER+OL_MATERIAL+CH_DRY+O_PREP+Y_START_OR_CLOSE	p+ol+ch+o+y	P_POWDER+OL_MATERIAL+CH_DRY+O_PREP+Y_START_OR_CLOSE	5	1	1	0	SOURCE_PAGE_ONLY_UNTESTED
olpchedy	O_PREP+L_WOOD+P_POWDER+CH_DRY+E_MIDDLE+DY_FINISHED	o+l+p+ch+e+dy	O_PREP+L_WOOD+P_POWDER+CH_DRY+E_MIDDLE+DY_FINISHED	6	1	5	2	HOLD_WITH_ACTION_RESULT_SPLIT
ofshdy	O_PREP+F_FLOWER+SH_MOIST+DY_FINISHED	o+f+sh+dy	O_PREP+F_FLOWER+SH_MOIST+DY_FINISHED	4	1	6	0	SOURCE_PAGE_ONLY_UNTESTED
dchey	D_MEASURE+CH_DRY+E_MIDDLE+Y_START_OR_CLOSE	d+ch+e+y	D_MEASURE+CH_DRY+E_MIDDLE+Y_START_OR_CLOSE	4	1	8	14	HOLD_WITH_SCOPE_SPLIT
alched	AL_RAW_I+CH_DRY+E_MIDDLE+D_TERM_CLOSE	al+ch+e+d	AL_RAW_I+CH_DRY+E_MIDDLE+D_TERM_CLOSE	4	1	10	1	HOLD_WITH_ACTION_RESULT_SPLIT
qolsheedy	QOL_ADD+SH_MOIST+EE_END+DY_FINISHED	qol+sh+ee+dy	QOL_ADD+SH_MOIST+EE_END+DY_FINISHED	4	1	85	1	HOLD_WITH_SCOPE_SPLIT
oeeedy	O_PREP+EEE_LONG_OR_FINAL+DY_FINISHED	o+eee+dy	O_PREP+EEE_LONG_OR_FINAL+DY_FINISHED	3	1	89	0	SOURCE_PAGE_ONLY_UNTESTED
qopchol	QO_COMMAND+P_POWDER+CH_DRY+OL_MATERIAL	qo+p+ch+ol	QO_COMMAND+P_POWDER+CH_DRY+OL_MATERIAL	4	1	96	4	HOLD_SAME_CARD
oraisy	OR_PORTION+A_PART_OR_LINK+I_FORM_I+S_TERM_SPECIES+Y_START_OR_CLOSE	or+a+i+s+y	OR_PORTION+A_PART_OR_LINK+I_FORM_I+S_TERM_SPECIES+Y_START_OR_CLOSE	5	1	100	0	SOURCE_PAGE_ONLY_UNTESTED
osheedy	O_PREP+SH_MOIST+EE_END+DY_FINISHED	o+sh+ee+dy	O_PREP+SH_MOIST+EE_END+DY_FINISHED	4	1	108	0	SOURCE_PAGE_ONLY_UNTESTED
oror	OR_PORTION+OR_PORTION	or+or	OR_PORTION+OR_PORTION	2	1	113	3	HOLD_SAME_CARD
olam	O_PREP+L_WOOD+AM_UNIT_I	o+l+am	O_PREP+L_WOOD+AM_UNIT_I	3	1	118	4	HOLD_WITH_SCOPE_SPLIT
dshees	D_MEASURE+SH_MOIST+EE_END+S_TERM_SPECIES	d+sh+ee+s	D_MEASURE+SH_MOIST+EE_END+S_TERM_SPECIES	4	1	47	1	HOLD_WITH_SCOPE_SPLIT
qoteesy	QO_COMMAND+T_COLD+EE_END+S_TERM_SPECIES+Y_START_OR_CLOSE	qo+t+ee+s+y	QO_COMMAND+T_COLD+EE_END+S_TERM_SPECIES+Y_START_OR_CLOSE	5	1	58	0	SOURCE_PAGE_ONLY_UNTESTED
chcphey	CH_DRY+CPH_COMPOSITE+E_MIDDLE+Y_START_OR_CLOSE	ch+cph+e+y	CH_DRY+CPH_COMPOSITE+E_MIDDLE+Y_START_OR_CLOSE	4	1	61	2	HOLD_WITH_ACTION_RESULT_SPLIT
shecphy	SH_MOIST+E_MIDDLE+CPH_COMPOSITE+Y_START_OR_CLOSE	sh+e+cph+y	SH_MOIST+E_MIDDLE+CPH_COMPOSITE+Y_START_OR_CLOSE	4	1	150	2	HOLD_WITH_ACTION_RESULT_SPLIT
qotaldar	QO_COMMAND+T_COLD+AL_RAW_I+D_MEASURE+AR_FRACTION_I	qo+t+al+d+ar	QO_COMMAND+T_COLD+AL_RAW_I+D_MEASURE+AR_FRACTION_I	5	1	152	0	SOURCE_PAGE_ONLY_UNTESTED
qokesdy	QO_COMMAND+K_HOT+E_MIDDLE+S_SEED+DY_FINISHED	qo+k+e+s+dy	QO_COMMAND+K_HOT+E_MIDDLE+S_SEED+DY_FINISHED	5	1	176	0	SOURCE_PAGE_ONLY_UNTESTED
olkar	O_PREP+L_WOOD+K_HOT+AR_FRACTION_I	o+l+k+ar	O_PREP+L_WOOD+K_HOT+AR_FRACTION_I	4	1	196	16	HOLD_WITH_SCOPE_SPLIT
olkshdy	O_PREP+L_WOOD+K_HOT+SH_MOIST+DY_FINISHED	o+l+k+sh+dy	O_PREP+L_WOOD+K_HOT+SH_MOIST+DY_FINISHED	5	1	199	0	SOURCE_PAGE_ONLY_UNTESTED
