surface	card_class	composition	working_meaning_de	external_working_meaning_de	render_mode	confidence	source_positions	external_positions	external_lines	external_pages	sections	languages	hands	position_profile	reader_exact_both	reader_exact_one	reader_exact_neither	first_external_loci	decision	promote_to_v50	review_note
polchoy	P	P_POWDER+OL_MATERIAL+CH_DRY+O_PREP+Y_START_OR_CLOSE	Pulverstoff trocknen, ansetzen und leicht abschließen	Pulverstoff trocknen, ansetzen und leicht abschließen	LOCAL_UNTESTED	MEDIUM	1	0	0	0	NONE	NONE	NONE	NONE	0	0	0	NONE	SOURCE_PAGE_ONLY_UNTESTED	0	Only the f81r source occurrence is present; retain the full P-OL-CH-O-Y composition locally without exporting it.
ofshdy	P	O_PREP+F_FLOWER+SH_MOIST+DY_FINISHED	Blütenfraktionsansatz einweichen und fertigstellen	Blütenfraktionsansatz einweichen und fertigstellen	LOCAL_UNTESTED	LOW	1	0	0	0	NONE	NONE	NONE	NONE	0	0	0	NONE	SOURCE_PAGE_ONLY_UNTESTED	0	The narrow F_FLOWER extension has no exact external occurrence and therefore remains f81r-local.
lshl	W	LEARNED_LSHL_WHOLE	eingeweichte Holzdroge	eingeweichte Holzdroge	LEARNED_LOCAL_UNTESTED	LOW	1	0	0	0	NONE	NONE	NONE	NONE	0	0	0	NONE	SOURCE_PAGE_ONLY_UNTESTED	0	This learned whole is unique to f81r and remains a local exact name.
oeeedy	P	O_PREP+EEE_LONG_OR_FINAL+DY_FINISHED	Ansatz lange oder bis zur letzten Stufe ruhen lassen und fertigstellen	Ansatz lange oder bis zur letzten Stufe ruhen lassen und fertigstellen	LOCAL_UNTESTED	LOW	1	0	0	0	NONE	NONE	NONE	NONE	0	0	0	NONE	SOURCE_PAGE_ONLY_UNTESTED	0	The long-versus-final EEE rival cannot be tested outside f81r; retain both readings locally.
oraisy	P	OR_PORTION+A_PART_OR_LINK+I_FORM_I+S_TERM_SPECIES+Y_START_OR_CLOSE	eine Portion Arzneispecies der Form I abteilen und abschließen	eine Portion Arzneispecies der Form I abteilen und abschließen	LOCAL_UNTESTED	LOW	1	0	0	0	NONE	NONE	NONE	NONE	0	0	0	NONE	SOURCE_PAGE_ONLY_UNTESTED	0	The narrow form-I/species/outer-close extension has no external exact occurrence and remains local.
osheedy	P	O_PREP+SH_MOIST+EE_END+DY_FINISHED	Ansatz vollständig einweichen und fertigstellen	Ansatz vollständig einweichen und fertigstellen	LOCAL_UNTESTED	HIGH	1	0	0	0	NONE	NONE	NONE	NONE	0	0	0	NONE	SOURCE_PAGE_ONLY_UNTESTED	0	The regular complete-moist process is morphologically supported but its exact surface occurs only on f81r.
eses	W	LEARNED_ES_REPEAT	zwei Arzneispecies der Mittelstufe	zwei Arzneispecies der Mittelstufe	LEARNED_LOCAL_UNTESTED	LOW	1	0	0	0	NONE	NONE	NONE	NONE	0	0	0	NONE	SOURCE_PAGE_ONLY_UNTESTED	0	The repeated learned species whole is unique to f81r; no general reduplication rule is exported.
qoteesy	P	QO_COMMAND+T_COLD+EE_END+S_TERM_SPECIES+Y_START_OR_CLOSE	Arzneispecies vollständig abkühlen und abschließen	Arzneispecies vollständig abkühlen und abschließen	LOCAL_UNTESTED	MEDIUM	1	0	0	0	NONE	NONE	NONE	NONE	0	0	0	NONE	SOURCE_PAGE_ONLY_UNTESTED	0	The terminal-species versus seed rival has no external exact occurrence and stays visible on f81r.
qotaldar	P	QO_COMMAND+T_COLD+AL_RAW_I+D_MEASURE+AR_FRACTION_I	erste Fraktion gekühlter Rohdroge I abmessen	erste Fraktion gekühlter Rohdroge I abmessen	LOCAL_UNTESTED	HIGH	1	0	0	0	NONE	NONE	NONE	NONE	0	0	0	NONE	SOURCE_PAGE_ONLY_UNTESTED	0	The cold raw-I measured-first-fraction command has no external exact occurrence.
qokesdy	P	QO_COMMAND+K_HOT+E_MIDDLE+S_SEED+DY_FINISHED	erhitze Saatgut bis zur Mittelstufe und stelle es fertig	erhitze Saatgut bis zur Mittelstufe und stelle es fertig	LOCAL_UNTESTED	MEDIUM	1	0	0	0	NONE	NONE	NONE	NONE	0	0	0	NONE	SOURCE_PAGE_ONLY_UNTESTED	0	The seed versus terminal-species issue cannot be tested outside f81r; retain the seed-heating card locally.
olkshdy	P	O_PREP+L_WOOD+K_HOT+SH_MOIST+DY_FINISHED	Holzdrogenansatz erhitzen, einweichen und fertigstellen	Holzdrogenansatz erhitzen, einweichen und fertigstellen	LOCAL_UNTESTED	HIGH	1	0	0	0	NONE	NONE	NONE	NONE	0	0	0	NONE	SOURCE_PAGE_ONLY_UNTESTED	0	The ordered wood-heat-moist-finish chain has no external exact occurrence and remains f81r-local.
