page	locus	section	language	hand	zl3b_line	unknown_after_gdt673	unknown_after_gdt674	applied_ordinals	applied_surfaces	unknown_after_gdt675	remaining_unknown_ordinals	remaining_unknown_surfaces	before_overlay_glosses_de	gdt675_overlay_glosses_de
f102v2	f102v2.3	P	A	1	oror	1	1	1	oror	0	NONE	NONE	[oror:?]	zwei Portionen
f104v	f104v.2	S	B	3	ychedaiin qoteed chockhy otaiin ydaiin qokamdy otarar alched otair oram	6	6	8	alched	5	1|2|6|7|10	ychedaiin|qoteed|qokamdy|otarar|oram	[ychedaiin:?] | [qoteed:?] | Arzneikompositum im Trockenansatz am Gradanfang | kalt im Zubereitungsrahmen, Grad III | davon drei Maße | [qokamdy:?] | [otarar:?] | [alched:?] | zweite kalte Drogenfraktion im Ansatz | [oram:?]	[ychedaiin:?] | [qoteed:?] | Arzneikompositum im Trockenansatz am Gradanfang | kalt im Zubereitungsrahmen, Grad III | davon drei Maße | [qokamdy:?] | [otarar:?] | Rohdroge I, bis zur Mittelstufe getrocknet und abgeschlossen | zweite kalte Drogenfraktion im Ansatz | [oram:?]
f105r	f105r.2	S	B	3	dshees yey cheey raiin otchdy qodor ches or cheey okees odar cheody qody	3	3	1	dshees	2	2|6	yey|qodor	[dshees:?] | [yey:?] | trocken am Ende des Grades | Wurzel, Typ/Charge III | kalt-trockener Ansatz am Anfang des Grades, abgeschlossen | [qodor:?] | trockenes Drogenmaterial, Mittelstufe | Drogenportion | trocken am Ende des Grades | Charge vollständig erhitzten Ansatzes | erste Ansatzfraktion abmessen | getrockneter Ansatz | stelle die Zubereitung fertig	Dosis oder Charge vollständig eingeweichter Arzneispecies | [yey:?] | trocken am Ende des Grades | Wurzel, Typ/Charge III | kalt-trockener Ansatz am Anfang des Grades, abgeschlossen | [qodor:?] | trockenes Drogenmaterial, Mittelstufe | Drogenportion | trocken am Ende des Grades | Charge vollständig erhitzten Ansatzes | erste Ansatzfraktion abmessen | getrockneter Ansatz | stelle die Zubereitung fertig
f105r	f105r.31	S	B	3	kodeey lchl shx ar aiijy cpheesy okal lkedy lkar chedy qokaiin or fchoky	6	6	2	lchl	5	1|3|5|6|13	kodeey|shx|aiijy|cpheesy|fchoky	[kodeey:?] | [lchl:?] | [shx:?] | Drogenfraktion I | [aiijy:?] | [cpheesy:?] | Rohstoffklasse I im Ansatz, heiß am Gradanfang | erhitzte Holzdroge, Mittelstufe, fertig | heiße Holzfraktion I | trocken in der Mitte des Grades, abgeschlossen | heiß, Grad III | Drogenportion | [fchoky:?]	[kodeey:?] | getrocknetes Drogenholz | [shx:?] | Drogenfraktion I | [aiijy:?] | [cpheesy:?] | Rohstoffklasse I im Ansatz, heiß am Gradanfang | erhitzte Holzdroge, Mittelstufe, fertig | heiße Holzfraktion I | trocken in der Mitte des Grades, abgeschlossen | heiß, Grad III | Drogenportion | [fchoky:?]
f105v	f105v.1	S	B	3	polairy oair olpcheey ykaiin olpchedy opchedaiin dairody ypcheddy sairy	8	8	5	olpchedy	7	1|2|3|6|7|8|9	polairy|oair|olpcheey|opchedaiin|dairody|ypcheddy|sairy	[polairy:?] | [oair:?] | [olpcheey:?] | erhitze hiervon auf Stufe III | [olpchedy:?] | [opchedaiin:?] | [dairody:?] | [ypcheddy:?] | [sairy:?]	[polairy:?] | [oair:?] | [olpcheey:?] | erhitze hiervon auf Stufe III | fertiggestelltes Trockenpulver aus Holzdrogenansatz | [opchedaiin:?] | [dairody:?] | [ypcheddy:?] | [sairy:?]
f105v	f105v.14	S	B	3	pchedaiin chckhdy qokaiir olpchedy olord aiiin tail odar kard chtchy	5	5	4	olpchedy	4	1|5|7|9	pchedaiin|olord|tail|kard	[pchedaiin:?] | Arzneikompositum: trocken, Gradanfang, abgeschlossen | nimm die dritte erhitzte Drogenfraktion | [olpchedy:?] | [olord:?] | Menge-/Klassenwert IV | [tail:?] | erste Ansatzfraktion abmessen | [kard:?] | Droge kalt trocknen und leicht nachtrocknen	[pchedaiin:?] | Arzneikompositum: trocken, Gradanfang, abgeschlossen | nimm die dritte erhitzte Drogenfraktion | fertiggestelltes Trockenpulver aus Holzdrogenansatz | [olord:?] | Menge-/Klassenwert IV | [tail:?] | erste Ansatzfraktion abmessen | [kard:?] | Droge kalt trocknen und leicht nachtrocknen
f106r	f106r.23	S	B	3	ychedy qckhedy dair al qokedy shecphy qokchy otedy dar aror	2	2	6	shecphy	1	10	aror	Eintrag: getrocknete Droge, fertig | bereite das Arzneikompositum bis zur Mittelstufe und schließe ab | abgemessene Fraktion II | Rohstoffklasse I | heiß in der Mitte des Grades, abgeschlossen | [shecphy:?] | heiß und trocken am Anfang des Grades | kalter Ansatz in der Mitte des Grades, abgeschlossen | abgemessene Fraktion I | [aror:?]	Eintrag: getrocknete Droge, fertig | bereite das Arzneikompositum bis zur Mittelstufe und schließe ab | abgemessene Fraktion II | Rohstoffklasse I | heiß in der Mitte des Grades, abgeschlossen | bis zur Mittelstufe eingeweichtes und abgeschlossenes Arzneikompositum | heiß und trocken am Anfang des Grades | kalter Ansatz in der Mitte des Grades, abgeschlossen | abgemessene Fraktion I | [aror:?]
f107r	f107r.2	S	B	3	dchey qoteos aiin shedy oteed qor aiin cheockhy olkeey qotain chey qeeey lor	4	4	1	dchey	3	2|5|12	qoteos|oteed|qeeey	[dchey:?] | [qoteos:?] | Menge III | feucht in der Mitte des Grades, abgeschlossen | [oteed:?] | nimm eine Drogenportion | Menge III | trocken angesetztes Arzneikompositum am Gradanfang | Holzdrogenansatz vollständig erhitzt | kalt im qo-Rahmen, Grad II | trocken in der Mitte des Grades | [qeeey:?] | Holzportion	eine Dosis bis zur Mittelstufe trocknen und abschließen | [qoteos:?] | Menge III | feucht in der Mitte des Grades, abgeschlossen | [oteed:?] | nimm eine Drogenportion | Menge III | trocken angesetztes Arzneikompositum am Gradanfang | Holzdrogenansatz vollständig erhitzt | kalt im qo-Rahmen, Grad II | trocken in der Mitte des Grades | [qeeey:?] | Holzportion
f107r	f107r.40	S	B	3	lolkaiin chey qokaiin chal aiin okaiin olkar otair okal okal	2	2	7	olkar	1	1	lolkaiin	[lolkaiin:?] | trocken in der Mitte des Grades | heiß, Grad III | Rohstoffklasse I, trocken am Gradanfang | Menge III | heiß, Grad III, im Ansatzrahmen | [olkar:?] | zweite kalte Drogenfraktion im Ansatz | Rohstoffklasse I im Ansatz, heiß am Gradanfang | Rohstoffklasse I im Ansatz, heiß am Gradanfang	[lolkaiin:?] | trocken in der Mitte des Grades | heiß, Grad III | Rohstoffklasse I, trocken am Gradanfang | Menge III | heiß, Grad III, im Ansatzrahmen | erste erhitzte Drogenfraktion im Ansatz; Holzbindung offen | zweite kalte Drogenfraktion im Ansatz | Rohstoffklasse I im Ansatz, heiß am Gradanfang | Rohstoffklasse I im Ansatz, heiß am Gradanfang
f10r	f10r.2	H	A	1	dchey cthoor char chty os chair otytchol oky daiin etyd	5	5	1	dchey	4	2|6|7|10	cthoor|chair|otytchol|etyd	[dchey:?] | [cthoor:?] | Trockenfraktion I | trocken-kalt am Gradanfang | Ansatzcharge | [chair:?] | [otytchol:?] | heißer Ansatz am Anfang des Grades | Grad-/Maßwert III | [etyd:?]	eine Dosis bis zur Mittelstufe trocknen und abschließen | [cthoor:?] | Trockenfraktion I | trocken-kalt am Gradanfang | Ansatzcharge | [chair:?] | [otytchol:?] | heißer Ansatz am Anfang des Grades | Grad-/Maßwert III | [etyd:?]
