surface	card_class	composition	working_meaning_de	external_working_meaning_de	render_mode	confidence	source_positions	external_positions	external_lines	external_pages	sections	languages	hands	position_profile	reader_exact_both	reader_exact_one	reader_exact_neither	first_external_loci	decision	promote_to_v50	review_note
polchoy	P	P_POWDER+OL_MATERIAL+CH_DRY+O_PREP+Y_START_OR_CLOSE	Pulverstoff trocknen, ansetzen und leicht abschließen	Pulverstoff trocknen, ansetzen und leicht abschließen	LOCAL_UNTESTED	MEDIUM	1	0	0	0	NONE	NONE	NONE	NONE	0	0	0	NONE	SOURCE_PAGE_ONLY_UNTESTED	0	Only the f81r source occurrence is present; retain the full P-OL-CH-O-Y composition locally without exporting it.
olpchedy	P	O_PREP+L_WOOD+P_POWDER+CH_DRY+E_MIDDLE+DY_FINISHED	Holzdrogenansatz zu Trockenpulver verarbeiten und fertigstellen	fertiggestelltes Trockenpulver aus Holzdrogenansatz	EXTERNAL_NOMINAL_RESULT	MEDIUM	2	2	2	1	S:2	B:2	3:2	MEDIAL:2	2	0	0	f105v.1|f105v.14	HOLD_WITH_ACTION_RESULT_SPLIT	1	Two external S/B/hand-3 occurrences sit inside powder, drying, heat and quantity fields; the components hold but catalogue position selects the finished result rather than a fresh imperative.
ofshdy	P	O_PREP+F_FLOWER+SH_MOIST+DY_FINISHED	Blütenfraktionsansatz einweichen und fertigstellen	Blütenfraktionsansatz einweichen und fertigstellen	LOCAL_UNTESTED	LOW	1	0	0	0	NONE	NONE	NONE	NONE	0	0	0	NONE	SOURCE_PAGE_ONLY_UNTESTED	0	The narrow F_FLOWER extension has no exact external occurrence and therefore remains f81r-local.
dchey	P	D_MEASURE+CH_DRY+E_MIDDLE+Y_START_OR_CLOSE	eine Dosis bis zur Mittelstufe trocknen und abschließen	abgemessene Trockendroge der Mittelstufe, abgeschlossen	INITIAL_ACTION_ELSE_NOMINAL	HIGH	1	14	14	14	C:1|H:10|P:1|S:2	A:10|B:4	1:10|2:2|3:1|@:1	INITIAL:10|MEDIAL:4	13	1	0	f107r.2|f10r.2|f115r.23|f23r.6|f24v.15|f26r.2|f27r.9|f30r.9	HOLD_WITH_SCOPE_SPLIT	1	Fourteen external occurrences preserve D-CH-E-Y, but ten line-initial positions admit an action while four medial positions and the following aiin value require a nominal measured-dry result.
lshl	W	LEARNED_LSHL_WHOLE	eingeweichte Holzdroge	eingeweichte Holzdroge	LEARNED_LOCAL_UNTESTED	LOW	1	0	0	0	NONE	NONE	NONE	NONE	0	0	0	NONE	SOURCE_PAGE_ONLY_UNTESTED	0	This learned whole is unique to f81r and remains a local exact name.
alched	P	AL_RAW_I+CH_DRY+E_MIDDLE+D_TERM_CLOSE	Rohdroge I bis zur Mittelstufe trocknen und abschließen	Rohdroge I, bis zur Mittelstufe getrocknet und abgeschlossen	EXTERNAL_NOMINAL_RESULT	HIGH	1	1	1	1	S:1	B:1	3:1	MEDIAL:1	0	1	0	f104v.2	HOLD_WITH_ACTION_RESULT_SPLIT	1	The external S/B/hand-3 occurrence is nominal inside a raw, fraction and cold-stage chain; RF1b al ched confirms the component boundary while abziehen remains a rival.
qolsheedy	P	QOL_ADD+SH_MOIST+EE_END+DY_FINISHED	vollständig eingeweichten Drogenstoff zugeben und fertigstellen	vollständig eingeweichten und fertigen Drogenstoff zugeben	QOL_ACTION_SHEEDY_RESULT	HIGH	1	1	1	1	B:1	B:1	2:1	MEDIAL:1	0	1	0	f77v.7	HOLD_WITH_SCOPE_SPLIT	1	RF1b reads qol sheedy: QOL remains the add action while SHEEDY is its already moist and finished object, not a second invented action.
oeeedy	P	O_PREP+EEE_LONG_OR_FINAL+DY_FINISHED	Ansatz lange oder bis zur letzten Stufe ruhen lassen und fertigstellen	Ansatz lange oder bis zur letzten Stufe ruhen lassen und fertigstellen	LOCAL_UNTESTED	LOW	1	0	0	0	NONE	NONE	NONE	NONE	0	0	0	NONE	SOURCE_PAGE_ONLY_UNTESTED	0	The long-versus-final EEE rival cannot be tested outside f81r; retain both readings locally.
qopchol	P	QO_COMMAND+P_POWDER+CH_DRY+OL_MATERIAL	nimm getrockneten Pulverstoff	nimm getrockneten Pulverstoff	ACTION_HOLD	HIGH	1	4	4	4	C:1|S:2|T:1	B:4	2:2|3:1|@:1	MEDIAL:4	4	0	0	f114v.36|f115r.1|f86v3.18|f86v5.2	HOLD_SAME_CARD	1	Four external occurrences across S, C and T preserve the command plus powder-dry-material order; nominal neighbors do not erase the visible QO command frame.
oraisy	P	OR_PORTION+A_PART_OR_LINK+I_FORM_I+S_TERM_SPECIES+Y_START_OR_CLOSE	eine Portion Arzneispecies der Form I abteilen und abschließen	eine Portion Arzneispecies der Form I abteilen und abschließen	LOCAL_UNTESTED	LOW	1	0	0	0	NONE	NONE	NONE	NONE	0	0	0	NONE	SOURCE_PAGE_ONLY_UNTESTED	0	The narrow form-I/species/outer-close extension has no external exact occurrence and remains local.
