unified_id	section	page	unit_id	locus_or_field	statement_or_namespace	visible_owner	visible_surface	portable_core_de	local_expansion_de	source_layer	terminal_status
P001	PROSE	f10r	H1	F001	H1-S001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	dchey	Wurzel	Wurzel	UNCHANGED_PORTABLE_VALUE	NONCLOSE
P002	PROSE	f10r	H1	F001	H1-S001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	cthoor	Vorbereitung	Vorbereitung	UNCHANGED_PORTABLE_VALUE	NONCLOSE
P003	PROSE	f10r	H1	F001	H1-S001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	char	davon	davon	UNCHANGED_PORTABLE_VALUE	NONCLOSE
P004	PROSE	f10r	H1	F001	H1-S001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	chty	Teil	Teil	UNCHANGED_PORTABLE_VALUE	NONCLOSE
P005	PROSE	f10r	H1	F001	H1-S001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	os	AUFNAHMEFELD_ODER_UMSCHLUSS	Aufnahmegefäß	PORTABLE_CORE_REVISED__LOCAL_READING_RETAINED	NONCLOSE
P006	PROSE	f10r	H1	F001	H1-S001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	chair	Zuguss	Zuguss	UNCHANGED_PORTABLE_VALUE	NONCLOSE
P007	PROSE	f10r	H1	F001	H1-S001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	otytchol	Folgeteil	Folgeteil	UNCHANGED_PORTABLE_VALUE	NONCLOSE
P008	PROSE	f10r	H1	F001	H1-S001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	oky	einsetzen	einsetzen	UNCHANGED_PORTABLE_VALUE	NONCLOSE
P009	PROSE	f10r	H1	F001	H1-S001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	daiin	Sollwert	Sollwert	UNCHANGED_PORTABLE_VALUE	NONCLOSE
P010	PROSE	f10r	H1	F001	H1-S001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	etyd	kleiner Rest	kleiner Rest	UNCHANGED_PORTABLE_VALUE	NONCLOSE
P011	PROSE	f10r	H1	F002	H1-S002	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	qokchy	weiterbearbeiten	weiterbearbeiten	UNCHANGED_PORTABLE_VALUE	NONCLOSE
P012	PROSE	f10r	H1	F002	H1-S002	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	qotchol	Folgegang	Folgegang	UNCHANGED_PORTABLE_VALUE	NONCLOSE
P013	PROSE	f10r	H1	F002	H1-S002	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	chol	weiter	weiter	UNCHANGED_PORTABLE_VALUE	NONCLOSE
P014	PROSE	f10r	H1	F002	H1-S002	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	cthy	bereit	bereit	UNCHANGED_PORTABLE_VALUE	NONCLOSE
P015	PROSE	f10r	H2	F003	H2-S001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	ycheor	Auszugsansatz	Auszugsansatz	UNCHANGED_PORTABLE_VALUE	NONCLOSE
P016	PROSE	f10r	H2	F003	H2-S001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	cthy	bereit	bereit	UNCHANGED_PORTABLE_VALUE	NONCLOSE
P017	PROSE	f10r	H2	F003	H2-S001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	chor	Ansatz	Ansatz	UNCHANGED_PORTABLE_VALUE	NONCLOSE
P018	PROSE	f10r	H2	F003	H2-S001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	cthaiin	Sollvorbereitung	Sollvorbereitung	UNCHANGED_PORTABLE_VALUE	NONCLOSE
P019	PROSE	f10r	H2	F003	H2-S001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	qoctholy	bereiter Folgeposten	bereiter Folgeposten	UNCHANGED_PORTABLE_VALUE	NONCLOSE
P020	PROSE	f10r	H2	F003	H2-S001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	dy	dies	dies	UNCHANGED_PORTABLE_VALUE	NONCLOSE
P021	PROSE	f10r	H2	F003	H2-S001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	chy	dies	dies	UNCHANGED_PORTABLE_VALUE	NONCLOSE
P022	PROSE	f10r	H2	F003	H2-S001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	taiin	Sollwert	Sollwert	UNCHANGED_PORTABLE_VALUE	NONCLOSE
P023	PROSE	f10r	H2	F003	H2-S001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	shy	dies	dies	UNCHANGED_PORTABLE_VALUE	NONCLOSE
P024	PROSE	f10r	H2	F004	H2-S002	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	qotchor	Folgeansatz	Folgeansatz	UNCHANGED_PORTABLE_VALUE	NONCLOSE
P025	PROSE	f10r	H2	F004	H2-S002	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	chor	Ansatz	Ansatz	UNCHANGED_PORTABLE_VALUE	NONCLOSE
P026	PROSE	f10r	H2	F004	H2-S002	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	otol	Fortgang	Fortgang	UNCHANGED_PORTABLE_VALUE	NONCLOSE
P027	PROSE	f10r	H2	F004	H2-S002	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	chol	weiter	weiter	UNCHANGED_PORTABLE_VALUE	NONCLOSE
P028	PROSE	f10r	H2	F004	H2-S002	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	cholor	derselbe Ansatz	derselbe Ansatz	UNCHANGED_PORTABLE_VALUE	NONCLOSE
P029	PROSE	f10r	H2	F004	H2-S002	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	chol	weiter	weiter	UNCHANGED_PORTABLE_VALUE	NONCLOSE
P030	PROSE	f10r	H2	F004	H2-S002	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	daiin	Sollwert	Sollwert	UNCHANGED_PORTABLE_VALUE	NONCLOSE
P031	PROSE	f10r	H2	F004	H2-S002	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	dar	davon	davon	UNCHANGED_PORTABLE_VALUE	NONCLOSE
P032	PROSE	f10r	H2	F005	H2-S003	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	oykchor	Zubereitungsgefäß	Zubereitungsgefäß	UNCHANGED_PORTABLE_VALUE	NONCLOSE
P033	PROSE	f10r	H2	F005	H2-S003	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	shor	Ansatz	Ansatz	UNCHANGED_PORTABLE_VALUE	NONCLOSE
P034	PROSE	f10r	H2	F005	H2-S003	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	chor	Ansatz	Ansatz	UNCHANGED_PORTABLE_VALUE	NONCLOSE
P035	PROSE	f10r	H2	F005	H2-S003	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	chy	dies	dies	UNCHANGED_PORTABLE_VALUE	NONCLOSE
