page	diagram_id	locus	local_image_owner	local_namespace	visible_sequence	portable_core_chain	complete_local_label_de	group_count	group_serials	orientation_status	f68_f69_mapping
f67r2	A1	f67r2.1	A1_RIGHT_SECTOR_SLOT_01	A1_RIGHT_WHEEL_ONLY	ykshy s aram	LOCAL_LABEL | LOCAL_LABEL | LOCAL_LABEL	Rechtes f67r2-Rad, lokaler Zeichen- oder Kalendersektor R01: Ein einzelner Himmelsabschnitt wird aus dem Werkstattexemplar kopiert und nur mit den Ringangaben dieses rechten Rades gelesen; die Sektornummer ist eine editoriale Adresse, kein festgelegter Tierkreis- oder Monatsname.	3	1|2|3	LOCAL_EDITORIAL_ADDRESS_ONLY__NO_AUTHORIAL_START_ROTATION_OR_DIRECTION	NONE__NO_VISIBLE_KEY
f67r2	A1	f67r2.2	A1_RIGHT_SECTOR_SLOT_02	A1_RIGHT_WHEEL_ONLY	ykecho ols eesydy	LOCAL_LABEL | LOCAL_LABEL | LOCAL_LABEL	Rechtes f67r2-Rad, lokaler Zeichen- oder Kalendersektor R02: Ein einzelner Himmelsabschnitt wird aus dem Werkstattexemplar kopiert und nur mit den Ringangaben dieses rechten Rades gelesen; die Sektornummer ist eine editoriale Adresse, kein festgelegter Tierkreis- oder Monatsname.	3	4|5|6	LOCAL_EDITORIAL_ADDRESS_ONLY__NO_AUTHORIAL_START_ROTATION_OR_DIRECTION	NONE__NO_VISIBLE_KEY
f67r2	A1	f67r2.3	A1_RIGHT_SECTOR_SLOT_03	A1_RIGHT_WHEEL_ONLY	ey shs okar	LOCAL_LABEL | LOCAL_LABEL | LOCAL_LABEL	Rechtes f67r2-Rad, lokaler Zeichen- oder Kalendersektor R03: Ein einzelner Himmelsabschnitt wird aus dem Werkstattexemplar kopiert und nur mit den Ringangaben dieses rechten Rades gelesen; die Sektornummer ist eine editoriale Adresse, kein festgelegter Tierkreis- oder Monatsname.	3	7|8|9	LOCAL_EDITORIAL_ADDRESS_ONLY__NO_AUTHORIAL_START_ROTATION_OR_DIRECTION	NONE__NO_VISIBLE_KEY
f67r2	A1	f67r2.4	A1_RIGHT_SECTOR_SLOT_04	A1_RIGHT_WHEEL_ONLY	shekchy sykos	LOCAL_LABEL | LOCAL_LABEL	Rechtes f67r2-Rad, lokaler Zeichen- oder Kalendersektor R04: Ein einzelner Himmelsabschnitt wird aus dem Werkstattexemplar kopiert und nur mit den Ringangaben dieses rechten Rades gelesen; die Sektornummer ist eine editoriale Adresse, kein festgelegter Tierkreis- oder Monatsname.	2	10|11	LOCAL_EDITORIAL_ADDRESS_ONLY__NO_AUTHORIAL_START_ROTATION_OR_DIRECTION	NONE__NO_VISIBLE_KEY
f67r2	A1	f67r2.5	A1_RIGHT_SECTOR_SLOT_05	A1_RIGHT_WHEEL_ONLY	ykeody okchy	LOCAL_LABEL | POSTEN_SETZEN	Rechtes f67r2-Rad, lokaler Zeichen- oder Kalendersektor R05: Ein einzelner Himmelsabschnitt wird aus dem Werkstattexemplar kopiert und nur mit den Ringangaben dieses rechten Rades gelesen; die Sektornummer ist eine editoriale Adresse, kein festgelegter Tierkreis- oder Monatsname.	2	12|13	LOCAL_EDITORIAL_ADDRESS_ONLY__NO_AUTHORIAL_START_ROTATION_OR_DIRECTION	NONE__NO_VISIBLE_KEY
f67r2	A1	f67r2.6	A1_RIGHT_SECTOR_SLOT_06	A1_RIGHT_WHEEL_ONLY	dchetay	LOCAL_LABEL	Rechtes f67r2-Rad, lokaler Zeichen- oder Kalendersektor R06: Ein einzelner Himmelsabschnitt wird aus dem Werkstattexemplar kopiert und nur mit den Ringangaben dieses rechten Rades gelesen; die Sektornummer ist eine editoriale Adresse, kein festgelegter Tierkreis- oder Monatsname.	1	14	LOCAL_EDITORIAL_ADDRESS_ONLY__NO_AUTHORIAL_START_ROTATION_OR_DIRECTION	NONE__NO_VISIBLE_KEY
f67r2	A1	f67r2.7	A1_RIGHT_SECTOR_SLOT_07	A1_RIGHT_WHEEL_ONLY	ykchy kchey ykchys	LOCAL_LABEL | PLATZ_KURZ_BEARBEITEN | LOCAL_LABEL	Rechtes f67r2-Rad, lokaler Zeichen- oder Kalendersektor R07: Ein einzelner Himmelsabschnitt wird aus dem Werkstattexemplar kopiert und nur mit den Ringangaben dieses rechten Rades gelesen; die Sektornummer ist eine editoriale Adresse, kein festgelegter Tierkreis- oder Monatsname.	3	15|16|17	LOCAL_EDITORIAL_ADDRESS_ONLY__NO_AUTHORIAL_START_ROTATION_OR_DIRECTION	NONE__NO_VISIBLE_KEY
f67r2	A1	f67r2.8	A1_RIGHT_SECTOR_SLOT_08	A1_RIGHT_WHEEL_ONLY	chkchdar	LOCAL_LABEL	Rechtes f67r2-Rad, lokaler Zeichen- oder Kalendersektor R08: Ein einzelner Himmelsabschnitt wird aus dem Werkstattexemplar kopiert und nur mit den Ringangaben dieses rechten Rades gelesen; die Sektornummer ist eine editoriale Adresse, kein festgelegter Tierkreis- oder Monatsname.	1	18	LOCAL_EDITORIAL_ADDRESS_ONLY__NO_AUTHORIAL_START_ROTATION_OR_DIRECTION	NONE__NO_VISIBLE_KEY
f67r2	A1	f67r2.9	A1_RIGHT_SECTOR_SLOT_09	A1_RIGHT_WHEEL_ONLY	ykar ykaly	LOCAL_LABEL | LOCAL_LABEL	Rechtes f67r2-Rad, lokaler Zeichen- oder Kalendersektor R09: Ein einzelner Himmelsabschnitt wird aus dem Werkstattexemplar kopiert und nur mit den Ringangaben dieses rechten Rades gelesen; die Sektornummer ist eine editoriale Adresse, kein festgelegter Tierkreis- oder Monatsname.	2	19|20	LOCAL_EDITORIAL_ADDRESS_ONLY__NO_AUTHORIAL_START_ROTATION_OR_DIRECTION	NONE__NO_VISIBLE_KEY
f67r2	A1	f67r2.10	A1_RIGHT_SECTOR_SLOT_10	A1_RIGHT_WHEEL_ONLY	lkshy kchy okar	LOCAL_LABEL | PLATZ_BEARBEITEN | LOCAL_LABEL	Rechtes f67r2-Rad, lokaler Zeichen- oder Kalendersektor R10: Ein einzelner Himmelsabschnitt wird aus dem Werkstattexemplar kopiert und nur mit den Ringangaben dieses rechten Rades gelesen; die Sektornummer ist eine editoriale Adresse, kein festgelegter Tierkreis- oder Monatsname.	3	21|22|23	LOCAL_EDITORIAL_ADDRESS_ONLY__NO_AUTHORIAL_START_ROTATION_OR_DIRECTION	NONE__NO_VISIBLE_KEY
f67r2	A1	f67r2.11	A1_RIGHT_SECTOR_SLOT_11	A1_RIGHT_WHEEL_ONLY	chky chykchs chy	LOCAL_LABEL | LOCAL_LABEL | dies	Rechtes f67r2-Rad, lokaler Zeichen- oder Kalendersektor R11: Ein einzelner Himmelsabschnitt wird aus dem Werkstattexemplar kopiert und nur mit den Ringangaben dieses rechten Rades gelesen; die Sektornummer ist eine editoriale Adresse, kein festgelegter Tierkreis- oder Monatsname.	3	24|25|26	LOCAL_EDITORIAL_ADDRESS_ONLY__NO_AUTHORIAL_START_ROTATION_OR_DIRECTION	NONE__NO_VISIBLE_KEY
