audit_id	event_id	physical_page	register	statement_id	locus	surface	source_surface	edit_operation	old_char	new_char	edit_index	source_current_recipe	old_target_recipe	corrected_recipe	removed_atoms	added_atoms	renderer_or_composition_rule	audit_decision	confidence	short_reason
P1026-A0001	P1008-E0002	f18r	HERBAL	P1008-S002	f18r.1	darod	daror	SUB	r	d	4	D_ADDR+AR+OR	D_ADDR+AR+OR	D_ADDR+AR+O+D_ADDR	OR	O+D_ADDR	DIRECT_VISIBLE_PACKAGE	RESEGMENT_VISIBLE_EDIT	HIGH	target package read directly
P1026-A0002	P1008-E0003	f18r	HERBAL	P1008-S002	f18r.1	yoar	ykar	SUB	k	o	1	Y+K+AR	Y+K+AR	Y+O+AR	K	O	VISIBLE_SUBSTITUTION	RESEGMENT_VISIBLE_EDIT	WORKING	substituted sign changes the visible atom
P1026-A0003	P1008-E0004	f18r	HERBAL	P1008-S002	f18r.1	ykchol	kchol	INS	NONE	y	0	K+OL	K+OL	Y+K+OL	NONE	Y	VISIBLE_INSERT_Y	RESEGMENT_VISIBLE_EDIT	WORKING	inserted sign adds its atom
P1026-A0004	P1008-E0008	f18r	HERBAL	P1008-S002	f18r.1	octhor	cthor	INS	NONE	o	0	CH+T+OR	CH+T+OR	O+CH+T+OR	NONE	O	VISIBLE_INSERT_O	RESEGMENT_VISIBLE_EDIT	WORKING	inserted sign adds its atom
P1026-A0005	P1008-E0010	f18r	HERBAL	P1008-S002	f18r.2	otshol	otchol	SUB	c	s	2	OT+CH+OL	OT+CH+OL	OT+SH+OL	CH	SH	VISIBLE_SUBSTITUTION	RESEGMENT_VISIBLE_EDIT	WORKING	substituted sign changes the visible atom
P1026-A0006	P1008-E0012	f18r	HERBAL	P1008-S002	f18r.2	chykchy	chokchy	SUB	o	y	2	OK+CH+Y	OK+CH+Y	Y+K+CH+Y	OK	Y+K	DIRECT_VISIBLE_PACKAGE	RESEGMENT_VISIBLE_EDIT	HIGH	target package read directly
P1026-A0007	P1008-E0018	f18r	HERBAL	P1008-S002	f18r.3	qokchor	okchor	INS	NONE	q	0	OK+CH+OR	OK+CH+OR	OK+CH+OR	NONE	NONE	LICENSED_Q_WRAPPER	LICENSED_SAME_RECIPE	HIGH	q wrapper does not add an atom
P1026-A0008	P1008-E0028	f18r	HERBAL	P1008-S002	f18r.4	okeor	okor	INS	NONE	e	2	OK+OR	OK+E+OR	OK+E+OR	NONE	E	DIRECT_VISIBLE_PACKAGE	CURRENT_ALREADY_REPAIRED	HIGH	target package read directly
P1026-A0009	P1008-E0029	f18r	HERBAL	P1008-S002	f18r.4	ykchol	kchol	INS	NONE	y	0	K+OL	K+OL	Y+K+OL	NONE	Y	VISIBLE_INSERT_Y	RESEGMENT_VISIBLE_EDIT	WORKING	inserted sign adds its atom
P1026-A0010	P1008-E0035	f18r	HERBAL	P1008-S003	f18r.5	chlol	chol	INS	NONE	l	2	OL	OL	L+OL	NONE	L	VISIBLE_INSERT_L	RESEGMENT_VISIBLE_EDIT	WORKING	inserted sign adds its atom
P1026-A0011	P1008-E0036	f18r	HERBAL	P1008-S003	f18r.5	chom	cho	INS	NONE	m	3	HO	HO	HO+M_LOCAL	NONE	M_LOCAL	VISIBLE_INSERT_M	RESEGMENT_VISIBLE_EDIT	WORKING	inserted sign adds its atom
P1026-A0012	P1008-E0037	f18r	HERBAL	P1008-S003	f18r.6	ychy	chy	INS	NONE	y	0	Y	Y	Y+Y	NONE	Y	VISIBLE_INSERT_Y	RESEGMENT_VISIBLE_EDIT	WORKING	inserted sign adds its atom
P1026-A0013	P1008-E0040	f18r	HERBAL	P1008-S003	f18r.6	ytol	tol	INS	NONE	y	0	T+OL	T+OL	Y+T+OL	NONE	Y	VISIBLE_INSERT_Y	RESEGMENT_VISIBLE_EDIT	WORKING	inserted sign adds its atom
P1026-A0014	P1008-E0045	f18r	HERBAL	P1008-S003	f18r.7	oshor	shor	INS	NONE	o	0	SH+OR	SH+OR	O+SH+OR	NONE	O	VISIBLE_INSERT_O	RESEGMENT_VISIBLE_EDIT	WORKING	inserted sign adds its atom
P1026-A0015	P1008-E0048	f18r	HERBAL	P1008-S003	f18r.7	sholdy	soldy	INS	NONE	h	1	S+OL+D_ADDR+Y	S+OL+D_ADDR+Y	SH+OL+D_ADDR+Y	S	SH	VISIBLE_SH_FRAME	RESEGMENT_VISIBLE_EDIT	WORKING	s+h carries the SH action
P1026-A0016	P1008-E0049	f18r	HERBAL	P1008-S003	f18r.7	doldy	oldy	INS	NONE	d	0	OL+DY	OL+DY	OL+DY	NONE	NONE	DIRECT_VISIBLE_PACKAGE	LICENSED_SAME_RECIPE	HIGH	target package read directly
P1026-A0017	P1008-E0050	f18r	HERBAL	P1008-S004	f18r.7	doldaiin	oldaiin	INS	NONE	d	0	OL+D_ADDR+AIIN	OL+D_ADDR+AIIN	OL+AIIN	D_ADDR	NONE	DIRECT_VISIBLE_PACKAGE	RESEGMENT_VISIBLE_EDIT	HIGH	target package read directly
P1026-A0018	P1008-E0051	f18r	HERBAL	P1008-S004	f18r.8	qokchor	okchor	INS	NONE	q	0	OK+CH+OR	OK+CH+OR	OK+CH+OR	NONE	NONE	LICENSED_Q_WRAPPER	LICENSED_SAME_RECIPE	HIGH	q wrapper does not add an atom
P1026-A0019	P1008-E0052	f18r	HERBAL	P1008-S004	f18r.8	ckhol	chol	INS	NONE	k	1	OL	OL	CH+K+OL	NONE	CH+K	DIRECT_VISIBLE_PACKAGE	RESEGMENT_VISIBLE_EDIT	HIGH	target package read directly
P1026-A0020	P1008-E0053	f18r	HERBAL	P1008-S004	f18r.8	olody	oldy	INS	NONE	o	2	OL+DY	OL+DY	OL+O+DY	NONE	O	VISIBLE_INSERT_O	RESEGMENT_VISIBLE_EDIT	WORKING	inserted sign adds its atom
P1026-A0021	P1008-E0059	f18r	HERBAL	P1008-S005	f18r.9	okshal	okchal	SUB	c	s	2	OK+CH+AL	OK+CH+AL	OK+SH+AL	CH	SH	VISIBLE_SUBSTITUTION	RESEGMENT_VISIBLE_EDIT	WORKING	substituted sign changes the visible atom
P1026-A0022	P1008-E0068	f18r	HERBAL	P1008-S005	f18r.11	chckhol	chckho	INS	NONE	l	6	CH+K+O	CH+K+O	CH+K+OL	O	OL	DIRECT_VISIBLE_PACKAGE	RESEGMENT_VISIBLE_EDIT	HIGH	target package read directly
P1026-A0023	P1008-E0070	f18r	HERBAL	P1008-S005	f18r.11	g	y	SUB	y	g	0	Y	Y	LOCAL_CHAR_G	Y	LOCAL_CHAR_G	VISIBLE_SUBSTITUTION	RESEGMENT_VISIBLE_EDIT	WORKING	substituted sign changes the visible atom
P1026-A0024	P1008-E0071	f18r	HERBAL	P1008-S005	f18r.12	ychair	chair	INS	NONE	y	0	CH+AIR	CH+AIR	Y+CH+AIR	NONE	Y	VISIBLE_INSERT_Y	RESEGMENT_VISIBLE_EDIT	WORKING	inserted sign adds its atom
P1026-A0025	P1008-E0082	f18r	HERBAL	P1008-S005	f18r.14	ychekch	ychekchy	DEL	y	NONE	7	Y+CH+K+Y	Y+CH+K+Y	Y+CH+K	Y	NONE	VISIBLE_REMOVE_Y	RESEGMENT_VISIBLE_EDIT	WORKING	visible active-posten sign disappears
P1026-A0026	P1008-E0085	f72r	CELESTIAL	P1008-S006	f72r1.1	oteeo	oteey	SUB	y	o	4	OT+EE+Y	OT+EE+Y	OT+EE+O	Y	O	VISIBLE_SUBSTITUTION	RESEGMENT_VISIBLE_EDIT	WORKING	substituted sign changes the visible atom
P1026-A0027	P1008-E0087	f72r	CELESTIAL	P1008-S006	f72r1.1	chlol	chol	INS	NONE	l	2	OL	OL	L+OL	NONE	L	VISIBLE_INSERT_L	RESEGMENT_VISIBLE_EDIT	WORKING	inserted sign adds its atom
P1026-A0028	P1008-E0092	f72r	CELESTIAL	P1008-S007	f72r1.1	chedal	pchedal	DEL	p	NONE	0	P+CHD+AL	P+CHD+AL	CHD+AL	P	NONE	VISIBLE_DELETE_P	RESEGMENT_VISIBLE_EDIT	WORKING	deleted sign removes its atom
P1026-A0029	P1008-E0096	f72r	CELESTIAL	P1008-S008	f72r1.1	chokeol	chokol	INS	NONE	e	4	OK+OL	OK+OL	OK+E+OL	NONE	E	VISIBLE_E_GRADE	RESEGMENT_VISIBLE_EDIT	HIGH	visible e changes the grade recipe
P1026-A0030	P1008-E0098	f72r	CELESTIAL	P1008-S008	f72r1.1	okaiir	okaiin	SUB	n	r	5	OK+AIIN	OK+AIIN	OK+IIN+R	AIIN	IIN+R	DIRECT_VISIBLE_PACKAGE	RESEGMENT_VISIBLE_EDIT	HIGH	target package read directly
P1026-A0031	P1008-E0104	f72r	CELESTIAL	P1008-S009	f72r1.1	okochey	okchey	INS	NONE	o	2	OK+Y	OK+Y	OK+O+Y	NONE	O	VISIBLE_INSERT_O	RESEGMENT_VISIBLE_EDIT	WORKING	inserted sign adds its atom
P1026-A0032	P1008-E0109	f72r	CELESTIAL	P1008-S009	f72r1.1	chekeol	chekol	INS	NONE	e	4	CH+K+OL	CH+K+OL	CH+K+E+OL	NONE	E	VISIBLE_E_GRADE	RESEGMENT_VISIBLE_EDIT	HIGH	visible e changes the grade recipe
P1026-A0033	P1008-E0111	f72r	CELESTIAL	P1008-S009	f72r1.1	otos	oto	INS	NONE	s	3	OT+O	OT+O	OT+O+S	NONE	S	VISIBLE_INSERT_S	RESEGMENT_VISIBLE_EDIT	WORKING	inserted sign adds its atom
P1026-A0034	P1008-E0121	f72r	CELESTIAL	P1008-S009	f72r1.1	adal	dal	INS	NONE	a	0	AL	AL	A_ADDR+AL	NONE	A_ADDR	VISIBLE_INSERT_A	RESEGMENT_VISIBLE_EDIT	WORKING	inserted sign adds its atom
P1026-A0035	P1008-E0147	f72r	CELESTIAL	P1008-S010	f72r1.12	shetey	sheey	INS	NONE	t	3	SH+EE+Y	SH+EE+Y	SH+E+T+E+Y	EE	E+T+E	DIRECT_VISIBLE_PACKAGE	RESEGMENT_VISIBLE_EDIT	HIGH	target package read directly
P1026-A0036	P1008-E0149	f72r	CELESTIAL	P1008-S010	f72r1.12	okalal	okalar	SUB	r	l	5	OK+AL+AR	OK+AL+AR	OK+AL+AL	AR	AL	VISIBLE_SUBSTITUTION	RESEGMENT_VISIBLE_EDIT	WORKING	substituted sign changes the visible atom
P1026-A0037	P1008-E0154	f72r	CELESTIAL	P1008-S010	f72r1.12	cheolor	cholor	INS	NONE	e	2	OL+OR	OL+OR	OL+E+OR	NONE	E	VISIBLE_E_GRADE	RESEGMENT_VISIBLE_EDIT	HIGH	visible e changes the grade recipe
P1026-A0038	P1008-E0155	f72r	CELESTIAL	P1008-S010	f72r1.12	oteo	oto	INS	NONE	e	2	OT+O	OT+O	OT+E+O	NONE	E	VISIBLE_E_GRADE	RESEGMENT_VISIBLE_EDIT	HIGH	visible e changes the grade recipe
P1026-A0039	P1008-E0156	f72r	CELESTIAL	P1008-S010	f72r1.12	teeody	oteeody	DEL	o	NONE	0	OT+EE+O+DY	OT+EE+O+DY	T+EE+O+DY	OT	T	VISIBLE_REMOVE_OT_FRAME	RESEGMENT_VISIBLE_EDIT	WORKING	OT loses its initial o
P1026-A0040	P1008-E0158	f72r	CELESTIAL	P1008-S011	f72r1.12	chokaiin	shokaiin	SUB	s	c	0	SH+OK+AIIN	SH+OK+AIIN	OK+AIIN	SH	NONE	DIRECT_VISIBLE_PACKAGE	RESEGMENT_VISIBLE_EDIT	HIGH	target package read directly
P1026-A0041	P1008-E0161	f72r	CELESTIAL	P1008-S011	f72r1.12	alo	al	INS	NONE	o	2	AL	AL	AL+O	NONE	O	VISIBLE_INSERT_O	RESEGMENT_VISIBLE_EDIT	WORKING	inserted sign adds its atom
P1026-A0042	P1008-E0163	f72r	CELESTIAL	P1008-S011	f72r1.12	otear	otar	INS	NONE	e	2	OT+AR	OT+AR	OT+E+AR	NONE	E	VISIBLE_E_GRADE	RESEGMENT_VISIBLE_EDIT	HIGH	visible e changes the grade recipe
P1026-A0043	P1008-E0177	f72r	CELESTIAL	P1008-S012	f72r1.18	okeeols	okeeol	INS	NONE	s	6	OK+EE+OL	OK+EE+OL	OK+EE+OL+S	NONE	S	VISIBLE_INSERT_S	RESEGMENT_VISIBLE_EDIT	WORKING	inserted sign adds its atom
P1026-A0044	P1008-E0178	f72r	CELESTIAL	P1008-S012	f72r1.18	aroly	arol	INS	NONE	y	4	AR+OL	AR+OL	AR+OL+Y	NONE	Y	VISIBLE_INSERT_Y	RESEGMENT_VISIBLE_EDIT	WORKING	inserted sign adds its atom
P1026-A0045	P1008-E0179	f72r	CELESTIAL	P1008-S012	f72r1.18	okees	okeey	SUB	y	s	4	OK+EE+Y	OK+EE+Y	OK+EE+S	Y	S	VISIBLE_SUBSTITUTION	RESEGMENT_VISIBLE_EDIT	WORKING	substituted sign changes the visible atom
P1026-A0046	P1008-E0181	f72r	CELESTIAL	P1008-S012	f72r1.18	okeor	okeeor	DEL	e	NONE	2	OK+EE+OR	OK+E+OR	OK+E+OR	EE	E	DIRECT_VISIBLE_PACKAGE	CURRENT_ALREADY_REPAIRED	HIGH	target package read directly
