statement_id	physical_page	register	event_count	surface_sequence	pass1025_recipe_sequence	pass1026_recipe_sequence	literal_core_reading_de	changed_event_ids
P1009-S019	f18r	HERBAL	29	darod yoar ykchol dar om chckhy octhor dal otshol qokchol chykchy okchal daiin dy chol dain qokchor chor ey or chey qokchol dy ytcharg chor cthor okeor ykchol okain	D_ADDR+AR+OR | Y+K+AR | K+OL | D_ADDR+AR | O+AM_ADDR | CH+K+Y | CH+T+OR | AL | OT+CH+OL | OK+OL | OK+CH+Y | OK+CH+AL | AIIN | Y | OL | AIN | OK+CH+OR | CH+OR | E+Y | OR | Y | OK+OL | Y | K+CH+AR+LOCAL_CHAR_G | CH+OR | CH+T+OR | OK+E+OR | K+OL | OK+AIN	D_ADDR+AR+O+D_ADDR | Y+O+AR | Y+K+OL | D_ADDR+AR | O+AM_ADDR | CH+K+Y | O+CH+T+OR | AL | OT+SH+OL | OK+OL | Y+K+CH+Y | OK+CH+AL | AIIN | Y | OL | AIN | OK+CH+OR | CH+OR | E+Y | OR | Y | OK+OL | Y | K+CH+AR+LOCAL_CHAR_G | CH+OR | CH+T+OR | OK+E+OR | Y+K+OL | OK+AIN	HIER · AUSGANG · AUSFÜHRUNG · HIER / AKTIVER POSTEN · AUSFÜHRUNG · AUSGANG / AKTIVER POSTEN · GEBEN · FORTSETZEN / HIER · AUSGANG / AUSFÜHRUNG · HIER / NEHMEN · GEBEN · AKTIVER POSTEN / AUSFÜHRUNG · NEHMEN · EINSTELLEN · EINHEIT / ZIELORT / DANACH · HALTEN · FORTSETZEN / SETZEN · FORTSETZEN / AKTIVER POSTEN · GEBEN · NEHMEN · AKTIVER POSTEN / SETZEN · NEHMEN · ZIELORT / WERT / AKTIVER POSTEN / FORTSETZEN / ANTEIL / SETZEN · NEHMEN · EINHEIT / NEHMEN · EINHEIT / GRAD I · AKTIVER POSTEN / EINHEIT / AKTIVER POSTEN / SETZEN · FORTSETZEN / AKTIVER POSTEN / GEBEN · NEHMEN · AUSGANG · VARIANTE / NEHMEN · EINHEIT / NEHMEN · EINSTELLEN · EINHEIT / SETZEN · GRAD I · EINHEIT / AKTIVER POSTEN · GEBEN · FORTSETZEN / SETZEN · ANTEIL	P1008-E0002|P1008-E0003|P1008-E0004|P1008-E0008|P1008-E0010|P1008-E0012|P1008-E0029
P1009-S020	f18r	HERBAL	19	tchor shor cthaiin cthol chlol chom ychy kchor dair ytol chcthy dar dar dal oshor shaiin cthy sholdy doldy	T+CH+OR | SH+OR | CH+T+AIIN | CH+T+OL | OL | HO | Y | K+CH+OR | D_ADDR+AIR | T+OL | CH+CH+T+Y | D_ADDR+AR | D_ADDR+AR | AL | SH+OR | SH+AIIN | CH+T+Y | S+OL+D_ADDR+Y | OL+DY	T+CH+OR | SH+OR | CH+T+AIIN | CH+T+OL | L+OL | HO+M_LOCAL | Y+Y | K+CH+OR | D_ADDR+AIR | Y+T+OL | CH+CH+T+Y | D_ADDR+AR | D_ADDR+AR | AL | O+SH+OR | SH+AIIN | CH+T+Y | SH+OL+D_ADDR+Y | OL+DY	EINSTELLEN · NEHMEN · EINHEIT / HALTEN · EINHEIT / NEHMEN · EINSTELLEN · WERT / NEHMEN · EINSTELLEN · FORTSETZEN / VERBINDUNG · FORTSETZEN / KLASSE · HIER / AKTIVER POSTEN · AKTIVER POSTEN / GEBEN · NEHMEN · EINHEIT / HIER · LAUF / AKTIVER POSTEN · EINSTELLEN · FORTSETZEN / NEHMEN · NEHMEN · EINSTELLEN · AKTIVER POSTEN / HIER · AUSGANG / HIER · AUSGANG / ZIELORT / AUSFÜHRUNG · HALTEN · EINHEIT / HALTEN · WERT / NEHMEN · EINSTELLEN · AKTIVER POSTEN / HALTEN · FORTSETZEN · HIER · AKTIVER POSTEN / FORTSETZEN · SCHLUSS	P1008-E0035|P1008-E0036|P1008-E0037|P1008-E0040|P1008-E0045|P1008-E0048
P1009-S021	f18r	HERBAL	4	doldaiin qokchor ckhol olody	OL+D_ADDR+AIIN | OK+CH+OR | OL | OL+DY	OL+AIIN | OK+CH+OR | CH+K+OL | OL+O+DY	FORTSETZEN · WERT / SETZEN · NEHMEN · EINHEIT / NEHMEN · GEBEN · FORTSETZEN / FORTSETZEN · AUSFÜHRUNG · SCHLUSS	P1008-E0050|P1008-E0052|P1008-E0053
P1009-S022	f18r	HERBAL	31	okal dy dary chol chcthal okshal chykald dar shor qokchol ol ydaiin sotchaiin chokchy chckhol chor g ychair cthol daiin qokchy cthy or shaiin cthar cthal okal dar ychekch y kchaiin	OK+AL | Y | DA+R+Y | OL | CH+T+AL | OK+CH+AL | OK+AL | D_ADDR+AR | SH+OR | OK+OL | OL | Y+D_ADDR+AIIN | S+OT+AIIN | OK+CH+Y | CH+K+O | CH+OR | Y | CH+AIR | CH+T+OL | AIIN | OK+Y | CH+T+Y | OR | SH+AIIN | CH+T+AR | CH+T+AL | OK+AL | D_ADDR+AR | Y+CH+K+Y | Y | K+CH+AIIN	OK+AL | Y | DA+R+Y | OL | CH+T+AL | OK+SH+AL | OK+AL | D_ADDR+AR | SH+OR | OK+OL | OL | Y+D_ADDR+AIIN | S+OT+AIIN | OK+CH+Y | CH+K+OL | CH+OR | LOCAL_CHAR_G | Y+CH+AIR | CH+T+OL | AIIN | OK+Y | CH+T+Y | OR | SH+AIIN | CH+T+AR | CH+T+AL | OK+AL | D_ADDR+AR | Y+CH+K | Y | K+CH+AIIN	SETZEN · ZIELORT / AKTIVER POSTEN / ZWEITE STUFE · MARKIEREN · AKTIVER POSTEN / FORTSETZEN / NEHMEN · EINSTELLEN · ZIELORT / SETZEN · HALTEN · ZIELORT / SETZEN · ZIELORT / HIER · AUSGANG / HALTEN · EINHEIT / SETZEN · FORTSETZEN / FORTSETZEN / AKTIVER POSTEN · HIER · WERT / WÄHLEN · DANACH · WERT / SETZEN · NEHMEN · AKTIVER POSTEN / NEHMEN · GEBEN · FORTSETZEN / NEHMEN · EINHEIT / VARIANTE / AKTIVER POSTEN · NEHMEN · LAUF / NEHMEN · EINSTELLEN · FORTSETZEN / WERT / SETZEN · AKTIVER POSTEN / NEHMEN · EINSTELLEN · AKTIVER POSTEN / EINHEIT / HALTEN · WERT / NEHMEN · EINSTELLEN · AUSGANG / NEHMEN · EINSTELLEN · ZIELORT / SETZEN · ZIELORT / HIER · AUSGANG / AKTIVER POSTEN · NEHMEN · GEBEN / AKTIVER POSTEN / GEBEN · NEHMEN · WERT	P1008-E0059|P1008-E0068|P1008-E0070|P1008-E0071|P1008-E0082
P1009-S050	f72r	CELESTIAL	5	oteeo cthey chlol cheol olcheor	OT+EE+Y | CH+T+E+Y | OL | CH+E+O+L | OL+CH+E+O+DY	OT+EE+O | CH+T+E+Y | L+OL | CH+E+O+L | OL+CH+E+O+DY	DANACH · GRAD II · AUSFÜHRUNG / NEHMEN · EINSTELLEN · GRAD I · AKTIVER POSTEN / VERBINDUNG · FORTSETZEN / NEHMEN · GRAD I · AUSFÜHRUNG · VERBINDUNG / FORTSETZEN · NEHMEN · GRAD I · AUSFÜHRUNG · SCHLUSS	P1008-E0085|P1008-E0087
P1009-S051	f72r	CELESTIAL	4	al oteey chedal oteedy	AL | OT+EE+Y | P+CHD+AL | OT+EE+DY	AL | OT+EE+Y | CHD+AL | OT+EE+DY	ZIELORT / DANACH · GRAD II · AKTIVER POSTEN / UMSETZEN · ZIELORT / DANACH · GRAD II · SCHLUSS	P1008-E0092
P1009-S052	f72r	CELESTIAL	6	okeodaly chol chokeol cheoky okaiir okeedy	OK+E+O+D_ADDR+AL+Y | OL | OK+OL | CH+E+O+K+Y | OK+AIIN | OK+EE+DY	OK+E+O+D_ADDR+AL+Y | OL | OK+E+OL | CH+E+O+K+Y | OK+IIN+R | OK+EE+DY	SETZEN · GRAD I · AUSFÜHRUNG · HIER · ZIELORT · AKTIVER POSTEN / FORTSETZEN / SETZEN · GRAD I · FORTSETZEN / NEHMEN · GRAD I · AUSFÜHRUNG · GEBEN · AKTIVER POSTEN / SETZEN · STUFE · MARKIEREN / SETZEN · GRAD II · SCHLUSS	P1008-E0096|P1008-E0098
P1009-S053	f72r	CELESTIAL	27	sheoltey cheor aiin ydal okochey sho okalshey shol chalaiin chekeol kol otos ar aiin otam otam chotam sal okeo dar ar adal dar okeeas aiin oteey okaiin	SH+E+OL+T+E+Y | CH+E+O+R | AIIN | Y+AL | OK+Y | SH+O | S+A_ADDR+L+SH+E+Y | SH+OL | AL+AIIN | CH+K+OL | K+OL | OT+O | AR | AIIN | OT+AM_ADDR | OT+AM_ADDR | CH+OT+AM_ADDR | S+AL | OK+E+O | D_ADDR+AR | AR | AL | D_ADDR+AR | OK+EE+Y | AIIN | OT+EE+Y | OK+AIIN	SH+E+OL+T+E+Y | CH+E+O+R | AIIN | Y+AL | OK+O+Y | SH+O | S+A_ADDR+L+SH+E+Y | SH+OL | AL+AIIN | CH+K+E+OL | K+OL | OT+O+S | AR | AIIN | OT+AM_ADDR | OT+AM_ADDR | CH+OT+AM_ADDR | S+AL | OK+E+O | D_ADDR+AR | AR | A_ADDR+AL | D_ADDR+AR | OK+EE+Y | AIIN | OT+EE+Y | OK+AIIN	HALTEN · GRAD I · FORTSETZEN · EINSTELLEN · GRAD I · AKTIVER POSTEN / NEHMEN · GRAD I · AUSFÜHRUNG · MARKIEREN / WERT / AKTIVER POSTEN · ZIELORT / SETZEN · AUSFÜHRUNG · AKTIVER POSTEN / HALTEN · AUSFÜHRUNG / WÄHLEN · HIER · VERBINDUNG · HALTEN · GRAD I · AKTIVER POSTEN / HALTEN · FORTSETZEN / ZIELORT · WERT / NEHMEN · GEBEN · GRAD I · FORTSETZEN / GEBEN · FORTSETZEN / DANACH · AUSFÜHRUNG · WÄHLEN / AUSGANG / WERT / DANACH · HIER / DANACH · HIER / NEHMEN · DANACH · HIER / WÄHLEN · ZIELORT / SETZEN · GRAD I · AUSFÜHRUNG / HIER · AUSGANG / AUSGANG / HIER · ZIELORT / HIER · AUSGANG / SETZEN · GRAD II · AKTIVER POSTEN / WERT / DANACH · GRAD II · AKTIVER POSTEN / SETZEN · WERT	P1008-E0104|P1008-E0109|P1008-E0111|P1008-E0121
P1009-S054	f72r	CELESTIAL	13	oteodar ytey otey shetey chokshor okalal otaiin sheolaiin otaiin chetey cheolor oteo teeody	OT+E+O+D_ADDR+AR | T+E+Y | OT+E+Y | SH+EE+Y | OK+OR | OK+AL+AR | OT+AIIN | SH+E+OL+AIIN | OT+AIIN | CH+E+T+E+Y | OL+OR | OT+O | OT+EE+O+DY	OT+E+O+D_ADDR+AR | T+E+Y | OT+E+Y | SH+E+T+E+Y | OK+OR | OK+AL+AL | OT+AIIN | SH+E+OL+AIIN | OT+AIIN | CH+E+T+E+Y | OL+E+OR | OT+E+O | T+EE+O+DY	DANACH · GRAD I · AUSFÜHRUNG · HIER · AUSGANG / EINSTELLEN · GRAD I · AKTIVER POSTEN / DANACH · GRAD I · AKTIVER POSTEN / HALTEN · GRAD I · EINSTELLEN · GRAD I · AKTIVER POSTEN / SETZEN · EINHEIT / SETZEN · ZIELORT · ZIELORT / DANACH · WERT / HALTEN · GRAD I · FORTSETZEN · WERT / DANACH · WERT / NEHMEN · GRAD I · EINSTELLEN · GRAD I · AKTIVER POSTEN / FORTSETZEN · GRAD I · EINHEIT / DANACH · GRAD I · AUSFÜHRUNG / EINSTELLEN · GRAD II · AUSFÜHRUNG · SCHLUSS	P1008-E0147|P1008-E0149|P1008-E0154|P1008-E0155|P1008-E0156
P1009-S055	f72r	CELESTIAL	14	otar chokaiin okaiin al alo cheedy otear ar cheky chokal otar al o qokar	OT+AR | SH+OK+AIIN | OK+AIIN | AL | AL | CH+EE+D_ADDR+Y | OT+AR | AR | CH+K+E+Y | OK+AL | OT+AR | AL | O | OK+AR	OT+AR | OK+AIIN | OK+AIIN | AL | AL+O | CH+EE+D_ADDR+Y | OT+E+AR | AR | CH+K+E+Y | OK+AL | OT+AR | AL | O | OK+AR	DANACH · AUSGANG / SETZEN · WERT / SETZEN · WERT / ZIELORT / ZIELORT · AUSFÜHRUNG / NEHMEN · GRAD II · HIER · AKTIVER POSTEN / DANACH · GRAD I · AUSGANG / AUSGANG / NEHMEN · GEBEN · GRAD I · AKTIVER POSTEN / SETZEN · ZIELORT / DANACH · AUSGANG / ZIELORT / AUSFÜHRUNG / SETZEN · AUSGANG	P1008-E0158|P1008-E0161|P1008-E0163
