rule	audited_event_count	surface_count	same_recipe_surface_count	resegmented_surface_count
DIRECT_VISIBLE_PACKAGE	68	55	10	45
LICENSED_CHD_CHED	2	2	2	0
LICENSED_CHK_CHEK	2	1	1	0
LICENSED_OS_OES	1	1	1	0
LICENSED_Q_WRAPPER	7	6	6	0
VISIBLE_AIR	1	1	0	1
VISIBLE_AL_FRAME	1	1	0	1
VISIBLE_DELETE_K	1	1	0	1
VISIBLE_DELETE_L	1	1	0	1
VISIBLE_DELETE_O	3	3	0	3
VISIBLE_DELETE_P	2	2	0	2
VISIBLE_DELETE_R	1	1	0	1
VISIBLE_DELETE_T	1	1	0	1
VISIBLE_D_ADDRESS	3	3	0	3
VISIBLE_E_GRADE	37	27	0	27
VISIBLE_INSERT_A	2	2	0	2
VISIBLE_INSERT_K	4	4	0	4
VISIBLE_INSERT_L	17	14	0	14
VISIBLE_INSERT_M	2	1	0	1
VISIBLE_INSERT_O	17	16	0	16
VISIBLE_INSERT_P	3	3	0	3
VISIBLE_INSERT_R	1	1	0	1
VISIBLE_INSERT_S	8	7	0	7
VISIBLE_INSERT_T	2	2	0	2
VISIBLE_INSERT_Y	21	18	0	18
VISIBLE_I_CHANGE	3	1	0	1
VISIBLE_OT_FRAME	1	1	0	1
VISIBLE_REMOVE_CLOSE	2	2	0	2
VISIBLE_REMOVE_D_ADDRESS	5	5	1	4
VISIBLE_REMOVE_H	1	1	0	1
VISIBLE_REMOVE_OT_FRAME	1	1	0	1
VISIBLE_REMOVE_Y	10	9	0	9
VISIBLE_SH_FRAME	3	2	0	2
VISIBLE_SUBSTITUTION	37	30	0	30
