pass1026_event_id	source_event_id	physical_page	register	statement_id	locus	surface	pass1025_recipe	pass1026_recipe	literal_core_reading_de	pass1026_change	one_edit_audit_surface	one_edit_rule
P1026-E0001	P912-E0001	f10r	HERBAL	P1009-S001	f10r.1	pchocthy	P+CH+O+CH+T+Y	P+CH+O+CH+T+Y	EINSETZEN · NEHMEN · AUSFÜHRUNG · NEHMEN · EINSTELLEN · AKTIVER POSTEN	UNCHANGED	NO	NOT_IN_OLD_ONE_EDIT_SET
P1026-E0002	P912-E0002	f10r	HERBAL	P1009-S001	f10r.1	shor	SH+OR	SH+OR	HALTEN · EINHEIT	UNCHANGED	NO	NOT_IN_OLD_ONE_EDIT_SET
P1026-E0003	P912-E0003	f10r	HERBAL	P1009-S001	f10r.1	octhody	O+CH+T+O+D_ADDR+Y	O+CH+T+O+D_ADDR+Y	AUSFÜHRUNG · NEHMEN · EINSTELLEN · AUSFÜHRUNG · HIER · AKTIVER POSTEN	UNCHANGED	NO	NOT_IN_OLD_ONE_EDIT_SET
P1026-E0004	P912-E0004	f10r	HERBAL	P1009-S001	f10r.1	chorchy	CH+OR+CH+Y	CH+OR+CH+Y	NEHMEN · EINHEIT · NEHMEN · AKTIVER POSTEN	UNCHANGED	NO	NOT_IN_OLD_ONE_EDIT_SET
P1026-E0005	P912-E0005	f10r	HERBAL	P1009-S001	f10r.1	pchodol	P+CH+O+D_ADDR+OL	P+CH+O+D_ADDR+OL	EINSETZEN · NEHMEN · AUSFÜHRUNG · HIER · FORTSETZEN	UNCHANGED	NO	NOT_IN_OLD_ONE_EDIT_SET
P1026-E0006	P912-E0006	f10r	HERBAL	P1009-S001	f10r.1	chopchal	CH+O+P+CH+AL	CH+O+P+CH+AL	NEHMEN · AUSFÜHRUNG · EINSETZEN · NEHMEN · ZIELORT	UNCHANGED	NO	NOT_IN_OLD_ONE_EDIT_SET
P1026-E0007	P912-E0007	f10r	HERBAL	P1009-S001	f10r.1	ypch	Y+P+CH	Y+P+CH	AKTIVER POSTEN · EINSETZEN · NEHMEN	UNCHANGED	NO	NOT_IN_OLD_ONE_EDIT_SET
P1026-E0008	P912-E0008	f10r	HERBAL	P1009-S001	f10r.1	kom	K+O+M_LOCAL	K+O+M_LOCAL	GEBEN · AUSFÜHRUNG · HIER	UNCHANGED	NO	NOT_IN_OLD_ONE_EDIT_SET
P1026-E0009	P912-E0009	f10r	HERBAL	P1009-S001	f10r.2	dchey	CH+E+Y	CH+E+Y	NEHMEN · GRAD I · AKTIVER POSTEN	UNCHANGED	NO	NOT_IN_OLD_ONE_EDIT_SET
P1026-E0010	P912-E0010	f10r	HERBAL	P1009-S001	f10r.2	cthoor	CH+T+O+OR	CH+T+O+OR	NEHMEN · EINSTELLEN · AUSFÜHRUNG · EINHEIT	UNCHANGED	NO	NOT_IN_OLD_ONE_EDIT_SET
P1026-E0011	P912-E0011	f10r	HERBAL	P1009-S001	f10r.2	char	AR	AR	AUSGANG	UNCHANGED	NO	NOT_IN_OLD_ONE_EDIT_SET
P1026-E0012	P912-E0012	f10r	HERBAL	P1009-S001	f10r.2	chty	CH+T+Y	CH+T+Y	NEHMEN · EINSTELLEN · AKTIVER POSTEN	UNCHANGED	NO	NOT_IN_OLD_ONE_EDIT_SET
