passage_id	kind	group_id	outcome	stem	distance_cell	candidate_locus	candidate_span	candidate_full_line	control_locus	control_span	control_full_line	note
G803-P001	MATCHED_INFORMATIVE_PAIR	LEFT_QOK4	SUPPORTS_L	da	0	f108r.45	qokedy dal NONE	dain sheckhy okeey keey lchedy okeey qokedy chedy dalkedy qokedy dal	f51r.14	al dam NONE	daiiy qodaiin kaiiidal cphodal s al dam	same target stem and distance cell; different folio; left context compared
G803-P002	MATCHED_INFORMATIVE_PAIR	LEFT_QOK4	SUPPORTS_L	lo	0	f77r.16	qokeedy lol NONE	sshedy qotaiin chedy qokaiin shedy qolcheedy qokeedy lol	f116r.39	al lom NONE	qokain chey olr ain shey qokain o l keey keeey lkeal or al lom	same target stem and distance cell; different folio; left context compared
G803-P003	MATCHED_INFORMATIVE_PAIR	LEFT_QOK4	SUPPORTS_L	o	0	f77v.27	qokain ol NONE	tshedy qokain chedal fchedy cheky sain chedy qokain ol	f116r.25	al om NONE	chol sheky shedy qokeey qokeedy shckhy qokain otal ches oin ain al om	same target stem and distance cell; different folio; left context compared
G803-P004	MATCHED_INFORMATIVE_PAIR	LEFT_QOK4	SUPPORTS_L	o	0	f79r.33	qokain ol NONE	daiin shedy qotshedy oteeedy oteedy chey qokain ol	f113r.4	al om NONE	kcheeos olkeedy shoaiin cheeody qokchedy chckhody qokedy qotaly lkar ar al om	same target stem and distance cell; different folio; left context compared
G803-P005	MATCHED_INFORMATIVE_PAIR	LEFT_QOK4	REVERSES	otara	0	f79v.3	qokeedy otaram NONE	dolsheol okchy qokain sheedy qokshedy qokeedy otaram	f107r.13	shedy otaral NONE	polchls aiin sheky qokaiin opchal shedy pshedaiin otodal shedy otaral	same target stem and distance cell; different folio; left context compared
G803-P006	MATCHED_INFORMATIVE_PAIR	RIGHT_RESULT3	SUPPORTS_L	da	5	f82v.11	qokal dal shedy	pcheol dar qokeey cheeky qokal dal shedy pchdy rol qotedy rol	f33v.2	kchdy dam dy	kchdy dam dy oky otal dain chdy ytam otam cham	same target stem and distance cell; different folio; right context compared
G803-P007	MATCHED_INFORMATIVE_PAIR	RIGHT_RESULT3	SUPPORTS_L	oko	5	f113v.13	ar okol shedy	poraiin otar ar okol shedy qokchedy otchdy qotor qoteedar roral fchee llor	f3v.3	NONE okom chol	okom chol shol seees chom cheeykam okai	same target stem and distance cell; different folio; right context compared
G803-P008	MATCHED_INFORMATIVE_PAIR	RIGHT_RESULT3	SUPPORTS_L	qoka	5	f103v.2	shey qokal shedy	daiin shey qokal shedy qokeedy qoteor shey qoty chckhy qotain chalr	f86v3.19	olkechy qokam chol	dchey otain olkechy qokam chol kchdy chol tchdy dar aiindy	same target stem and distance cell; different folio; right context compared
G803-P009	CORE_COUNTEREXAMPLE	LEFT_QOK4	M_SURFACE_INSIDE_L_FAVOURING_CONTEXT	okeda	1	f108r.27	qokedy okedam chdy	ychedain orcheory qoaiin okeey qokeey chdal okedy qokedy okedam chdy	NONE	NONE	NONE	explicit counterexample; construction is a preference, not a deterministic rule
G803-P010	CORE_COUNTEREXAMPLE	LEFT_QOK4	M_SURFACE_INSIDE_L_FAVOURING_CONTEXT	okeeo	5	f108r.40	qokeedy okeeom cheykeeed	okor aiin okeedy qokeedy okeeom cheykeeed chol qekeey or aiin chckhom	NONE	NONE	NONE	explicit counterexample; construction is a preference, not a deterministic rule
