bracket_id	occurrence_id	source_selector	physical_folio	locus	section	language	hand	left_context	target_surface	target_stem	terminal	right_context	exact_three_token_span	full_zl3b_line	working_construction_de	null_rival	semantic_export_credit
G803-B01	GDT800-O0118	f103r	f103r	f103r.29	S	B	3	qokeey	chal	cha	l	chedy	qokeey chal chedy	qokeeechy shokeey qochey qokeey chal chedy	Qualität/Zustand + Träger/Eintrag + Wert/Zustand	dreigliedrige formale Adresse ohne semantische Feldwerte	ZERO__EXPLORATORY_FIELD_BRIDGE_ONLY
G803-B02	GDT800-O0387	f106r	f106r	f106r.20	S	B	3	qokeedy	sail	sai	l	chedy	qokeedy sail chedy	ytaiin cheey qokaiin shaiin qokeedy sail chedy cheodal qochedy qokaiin	Qualität/Zustand + Träger/Eintrag + Wert/Zustand	dreigliedrige formale Adresse ohne semantische Feldwerte	ZERO__EXPLORATORY_FIELD_BRIDGE_ONLY
G803-B03	GDT800-O0564	f107v	f107v	f107v.2	S	B	3	qokedy	otal	ota	l	chedy	qokedy otal chedy	daiin dckhy ol daiin chkal qokedy otal chedy oteos aiin otar alkain ol	Qualität/Zustand + Träger/Eintrag + Wert/Zustand	dreigliedrige formale Adresse ohne semantische Feldwerte	ZERO__EXPLORATORY_FIELD_BRIDGE_ONLY
G803-B04	GDT800-O0660	f108r	f108r	f108r.42	S	B	3	qokeey	chedal	cheda	l	chedy	qokeey chedal chedy	okeey qokeey qokeedy qokeey chedal chedy qokeey okeedain otain oolals	Qualität/Zustand + Träger/Eintrag + Wert/Zustand	dreigliedrige formale Adresse ohne semantische Feldwerte	ZERO__EXPLORATORY_FIELD_BRIDGE_ONLY
G803-B05	GDT800-O0875	f111v	f111v	f111v.23	S	B	3	qokain	cheol	cheo	l	daiin	qokain cheol daiin	qokaiin sheckhy qokar chalkain chckhedy lcheol okaiin qokain cheol daiin lam	Qualität/Zustand + Träger/Eintrag + Wert/Zustand	dreigliedrige formale Adresse ohne semantische Feldwerte	ZERO__EXPLORATORY_FIELD_BRIDGE_ONLY
G803-B06	GDT800-O0897	f111v	f111v	f111v.5	S	B	3	qokeedy	qokeol	qokeo	l	shedy	qokeedy qokeol shedy	qokeed o aiin otedy qokedy chedy qokeey qokeedy qokeol shedy qotedal lol	Qualität/Zustand + Träger/Eintrag + Wert/Zustand	dreigliedrige formale Adresse ohne semantische Feldwerte	ZERO__EXPLORATORY_FIELD_BRIDGE_ONLY
G803-B07	GDT800-O2721	f75v	f75v	f75v.44	B	B	2	qokain	ol	o	l	chedy	qokain ol chedy	olshees ol sheckhy qokain ol chedy qol chedy qol keey qolchedy chealy	Qualität/Zustand + Träger/Eintrag + Wert/Zustand	dreigliedrige formale Adresse ohne semantische Feldwerte	ZERO__EXPLORATORY_FIELD_BRIDGE_ONLY
G803-B08	GDT800-O2804	f76v	f76v	f76v.12	B	B	2	qokeedy	qotal	qota	l	chedy	qokeedy qotal chedy	solsheol sheey lteedy qokeedy qotal chedy checthy otedeey qokol chedy deey	Qualität/Zustand + Träger/Eintrag + Wert/Zustand	dreigliedrige formale Adresse ohne semantische Feldwerte	ZERO__EXPLORATORY_FIELD_BRIDGE_ONLY
G803-B09	GDT800-O2873	f77v	f77v	f77v.12	B	B	2	qokedy	okal	oka	l	chedy	qokedy okal chedy	lchedy shedal qokedy okal chedy qokal shedy chedy qol chdy lam	Qualität/Zustand + Träger/Eintrag + Wert/Zustand	dreigliedrige formale Adresse ohne semantische Feldwerte	ZERO__EXPLORATORY_FIELD_BRIDGE_ONLY
G803-B10	GDT800-O2953	f78r	f78r	f78r.31	B	B	2	qokedy	otal	ota	l	shedy	qokedy otal shedy	solkeedy sheckhy qokedy otal shedy otar olchedy cthdy	Qualität/Zustand + Träger/Eintrag + Wert/Zustand	dreigliedrige formale Adresse ohne semantische Feldwerte	ZERO__EXPLORATORY_FIELD_BRIDGE_ONLY
G803-B11	GDT800-O3437	f82v	f82v	f82v.8	B	B	2	qokedy	qokol	qoko	l	chedy	qokedy qokol chedy	qokain sheol qoteedy chedy qokey qokedy qokol chedy chedy lchy	Qualität/Zustand + Träger/Eintrag + Wert/Zustand	dreigliedrige formale Adresse ohne semantische Feldwerte	ZERO__EXPLORATORY_FIELD_BRIDGE_ONLY
G803-B12	GDT800-O3488	f83v	f83v	f83v.11	B	B	2	qokedy	okail	okai	l	shedy	qokedy okail shedy	pchedar shedal qokar shedal okchdy qokedy okail shedy qoky lsheg	Qualität/Zustand + Träger/Eintrag + Wert/Zustand	dreigliedrige formale Adresse ohne semantische Feldwerte	ZERO__EXPLORATORY_FIELD_BRIDGE_ONLY
