group_id	side	cohort	population	position4	surfaces	events	m_events	l_events	stems	physical_folios	mean_residual_m_minus_position_stem	interpretation
LEFT_QOK4	LEFT	CANDIDATE	FULL	ALL	qokain|qokedy|qokeedy|qokeey	149	11	138	49	47	-0.0894419879227	NEGATIVE_FAVOURS_L
LEFT_QOK4	LEFT	CANDIDATE	FULL	EARLIER	qokain|qokedy|qokeedy|qokeey	99	2	97	35	41	-0.0238403038038	NEGATIVE_FAVOURS_L
LEFT_QOK4	LEFT	CANDIDATE	FULL	PENULTIMATE	qokain|qokedy|qokeedy|qokeey	14	1	13	11	10	-0.0379562582396	NEGATIVE_FAVOURS_L
LEFT_QOK4	LEFT	CANDIDATE	FULL	FINAL	qokain|qokedy|qokeedy|qokeey	36	8	28	19	22	-0.28986884746	NEGATIVE_FAVOURS_L
LEFT_QOK4	LEFT	CANDIDATE	DIRECT_388	ALL	qokain|qokedy|qokeedy|qokeey	17	0	17	9	8	-0.173523880853	NEGATIVE_FAVOURS_L
LEFT_QOK4	LEFT	CANDIDATE	DIRECT_388	EARLIER	qokain|qokedy|qokeedy|qokeey	11	0	11	7	7	-0.0559708236456	NEGATIVE_FAVOURS_L
LEFT_QOK4	LEFT	CANDIDATE	DIRECT_388	PENULTIMATE	qokain|qokedy|qokeedy|qokeey	1	0	1	1	1	-0.0584756281268	NEGATIVE_FAVOURS_L
LEFT_QOK4	LEFT	CANDIDATE	DIRECT_388	FINAL	qokain|qokedy|qokeedy|qokeey	5	0	5	4	4	-0.455150257254	NEGATIVE_FAVOURS_L
LEFT_QOK4	LEFT	CANDIDATE	CACHE_REST_3749	ALL	qokain|qokedy|qokeedy|qokeey	132	11	121	48	42	-0.0786132592878	NEGATIVE_FAVOURS_L
LEFT_QOK4	LEFT	CANDIDATE	CACHE_REST_3749	EARLIER	qokain|qokedy|qokeedy|qokeey	88	2	86	34	36	-0.0198239888236	NEGATIVE_FAVOURS_L
LEFT_QOK4	LEFT	CANDIDATE	CACHE_REST_3749	PENULTIMATE	qokain|qokedy|qokeedy|qokeey	13	1	12	11	9	-0.0363778451713	NEGATIVE_FAVOURS_L
LEFT_QOK4	LEFT	CANDIDATE	CACHE_REST_3749	FINAL	qokain|qokedy|qokeedy|qokeey	31	8	23	19	19	-0.263210555558	NEGATIVE_FAVOURS_L
LEFT_QOK4	LEFT	MATCHED_CONTROL	FULL	ALL	al|ar|shedy|shol	144	25	119	50	65	0.0247601093805	POSITIVE_FAVOURS_M_OR_NULL
LEFT_QOK4	LEFT	MATCHED_CONTROL	FULL	EARLIER	al|ar|shedy|shol	102	4	98	38	58	-0.00641596273487	NEGATIVE_FAVOURS_L
LEFT_QOK4	LEFT	MATCHED_CONTROL	FULL	PENULTIMATE	al|ar|shedy|shol	14	2	12	8	13	0.0195008774138	POSITIVE_FAVOURS_M_OR_NULL
LEFT_QOK4	LEFT	MATCHED_CONTROL	FULL	FINAL	al|ar|shedy|shol	28	19	9	18	22	0.140959702355	POSITIVE_FAVOURS_M_OR_NULL
LEFT_QOK4	LEFT	MATCHED_CONTROL	DIRECT_388	ALL	al|ar|shedy|shol	16	1	15	7	8	-0.0341937764902	NEGATIVE_FAVOURS_L
LEFT_QOK4	LEFT	MATCHED_CONTROL	DIRECT_388	EARLIER	al|ar|shedy|shol	14	0	14	7	8	-0.0405539705413	NEGATIVE_FAVOURS_L
LEFT_QOK4	LEFT	MATCHED_CONTROL	DIRECT_388	PENULTIMATE	al|ar|shedy|shol	0	0	0	0	0	0	POSITIVE_FAVOURS_M_OR_NULL
LEFT_QOK4	LEFT	MATCHED_CONTROL	DIRECT_388	FINAL	al|ar|shedy|shol	2	1	1	1	2	0.0103275818675	POSITIVE_FAVOURS_M_OR_NULL
LEFT_QOK4	LEFT	MATCHED_CONTROL	CACHE_REST_3749	ALL	al|ar|shedy|shol	128	24	104	50	59	0.0321293451143	POSITIVE_FAVOURS_M_OR_NULL
LEFT_QOK4	LEFT	MATCHED_CONTROL	CACHE_REST_3749	EARLIER	al|ar|shedy|shol	88	4	84	38	52	-0.000984916038386	NEGATIVE_FAVOURS_L
LEFT_QOK4	LEFT	MATCHED_CONTROL	CACHE_REST_3749	PENULTIMATE	al|ar|shedy|shol	14	2	12	8	13	0.0195008774138	POSITIVE_FAVOURS_M_OR_NULL
LEFT_QOK4	LEFT	MATCHED_CONTROL	CACHE_REST_3749	FINAL	al|ar|shedy|shol	26	18	8	17	20	0.151008327008	POSITIVE_FAVOURS_M_OR_NULL
RIGHT_RESULT3	RIGHT	CANDIDATE	FULL	ALL	chedy|daiin|shedy	301	2	299	54	109	-0.0424591828597	NEGATIVE_FAVOURS_L
RIGHT_RESULT3	RIGHT	CANDIDATE	FULL	EARLIER	chedy|daiin|shedy	262	1	261	54	96	-0.0370618269125	NEGATIVE_FAVOURS_L
RIGHT_RESULT3	RIGHT	CANDIDATE	FULL	PENULTIMATE	chedy|daiin|shedy	39	1	38	20	31	-0.0787183433255	NEGATIVE_FAVOURS_L
RIGHT_RESULT3	RIGHT	CANDIDATE	FULL	FINAL	chedy|daiin|shedy	0	0	0	0	0	0	POSITIVE_FAVOURS_M_OR_NULL
RIGHT_RESULT3	RIGHT	CANDIDATE	DIRECT_388	ALL	chedy|daiin|shedy	41	0	41	15	16	-0.0396748855707	NEGATIVE_FAVOURS_L
RIGHT_RESULT3	RIGHT	CANDIDATE	DIRECT_388	EARLIER	chedy|daiin|shedy	41	0	41	15	16	-0.0396748855707	NEGATIVE_FAVOURS_L
RIGHT_RESULT3	RIGHT	CANDIDATE	DIRECT_388	PENULTIMATE	chedy|daiin|shedy	0	0	0	0	0	0	POSITIVE_FAVOURS_M_OR_NULL
RIGHT_RESULT3	RIGHT	CANDIDATE	DIRECT_388	FINAL	chedy|daiin|shedy	0	0	0	0	0	0	POSITIVE_FAVOURS_M_OR_NULL
RIGHT_RESULT3	RIGHT	CANDIDATE	CACHE_REST_3749	ALL	chedy|daiin|shedy	260	2	258	54	100	-0.0428982451245	NEGATIVE_FAVOURS_L
RIGHT_RESULT3	RIGHT	CANDIDATE	CACHE_REST_3749	EARLIER	chedy|daiin|shedy	221	1	220	54	86	-0.0365770513243	NEGATIVE_FAVOURS_L
RIGHT_RESULT3	RIGHT	CANDIDATE	CACHE_REST_3749	PENULTIMATE	chedy|daiin|shedy	39	1	38	20	31	-0.0787183433255	NEGATIVE_FAVOURS_L
RIGHT_RESULT3	RIGHT	CANDIDATE	CACHE_REST_3749	FINAL	chedy|daiin|shedy	0	0	0	0	0	0	POSITIVE_FAVOURS_M_OR_NULL
RIGHT_RESULT3	RIGHT	MATCHED_CONTROL	FULL	ALL	chol|dy|ol	184	11	173	54	94	0.0101575864374	POSITIVE_FAVOURS_M_OR_NULL
RIGHT_RESULT3	RIGHT	MATCHED_CONTROL	FULL	EARLIER	chol|dy|ol	168	8	160	51	90	0.00572313154439	POSITIVE_FAVOURS_M_OR_NULL
RIGHT_RESULT3	RIGHT	MATCHED_CONTROL	FULL	PENULTIMATE	chol|dy|ol	16	3	13	13	14	0.0567193628144	POSITIVE_FAVOURS_M_OR_NULL
RIGHT_RESULT3	RIGHT	MATCHED_CONTROL	FULL	FINAL	chol|dy|ol	0	0	0	0	0	0	POSITIVE_FAVOURS_M_OR_NULL
RIGHT_RESULT3	RIGHT	MATCHED_CONTROL	DIRECT_388	ALL	chol|dy|ol	14	0	14	9	13	-0.034723716403	NEGATIVE_FAVOURS_L
RIGHT_RESULT3	RIGHT	MATCHED_CONTROL	DIRECT_388	EARLIER	chol|dy|ol	14	0	14	9	13	-0.034723716403	NEGATIVE_FAVOURS_L
RIGHT_RESULT3	RIGHT	MATCHED_CONTROL	DIRECT_388	PENULTIMATE	chol|dy|ol	0	0	0	0	0	0	POSITIVE_FAVOURS_M_OR_NULL
RIGHT_RESULT3	RIGHT	MATCHED_CONTROL	DIRECT_388	FINAL	chol|dy|ol	0	0	0	0	0	0	POSITIVE_FAVOURS_M_OR_NULL
RIGHT_RESULT3	RIGHT	MATCHED_CONTROL	CACHE_REST_3749	ALL	chol|dy|ol	170	11	159	54	88	0.0138536937302	POSITIVE_FAVOURS_M_OR_NULL
RIGHT_RESULT3	RIGHT	MATCHED_CONTROL	CACHE_REST_3749	EARLIER	chol|dy|ol	154	8	146	51	84	0.00940011772142	POSITIVE_FAVOURS_M_OR_NULL
RIGHT_RESULT3	RIGHT	MATCHED_CONTROL	CACHE_REST_3749	PENULTIMATE	chol|dy|ol	16	3	13	13	14	0.0567193628144	POSITIVE_FAVOURS_M_OR_NULL
RIGHT_RESULT3	RIGHT	MATCHED_CONTROL	CACHE_REST_3749	FINAL	chol|dy|ol	0	0	0	0	0	0	POSITIVE_FAVOURS_M_OR_NULL
