side	stratum_id	pair_ordinal	section	language	hand	stem	distance_cell	l_occurrence_id	l_folio	l_context	l_exact_score	l_training_count	m_occurrence_id	m_folio	m_context	m_exact_score	m_training_count	exact_auc	rarity_auc	delta_exact_minus_rarity	semantic_export_credit
LEFT	LS001	1	B	B	2	ka	0	GDT800-O2864	f77v	y	0.00201522106565	5	GDT800-O3358	f82r	chedy	0.134738812305	15	1	0	1	ZERO__FORMAL_IDENTITY_RARITY_COMPARISON
LEFT	LS002	1	B	B	2	lo	0	GDT800-O2836	f77r	qokeedy	-0.169842791684	5	GDT800-O3180	f80r	ol	-0.122255759653	8	1	0	1	ZERO__FORMAL_IDENTITY_RARITY_COMPARISON
LEFT	LS002	2	B	B	2	lo	0	GDT800-O2837	f77r	qokeedy	-0.169842791684	5	GDT800-O3180	f80r	ol	-0.122255759653	8	1	0	1	ZERO__FORMAL_IDENTITY_RARITY_COMPARISON
LEFT	LS002	3	B	B	2	lo	0	GDT800-O3095	f79v	qokeey	-0.32779615444	5	GDT800-O3180	f80r	ol	-0.122255759653	8	1	0	1	ZERO__FORMAL_IDENTITY_RARITY_COMPARISON
LEFT	LS003	1	B	B	2	olka	0	GDT800-O3350	f81v	otain	0.00556567610194	5	GDT800-O3085	f79v	otar	-0.107719686189	8	0	0	0	ZERO__FORMAL_IDENTITY_RARITY_COMPARISON
LEFT	LS003	2	B	B	2	olka	0	GDT800-O3350	f81v	otain	0.00556567610194	5	GDT800-O3151	f80r	qokain	-0.461669088603	9	0	0	0	ZERO__FORMAL_IDENTITY_RARITY_COMPARISON
LEFT	LS004	1	B	B	2	qoka	0	GDT800-O2840	f77r	chedy	0.161451656922	13	GDT800-O2916	f77v	qokeedy	-0.402744003798	6	0	1	-1	ZERO__FORMAL_IDENTITY_RARITY_COMPARISON
LEFT	LS004	2	B	B	2	qoka	0	GDT800-O2840	f77r	chedy	0.161451656922	13	GDT800-O3084	f79r	qokal	-0.17844086846	7	0	1	-1	ZERO__FORMAL_IDENTITY_RARITY_COMPARISON
LEFT	LS004	3	B	B	2	qoka	0	GDT800-O2840	f77r	chedy	0.161451656922	13	GDT800-O3143	f80r	chedy	0.169615801259	13	1	0.5	0.5	ZERO__FORMAL_IDENTITY_RARITY_COMPARISON
LEFT	LS004	4	B	B	2	qoka	0	GDT800-O3445	f83r	qokedy	-0.325405941076	7	GDT800-O2916	f77v	qokeedy	-0.402744003798	6	0	1	-1	ZERO__FORMAL_IDENTITY_RARITY_COMPARISON
