side	section	language	hand	pairs	exact_micro_auc	rarity_micro_auc	delta_exact_minus_rarity	interpretation
LEFT	B	B	2	15	0.666666666667	0.366666666667	0.3	STYLE_SENSITIVITY_ONLY__NOT_A_SEMANTIC_CLASS
LEFT	H	A	1	18	0.361111111111	0.638888888889	-0.277777777778	STYLE_SENSITIVITY_ONLY__NOT_A_SEMANTIC_CLASS
LEFT	H	B	2	9	0.555555555556	0.722222222222	-0.166666666667	STYLE_SENSITIVITY_ONLY__NOT_A_SEMANTIC_CLASS
LEFT	P	A	1	5	1	0.2	0.8	STYLE_SENSITIVITY_ONLY__NOT_A_SEMANTIC_CLASS
LEFT	S	A	3	2	1	1	0	STYLE_SENSITIVITY_ONLY__NOT_A_SEMANTIC_CLASS
LEFT	S	B	3	58	0.620689655172	0.422413793103	0.198275862069	STYLE_SENSITIVITY_ONLY__NOT_A_SEMANTIC_CLASS
RIGHT	H	A	1	12	0.75	0.541666666667	0.208333333333	STYLE_SENSITIVITY_ONLY__NOT_A_SEMANTIC_CLASS
RIGHT	H	B	2	4	0	0.375	-0.375	STYLE_SENSITIVITY_ONLY__NOT_A_SEMANTIC_CLASS
RIGHT	P	A	1	7	1	0.5	0.5	STYLE_SENSITIVITY_ONLY__NOT_A_SEMANTIC_CLASS
RIGHT	S	B	3	25	0.08	0.16	-0.08	STYLE_SENSITIVITY_ONLY__NOT_A_SEMANTIC_CLASS
