side	context_surface	core_group	preexisting_broad_role	preexisting_working_default_de	primary_source	gdt803_context_events	gdt803_context_m	bridge_reading	historical_architecture_rival	counterevidence	semantic_credit
RIGHT	chor	NONE	PART_OR_NOMINAL	Pflanzenteil	GDT759	28	5	RIVAL_OR_COUNTEREXAMPLE_ONLY	no selected historical bridge	stable coefficient does not align cleanly with the selected bracket class	ZERO__WORKING_FIELD_ROLE_ONLY
LEFT	ar	NONE	QUANTITY_OR_PART	Anteil- oder Mengenfeld	GDT759	51	16	RIVAL_OR_COUNTEREXAMPLE_ONLY	no selected historical bridge	stable coefficient does not align cleanly with the selected bracket class	ZERO__WORKING_FIELD_ROLE_ONLY
RIGHT	daiin	RIGHT_RESULT3	VALUE_OR_GRADE	Wert oder Grad III	GDT759	104	1	RIGHT_VALUE_STATE_OR_RESULT_FIELD	descriptive quality + carrier + grade/state OR prescriptive condition + ingredient/preparation + result	none of the 12 double-bracket events is itself a GDT744-licensed field; opaque address remains viable	ZERO__WORKING_FIELD_ROLE_ONLY
RIGHT	shedy	RIGHT_RESULT3	QUALITY_OR_STATE	Feuchte-/Zustandsfeld	GDT730|GDT744	94	0	RIGHT_VALUE_STATE_OR_RESULT_FIELD	descriptive quality + carrier + grade/state OR prescriptive condition + ingredient/preparation + result	none of the 12 double-bracket events is itself a GDT744-licensed field; opaque address remains viable	ZERO__WORKING_FIELD_ROLE_ONLY
RIGHT	chedy	RIGHT_RESULT3	QUALITY_OR_STATE	Trocken-/Zustandsfeld	GDT730|GDT744	103	1	RIGHT_VALUE_STATE_OR_RESULT_FIELD	descriptive quality + carrier + grade/state OR prescriptive condition + ingredient/preparation + result	none of the 12 double-bracket events is itself a GDT744-licensed field; opaque address remains viable	ZERO__WORKING_FIELD_ROLE_ONLY
LEFT	qokeey	LEFT_QOK4	QUALITY_OR_VALUE	Heiß-/Gradfeld	GDT730|GDT744	30	1	LEFT_QUALITY_OR_CONDITION_FIELD	descriptive quality + carrier + grade/state OR prescriptive condition + ingredient/preparation + result	none of the 12 double-bracket events is itself a GDT744-licensed field; opaque address remains viable	ZERO__WORKING_FIELD_ROLE_ONLY
LEFT	qokedy	LEFT_QOK4	QUALITY_OR_STATE	Heiß-/Zustandsfeld	GDT730	39	3	LEFT_QUALITY_OR_CONDITION_FIELD	descriptive quality + carrier + grade/state OR prescriptive condition + ingredient/preparation + result	none of the 12 double-bracket events is itself a GDT744-licensed field; opaque address remains viable	ZERO__WORKING_FIELD_ROLE_ONLY
LEFT	shedy	NONE	QUALITY_OR_STATE	Feuchte-/Zustandsfeld	GDT730|GDT744	38	1	RIVAL_OR_COUNTEREXAMPLE_ONLY	no selected historical bridge	stable coefficient does not align cleanly with the selected bracket class	ZERO__WORKING_FIELD_ROLE_ONLY
LEFT	qokain	LEFT_QOK4	QUALITY_OR_VALUE	Heiß-/Gradfeld	GDT730	47	4	LEFT_QUALITY_OR_CONDITION_FIELD	descriptive quality + carrier + grade/state OR prescriptive condition + ingredient/preparation + result	none of the 12 double-bracket events is itself a GDT744-licensed field; opaque address remains viable	ZERO__WORKING_FIELD_ROLE_ONLY
LEFT	qokeedy	LEFT_QOK4	QUALITY_OR_STATE	Heiß-/Zustandsfeld	GDT730	33	3	LEFT_QUALITY_OR_CONDITION_FIELD	descriptive quality + carrier + grade/state OR prescriptive condition + ingredient/preparation + result	none of the 12 double-bracket events is itself a GDT744-licensed field; opaque address remains viable	ZERO__WORKING_FIELD_ROLE_ONLY
LEFT	qokar	NONE	QUANTITY_QUALITY_RIVAL	Anteil-/Qualitätskompositum	GDT730|GDT759	28	7	RIVAL_OR_COUNTEREXAMPLE_ONLY	no selected historical bridge	stable coefficient does not align cleanly with the selected bracket class	ZERO__WORKING_FIELD_ROLE_ONLY
RIGHT	dain	NONE	VALUE_OR_GRADE	Wert oder Grad II	GDT759	27	0	RIVAL_OR_COUNTEREXAMPLE_ONLY	no selected historical bridge	stable coefficient does not align cleanly with the selected bracket class	ZERO__WORKING_FIELD_ROLE_ONLY
RIGHT	dar	NONE	QUANTITY_OR_PART	Anteil- oder Mengenfeld	GDT730|GDT759	41	1	RIVAL_OR_COUNTEREXAMPLE_ONLY	no selected historical bridge	stable coefficient does not align cleanly with the selected bracket class	ZERO__WORKING_FIELD_ROLE_ONLY
RIGHT	kaiin	NONE	QUALITY_OR_VALUE	Heiß-/Gradfeld	GDT730|GDT744	26	0	RIVAL_OR_COUNTEREXAMPLE_ONLY	no selected historical bridge	stable coefficient does not align cleanly with the selected bracket class	ZERO__WORKING_FIELD_ROLE_ONLY
