lesson_id	mould_id	renderer_id	workshop_hand	hand_habit	target_record_unit_id	target_page	target_owner_de	master_card_sequence	visible_copy	recovered_master_card_ids	roundtrip
L01	M01_MATERIAL_PREPARATION	R-A	VORLAGENHAND	master head	H5	f56r	bei der frischen Bildpflanze und ihrem zweiten Ansatz	dchey cthoor char chety os chair otytchol choky aiin etyd	dchey cthoor char chety os chair otytchol choky aiin etyd	MC071|MC158|MC055|MC086|MC159|MC014|MC069|MC026|MC039|MC108	PASS
L01	M01_MATERIAL_PREPARATION	R-B	Q-EINTRITTSHAND	prefer registered q initial	H5	f56r	bei der frischen Bildpflanze und ihrem zweiten Ansatz	dchey cthoor char chety os chair otytchol choky aiin etyd	dchey cthoor char chety os chair otytchol qoky aiin etyd	MC071|MC158|MC055|MC086|MC159|MC014|MC069|MC026|MC039|MC108	PASS
L01	M01_MATERIAL_PREPARATION	R-C	S-FLUSSHAND	prefer registered sh or s initial	H5	f56r	bei der frischen Bildpflanze und ihrem zweiten Ansatz	dchey cthoor char chety os chair otytchol choky aiin etyd	dchey cthoor sar chety os chair otytchol choky saiin etyd	MC071|MC158|MC055|MC086|MC159|MC014|MC069|MC026|MC039|MC108	PASS
L01	M01_MATERIAL_PREPARATION	R-D	KURZHAND	shortest registered form	H5	f56r	bei der frischen Bildpflanze und ihrem zweiten Ansatz	dchey cthoor char chety os chair otytchol choky aiin etyd	dchey cthoor dar chty os chair otytchol oky aiin etyd	MC071|MC158|MC055|MC086|MC159|MC014|MC069|MC026|MC039|MC108	PASS
L02	M02_SOURCE_SHARE_MEASURE	R-A	VORLAGENHAND	master head	B3	f83r	bei der Charge des runden Randgefäßes	okain char okain qokeedy	okain char okain qokeedy	MC017|MC055|MC017|MC082	PASS
L02	M02_SOURCE_SHARE_MEASURE	R-B	Q-EINTRITTSHAND	prefer registered q initial	B3	f83r	bei der Charge des runden Randgefäßes	okain char okain qokeedy	qokain char qokain qokeedy	MC017|MC055|MC017|MC082	PASS
L02	M02_SOURCE_SHARE_MEASURE	R-C	S-FLUSSHAND	prefer registered sh or s initial	B3	f83r	bei der Charge des runden Randgefäßes	okain char okain qokeedy	okain sar okain qokeedy	MC017|MC055|MC017|MC082	PASS
L02	M02_SOURCE_SHARE_MEASURE	R-D	KURZHAND	shortest registered form	B3	f83r	bei der Charge des runden Randgefäßes	okain char okain qokeedy	okain dar okain qokeedy	MC017|MC055|MC017|MC082	PASS
L03	M03_TARGET_TRANSFER	R-A	VORLAGENHAND	master head	B1	f81v	im gemeinsamen zweireihigen Figurenbecken	chedchy okal olchedy	chedchy okal olchedy	MC064|MC040|MC028	PASS
L03	M03_TARGET_TRANSFER	R-B	Q-EINTRITTSHAND	prefer registered q initial	B1	f81v	im gemeinsamen zweireihigen Figurenbecken	chedchy okal olchedy	chedchy qokal qolchedy	MC064|MC040|MC028	PASS
L03	M03_TARGET_TRANSFER	R-C	S-FLUSSHAND	prefer registered sh or s initial	B1	f81v	im gemeinsamen zweireihigen Figurenbecken	chedchy okal olchedy	chedchy okal olchedy	MC064|MC040|MC028	PASS
L03	M03_TARGET_TRANSFER	R-D	KURZHAND	shortest registered form	B1	f81v	im gemeinsamen zweireihigen Figurenbecken	chedchy okal olchedy	chedchy okal olchedy	MC064|MC040|MC028	PASS
L04	M04_ORDER_CONTINUATION	R-A	VORLAGENHAND	master head	B3	f83r	beim örtlichen Übergangsansatz	chdy otal otchey okeey choky cheol cheedy	chdy otal otchey okeey choky cheol cheedy	MC074|MC093|MC171|MC002|MC026|MC153|MC128	PASS
L04	M04_ORDER_CONTINUATION	R-B	Q-EINTRITTSHAND	prefer registered q initial	B3	f83r	beim örtlichen Übergangsansatz	chdy otal otchey okeey choky cheol cheedy	chdy qotal otchey qokeey qoky qol cheedy	MC074|MC093|MC171|MC002|MC026|MC153|MC128	PASS
L04	M04_ORDER_CONTINUATION	R-C	S-FLUSSHAND	prefer registered sh or s initial	B3	f83r	beim örtlichen Übergangsansatz	chdy otal otchey okeey choky cheol cheedy	chdy otal otchey okeey choky sol shedy	MC074|MC093|MC171|MC002|MC026|MC153|MC128	PASS
L04	M04_ORDER_CONTINUATION	R-D	KURZHAND	shortest registered form	B3	f83r	beim örtlichen Übergangsansatz	chdy otal otchey okeey choky cheol cheedy	chdy otal otchey okeey oky ol tedy	MC074|MC093|MC171|MC002|MC026|MC153|MC128	PASS
