lesson_id	mould_id	source_statement_id	source_page	target_record_unit_id	target_page	target_owner_de	slot_mould	master_card_sequence	literal_values_de	owner_substituted_instruction_de	distinct_visible_copies	all_four_roundtrip	interpretive_limit
L01	M01_MATERIAL_PREPARATION	H1-S001	f10r	H5	f56r	bei der frischen Bildpflanze und ihrem zweiten Ansatz	OWNER>MATERIAL>PROCESS>PRODUCT	dchey cthoor char chety os chair otytchol choky aiin etyd	Wurzel · Posten | bereitstellen · Ansatz | davon | Anteil | Gefäß | Flüssigkeitslauf | danach · Teil · weiter | einsetzen | Sollmaß | kurz · Teil	Bei der frischen Bildpflanze und ihrem zweiten Ansatz: Bildmaterial nehmen, bearbeiten und als Ansatz/Produkt weitergeben.	4	PASS	OWNER_CHANGED_ONLY__NO_NEW_CARD_MEANING
L02	M02_SOURCE_SHARE_MEASURE	B2-S011	f82r	B3	f83r	bei der Charge des runden Randgefäßes	SOURCE>SHARE>MEASURE	okain char okain qokeedy	Anteil zugeben | davon | Anteil zugeben | lange einwirken; Schluss	Bei der Charge des runden Randgefäßes: davon einen Anteil nehmen und bemessen.	4	PASS	OWNER_CHANGED_ONLY__NO_NEW_CARD_MEANING
L03	M03_TARGET_TRANSFER	B3-S006	f83r	B1	f81v	im gemeinsamen zweireihigen Figurenbecken	ITEM>TARGET>TRANSFER>CLOSE	chedchy okal olchedy	übertragen · Posten | dorthin einsetzen | weiterführen; Schluss	Im gemeinsamen zweireihigen Figurenbecken: Posten dorthin überführen oder abführen und schließen.	2	PASS	OWNER_CHANGED_ONLY__NO_NEW_CARD_MEANING
L04	M04_ORDER_CONTINUATION	B4-S003	f83r	B3	f83r	beim örtlichen Übergangsansatz	ORDER>LINK>ITEM>ACTION	chdy otal otchey okeey choky cheol cheedy	überführen | danach dorthin | das nächste | lange einwirken | einsetzen | weiter | kurz absetzen; Schluss	Beim örtlichen Übergangsansatz: Folgeposten oder Fortsetzung in den nächsten Arbeitsgang tragen.	4	PASS	OWNER_CHANGED_ONLY__NO_NEW_CARD_MEANING
L05	M05_STATE_CLOSE	B4-S008	f83r	B2	f82r	bei der Arbeitsflüssigkeit der oberen Doppelbecken	ITEM>PROCESS>STATE>CLOSE	aiin cheeky sheey qokedy	Sollmaß | länger bearbeiten | halten · länger · Posten | kurz einwirken; Schluss	Bei der Arbeitsflüssigkeit der oberen Doppelbecken: Posten bearbeiten, halten, wärmen oder absetzen und schließen.	2	PASS	OWNER_CHANGED_ONLY__NO_NEW_CARD_MEANING
L06	M06_FILTER_CLEAR_PRODUCT	H3-S001	f11r	H4	f55v	beim Blattauszug der Bildpflanze	ITEM>FILTER>PRODUCT>CLOSE	tshol schoal cfhy shfydaiin cphy cheey tchody	Zutat · abführen | Zutat · Zielstelle | auswringen · Posten | halten · Sollmaß | nachseihen · Posten | Klarauszug | Zutat; schließen	Beim Blattauszug der Bildpflanze: auswringen, seihen oder waschen und den Klarauszug gewinnen.	2	PASS	OWNER_CHANGED_ONLY__NO_NEW_CARD_MEANING
L07	M07_PAIRED_MEASURE_FRAME	B3-S003	f83r	H2	f10r	bei den zwei Portionen des Blatt-/Sprossansatzes	ITEM>MEASURE>ITEM	chey aiin chey lchedy	dies | Sollmaß | dies | abführen; Schluss	Bei den zwei Portionen des Blatt-/Sprossansatzes: zwei Posten unter demselben Sollmaß.	3	PASS	OWNER_CHANGED_ONLY__NO_NEW_CARD_MEANING
L08	M08_CARRIED_PREPARATION_FRAME	H2-S002	f10r	B1	f81v	beim weitergeführten Ansatz im gemeinsamen Becken	LINK>PREPARATION>LINK	otchor chor otol cheol cholor cheol aiin char	Folgeansatz | Ansatz | danach · weiter | weiter | derselbe Ansatz | weiter | Sollmaß | davon	Beim weitergeführten Ansatz im gemeinsamen Becken: Fortsetzung mit demselben Ansatz.	4	PASS	OWNER_CHANGED_ONLY__NO_NEW_CARD_MEANING
L09	M09_APPLICATION_FASTEN	H5-S005	f56r	B4	f83r	am Hauptpaar mit sichtbarer Tuchanwendung	SHARE>TARGET>APPLICATION>CLOSE	cho chokchy kchoar sotodan	weitere Zutat | weiterbearbeiten | Auszug · Ausgang | danach · anwenden	Am Hauptpaar mit sichtbarer Tuchanwendung: Anteil an Zielstelle einsetzen, auflegen oder festbinden.	4	PASS	OWNER_CHANGED_ONLY__NO_NEW_CARD_MEANING
L10	M10_LOCAL_EXACT_CELL	B1-S011	f81v	B2	f82r	an der Durchlassstation des Mittelgeräts	LOCAL_WHOLE_CARD_SEQUENCE	chckhy choky	durchleiten | einsetzen	An der Durchlassstation des Mittelgeräts: eine vollständig gelernte lokale Arbeitszelle.	4	PASS	OWNER_CHANGED_ONLY__NO_NEW_CARD_MEANING
